,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CH%,wFA/C,wSL/C,wCH/C,vFA,vSL,FF_ba,SL_ba,CH_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,ST_ba
0,2023-05-25,718031,Strikeout,strikeout,True,641313,656412,Tim Anderson,Alex Faedo,0,0,0,f86c20f1-5d96-48f6-90fe-00a98b13931a,656412.0,alexfaedo,Faedo,Right,Alex Faedo,4.45,3.82,64.2,104.0,92.0,101.0,0.7809999999999999,8.07,2.78,6.68,1.67,0.79,0.235,0.45899999999999996,0.18,0.33899999999999997,0.436,85.9,84.0,101.0,97.0,87.0,104.0,96.0,103.0,105.0,108.0,0.485,0.381,0.133,0.89,0.65,-0.75,92.9,82.3,0.2,0.192,0.222,,,,,,,,,,,,,,,,,,,,,,
1,2023-05-25,718031,Pop Out,field_out,True,643217,656412,Andrew Benintendi,Alex Faedo,0,0,0,7199111e-73a6-4dc8-a744-a7caf31ada19,656412.0,alexfaedo,Faedo,Right,Alex Faedo,4.45,3.82,64.2,104.0,92.0,101.0,0.7809999999999999,8.07,2.78,6.68,1.67,0.79,0.235,0.45899999999999996,0.18,0.33899999999999997,0.436,85.9,84.0,101.0,97.0,87.0,104.0,96.0,103.0,105.0,108.0,0.485,0.381,0.133,0.89,0.65,-0.75,92.9,82.3,0.2,0.192,0.222,,,,,,,,,,,,,,,,,,,,,,
2,2023-05-25,718031,Lineout,field_out,True,673357,656412,Luis Robert Jr.,Alex Faedo,0,0,0,0ec0cd2c-f682-4a1d-a9af-e4f6eb3f5d4b,656412.0,alexfaedo,Faedo,Right,Alex Faedo,4.45,3.82,64.2,104.0,92.0,101.0,0.7809999999999999,8.07,2.78,6.68,1.67,0.79,0.235,0.45899999999999996,0.18,0.33899999999999997,0.436,85.9,84.0,101.0,97.0,87.0,104.0,96.0,103.0,105.0,108.0,0.485,0.381,0.133,0.89,0.65,-0.75,92.9,82.3,0.2,0.192,0.222,,,,,,,,,,,,,,,,,,,,,,
3,2023-05-25,718031,Strikeout,strikeout,True,656716,608337,Zach McKinstry,Lucas Giolito,0,0,0,8a7d6cb0-a441-4dfe-b8be-569307f3b1c5,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,84.0,100.0,95.0,107.0,105.0,104.0,0.419,0.282,0.28300000000000003,-0.85,-0.25,-0.2,93.1,84.0,0.262,0.236,0.209,81.0,76.0,78.0,0.015,-3.72,77.9,0.5,,,,,,,,,,,,,,,
4,2023-05-25,718031,Strikeout,strikeout,True,595879,608337,Javier Báez,Lucas Giolito,0,0,0,0ef49d49-22f2-4764-862f-f9156bf4f2c0,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,84.0,100.0,95.0,107.0,105.0,104.0,0.419,0.282,0.28300000000000003,-0.85,-0.25,-0.2,93.1,84.0,0.262,0.236,0.209,81.0,76.0,78.0,0.015,-3.72,77.9,0.5,,,,,,,,,,,,,,,
5,2023-05-25,718031,Walk,walk,False,682985,608337,Riley Greene,Lucas Giolito,1,0,0,a0038280-7e62-44d7-bac4-a06aaa4b781e,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,84.0,100.0,95.0,107.0,105.0,104.0,0.419,0.282,0.28300000000000003,-0.85,-0.25,-0.2,93.1,84.0,0.262,0.236,0.209,81.0,76.0,78.0,0.015,-3.72,77.9,0.5,,,,,,,,,,,,,,,
6,2023-05-25,718031,Strikeout,strikeout,True,679529,608337,Spencer Torkelson,Lucas Giolito,0,0,0,fd4ab749-ad1a-47f1-b7c0-c73a3913c829,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,84.0,100.0,95.0,107.0,105.0,104.0,0.419,0.282,0.28300000000000003,-0.85,-0.25,-0.2,93.1,84.0,0.262,0.236,0.209,81.0,76.0,78.0,0.015,-3.72,77.9,0.5,,,,,,,,,,,,,,,
7,2023-05-25,718031,Groundout,field_out,True,660162,656412,Yoán Moncada,Alex Faedo,1,0,0,e03ccaae-4481-4acf-83de-208455246d27,656412.0,alexfaedo,Faedo,Right,Alex Faedo,4.45,3.82,64.2,104.0,92.0,101.0,0.7809999999999999,8.07,2.78,6.68,1.67,0.79,0.235,0.45899999999999996,0.18,0.33899999999999997,0.436,85.9,84.0,101.0,97.0,87.0,104.0,96.0,103.0,105.0,108.0,0.485,0.381,0.133,0.89,0.65,-0.75,92.9,82.3,0.2,0.192,0.222,,,,,,,,,,,,,,,,,,,,,,
8,2023-05-25,718031,Pop Out,field_out,True,683734,656412,Andrew Vaughn,Alex Faedo,0,0,0,384087db-188e-4c9f-9ec0-374c22abd6d7,656412.0,alexfaedo,Faedo,Right,Alex Faedo,4.45,3.82,64.2,104.0,92.0,101.0,0.7809999999999999,8.07,2.78,6.68,1.67,0.79,0.235,0.45899999999999996,0.18,0.33899999999999997,0.436,85.9,84.0,101.0,97.0,87.0,104.0,96.0,103.0,105.0,108.0,0.485,0.381,0.133,0.89,0.65,-0.75,92.9,82.3,0.2,0.192,0.222,,,,,,,,,,,,,,,,,,,,,,
9,2023-05-25,718031,Lineout,field_out,True,657757,656412,Gavin Sheets,Alex Faedo,1,0,0,2b9accc2-a560-4542-8266-0b35cab743f6,656412.0,alexfaedo,Faedo,Right,Alex Faedo,4.45,3.82,64.2,104.0,92.0,101.0,0.7809999999999999,8.07,2.78,6.68,1.67,0.79,0.235,0.45899999999999996,0.18,0.33899999999999997,0.436,85.9,84.0,101.0,97.0,87.0,104.0,96.0,103.0,105.0,108.0,0.485,0.381,0.133,0.89,0.65,-0.75,92.9,82.3,0.2,0.192,0.222,,,,,,,,,,,,,,,,,,,,,,
