,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSL,vCU,FC_ba,FF_ba,SL_ba,CH_ba,CU_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,ST_ba,FS_ba
0,2023-05-01,718350,Single,single,False,664774,677651,LaMonte Wade Jr.,Luis Garcia,0,0,0,c54fb2d6-faf4-498c-be23-1c6ada932ed8,677651.0,luisgarcia,"Garcia, L",Right,Luis Garcia,4.0,4.01,27.0,101.0,92.0,97.0,0.7070000000000001,10.33,3.33,8.33,1.0,0.59,0.205,0.384,0.247,0.342,0.387,84.4,53.0,106.0,89.0,99.0,94.0,99.0,79.0,94.0,89.0,87.0,103.0,111.0,107.0,105.0,98.0,0.312,0.42700000000000005,0.126,0.076,0.059000000000000004,-2.31,1.28,1.15,-0.26,-1.19,92.7,85.4,78.4,76.2,0.192,0.407,0.1,0.222,0.25,,,,,,,,,,,,,,,,,,,,,
1,2023-05-01,718350,Strikeout,strikeout,True,642731,656232,Thairo Estrada,Brandon Bielak,0,0,0,c0a176fa-0c10-410c-8fa5-b5f607159267,656232.0,brandonbielak,Bielak,Right,Brandon Bielak,3.83,5.44,80.0,97.0,85.0,91.0,0.785,6.98,4.05,9.68,1.35,1.55,0.192,0.46,0.14,0.364,0.39399999999999996,87.1,90.0,100.0,98.0,101.0,90.0,88.0,73.0,97.0,87.0,99.0,93.0,95.0,,,,0.306,0.004,0.11800000000000001,0.111,0.247,-1.15,-0.48,-3.74,-0.81,0.83,92.1,84.4,82.0,79.5,,0.273,0.333,0.227,0.217,78.0,99.0,88.0,0.214,-0.12,92.1,0.338,,,,,,,,,,,,,,
2,2023-05-01,718350,Walk,walk,False,592626,656232,Joc Pederson,Brandon Bielak,0,0,1,aab8ff4e-9802-4983-ba7e-ee9aa965fbcf,656232.0,brandonbielak,Bielak,Right,Brandon Bielak,3.83,5.44,80.0,97.0,85.0,91.0,0.785,6.98,4.05,9.68,1.35,1.55,0.192,0.46,0.14,0.364,0.39399999999999996,87.1,90.0,100.0,98.0,101.0,90.0,88.0,73.0,97.0,87.0,99.0,93.0,95.0,,,,0.306,0.004,0.11800000000000001,0.111,0.247,-1.15,-0.48,-3.74,-0.81,0.83,92.1,84.4,82.0,79.5,,0.273,0.333,0.227,0.217,78.0,99.0,88.0,0.214,-0.12,92.1,0.338,,,,,,,,,,,,,,
3,2023-05-01,718350,Strikeout,strikeout,True,571745,656232,Mitch Haniger,Brandon Bielak,0,0,0,ef737b0d-7cba-4e59-afb0-7929637acc40,656232.0,brandonbielak,Bielak,Right,Brandon Bielak,3.83,5.44,80.0,97.0,85.0,91.0,0.785,6.98,4.05,9.68,1.35,1.55,0.192,0.46,0.14,0.364,0.39399999999999996,87.1,90.0,100.0,98.0,101.0,90.0,88.0,73.0,97.0,87.0,99.0,93.0,95.0,,,,0.306,0.004,0.11800000000000001,0.111,0.247,-1.15,-0.48,-3.74,-0.81,0.83,92.1,84.4,82.0,79.5,,0.273,0.333,0.227,0.217,78.0,99.0,88.0,0.214,-0.12,92.1,0.338,,,,,,,,,,,,,,
4,2023-05-01,718350,Strikeout,strikeout,True,624424,656232,Michael Conforto,Brandon Bielak,0,0,0,b3ddc264-824d-4a26-a7fe-c6f09dd3e6c4,656232.0,brandonbielak,Bielak,Right,Brandon Bielak,3.83,5.44,80.0,97.0,85.0,91.0,0.785,6.98,4.05,9.68,1.35,1.55,0.192,0.46,0.14,0.364,0.39399999999999996,87.1,90.0,100.0,98.0,101.0,90.0,88.0,73.0,97.0,87.0,99.0,93.0,95.0,,,,0.306,0.004,0.11800000000000001,0.111,0.247,-1.15,-0.48,-3.74,-0.81,0.83,92.1,84.4,82.0,79.5,,0.273,0.333,0.227,0.217,78.0,99.0,88.0,0.214,-0.12,92.1,0.338,,,,,,,,,,,,,,
5,2023-05-01,718350,Single,single,False,643289,548389,Mauricio Dubón,Ross Stripling,1,0,0,2eed15c9-f016-4980-91a8-823f085039a0,548389.0,rossstripling,Stripling,Right,Ross Stripling,5.36,5.59,89.0,108.0,84.0,103.0,0.785,7.08,1.62,10.52,2.02,1.42,0.195,0.39899999999999997,0.15,0.32799999999999996,0.433,83.7,94.0,112.0,113.0,,,,59.0,106.0,96.0,97.0,109.0,106.0,,,,0.26,,0.292,,0.248,-0.38,,0.07,,-2.35,92.5,,87.2,,,0.275,0.274,0.305,0.2,47.0,109.0,88.0,0.092,-0.64,90.3,0.325,119.0,95.0,102.0,83.0,107.0,102.0,0.009000000000000001,0.099,-0.82,1.22,85.6,75.9,,
6,2023-05-01,718350,Flyout,field_out,True,608324,548389,Alex Bregman,Ross Stripling,0,0,0,862f5cbd-f8bc-434d-a800-9a589d9dc5ff,548389.0,rossstripling,Stripling,Right,Ross Stripling,5.36,5.59,89.0,108.0,84.0,103.0,0.785,7.08,1.62,10.52,2.02,1.42,0.195,0.39899999999999997,0.15,0.32799999999999996,0.433,83.7,94.0,112.0,113.0,,,,59.0,106.0,96.0,97.0,109.0,106.0,,,,0.26,,0.292,,0.248,-0.38,,0.07,,-2.35,92.5,,87.2,,,0.275,0.274,0.305,0.2,47.0,109.0,88.0,0.092,-0.64,90.3,0.325,119.0,95.0,102.0,83.0,107.0,102.0,0.009000000000000001,0.099,-0.82,1.22,85.6,75.9,,
7,2023-05-01,718350,Strikeout,strikeout,True,670541,548389,Yordan Alvarez,Ross Stripling,0,0,1,ff0f445d-6e1e-46ad-bffd-1e8baec40bb8,548389.0,rossstripling,Stripling,Right,Ross Stripling,5.36,5.59,89.0,108.0,84.0,103.0,0.785,7.08,1.62,10.52,2.02,1.42,0.195,0.39899999999999997,0.15,0.32799999999999996,0.433,83.7,94.0,112.0,113.0,,,,59.0,106.0,96.0,97.0,109.0,106.0,,,,0.26,,0.292,,0.248,-0.38,,0.07,,-2.35,92.5,,87.2,,,0.275,0.274,0.305,0.2,47.0,109.0,88.0,0.092,-0.64,90.3,0.325,119.0,95.0,102.0,83.0,107.0,102.0,0.009000000000000001,0.099,-0.82,1.22,85.6,75.9,,
8,2023-05-01,718350,Single,single,False,547989,548389,José Abreu,Ross Stripling,0,0,1,5c4beb0d-02fd-4b31-a07e-5175852f4584,548389.0,rossstripling,Stripling,Right,Ross Stripling,5.36,5.59,89.0,108.0,84.0,103.0,0.785,7.08,1.62,10.52,2.02,1.42,0.195,0.39899999999999997,0.15,0.32799999999999996,0.433,83.7,94.0,112.0,113.0,,,,59.0,106.0,96.0,97.0,109.0,106.0,,,,0.26,,0.292,,0.248,-0.38,,0.07,,-2.35,92.5,,87.2,,,0.275,0.274,0.305,0.2,47.0,109.0,88.0,0.092,-0.64,90.3,0.325,119.0,95.0,102.0,83.0,107.0,102.0,0.009000000000000001,0.099,-0.82,1.22,85.6,75.9,,
9,2023-05-01,718350,Strikeout,strikeout,True,663656,548389,Kyle Tucker,Ross Stripling,0,0,0,40afb517-d3af-472b-a56c-3780d2e18019,548389.0,rossstripling,Stripling,Right,Ross Stripling,5.36,5.59,89.0,108.0,84.0,103.0,0.785,7.08,1.62,10.52,2.02,1.42,0.195,0.39899999999999997,0.15,0.32799999999999996,0.433,83.7,94.0,112.0,113.0,,,,59.0,106.0,96.0,97.0,109.0,106.0,,,,0.26,,0.292,,0.248,-0.38,,0.07,,-2.35,92.5,,87.2,,,0.275,0.274,0.305,0.2,47.0,109.0,88.0,0.092,-0.64,90.3,0.325,119.0,95.0,102.0,83.0,107.0,102.0,0.009000000000000001,0.099,-0.82,1.22,85.6,75.9,,
