,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CH%,wFA/C,wSL/C,wCH/C,vFA,vSL,FF_ba,SL_ba,CH_ba,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CU%,wFC/C,wSI/C,wCU/C,vFC,vSI,vCU,FC_ba,SI_ba,CU_ba,ST_ba
0,2023-07-15,717395,Strikeout,strikeout,True,643217,675911,Andrew Benintendi,Spencer Strider,0,0,0,48eac6e5-a63c-4d20-a831-7a97e773bdd0,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,141.0,106.0,116.0,104.0,103.0,107.0,0.589,0.33799999999999997,0.073,0.4,1.67,0.97,97.2,85.6,0.256,0.154,0.122,,,,,,,,,,,,,,,,,,,,,,
1,2023-07-15,717395,Strikeout,strikeout,True,641313,675911,Tim Anderson,Spencer Strider,0,0,0,c7fc2fa6-e6b2-410b-bd98-61e7f18fca05,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,141.0,106.0,116.0,104.0,103.0,107.0,0.589,0.33799999999999997,0.073,0.4,1.67,0.97,97.2,85.6,0.256,0.154,0.122,,,,,,,,,,,,,,,,,,,,,,
2,2023-07-15,717395,Pop Out,field_out,True,673357,675911,Luis Robert Jr.,Spencer Strider,0,0,0,e47f3f70-90fc-41e4-b397-8037888c2b53,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,141.0,106.0,116.0,104.0,103.0,107.0,0.589,0.33799999999999997,0.073,0.4,1.67,0.97,97.2,85.6,0.256,0.154,0.122,,,,,,,,,,,,,,,,,,,,,,
3,2023-07-15,717395,Lineout,field_out,True,660670,458681,Ronald Acuña Jr.,Lance Lynn,0,0,0,da354e83-3aa3-441f-877e-4889a2660753,458681.0,lancelynn,Lynn,Right,Lance Lynn,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.24100000000000002,0.419,0.17,0.32,0.40299999999999997,84.9,56.0,95.0,90.0,92.0,105.0,104.0,97.0,98.0,106.0,0.43700000000000006,0.063,0.07,-0.4,-3.65,-1.23,92.4,83.0,0.255,0.286,0.302,109.0,97.0,106.0,93.0,95.0,87.0,104.0,105.0,99.0,0.126,0.23,0.07400000000000001,-0.35,1.21,-2.24,88.7,91.4,80.8,0.273,0.239,0.208,
4,2023-07-15,717395,Groundout,field_out,True,645277,458681,Ozzie Albies,Lance Lynn,1,0,0,b6e21abe-3a5a-4131-bd33-706a8b235831,458681.0,lancelynn,Lynn,Right,Lance Lynn,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.24100000000000002,0.419,0.17,0.32,0.40299999999999997,84.9,56.0,95.0,90.0,92.0,105.0,104.0,97.0,98.0,106.0,0.43700000000000006,0.063,0.07,-0.4,-3.65,-1.23,92.4,83.0,0.255,0.286,0.302,109.0,97.0,106.0,93.0,95.0,87.0,104.0,105.0,99.0,0.126,0.23,0.07400000000000001,-0.35,1.21,-2.24,88.7,91.4,80.8,0.273,0.239,0.208,
5,2023-07-15,717395,Strikeout,strikeout,True,663586,458681,Austin Riley,Lance Lynn,0,0,0,095e437c-a91b-4931-a550-4b208e9e37c5,458681.0,lancelynn,Lynn,Right,Lance Lynn,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.24100000000000002,0.419,0.17,0.32,0.40299999999999997,84.9,56.0,95.0,90.0,92.0,105.0,104.0,97.0,98.0,106.0,0.43700000000000006,0.063,0.07,-0.4,-3.65,-1.23,92.4,83.0,0.255,0.286,0.302,109.0,97.0,106.0,93.0,95.0,87.0,104.0,105.0,99.0,0.126,0.23,0.07400000000000001,-0.35,1.21,-2.24,88.7,91.4,80.8,0.273,0.239,0.208,
6,2023-07-15,717395,Strikeout,strikeout,True,650391,675911,Eloy Jiménez,Spencer Strider,0,0,0,e86d30fd-f795-44b3-93b7-8461ef199b2a,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,141.0,106.0,116.0,104.0,103.0,107.0,0.589,0.33799999999999997,0.073,0.4,1.67,0.97,97.2,85.6,0.256,0.154,0.122,,,,,,,,,,,,,,,,,,,,,,
7,2023-07-15,717395,Strikeout,strikeout,True,683734,675911,Andrew Vaughn,Spencer Strider,0,0,0,a337f252-fb61-42fd-be7f-12083e70ece6,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,141.0,106.0,116.0,104.0,103.0,107.0,0.589,0.33799999999999997,0.073,0.4,1.67,0.97,97.2,85.6,0.256,0.154,0.122,,,,,,,,,,,,,,,,,,,,,,
8,2023-07-15,717395,Strikeout,strikeout,True,669394,675911,Jake Burger,Spencer Strider,0,0,0,1a9fe0d6-7d66-4608-82ca-33bd4affc58b,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,141.0,106.0,116.0,104.0,103.0,107.0,0.589,0.33799999999999997,0.073,0.4,1.67,0.97,97.2,85.6,0.256,0.154,0.122,,,,,,,,,,,,,,,,,,,,,,
9,2023-07-15,717395,Strikeout,strikeout,True,621566,458681,Matt Olson,Lance Lynn,0,0,0,74f0eb87-e00a-4d4e-9a8c-63851d0d56d2,458681.0,lancelynn,Lynn,Right,Lance Lynn,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.24100000000000002,0.419,0.17,0.32,0.40299999999999997,84.9,56.0,95.0,90.0,92.0,105.0,104.0,97.0,98.0,106.0,0.43700000000000006,0.063,0.07,-0.4,-3.65,-1.23,92.4,83.0,0.255,0.286,0.302,109.0,97.0,106.0,93.0,95.0,87.0,104.0,105.0,99.0,0.126,0.23,0.07400000000000001,-0.35,1.21,-2.24,88.7,91.4,80.8,0.273,0.239,0.208,
