,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,CH_ba,SL_ba,CU_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,FC_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,ST_ba,FS_ba
0,2023-06-23,717645,Groundout,field_out,True,608701,608337,Rob Refsnyder,Lucas Giolito,0,0,0,8951154f-009f-4725-b43f-8df3e9dcc9ff,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,107.0,105.0,104.0,0.419,0.282,0.015,0.28300000000000003,-0.85,-0.25,-3.72,-0.2,93.1,84.0,77.9,0.262,0.209,0.236,0.5,,,,,,,,,,,,,,,,,,,,,,
1,2023-06-23,717645,Strikeout,strikeout,True,457759,608337,Justin Turner,Lucas Giolito,0,0,0,859db309-0fa4-4429-8a4e-6ad247122189,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,107.0,105.0,104.0,0.419,0.282,0.015,0.28300000000000003,-0.85,-0.25,-3.72,-0.2,93.1,84.0,77.9,0.262,0.209,0.236,0.5,,,,,,,,,,,,,,,,,,,,,,
2,2023-06-23,717645,Single,single,False,807799,608337,Masataka Yoshida,Lucas Giolito,0,0,0,c03e1681-24c5-4642-9d49-ed58bdcb73ce,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,107.0,105.0,104.0,0.419,0.282,0.015,0.28300000000000003,-0.85,-0.25,-3.72,-0.2,93.1,84.0,77.9,0.262,0.209,0.236,0.5,,,,,,,,,,,,,,,,,,,,,,
3,2023-06-23,717645,Flyout,field_out,True,646240,608337,Rafael Devers,Lucas Giolito,1,0,0,865560c8-bff7-4297-8c82-89e253b9f464,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,107.0,105.0,104.0,0.419,0.282,0.015,0.28300000000000003,-0.85,-0.25,-3.72,-0.2,93.1,84.0,77.9,0.262,0.209,0.236,0.5,,,,,,,,,,,,,,,,,,,,,,
4,2023-06-23,717645,Groundout,field_out,True,643217,678394,Andrew Benintendi,Brayan Bello,0,0,0,1d32b659-f1a8-48e0-b52b-82bc54a87e33,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,,,,83.0,102.0,93.0,103.0,94.0,103.0,0.207,0.175,,0.239,-1.91,-1.86,,1.38,95.5,85.3,,0.31,0.196,0.3,,93.0,101.0,98.0,88.0,100.0,88.0,0.364,0.015,-6.73,0.52,89.1,95.0,0.278,0.462,,,,,,,,
5,2023-06-23,717645,Strikeout,strikeout,True,641313,678394,Tim Anderson,Brayan Bello,0,0,0,359dcf2a-8fb3-4a0a-928f-5d31f87ecbbd,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,,,,83.0,102.0,93.0,103.0,94.0,103.0,0.207,0.175,,0.239,-1.91,-1.86,,1.38,95.5,85.3,,0.31,0.196,0.3,,93.0,101.0,98.0,88.0,100.0,88.0,0.364,0.015,-6.73,0.52,89.1,95.0,0.278,0.462,,,,,,,,
6,2023-06-23,717645,Strikeout,strikeout,True,673357,678394,Luis Robert Jr.,Brayan Bello,0,0,0,20c4e5c6-a5d6-4bf7-aeb2-a7411457ca18,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,,,,83.0,102.0,93.0,103.0,94.0,103.0,0.207,0.175,,0.239,-1.91,-1.86,,1.38,95.5,85.3,,0.31,0.196,0.3,,93.0,101.0,98.0,88.0,100.0,88.0,0.364,0.015,-6.73,0.52,89.1,95.0,0.278,0.462,,,,,,,,
7,2023-06-23,717645,Strikeout,strikeout,True,594807,608337,Adam Duvall,Lucas Giolito,0,0,0,83a7b784-af4b-4b63-8985-ba3274dc769a,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,107.0,105.0,104.0,0.419,0.282,0.015,0.28300000000000003,-0.85,-0.25,-3.72,-0.2,93.1,84.0,77.9,0.262,0.209,0.236,0.5,,,,,,,,,,,,,,,,,,,,,,
8,2023-06-23,717645,Strikeout,strikeout,True,657136,608337,Connor Wong,Lucas Giolito,0,0,0,dd3fcff3-db24-4e33-8235-6f609bfbbbd7,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,107.0,105.0,104.0,0.419,0.282,0.015,0.28300000000000003,-0.85,-0.25,-3.72,-0.2,93.1,84.0,77.9,0.262,0.209,0.236,0.5,,,,,,,,,,,,,,,,,,,,,,
9,2023-06-23,717645,Pop Out,field_out,True,624414,608337,Christian Arroyo,Lucas Giolito,0,0,0,8761f443-8fb1-4ce8-a488-3cc78388c94d,608337.0,lucasgiolito,Giolito,Right,Lucas Giolito,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.34299999999999997,0.413,80.9,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,107.0,105.0,104.0,0.419,0.282,0.015,0.28300000000000003,-0.85,-0.25,-3.72,-0.2,93.1,84.0,77.9,0.262,0.209,0.236,0.5,,,,,,,,,,,,,,,,,,,,,,
