,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,CH%,wFA/C,wFS/C,wSL/C,wCU/C,wCH/C,vFA,vFS,vSL,vCU,FF_ba,SL_ba,CH_ba,CU_ba,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,FC_ba,FS_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI_ba,ST_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2023-05-18,718122,Double,double,False,666139,656731,Josh Lowe,Tylor Megill,0,0,0,b8a2f8ba-8417-43c8-ad3e-b76d335b8eb3,656731.0,tylormegill,Megill,Right,Tylor Megill,4.7,5.85,126.1,97.0,90.0,95.0,0.789,7.48,4.13,10.04,1.28,1.25,0.275,0.345,0.12300000000000001,0.32,0.414,87.9,88.0,97.0,98.0,101.0,91.0,96.0,86.0,95.0,89.0,96.0,103.0,106.0,116.0,83.0,118.0,0.557,0.002,0.20600000000000002,0.086,0.149,-0.4,5.58,-1.04,-0.05,-0.09,94.9,86.1,84.4,77.2,0.314,0.264,0.264,0.167,,,,,,,,,,,,,,,,,,,,,,
1,2023-05-18,718122,Single,single,False,668227,656731,Randy Arozarena,Tylor Megill,0,0,1,001f154f-331c-4252-a58a-d2a5484293ba,656731.0,tylormegill,Megill,Right,Tylor Megill,4.7,5.85,126.1,97.0,90.0,95.0,0.789,7.48,4.13,10.04,1.28,1.25,0.275,0.345,0.12300000000000001,0.32,0.414,87.9,88.0,97.0,98.0,101.0,91.0,96.0,86.0,95.0,89.0,96.0,103.0,106.0,116.0,83.0,118.0,0.557,0.002,0.20600000000000002,0.086,0.149,-0.4,5.58,-1.04,-0.05,-0.09,94.9,86.1,84.4,77.2,0.314,0.264,0.264,0.167,,,,,,,,,,,,,,,,,,,,,,
2,2023-05-18,718122,Forceout,force_out,True,623912,656731,Harold Ramírez,Tylor Megill,1,0,1,411164d7-bbcf-48b3-a358-8f8c9062f7f3,656731.0,tylormegill,Megill,Right,Tylor Megill,4.7,5.85,126.1,97.0,90.0,95.0,0.789,7.48,4.13,10.04,1.28,1.25,0.275,0.345,0.12300000000000001,0.32,0.414,87.9,88.0,97.0,98.0,101.0,91.0,96.0,86.0,95.0,89.0,96.0,103.0,106.0,116.0,83.0,118.0,0.557,0.002,0.20600000000000002,0.086,0.149,-0.4,5.58,-1.04,-0.05,-0.09,94.9,86.1,84.4,77.2,0.314,0.264,0.264,0.167,,,,,,,,,,,,,,,,,,,,,,
3,2023-05-18,718122,Grounded Into DP,grounded_into_double_play,True,664040,656731,Brandon Lowe,Tylor Megill,0,0,1,69585d28-c648-4722-9537-afd5b1e2ab98,656731.0,tylormegill,Megill,Right,Tylor Megill,4.7,5.85,126.1,97.0,90.0,95.0,0.789,7.48,4.13,10.04,1.28,1.25,0.275,0.345,0.12300000000000001,0.32,0.414,87.9,88.0,97.0,98.0,101.0,91.0,96.0,86.0,95.0,89.0,96.0,103.0,106.0,116.0,83.0,118.0,0.557,0.002,0.20600000000000002,0.086,0.149,-0.4,5.58,-1.04,-0.05,-0.09,94.9,86.1,84.4,77.2,0.314,0.264,0.264,0.167,,,,,,,,,,,,,,,,,,,,,,
4,2023-05-18,718122,Strikeout,strikeout,True,607043,671737,Brandon Nimmo,Taj Bradley,0,0,0,30cbd515-37a1-4090-be6c-62fec4abce25,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,,,,,88.0,107.0,111.0,131.0,101.0,109.0,,,,,,,0.449,0.136,,0.16699999999999998,,-0.8,0.62,,0.04,,96.1,89.3,,79.0,0.277,,,0.169,106.0,99.0,99.0,0.001,0.248,-1.32,0.0,88.9,97.8,0.312,0.19,,,,,,,,,,,
5,2023-05-18,718122,Walk,walk,False,596019,671737,Francisco Lindor,Taj Bradley,0,0,0,18f9e552-4bf6-4579-9352-2c950c7e3215,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,,,,,88.0,107.0,111.0,131.0,101.0,109.0,,,,,,,0.449,0.136,,0.16699999999999998,,-0.8,0.62,,0.04,,96.1,89.3,,79.0,0.277,,,0.169,106.0,99.0,99.0,0.001,0.248,-1.32,0.0,88.9,97.8,0.312,0.19,,,,,,,,,,,
6,2023-05-18,718122,Single,single,False,643446,671737,Jeff McNeil,Taj Bradley,0,0,1,8ebd48d4-254c-4213-8d8f-7f0f8ac992d9,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,,,,,88.0,107.0,111.0,131.0,101.0,109.0,,,,,,,0.449,0.136,,0.16699999999999998,,-0.8,0.62,,0.04,,96.1,89.3,,79.0,0.277,,,0.169,106.0,99.0,99.0,0.001,0.248,-1.32,0.0,88.9,97.8,0.312,0.19,,,,,,,,,,,
7,2023-05-18,718122,Walk,walk,False,624413,671737,Pete Alonso,Taj Bradley,0,0,0,7c236a3b-1b17-4dd0-9a86-e22164536c00,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,,,,,88.0,107.0,111.0,131.0,101.0,109.0,,,,,,,0.449,0.136,,0.16699999999999998,,-0.8,0.62,,0.04,,96.1,89.3,,79.0,0.277,,,0.169,106.0,99.0,99.0,0.001,0.248,-1.32,0.0,88.9,97.8,0.312,0.19,,,,,,,,,,,
8,2023-05-18,718122,Groundout,field_out,True,683146,671737,Brett Baty,Taj Bradley,0,0,1,c808a525-1f88-4ec7-845f-7d3042a73a51,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,,,,,88.0,107.0,111.0,131.0,101.0,109.0,,,,,,,0.449,0.136,,0.16699999999999998,,-0.8,0.62,,0.04,,96.1,89.3,,79.0,0.277,,,0.169,106.0,99.0,99.0,0.001,0.248,-1.32,0.0,88.9,97.8,0.312,0.19,,,,,,,,,,,
9,2023-05-18,718122,Strikeout,strikeout,True,502054,671737,Tommy Pham,Taj Bradley,0,0,0,f6fef13e-278f-4024-9961-f04648c4ebb4,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,,,,,88.0,107.0,111.0,131.0,101.0,109.0,,,,,,,0.449,0.136,,0.16699999999999998,,-0.8,0.62,,0.04,,96.1,89.3,,79.0,0.277,,,0.169,106.0,99.0,99.0,0.001,0.248,-1.32,0.0,88.9,97.8,0.312,0.19,,,,,,,,,,,
