,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vSI,vSL,FF_ba,SI_ba,SL_ba,CH_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,ST_ba,FC_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CU_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2023-04-04,718706,Double,double,False,621493,622491,Taylor Ward,Luis Castillo,0,0,0,ceb2d55d-2a81-4ade-a795-0c1d75c7e191,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,3.34,3.82,197.0,103.0,96.0,102.0,0.7170000000000001,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.33299999999999996,0.42200000000000004,88.3,83.0,108.0,105.0,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,0.179,0.444,0.221,0.156,1.31,0.6,-0.12,-1.6,96.3,95.9,85.7,0.165,0.239,0.234,0.28,,,,,,,,,,,,,,,,,,,,,
1,2023-04-04,718706,Strikeout,strikeout,True,545361,622491,Mike Trout,Luis Castillo,0,0,0,88c35969-7915-486c-ac36-e1c28340f34e,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,3.34,3.82,197.0,103.0,96.0,102.0,0.7170000000000001,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.33299999999999996,0.42200000000000004,88.3,83.0,108.0,105.0,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,0.179,0.444,0.221,0.156,1.31,0.6,-0.12,-1.6,96.3,95.9,85.7,0.165,0.239,0.234,0.28,,,,,,,,,,,,,,,,,,,,,
2,2023-04-04,718706,Groundout,field_out,True,660271,622491,Shohei Ohtani,Luis Castillo,0,0,1,df537a2e-10ce-4283-89f6-8aa1da4620c7,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,3.34,3.82,197.0,103.0,96.0,102.0,0.7170000000000001,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.33299999999999996,0.42200000000000004,88.3,83.0,108.0,105.0,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,0.179,0.444,0.221,0.156,1.31,0.6,-0.12,-1.6,96.3,95.9,85.7,0.165,0.239,0.234,0.28,,,,,,,,,,,,,,,,,,,,,
3,2023-04-04,718706,Pop Out,field_out,True,592669,622491,Hunter Renfroe,Luis Castillo,1,1,0,b0c7c723-2ee9-487c-9f46-dd1b8557d4ed,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,3.34,3.82,197.0,103.0,96.0,102.0,0.7170000000000001,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.33299999999999996,0.42200000000000004,88.3,83.0,108.0,105.0,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,0.179,0.444,0.221,0.156,1.31,0.6,-0.12,-1.6,96.3,95.9,85.7,0.165,0.239,0.234,0.28,,,,,,,,,,,,,,,,,,,,,
4,2023-04-04,718706,Double,double,False,677594,660761,Julio Rodríguez,José Suarez,1,0,0,d56246d8-22a6-4b8d-a8a2-650cfe66b220,660761.0,josesuarez,"Suarez, J",Left,José Suarez,8.29,6.0,33.2,94.0,92.0,96.0,0.735,7.49,5.35,12.3,2.67,0.69,0.24100000000000002,0.466,0.19,0.319,0.428,82.0,84.0,100.0,103.0,89.0,92.0,89.0,74.0,94.0,82.0,105.0,90.0,103.0,0.052000000000000005,0.39799999999999996,0.267,0.26899999999999996,-0.97,-3.55,-3.72,-2.55,92.3,90.8,81.5,0.273,0.444,0.591,0.31,99.0,68.0,88.0,0.015,0.89,88.1,0.174,0.0,,,,,,,,,,,,,
5,2023-04-04,718706,Flyout,field_out,True,664034,660761,Ty France,José Suarez,0,0,0,08e318d6-92ba-48b6-8b41-96387f1e7994,660761.0,josesuarez,"Suarez, J",Left,José Suarez,8.29,6.0,33.2,94.0,92.0,96.0,0.735,7.49,5.35,12.3,2.67,0.69,0.24100000000000002,0.466,0.19,0.319,0.428,82.0,84.0,100.0,103.0,89.0,92.0,89.0,74.0,94.0,82.0,105.0,90.0,103.0,0.052000000000000005,0.39799999999999996,0.267,0.26899999999999996,-0.97,-3.55,-3.72,-2.55,92.3,90.8,81.5,0.273,0.444,0.591,0.31,99.0,68.0,88.0,0.015,0.89,88.1,0.174,0.0,,,,,,,,,,,,,
6,2023-04-04,718706,Strikeout,strikeout,True,606192,660761,Teoscar Hernández,José Suarez,0,0,0,798908a4-6598-454f-b1d7-d6ca9cacc775,660761.0,josesuarez,"Suarez, J",Left,José Suarez,8.29,6.0,33.2,94.0,92.0,96.0,0.735,7.49,5.35,12.3,2.67,0.69,0.24100000000000002,0.466,0.19,0.319,0.428,82.0,84.0,100.0,103.0,89.0,92.0,89.0,74.0,94.0,82.0,105.0,90.0,103.0,0.052000000000000005,0.39799999999999996,0.267,0.26899999999999996,-0.97,-3.55,-3.72,-2.55,92.3,90.8,81.5,0.273,0.444,0.591,0.31,99.0,68.0,88.0,0.015,0.89,88.1,0.174,0.0,,,,,,,,,,,,,
7,2023-04-04,718706,Field Error,field_error,False,553993,660761,Eugenio Suárez,José Suarez,1,0,1,02769911-3b34-42ac-a955-a404abeb14f8,660761.0,josesuarez,"Suarez, J",Left,José Suarez,8.29,6.0,33.2,94.0,92.0,96.0,0.735,7.49,5.35,12.3,2.67,0.69,0.24100000000000002,0.466,0.19,0.319,0.428,82.0,84.0,100.0,103.0,89.0,92.0,89.0,74.0,94.0,82.0,105.0,90.0,103.0,0.052000000000000005,0.39799999999999996,0.267,0.26899999999999996,-0.97,-3.55,-3.72,-2.55,92.3,90.8,81.5,0.273,0.444,0.591,0.31,99.0,68.0,88.0,0.015,0.89,88.1,0.174,0.0,,,,,,,,,,,,,
8,2023-04-04,718706,Strikeout,strikeout,True,663728,660761,Cal Raleigh,José Suarez,0,0,1,ed101207-a12a-4308-9afc-86935da520c0,660761.0,josesuarez,"Suarez, J",Left,José Suarez,8.29,6.0,33.2,94.0,92.0,96.0,0.735,7.49,5.35,12.3,2.67,0.69,0.24100000000000002,0.466,0.19,0.319,0.428,82.0,84.0,100.0,103.0,89.0,92.0,89.0,74.0,94.0,82.0,105.0,90.0,103.0,0.052000000000000005,0.39799999999999996,0.267,0.26899999999999996,-0.97,-3.55,-3.72,-2.55,92.3,90.8,81.5,0.273,0.444,0.591,0.31,99.0,68.0,88.0,0.015,0.89,88.1,0.174,0.0,,,,,,,,,,,,,
9,2023-04-04,718706,Groundout,field_out,True,571875,622491,Jake Lamb,Luis Castillo,1,0,0,451f6833-f3a6-4d7c-85db-ac07a0d2c8e1,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,3.34,3.82,197.0,103.0,96.0,102.0,0.7170000000000001,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.33299999999999996,0.42200000000000004,88.3,83.0,108.0,105.0,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,0.179,0.444,0.221,0.156,1.31,0.6,-0.12,-1.6,96.3,95.9,85.7,0.165,0.239,0.234,0.28,,,,,,,,,,,,,,,,,,,,,
