,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vSL,vKC,FF_ba,SL_ba,CU_ba,FC_ba,CH_ba,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,wSI/C,wCU/C,vSI,vCU,ST_ba,SI_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
0,2023-04-16,718557,Strikeout,strikeout,True,666397,543037,Edouard Julien,Gerrit Cole,0,0,0,998d2c30-28d9-4f3e-a41e-af3e77e3ee52,543037.0,gerritcole,Cole,Right,Gerrit Cole,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,89.1,72.0,100.0,96.0,125.0,104.0,108.0,136.0,105.0,114.0,114.0,103.0,113.0,107.0,103.0,102.0,0.53,0.07,0.20800000000000002,0.121,0.071,1.66,0.61,1.69,0.94,-0.54,96.7,92.7,89.1,82.9,0.201,0.185,0.215,0.271,0.235,,,,,,,,,,,,,,,,,,,,,
1,2023-04-16,718557,Groundout,field_out,True,621043,543037,Carlos Correa,Gerrit Cole,1,1,0,d2820fef-8dd0-47f0-a4fb-ae8fee356164,543037.0,gerritcole,Cole,Right,Gerrit Cole,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,89.1,72.0,100.0,96.0,125.0,104.0,108.0,136.0,105.0,114.0,114.0,103.0,113.0,107.0,103.0,102.0,0.53,0.07,0.20800000000000002,0.121,0.071,1.66,0.61,1.69,0.94,-0.54,96.7,92.7,89.1,82.9,0.201,0.185,0.215,0.271,0.235,,,,,,,,,,,,,,,,,,,,,
2,2023-04-16,718557,Strikeout,strikeout,True,621439,543037,Byron Buxton,Gerrit Cole,0,0,0,3c3d8e99-7efe-46b2-96a4-a9f0121a7e2f,543037.0,gerritcole,Cole,Right,Gerrit Cole,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,89.1,72.0,100.0,96.0,125.0,104.0,108.0,136.0,105.0,114.0,114.0,103.0,113.0,107.0,103.0,102.0,0.53,0.07,0.20800000000000002,0.121,0.071,1.66,0.61,1.69,0.94,-0.54,96.7,92.7,89.1,82.9,0.201,0.185,0.215,0.271,0.235,,,,,,,,,,,,,,,,,,,,,
3,2023-04-16,718557,Groundout,field_out,True,683011,641154,Anthony Volpe,Pablo López,1,0,0,03dfd509-9e93-41b5-86f0-1bbd9494c975,641154.0,pablolopez,"López, P",Right,Pablo López,3.66,3.0,194.0,107.0,99.0,109.0,0.7170000000000001,10.86,2.23,8.16,1.11,1.25,0.20800000000000002,0.43799999999999994,0.175,0.295,0.428,88.4,90.0,108.0,109.0,100.0,108.0,105.0,111.0,106.0,114.0,,,,,,,0.345,,0.214,,0.21100000000000002,0.1,,1.34,,-0.17,94.9,,84.4,,0.268,,0.202,,0.257,93.0,110.0,114.0,98.0,105.0,104.0,0.106,0.125,2.08,0.25,94.5,82.5,0.173,0.278,,,,,,,
4,2023-04-16,718557,Strikeout,strikeout,True,592450,641154,Aaron Judge,Pablo López,0,0,0,4fc7ce45-9dcb-4595-a5da-db62bacdcdaa,641154.0,pablolopez,"López, P",Right,Pablo López,3.66,3.0,194.0,107.0,99.0,109.0,0.7170000000000001,10.86,2.23,8.16,1.11,1.25,0.20800000000000002,0.43799999999999994,0.175,0.295,0.428,88.4,90.0,108.0,109.0,100.0,108.0,105.0,111.0,106.0,114.0,,,,,,,0.345,,0.214,,0.21100000000000002,0.1,,1.34,,-0.17,94.9,,84.4,,0.268,,0.202,,0.257,93.0,110.0,114.0,98.0,105.0,104.0,0.106,0.125,2.08,0.25,94.5,82.5,0.173,0.278,,,,,,,
5,2023-04-16,718557,Single,single,False,519203,641154,Anthony Rizzo,Pablo López,0,0,0,5c0af6d4-4e78-4ce5-ba3f-0cef657c00b8,641154.0,pablolopez,"López, P",Right,Pablo López,3.66,3.0,194.0,107.0,99.0,109.0,0.7170000000000001,10.86,2.23,8.16,1.11,1.25,0.20800000000000002,0.43799999999999994,0.175,0.295,0.428,88.4,90.0,108.0,109.0,100.0,108.0,105.0,111.0,106.0,114.0,,,,,,,0.345,,0.214,,0.21100000000000002,0.1,,1.34,,-0.17,94.9,,84.4,,0.268,,0.202,,0.257,93.0,110.0,114.0,98.0,105.0,104.0,0.106,0.125,2.08,0.25,94.5,82.5,0.173,0.278,,,,,,,
6,2023-04-16,718557,Single,single,False,650402,641154,Gleyber Torres,Pablo López,1,0,1,d4247b9b-405b-482b-8403-302733dab5b0,641154.0,pablolopez,"López, P",Right,Pablo López,3.66,3.0,194.0,107.0,99.0,109.0,0.7170000000000001,10.86,2.23,8.16,1.11,1.25,0.20800000000000002,0.43799999999999994,0.175,0.295,0.428,88.4,90.0,108.0,109.0,100.0,108.0,105.0,111.0,106.0,114.0,,,,,,,0.345,,0.214,,0.21100000000000002,0.1,,1.34,,-0.17,94.9,,84.4,,0.268,,0.202,,0.257,93.0,110.0,114.0,98.0,105.0,104.0,0.106,0.125,2.08,0.25,94.5,82.5,0.173,0.278,,,,,,,
7,2023-04-16,718557,Strikeout,strikeout,True,518934,641154,DJ LeMahieu,Pablo López,0,0,0,58507181-628b-476f-8006-e163c29434ec,641154.0,pablolopez,"López, P",Right,Pablo López,3.66,3.0,194.0,107.0,99.0,109.0,0.7170000000000001,10.86,2.23,8.16,1.11,1.25,0.20800000000000002,0.43799999999999994,0.175,0.295,0.428,88.4,90.0,108.0,109.0,100.0,108.0,105.0,111.0,106.0,114.0,,,,,,,0.345,,0.214,,0.21100000000000002,0.1,,1.34,,-0.17,94.9,,84.4,,0.268,,0.202,,0.257,93.0,110.0,114.0,98.0,105.0,104.0,0.106,0.125,2.08,0.25,94.5,82.5,0.173,0.278,,,,,,,
8,2023-04-16,718557,Walk,walk,False,663616,543037,Trevor Larnach,Gerrit Cole,0,0,0,394a33b4-d595-4308-a39c-625477ee6078,543037.0,gerritcole,Cole,Right,Gerrit Cole,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,89.1,72.0,100.0,96.0,125.0,104.0,108.0,136.0,105.0,114.0,114.0,103.0,113.0,107.0,103.0,102.0,0.53,0.07,0.20800000000000002,0.121,0.071,1.66,0.61,1.69,0.94,-0.54,96.7,92.7,89.1,82.9,0.201,0.185,0.215,0.271,0.235,,,,,,,,,,,,,,,,,,,,,
9,2023-04-16,718557,Grounded Into DP,grounded_into_double_play,True,669304,543037,Jose Miranda,Gerrit Cole,0,0,1,96c5083e-903d-431f-aed6-9be887dd9a20,543037.0,gerritcole,Cole,Right,Gerrit Cole,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,89.1,72.0,100.0,96.0,125.0,104.0,108.0,136.0,105.0,114.0,114.0,103.0,113.0,107.0,103.0,102.0,0.53,0.07,0.20800000000000002,0.121,0.071,1.66,0.61,1.69,0.94,-0.54,96.7,92.7,89.1,82.9,0.201,0.185,0.215,0.271,0.235,,,,,,,,,,,,,,,,,,,,,
