,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,SL_ba,FF_ba,CU_ba,SI_ba,CH_ba,ST_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba
0,2023-08-11,717046,Walk,walk,False,670770,670912,TJ Friedl,Johan Oviedo,1,0,0,b9884cd2-0100-4c62-af86-0dfdfe110255,670912.0,johanoviedo,Oviedo,Right,Johan Oviedo,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.23399999999999999,0.408,0.16399999999999998,0.316,0.41100000000000003,88.1,75.0,84.0,82.0,87.0,97.0,101.0,83.0,93.0,87.0,100.0,93.0,92.0,103.0,98.0,104.0,0.05,0.392,0.36700000000000005,0.149,0.040999999999999995,-1.25,0.93,0.8,0.82,-0.07,95.8,95.7,88.2,80.9,0.21,0.277,0.193,0.276,0.25,,,,,,,,
1,2023-08-11,717046,Single,single,False,680574,670912,Matt McLain,Johan Oviedo,0,0,1,dfaf8369-812e-4b69-a085-62d25f373e72,670912.0,johanoviedo,Oviedo,Right,Johan Oviedo,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.23399999999999999,0.408,0.16399999999999998,0.316,0.41100000000000003,88.1,75.0,84.0,82.0,87.0,97.0,101.0,83.0,93.0,87.0,100.0,93.0,92.0,103.0,98.0,104.0,0.05,0.392,0.36700000000000005,0.149,0.040999999999999995,-1.25,0.93,0.8,0.82,-0.07,95.8,95.7,88.2,80.9,0.21,0.277,0.193,0.276,0.25,,,,,,,,
2,2023-08-11,717046,Triple,triple,False,682829,670912,Elly De La Cruz,Johan Oviedo,0,0,1,54ce5c1d-8f14-4b8e-94ce-38c9f00eef79,670912.0,johanoviedo,Oviedo,Right,Johan Oviedo,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.23399999999999999,0.408,0.16399999999999998,0.316,0.41100000000000003,88.1,75.0,84.0,82.0,87.0,97.0,101.0,83.0,93.0,87.0,100.0,93.0,92.0,103.0,98.0,104.0,0.05,0.392,0.36700000000000005,0.149,0.040999999999999995,-1.25,0.93,0.8,0.82,-0.07,95.8,95.7,88.2,80.9,0.21,0.277,0.193,0.276,0.25,,,,,,,,
3,2023-08-11,717046,Double,double,False,668715,670912,Spencer Steer,Johan Oviedo,1,0,1,84f71a5f-7671-4eb1-bee6-df5b4785057c,670912.0,johanoviedo,Oviedo,Right,Johan Oviedo,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.23399999999999999,0.408,0.16399999999999998,0.316,0.41100000000000003,88.1,75.0,84.0,82.0,87.0,97.0,101.0,83.0,93.0,87.0,100.0,93.0,92.0,103.0,98.0,104.0,0.05,0.392,0.36700000000000005,0.149,0.040999999999999995,-1.25,0.93,0.8,0.82,-0.07,95.8,95.7,88.2,80.9,0.21,0.277,0.193,0.276,0.25,,,,,,,,
4,2023-08-11,717046,Lineout,field_out,True,458015,670912,Joey Votto,Johan Oviedo,1,0,0,6394e2bc-6d57-4092-b27e-36911f9f5a18,670912.0,johanoviedo,Oviedo,Right,Johan Oviedo,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.23399999999999999,0.408,0.16399999999999998,0.316,0.41100000000000003,88.1,75.0,84.0,82.0,87.0,97.0,101.0,83.0,93.0,87.0,100.0,93.0,92.0,103.0,98.0,104.0,0.05,0.392,0.36700000000000005,0.149,0.040999999999999995,-1.25,0.93,0.8,0.82,-0.07,95.8,95.7,88.2,80.9,0.21,0.277,0.193,0.276,0.25,,,,,,,,
5,2023-08-11,717046,Strikeout,strikeout,True,687952,670912,Christian Encarnacion-Strand,Johan Oviedo,0,0,0,8ced02f0-fb71-4f08-9ea8-ba022ed96b0d,670912.0,johanoviedo,Oviedo,Right,Johan Oviedo,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.23399999999999999,0.408,0.16399999999999998,0.316,0.41100000000000003,88.1,75.0,84.0,82.0,87.0,97.0,101.0,83.0,93.0,87.0,100.0,93.0,92.0,103.0,98.0,104.0,0.05,0.392,0.36700000000000005,0.149,0.040999999999999995,-1.25,0.93,0.8,0.82,-0.07,95.8,95.7,88.2,80.9,0.21,0.277,0.193,0.276,0.25,,,,,,,,
6,2023-08-11,717046,Groundout,field_out,True,656413,670912,Stuart Fairchild,Johan Oviedo,1,1,1,45e30ebf-54c6-42fc-b958-de2b42285c3f,670912.0,johanoviedo,Oviedo,Right,Johan Oviedo,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.23399999999999999,0.408,0.16399999999999998,0.316,0.41100000000000003,88.1,75.0,84.0,82.0,87.0,97.0,101.0,83.0,93.0,87.0,100.0,93.0,92.0,103.0,98.0,104.0,0.05,0.392,0.36700000000000005,0.149,0.040999999999999995,-1.25,0.93,0.8,0.82,-0.07,95.8,95.7,88.2,80.9,0.21,0.277,0.193,0.276,0.25,,,,,,,,
7,2023-08-11,717046,Pop Out,field_out,True,663647,671096,Ke'Bryan Hayes,Andrew Abbott,0,0,0,1dd67403-4390-4f03-be0f-86a1b707b0d4,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,3.87,3.93,109.1,101.0,87.0,97.0,0.765,9.88,3.62,8.23,1.32,0.55,0.255,0.381,0.133,0.34700000000000003,0.40399999999999997,86.6,72.0,96.0,91.0,99.0,103.0,103.0,81.0,99.0,91.0,,,,106.0,107.0,113.0,,0.501,0.165,0.171,0.163,-0.02,,1.61,-2.27,0.99,92.7,,82.9,80.9,,0.249,0.367,,0.203,0.174,,,,,,,
8,2023-08-11,717046,Flyout,field_out,True,668804,671096,Bryan Reynolds,Andrew Abbott,1,0,0,c3a07c7b-76bb-4a5c-a95e-f2fded77889e,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,3.87,3.93,109.1,101.0,87.0,97.0,0.765,9.88,3.62,8.23,1.32,0.55,0.255,0.381,0.133,0.34700000000000003,0.40399999999999997,86.6,72.0,96.0,91.0,99.0,103.0,103.0,81.0,99.0,91.0,,,,106.0,107.0,113.0,,0.501,0.165,0.171,0.163,-0.02,,1.61,-2.27,0.99,92.7,,82.9,80.9,,0.249,0.367,,0.203,0.174,,,,,,,
9,2023-08-11,717046,Strikeout,strikeout,True,457705,671096,Andrew McCutchen,Andrew Abbott,0,0,0,6db9ca72-f1d4-47f0-a5df-7d37bf81be1e,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,3.87,3.93,109.1,101.0,87.0,97.0,0.765,9.88,3.62,8.23,1.32,0.55,0.255,0.381,0.133,0.34700000000000003,0.40399999999999997,86.6,72.0,96.0,91.0,99.0,103.0,103.0,81.0,99.0,91.0,,,,106.0,107.0,113.0,,0.501,0.165,0.171,0.163,-0.02,,1.61,-2.27,0.99,92.7,,82.9,80.9,,0.249,0.367,,0.203,0.174,,,,,,,
