,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FS_ba,SL_ba,CU_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vSI,CH_ba,SI_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba
0,2023-07-07,717456,Groundout,field_out,True,660271,664062,Shohei Ohtani,Tony Gonsolin,1,0,0,7d48a19f-c018-4dc1-a270-4dd5459063be,664062.0,tonygonsolin,Gonsolin,Right,Tony Gonsolin,4.98,5.89,103.0,97.0,97.0,98.0,0.8029999999999999,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.38799999999999996,107.0,83.0,90.0,80.0,99.0,91.0,90.0,103.0,108.0,120.0,98.0,106.0,0.395,0.272,0.183,0.151,1.42,0.21,-0.82,-2.12,92.4,83.0,86.8,80.9,0.221,0.181,0.268,0.313,,,,,,,,,,,,,,,,,,,,,
1,2023-07-07,717456,Flyout,field_out,True,621493,664062,Taylor Ward,Tony Gonsolin,0,0,0,d41ce634-0e52-45a5-b50a-a59fa1972dcf,664062.0,tonygonsolin,Gonsolin,Right,Tony Gonsolin,4.98,5.89,103.0,97.0,97.0,98.0,0.8029999999999999,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.38799999999999996,107.0,83.0,90.0,80.0,99.0,91.0,90.0,103.0,108.0,120.0,98.0,106.0,0.395,0.272,0.183,0.151,1.42,0.21,-0.82,-2.12,92.4,83.0,86.8,80.9,0.221,0.181,0.268,0.313,,,,,,,,,,,,,,,,,,,,,
2,2023-07-07,717456,Pop Out,field_out,True,666160,664062,Mickey Moniak,Tony Gonsolin,0,0,0,7f488374-b6a2-4713-b3d5-111fc270f2de,664062.0,tonygonsolin,Gonsolin,Right,Tony Gonsolin,4.98,5.89,103.0,97.0,97.0,98.0,0.8029999999999999,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.38799999999999996,107.0,83.0,90.0,80.0,99.0,91.0,90.0,103.0,108.0,120.0,98.0,106.0,0.395,0.272,0.183,0.151,1.42,0.21,-0.82,-2.12,92.4,83.0,86.8,80.9,0.221,0.181,0.268,0.313,,,,,,,,,,,,,,,,,,,,,
3,2023-07-07,717456,Flyout,field_out,True,605141,656288,Mookie Betts,Griffin Canning,0,0,0,a84ab1b9-31ea-45bd-a387-c53da25756b4,656288.0,griffincanning,Canning,Right,Griffin Canning,4.32,4.01,127.0,102.0,96.0,101.0,0.7340000000000001,9.85,2.55,8.57,1.56,1.1,0.239,0.41,0.129,0.382,0.442,91.0,98.0,103.0,78.0,101.0,93.0,124.0,105.0,110.0,,,,0.348,,0.299,0.134,-0.21,,0.1,-0.53,94.7,,88.4,81.8,0.235,,0.261,0.271,90.2,89.0,101.0,101.0,81.0,95.0,86.0,0.006,0.213,-8.61,1.6,95.0,0.213,0.333,,,,,,,
4,2023-07-07,717456,Home Run,home_run,False,518692,656288,Freddie Freeman,Griffin Canning,0,0,0,f98133a5-ce5c-4fa0-8d47-3463e41ede47,656288.0,griffincanning,Canning,Right,Griffin Canning,4.32,4.01,127.0,102.0,96.0,101.0,0.7340000000000001,9.85,2.55,8.57,1.56,1.1,0.239,0.41,0.129,0.382,0.442,91.0,98.0,103.0,78.0,101.0,93.0,124.0,105.0,110.0,,,,0.348,,0.299,0.134,-0.21,,0.1,-0.53,94.7,,88.4,81.8,0.235,,0.261,0.271,90.2,89.0,101.0,101.0,81.0,95.0,86.0,0.006,0.213,-8.61,1.6,95.0,0.213,0.333,,,,,,,
5,2023-07-07,717456,Groundout,field_out,True,669257,656288,Will Smith,Griffin Canning,1,0,0,b6821e25-4216-4f1f-a8f2-3550f002c67f,656288.0,griffincanning,Canning,Right,Griffin Canning,4.32,4.01,127.0,102.0,96.0,101.0,0.7340000000000001,9.85,2.55,8.57,1.56,1.1,0.239,0.41,0.129,0.382,0.442,91.0,98.0,103.0,78.0,101.0,93.0,124.0,105.0,110.0,,,,0.348,,0.299,0.134,-0.21,,0.1,-0.53,94.7,,88.4,81.8,0.235,,0.261,0.271,90.2,89.0,101.0,101.0,81.0,95.0,86.0,0.006,0.213,-8.61,1.6,95.0,0.213,0.333,,,,,,,
6,2023-07-07,717456,Flyout,field_out,True,571970,656288,Max Muncy,Griffin Canning,1,0,0,1428cb35-a0f7-4847-a379-a60e0beec3d0,656288.0,griffincanning,Canning,Right,Griffin Canning,4.32,4.01,127.0,102.0,96.0,101.0,0.7340000000000001,9.85,2.55,8.57,1.56,1.1,0.239,0.41,0.129,0.382,0.442,91.0,98.0,103.0,78.0,101.0,93.0,124.0,105.0,110.0,,,,0.348,,0.299,0.134,-0.21,,0.1,-0.53,94.7,,88.4,81.8,0.235,,0.261,0.271,90.2,89.0,101.0,101.0,81.0,95.0,86.0,0.006,0.213,-8.61,1.6,95.0,0.213,0.333,,,,,,,
7,2023-07-07,717456,Strikeout,strikeout,True,500871,664062,Eduardo Escobar,Tony Gonsolin,0,0,0,eacf19d9-0f71-42b8-9c3f-c5e689a8b24c,664062.0,tonygonsolin,Gonsolin,Right,Tony Gonsolin,4.98,5.89,103.0,97.0,97.0,98.0,0.8029999999999999,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.38799999999999996,107.0,83.0,90.0,80.0,99.0,91.0,90.0,103.0,108.0,120.0,98.0,106.0,0.395,0.272,0.183,0.151,1.42,0.21,-0.82,-2.12,92.4,83.0,86.8,80.9,0.221,0.181,0.268,0.313,,,,,,,,,,,,,,,,,,,,,
8,2023-07-07,717456,Pop Out,field_out,True,666176,664062,Jo Adell,Tony Gonsolin,0,0,0,517a50a2-6d0f-44d4-9ad5-8c8d16d2e4b5,664062.0,tonygonsolin,Gonsolin,Right,Tony Gonsolin,4.98,5.89,103.0,97.0,97.0,98.0,0.8029999999999999,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.38799999999999996,107.0,83.0,90.0,80.0,99.0,91.0,90.0,103.0,108.0,120.0,98.0,106.0,0.395,0.272,0.183,0.151,1.42,0.21,-0.82,-2.12,92.4,83.0,86.8,80.9,0.221,0.181,0.268,0.313,,,,,,,,,,,,,,,,,,,,,
9,2023-07-07,717456,Pop Out,field_out,True,519058,664062,Mike Moustakas,Tony Gonsolin,0,0,0,eb652f83-58bf-4256-a81b-23f4ea75b379,664062.0,tonygonsolin,Gonsolin,Right,Tony Gonsolin,4.98,5.89,103.0,97.0,97.0,98.0,0.8029999999999999,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.38799999999999996,107.0,83.0,90.0,80.0,99.0,91.0,90.0,103.0,108.0,120.0,98.0,106.0,0.395,0.272,0.183,0.151,1.42,0.21,-0.82,-2.12,92.4,83.0,86.8,80.9,0.221,0.181,0.268,0.313,,,,,,,,,,,,,,,,,,,,,
