,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,SL_ba,CH_ba,CU_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,FC_ba,ST_ba
0,2023-07-22,717302,Pop Out,field_out,True,656941,676440,Kyle Schwarber,Tanner Bibee,0,0,0,fe1c5e15-97f6-4161-ac4c-381cdc690d6a,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,110.0,106.0,115.0,0.47100000000000003,0.27,0.09300000000000001,0.166,0.6,1.35,-1.11,1.07,94.9,84.7,78.3,0.243,0.206,0.213,0.271,,,,,,,,,,,,,,,
1,2023-07-22,717302,Single,single,False,607208,676440,Trea Turner,Tanner Bibee,1,0,0,64891848-3947-4fb4-9320-5a3f75cfd8c9,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,110.0,106.0,115.0,0.47100000000000003,0.27,0.09300000000000001,0.166,0.6,1.35,-1.11,1.07,94.9,84.7,78.3,0.243,0.206,0.213,0.271,,,,,,,,,,,,,,,
2,2023-07-22,717302,Flyout,field_out,True,592206,676440,Nick Castellanos,Tanner Bibee,1,1,0,597d778b-bb68-4ad6-b88b-06c88ef791f1,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,110.0,106.0,115.0,0.47100000000000003,0.27,0.09300000000000001,0.166,0.6,1.35,-1.11,1.07,94.9,84.7,78.3,0.243,0.206,0.213,0.271,,,,,,,,,,,,,,,
3,2023-07-22,717302,Flyout,field_out,True,547180,676440,Bryce Harper,Tanner Bibee,1,0,0,60007c16-252f-4fa1-bccd-574178c744c6,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,110.0,106.0,115.0,0.47100000000000003,0.27,0.09300000000000001,0.166,0.6,1.35,-1.11,1.07,94.9,84.7,78.3,0.243,0.206,0.213,0.271,,,,,,,,,,,,,,,
4,2023-07-22,717302,Lineout,field_out,True,680757,554430,Steven Kwan,Zack Wheeler,0,0,0,9fe0fef3-13d1-44fe-92e5-c03161680bdb,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.27899999999999997,0.38,0.214,0.313,0.42100000000000004,90.8,48.0,106.0,77.0,116.0,105.0,114.0,112.0,109.0,114.0,107.0,101.0,111.0,0.435,0.12300000000000001,0.115,0.004,1.69,0.36,-1.61,-6.22,95.8,84.4,81.4,0.199,,,0.264,105.0,105.0,107.0,96.0,102.0,102.0,0.18,0.14400000000000002,-0.63,1.62,90.9,95.2,0.252,0.27,0.198
5,2023-07-22,717302,Groundout,field_out,True,642708,554430,Amed Rosario,Zack Wheeler,1,0,0,ce5f43ff-f924-48bb-9cf4-29afbb794c47,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.27899999999999997,0.38,0.214,0.313,0.42100000000000004,90.8,48.0,106.0,77.0,116.0,105.0,114.0,112.0,109.0,114.0,107.0,101.0,111.0,0.435,0.12300000000000001,0.115,0.004,1.69,0.36,-1.61,-6.22,95.8,84.4,81.4,0.199,,,0.264,105.0,105.0,107.0,96.0,102.0,102.0,0.18,0.14400000000000002,-0.63,1.62,90.9,95.2,0.252,0.27,0.198
6,2023-07-22,717302,Strikeout,strikeout,True,608070,554430,José Ramírez,Zack Wheeler,0,0,0,9865538a-b351-4532-95e0-dcaeef21b79b,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.27899999999999997,0.38,0.214,0.313,0.42100000000000004,90.8,48.0,106.0,77.0,116.0,105.0,114.0,112.0,109.0,114.0,107.0,101.0,111.0,0.435,0.12300000000000001,0.115,0.004,1.69,0.36,-1.61,-6.22,95.8,84.4,81.4,0.199,,,0.264,105.0,105.0,107.0,96.0,102.0,102.0,0.18,0.14400000000000002,-0.63,1.62,90.9,95.2,0.252,0.27,0.198
7,2023-07-22,717302,Hit By Pitch,hit_by_pitch,False,592663,676440,J.T. Realmuto,Tanner Bibee,0,0,0,9e97a24c-f5ef-45fd-8a21-ccdbb4e150c7,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,110.0,106.0,115.0,0.47100000000000003,0.27,0.09300000000000001,0.166,0.6,1.35,-1.11,1.07,94.9,84.7,78.3,0.243,0.206,0.213,0.271,,,,,,,,,,,,,,,
8,2023-07-22,717302,Forceout,force_out,True,681082,676440,Bryson Stott,Tanner Bibee,1,0,1,c7ee3e24-c6aa-423f-b09e-57e5384f89ae,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,110.0,106.0,115.0,0.47100000000000003,0.27,0.09300000000000001,0.166,0.6,1.35,-1.11,1.07,94.9,84.7,78.3,0.243,0.206,0.213,0.271,,,,,,,,,,,,,,,
9,2023-07-22,717302,Strikeout,strikeout,True,664761,676440,Alec Bohm,Tanner Bibee,0,0,0,67ab8a11-78fc-432e-abda-1b0de6766fba,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,110.0,106.0,115.0,0.47100000000000003,0.27,0.09300000000000001,0.166,0.6,1.35,-1.11,1.07,94.9,84.7,78.3,0.243,0.206,0.213,0.271,,,,,,,,,,,,,,,
