,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vSI,vSL,vKC,FF_ba,CH_ba,SL_ba,SI_ba,CU_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2023-07-24,718558,Strikeout,strikeout,True,596103,669373,Austin Slater,Tarik Skubal,0,0,0,cba3cfce-8779-4269-945f-231df6dca4f0,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,2.8,2.3,80.1,106.0,97.0,107.0,0.716,11.43,1.57,6.5,0.45,1.64,0.209,0.435,0.168,0.272,0.455,84.3,93.0,102.0,114.0,94.0,112.0,103.0,98.0,109.0,105.0,114.0,104.0,109.0,81.0,90.0,93.0,0.122,0.36,0.207,0.068,0.244,2.49,2.7,-0.49,0.54,3.25,95.8,95.9,87.6,76.4,0.206,0.167,0.224,0.229,0.143,,,,,,,,,,,,,,,,,,,
1,2023-07-24,718558,Groundout,field_out,True,527038,669373,Wilmer Flores,Tarik Skubal,1,0,0,f11297eb-6ac5-4923-967e-480bb89e2a54,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,2.8,2.3,80.1,106.0,97.0,107.0,0.716,11.43,1.57,6.5,0.45,1.64,0.209,0.435,0.168,0.272,0.455,84.3,93.0,102.0,114.0,94.0,112.0,103.0,98.0,109.0,105.0,114.0,104.0,109.0,81.0,90.0,93.0,0.122,0.36,0.207,0.068,0.244,2.49,2.7,-0.49,0.54,3.25,95.8,95.9,87.6,76.4,0.206,0.167,0.224,0.229,0.143,,,,,,,,,,,,,,,,,,,
2,2023-07-24,718558,Strikeout,strikeout,True,605204,669373,J.D. Davis,Tarik Skubal,0,0,0,1fda94a4-97fc-4cf1-86f3-d167e7ebb512,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,2.8,2.3,80.1,106.0,97.0,107.0,0.716,11.43,1.57,6.5,0.45,1.64,0.209,0.435,0.168,0.272,0.455,84.3,93.0,102.0,114.0,94.0,112.0,103.0,98.0,109.0,105.0,114.0,104.0,109.0,81.0,90.0,93.0,0.122,0.36,0.207,0.068,0.244,2.49,2.7,-0.49,0.54,3.25,95.8,95.9,87.6,76.4,0.206,0.167,0.224,0.229,0.143,,,,,,,,,,,,,,,,,,,
3,2023-07-24,718558,Groundout,field_out,True,656716,548389,Zach McKinstry,Ross Stripling,0,0,0,a5594a50-4a8a-4894-bc6a-c3da4e59c588,548389.0,rossstripling,Stripling,Right,Ross Stripling,5.36,5.59,89.0,108.0,84.0,103.0,0.785,7.08,1.62,10.52,2.02,1.42,0.195,0.39899999999999997,0.15,0.32799999999999996,0.433,83.7,94.0,112.0,113.0,59.0,106.0,96.0,47.0,109.0,88.0,97.0,109.0,106.0,119.0,95.0,102.0,0.092,0.26,0.292,0.099,0.248,-0.38,-0.64,0.07,1.22,-2.35,92.5,90.3,87.2,75.9,0.275,0.305,0.274,0.325,0.2,83.0,107.0,102.0,0.009000000000000001,-0.82,85.6,,,,,,,,,,,,,
4,2023-07-24,718558,Double,double,False,682985,548389,Riley Greene,Ross Stripling,1,0,0,1d30749d-4abf-465e-9449-b535bf20b95c,548389.0,rossstripling,Stripling,Right,Ross Stripling,5.36,5.59,89.0,108.0,84.0,103.0,0.785,7.08,1.62,10.52,2.02,1.42,0.195,0.39899999999999997,0.15,0.32799999999999996,0.433,83.7,94.0,112.0,113.0,59.0,106.0,96.0,47.0,109.0,88.0,97.0,109.0,106.0,119.0,95.0,102.0,0.092,0.26,0.292,0.099,0.248,-0.38,-0.64,0.07,1.22,-2.35,92.5,90.3,87.2,75.9,0.275,0.305,0.274,0.325,0.2,83.0,107.0,102.0,0.009000000000000001,-0.82,85.6,,,,,,,,,,,,,
5,2023-07-24,718558,Single,single,False,679529,548389,Spencer Torkelson,Ross Stripling,0,0,1,1b2722d9-04fc-4a2c-b838-5c1085cbac66,548389.0,rossstripling,Stripling,Right,Ross Stripling,5.36,5.59,89.0,108.0,84.0,103.0,0.785,7.08,1.62,10.52,2.02,1.42,0.195,0.39899999999999997,0.15,0.32799999999999996,0.433,83.7,94.0,112.0,113.0,59.0,106.0,96.0,47.0,109.0,88.0,97.0,109.0,106.0,119.0,95.0,102.0,0.092,0.26,0.292,0.099,0.248,-0.38,-0.64,0.07,1.22,-2.35,92.5,90.3,87.2,75.9,0.275,0.305,0.274,0.325,0.2,83.0,107.0,102.0,0.009000000000000001,-0.82,85.6,,,,,,,,,,,,,
6,2023-07-24,718558,Strikeout,strikeout,True,681481,548389,Kerry Carpenter,Ross Stripling,0,0,0,1726257d-78ca-4c84-8b3d-62c0d066ea02,548389.0,rossstripling,Stripling,Right,Ross Stripling,5.36,5.59,89.0,108.0,84.0,103.0,0.785,7.08,1.62,10.52,2.02,1.42,0.195,0.39899999999999997,0.15,0.32799999999999996,0.433,83.7,94.0,112.0,113.0,59.0,106.0,96.0,47.0,109.0,88.0,97.0,109.0,106.0,119.0,95.0,102.0,0.092,0.26,0.292,0.099,0.248,-0.38,-0.64,0.07,1.22,-2.35,92.5,90.3,87.2,75.9,0.275,0.305,0.274,0.325,0.2,83.0,107.0,102.0,0.009000000000000001,-0.82,85.6,,,,,,,,,,,,,
7,2023-07-24,718558,Groundout,field_out,True,628451,548389,Andy Ibáñez,Ross Stripling,0,0,0,1a20e830-ef94-4a43-be31-3dd8cff07d8a,548389.0,rossstripling,Stripling,Right,Ross Stripling,5.36,5.59,89.0,108.0,84.0,103.0,0.785,7.08,1.62,10.52,2.02,1.42,0.195,0.39899999999999997,0.15,0.32799999999999996,0.433,83.7,94.0,112.0,113.0,59.0,106.0,96.0,47.0,109.0,88.0,97.0,109.0,106.0,119.0,95.0,102.0,0.092,0.26,0.292,0.099,0.248,-0.38,-0.64,0.07,1.22,-2.35,92.5,90.3,87.2,75.9,0.275,0.305,0.274,0.325,0.2,83.0,107.0,102.0,0.009000000000000001,-0.82,85.6,,,,,,,,,,,,,
8,2023-07-24,718558,Strikeout,strikeout,True,672275,669373,Patrick Bailey,Tarik Skubal,0,0,0,a0375eae-2a17-45b6-aea3-a5e890fc3b1f,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,2.8,2.3,80.1,106.0,97.0,107.0,0.716,11.43,1.57,6.5,0.45,1.64,0.209,0.435,0.168,0.272,0.455,84.3,93.0,102.0,114.0,94.0,112.0,103.0,98.0,109.0,105.0,114.0,104.0,109.0,81.0,90.0,93.0,0.122,0.36,0.207,0.068,0.244,2.49,2.7,-0.49,0.54,3.25,95.8,95.9,87.6,76.4,0.206,0.167,0.224,0.229,0.143,,,,,,,,,,,,,,,,,,,
9,2023-07-24,718558,Single,single,False,682641,669373,Luis Matos,Tarik Skubal,0,0,0,e7c5fe5f-0af0-42e0-8eea-12c008f5e362,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,2.8,2.3,80.1,106.0,97.0,107.0,0.716,11.43,1.57,6.5,0.45,1.64,0.209,0.435,0.168,0.272,0.455,84.3,93.0,102.0,114.0,94.0,112.0,103.0,98.0,109.0,105.0,114.0,104.0,109.0,81.0,90.0,93.0,0.122,0.36,0.207,0.068,0.244,2.49,2.7,-0.49,0.54,3.25,95.8,95.9,87.6,76.4,0.206,0.167,0.224,0.229,0.143,,,,,,,,,,,,,,,,,,,
