,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,wFA/C,wSI/C,wSL/C,vFA,vSI,vSL,SI_ba,SL_ba,FF_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCU,CH_ba,CU_ba,ST_ba,FS%,wFS/C,vFS,FS_ba
0,2023-08-27,716827,Flyout,field_out,True,682928,608638,CJ Abrams,JT Chargois,0,0,0,070946b0-47da-411c-934e-16755074d233,608638.0,jtchargois,Chargois,Right,JT Chargois,3.61,3.63,42.1,99.0,108.0,102.0,0.8029999999999999,7.44,3.83,7.44,0.64,1.81,0.244,0.395,0.193,0.27699999999999997,0.413,83.0,92.0,92.0,104.0,98.0,96.0,118.0,101.0,111.0,0.506,0.078,0.415,0.34,1.23,0.1,95.8,96.3,86.3,0.25,0.206,0.286,,,,,,,,,,,,,,,,,,,
1,2023-08-27,716827,Strikeout,strikeout,True,657041,608638,Lane Thomas,JT Chargois,0,0,0,2eed7a17-d406-458a-9924-cd40c8bd0727,608638.0,jtchargois,Chargois,Right,JT Chargois,3.61,3.63,42.1,99.0,108.0,102.0,0.8029999999999999,7.44,3.83,7.44,0.64,1.81,0.244,0.395,0.193,0.27699999999999997,0.413,83.0,92.0,92.0,104.0,98.0,96.0,118.0,101.0,111.0,0.506,0.078,0.415,0.34,1.23,0.1,95.8,96.3,86.3,0.25,0.206,0.286,,,,,,,,,,,,,,,,,,,
2,2023-08-27,716827,Single,single,False,608841,608638,Joey Meneses,JT Chargois,0,0,0,de089c47-de54-430f-abd4-988d5017aadb,608638.0,jtchargois,Chargois,Right,JT Chargois,3.61,3.63,42.1,99.0,108.0,102.0,0.8029999999999999,7.44,3.83,7.44,0.64,1.81,0.244,0.395,0.193,0.27699999999999997,0.413,83.0,92.0,92.0,104.0,98.0,96.0,118.0,101.0,111.0,0.506,0.078,0.415,0.34,1.23,0.1,95.8,96.3,86.3,0.25,0.206,0.286,,,,,,,,,,,,,,,,,,,
3,2023-08-27,716827,Lineout,field_out,True,642086,608638,Dominic Smith,JT Chargois,0,0,0,96fd01a0-c0a6-4324-8ed0-03fccea0c306,608638.0,jtchargois,Chargois,Right,JT Chargois,3.61,3.63,42.1,99.0,108.0,102.0,0.8029999999999999,7.44,3.83,7.44,0.64,1.81,0.244,0.395,0.193,0.27699999999999997,0.413,83.0,92.0,92.0,104.0,98.0,96.0,118.0,101.0,111.0,0.506,0.078,0.415,0.34,1.23,0.1,95.8,96.3,86.3,0.25,0.206,0.286,,,,,,,,,,,,,,,,,,,
4,2023-08-27,716827,Groundout,field_out,True,650333,592866,Luis Arraez,Trevor Williams,0,0,0,760a7f31-9cbe-4e5d-9ba6-82c411704215,592866.0,trevorwilliams,Williams,Right,Trevor Williams,5.55,5.66,144.1,104.0,81.0,96.0,0.831,6.92,3.3,11.1,2.12,0.96,0.253,0.4,0.163,0.32899999999999996,0.387,80.0,107.0,96.0,91.0,100.0,95.0,94.0,114.0,103.0,0.146,0.433,0.182,-0.77,-0.45,-1.7,89.7,88.2,80.9,0.325,0.314,0.283,83.3,68.0,105.0,96.0,97.0,95.0,95.0,0.069,0.171,-1.93,-2.25,76.7,0.315,0.314,0.313,,,,
5,2023-08-27,716827,Double,double,False,624585,592866,Jorge Soler,Trevor Williams,0,0,0,2f848a65-4161-439a-a697-ff44b3fe507d,592866.0,trevorwilliams,Williams,Right,Trevor Williams,5.55,5.66,144.1,104.0,81.0,96.0,0.831,6.92,3.3,11.1,2.12,0.96,0.253,0.4,0.163,0.32899999999999996,0.387,80.0,107.0,96.0,91.0,100.0,95.0,94.0,114.0,103.0,0.146,0.433,0.182,-0.77,-0.45,-1.7,89.7,88.2,80.9,0.325,0.314,0.283,83.3,68.0,105.0,96.0,97.0,95.0,95.0,0.069,0.171,-1.93,-2.25,76.7,0.315,0.314,0.313,,,,
6,2023-08-27,716827,Pop Out,field_out,True,605137,592866,Josh Bell,Trevor Williams,0,0,0,b819b01d-38c6-4fa2-a29c-bd0c63172683,592866.0,trevorwilliams,Williams,Right,Trevor Williams,5.55,5.66,144.1,104.0,81.0,96.0,0.831,6.92,3.3,11.1,2.12,0.96,0.253,0.4,0.163,0.32899999999999996,0.387,80.0,107.0,96.0,91.0,100.0,95.0,94.0,114.0,103.0,0.146,0.433,0.182,-0.77,-0.45,-1.7,89.7,88.2,80.9,0.325,0.314,0.283,83.3,68.0,105.0,96.0,97.0,95.0,95.0,0.069,0.171,-1.93,-2.25,76.7,0.315,0.314,0.313,,,,
7,2023-08-27,716827,Strikeout,strikeout,True,665862,592866,Jazz Chisholm Jr.,Trevor Williams,0,0,0,e64795b2-55c1-4b03-a97a-b69dd23e3082,592866.0,trevorwilliams,Williams,Right,Trevor Williams,5.55,5.66,144.1,104.0,81.0,96.0,0.831,6.92,3.3,11.1,2.12,0.96,0.253,0.4,0.163,0.32899999999999996,0.387,80.0,107.0,96.0,91.0,100.0,95.0,94.0,114.0,103.0,0.146,0.433,0.182,-0.77,-0.45,-1.7,89.7,88.2,80.9,0.325,0.314,0.283,83.3,68.0,105.0,96.0,97.0,95.0,95.0,0.069,0.171,-1.93,-2.25,76.7,0.315,0.314,0.313,,,,
8,2023-08-27,716827,Strikeout,strikeout,True,666198,663773,Carter Kieboom,Bryan Hoeing,0,0,0,9838c180-2949-4d53-88f5-9af357b929e7,663773.0,bryanhoeing,Hoeing,Right,Bryan Hoeing,5.48,5.3,70.2,101.0,97.0,100.0,0.805,6.75,3.18,9.04,1.66,1.17,0.268,0.35700000000000004,0.121,0.335,0.395,80.0,97.0,87.0,106.0,100.0,99.0,97.0,104.0,108.0,0.526,0.08900000000000001,0.318,-2.17,-0.76,0.98,93.9,94.1,83.2,0.275,0.179,0.333,87.2,41.0,99.0,76.0,,,,,0.026000000000000002,,-5.28,,0.6,,,0.042,-5.4,84.9,0.333
9,2023-08-27,716827,Single,single,False,666906,663773,Jake Alu,Bryan Hoeing,0,0,0,213e05f0-f802-4539-b9cd-38fa0a889746,663773.0,bryanhoeing,Hoeing,Right,Bryan Hoeing,5.48,5.3,70.2,101.0,97.0,100.0,0.805,6.75,3.18,9.04,1.66,1.17,0.268,0.35700000000000004,0.121,0.335,0.395,80.0,97.0,87.0,106.0,100.0,99.0,97.0,104.0,108.0,0.526,0.08900000000000001,0.318,-2.17,-0.76,0.98,93.9,94.1,83.2,0.275,0.179,0.333,87.2,41.0,99.0,76.0,,,,,0.026000000000000002,,-5.28,,0.6,,,0.042,-5.4,84.9,0.333
