,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,SL_ba,SI_ba,CU_ba,FF_ba,CH_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
13,2023-05-27,718003,Double,double,False,657656,664285,Ramón Laureano,Framber Valdez,1,0,0,0323af46-6ceb-413e-8f2d-ae76b8550e8f,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.46799999999999997,0.001,0.087,0.253,0.157,-16.35,0.93,-0.32,1.07,0.73,95.7,95.3,84.7,80.2,0.189,0.274,0.158,,0.231,99.0,99.0,95.0,0.034,0.45,89.1,0.182,,,,,,,,
14,2023-05-27,718003,Groundout,field_out,True,542583,664285,Jesús Aguilar,Framber Valdez,0,0,0,c1673713-3a67-48d2-b62a-185afbd02d3b,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.46799999999999997,0.001,0.087,0.253,0.157,-16.35,0.93,-0.32,1.07,0.73,95.7,95.3,84.7,80.2,0.189,0.274,0.158,,0.231,99.0,99.0,95.0,0.034,0.45,89.1,0.182,,,,,,,,
15,2023-05-27,718003,Sac Fly,sac_fly,True,649557,664285,Aledmys Díaz,Framber Valdez,0,0,1,7a606bb8-2eac-4efd-8b83-859ca3cdaaad,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.46799999999999997,0.001,0.087,0.253,0.157,-16.35,0.93,-0.32,1.07,0.73,95.7,95.3,84.7,80.2,0.189,0.274,0.158,,0.231,99.0,99.0,95.0,0.034,0.45,89.1,0.182,,,,,,,,
16,2023-05-27,718003,Groundout,field_out,True,669127,664285,Shea Langeliers,Framber Valdez,0,0,0,7092a490-5580-43ef-8cc4-3455bc624ef8,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.46799999999999997,0.001,0.087,0.253,0.157,-16.35,0.93,-0.32,1.07,0.73,95.7,95.3,84.7,80.2,0.189,0.274,0.158,,0.231,99.0,99.0,95.0,0.034,0.45,89.1,0.182,,,,,,,,
17,2023-05-27,718003,Groundout,field_out,True,665161,663687,Jeremy Peña,Hogan Harris,1,0,0,9c200b23-f620-4034-92dd-bca62919c151,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,7.14,5.13,63.0,98.0,82.0,94.0,0.804,8.0,4.0,9.57,1.43,0.9,0.306,0.35700000000000004,0.184,0.316,0.496,80.1,75.0,93.0,96.0,69.0,92.0,89.0,84.0,98.0,92.0,,,,,,,,0.47,0.078,0.06,0.203,-0.58,,-2.5,-1.37,0.61,92.6,,77.4,74.9,0.278,,0.3,0.25,0.205,87.0,104.0,98.0,0.188,-1.58,90.5,0.351,,,,,,,,
18,2023-05-27,718003,Flyout,field_out,True,670541,663687,Yordan Alvarez,Hogan Harris,0,0,0,d400d9f1-078b-45c4-bb81-614d88e3f49b,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,7.14,5.13,63.0,98.0,82.0,94.0,0.804,8.0,4.0,9.57,1.43,0.9,0.306,0.35700000000000004,0.184,0.316,0.496,80.1,75.0,93.0,96.0,69.0,92.0,89.0,84.0,98.0,92.0,,,,,,,,0.47,0.078,0.06,0.203,-0.58,,-2.5,-1.37,0.61,92.6,,77.4,74.9,0.278,,0.3,0.25,0.205,87.0,104.0,98.0,0.188,-1.58,90.5,0.351,,,,,,,,
19,2023-05-27,718003,Flyout,field_out,True,608324,663687,Alex Bregman,Hogan Harris,1,0,0,35511287-a9a9-4960-abb8-8ea4698ed7a5,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,7.14,5.13,63.0,98.0,82.0,94.0,0.804,8.0,4.0,9.57,1.43,0.9,0.306,0.35700000000000004,0.184,0.316,0.496,80.1,75.0,93.0,96.0,69.0,92.0,89.0,84.0,98.0,92.0,,,,,,,,0.47,0.078,0.06,0.203,-0.58,,-2.5,-1.37,0.61,92.6,,77.4,74.9,0.278,,0.3,0.25,0.205,87.0,104.0,98.0,0.188,-1.58,90.5,0.351,,,,,,,,
20,2023-05-27,718003,Walk,walk,False,643393,664285,Tony Kemp,Framber Valdez,1,0,0,b40fc3ac-02f0-4f97-ae9b-38e8cc24f09a,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.46799999999999997,0.001,0.087,0.253,0.157,-16.35,0.93,-0.32,1.07,0.73,95.7,95.3,84.7,80.2,0.189,0.274,0.158,,0.231,99.0,99.0,95.0,0.034,0.45,89.1,0.182,,,,,,,,
21,2023-05-27,718003,Single,single,False,669397,664285,Nick Allen,Framber Valdez,0,0,1,24aa44f0-7e03-4e45-b8d8-6961b2f6bc96,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.46799999999999997,0.001,0.087,0.253,0.157,-16.35,0.93,-0.32,1.07,0.73,95.7,95.3,84.7,80.2,0.189,0.274,0.158,,0.231,99.0,99.0,95.0,0.034,0.45,89.1,0.182,,,,,,,,
22,2023-05-27,718003,Strikeout,strikeout,True,665923,664285,Esteury Ruiz,Framber Valdez,0,0,0,d1772388-d8c7-4202-8dbc-555450c0b17a,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.46799999999999997,0.001,0.087,0.253,0.157,-16.35,0.93,-0.32,1.07,0.73,95.7,95.3,84.7,80.2,0.189,0.274,0.158,,0.231,99.0,99.0,95.0,0.034,0.45,89.1,0.182,,,,,,,,
