,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vSI,vSL,vKC,FF_ba,CU_ba,CH_ba,FC_ba,SL_ba,SI_ba,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,CU%,wFS/C,wCU/C,vFS,vCU,FS_ba
0,2023-06-16,717739,Single,single,False,680757,668678,Steven Kwan,Zac Gallen,1,1,0,1d167b1e-e9e4-46bb-8dac-5d5c27380ae2,668678.0,zacgallen,Gallen,Right,Zac Gallen,3.47,4.16,210.0,104.0,106.0,107.0,0.7609999999999999,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,86.8,86.0,107.0,114.0,104.0,104.0,106.0,97.0,95.0,92.0,105.0,116.0,112.0,121.0,104.0,112.0,106.0,99.0,94.0,0.006999999999999999,0.491,0.092,0.045,0.22699999999999998,0.139,1.59,-2.24,-3.38,0.34,0.46,1.05,93.6,90.2,93.0,87.4,82.5,0.238,0.21,0.21,0.352,0.25,0.286,,,,,,,,,,,,,
1,2023-06-16,717739,Grounded Into DP,grounded_into_double_play,True,642708,668678,Amed Rosario,Zac Gallen,1,0,1,27127a0e-8115-4976-84f0-4f1bead3daba,668678.0,zacgallen,Gallen,Right,Zac Gallen,3.47,4.16,210.0,104.0,106.0,107.0,0.7609999999999999,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,86.8,86.0,107.0,114.0,104.0,104.0,106.0,97.0,95.0,92.0,105.0,116.0,112.0,121.0,104.0,112.0,106.0,99.0,94.0,0.006999999999999999,0.491,0.092,0.045,0.22699999999999998,0.139,1.59,-2.24,-3.38,0.34,0.46,1.05,93.6,90.2,93.0,87.4,82.5,0.238,0.21,0.21,0.352,0.25,0.286,,,,,,,,,,,,,
2,2023-06-16,717739,Lineout,field_out,True,608070,668678,José Ramírez,Zac Gallen,0,0,0,e4ed670e-4181-4936-9a3c-fbcc73687f45,668678.0,zacgallen,Gallen,Right,Zac Gallen,3.47,4.16,210.0,104.0,106.0,107.0,0.7609999999999999,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,86.8,86.0,107.0,114.0,104.0,104.0,106.0,97.0,95.0,92.0,105.0,116.0,112.0,121.0,104.0,112.0,106.0,99.0,94.0,0.006999999999999999,0.491,0.092,0.045,0.22699999999999998,0.139,1.59,-2.24,-3.38,0.34,0.46,1.05,93.6,90.2,93.0,87.4,82.5,0.238,0.21,0.21,0.352,0.25,0.286,,,,,,,,,,,,,
3,2023-06-16,717739,Groundout,field_out,True,656976,657053,Pavin Smith,Touki Toussaint,1,0,0,4c698dae-15ac-42d2-ac3f-e53322e79ae2,657053.0,toukitoussaint,Toussaint,Right,Touki Toussaint,4.97,5.37,87.0,94.0,95.0,93.0,0.769,8.79,5.9,7.14,1.03,1.6,0.179,0.47700000000000004,0.106,0.315,0.366,,,,,79.0,87.0,79.0,94.0,94.0,89.0,88.0,112.0,117.0,,,,,,,0.265,0.235,,0.023,,,-1.46,,0.33,-6.26,,,93.6,,92.9,86.6,,0.294,0.115,,,0.333,0.3,108.0,99.0,104.0,96.0,96.0,99.0,0.18899999999999997,0.28800000000000003,-0.3,1.81,87.5,76.1,0.188
4,2023-06-16,717739,Walk,walk,False,606466,657053,Ketel Marte,Touki Toussaint,1,0,0,0c32e8b5-875b-461d-8a1e-4736cea87b56,657053.0,toukitoussaint,Toussaint,Right,Touki Toussaint,4.97,5.37,87.0,94.0,95.0,93.0,0.769,8.79,5.9,7.14,1.03,1.6,0.179,0.47700000000000004,0.106,0.315,0.366,,,,,79.0,87.0,79.0,94.0,94.0,89.0,88.0,112.0,117.0,,,,,,,0.265,0.235,,0.023,,,-1.46,,0.33,-6.26,,,93.6,,92.9,86.6,,0.294,0.115,,,0.333,0.3,108.0,99.0,104.0,96.0,96.0,99.0,0.18899999999999997,0.28800000000000003,-0.3,1.81,87.5,76.1,0.188
5,2023-06-16,717739,Strikeout,strikeout,True,682998,657053,Corbin Carroll,Touki Toussaint,0,0,0,252fe0ad-42f3-4304-ad14-469de23aa724,657053.0,toukitoussaint,Toussaint,Right,Touki Toussaint,4.97,5.37,87.0,94.0,95.0,93.0,0.769,8.79,5.9,7.14,1.03,1.6,0.179,0.47700000000000004,0.106,0.315,0.366,,,,,79.0,87.0,79.0,94.0,94.0,89.0,88.0,112.0,117.0,,,,,,,0.265,0.235,,0.023,,,-1.46,,0.33,-6.26,,,93.6,,92.9,86.6,,0.294,0.115,,,0.333,0.3,108.0,99.0,104.0,96.0,96.0,99.0,0.18899999999999997,0.28800000000000003,-0.3,1.81,87.5,76.1,0.188
6,2023-06-16,717739,Double,double,False,572233,657053,Christian Walker,Touki Toussaint,0,0,1,25820e53-e3ca-415c-8617-d2f72a8b251b,657053.0,toukitoussaint,Toussaint,Right,Touki Toussaint,4.97,5.37,87.0,94.0,95.0,93.0,0.769,8.79,5.9,7.14,1.03,1.6,0.179,0.47700000000000004,0.106,0.315,0.366,,,,,79.0,87.0,79.0,94.0,94.0,89.0,88.0,112.0,117.0,,,,,,,0.265,0.235,,0.023,,,-1.46,,0.33,-6.26,,,93.6,,92.9,86.6,,0.294,0.115,,,0.333,0.3,108.0,99.0,104.0,96.0,96.0,99.0,0.18899999999999997,0.28800000000000003,-0.3,1.81,87.5,76.1,0.188
7,2023-06-16,717739,Groundout,field_out,True,666971,657053,Lourdes Gurriel Jr.,Touki Toussaint,1,0,0,36c9fae1-b5f4-4c15-9710-55b42c436099,657053.0,toukitoussaint,Toussaint,Right,Touki Toussaint,4.97,5.37,87.0,94.0,95.0,93.0,0.769,8.79,5.9,7.14,1.03,1.6,0.179,0.47700000000000004,0.106,0.315,0.366,,,,,79.0,87.0,79.0,94.0,94.0,89.0,88.0,112.0,117.0,,,,,,,0.265,0.235,,0.023,,,-1.46,,0.33,-6.26,,,93.6,,92.9,86.6,,0.294,0.115,,,0.333,0.3,108.0,99.0,104.0,96.0,96.0,99.0,0.18899999999999997,0.28800000000000003,-0.3,1.81,87.5,76.1,0.188
8,2023-06-16,717739,Strikeout,strikeout,True,647304,668678,Josh Naylor,Zac Gallen,0,0,0,0aa7b133-658f-45e7-abfd-b2f05c687e8c,668678.0,zacgallen,Gallen,Right,Zac Gallen,3.47,4.16,210.0,104.0,106.0,107.0,0.7609999999999999,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,86.8,86.0,107.0,114.0,104.0,104.0,106.0,97.0,95.0,92.0,105.0,116.0,112.0,121.0,104.0,112.0,106.0,99.0,94.0,0.006999999999999999,0.491,0.092,0.045,0.22699999999999998,0.139,1.59,-2.24,-3.38,0.34,0.46,1.05,93.6,90.2,93.0,87.4,82.5,0.238,0.21,0.21,0.352,0.25,0.286,,,,,,,,,,,,,
9,2023-06-16,717739,Groundout,field_out,True,605137,668678,Josh Bell,Zac Gallen,0,0,0,ddd91305-fa19-438a-9f16-9df17adf6d03,668678.0,zacgallen,Gallen,Right,Zac Gallen,3.47,4.16,210.0,104.0,106.0,107.0,0.7609999999999999,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,86.8,86.0,107.0,114.0,104.0,104.0,106.0,97.0,95.0,92.0,105.0,116.0,112.0,121.0,104.0,112.0,106.0,99.0,94.0,0.006999999999999999,0.491,0.092,0.045,0.22699999999999998,0.139,1.59,-2.24,-3.38,0.34,0.46,1.05,93.6,90.2,93.0,87.4,82.5,0.238,0.21,0.21,0.352,0.25,0.286,,,,,,,,,,,,,
