,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vSL,FF_ba,ST_ba,CH_ba,FC_ba,SL_ba,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,wSI/C,wCU/C,vSI,vCU,SI_ba,CU_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
0,2023-08-04,717132,Groundout,field_out,True,641313,671106,Tim Anderson,Logan Allen,1,1,0,bd8e0bab-88e6-4087-bb3a-ec734bd11b27,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,0.213,-0.12,-2.1,-0.74,1.49,91.4,86.3,79.3,0.257,0.263,0.191,0.462,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-08-04,717132,Lineout,field_out,True,643217,671106,Andrew Benintendi,Logan Allen,0,0,0,72228104-07dd-4e58-b302-5e0e7d342fef,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,0.213,-0.12,-2.1,-0.74,1.49,91.4,86.3,79.3,0.257,0.263,0.191,0.462,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-08-04,717132,Lineout,field_out,True,673357,671106,Luis Robert Jr.,Logan Allen,0,0,0,1f9d999c-2b3a-4b2f-8cb4-676771dbcded,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,0.213,-0.12,-2.1,-0.74,1.49,91.4,86.3,79.3,0.257,0.263,0.191,0.462,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-08-04,717132,Flyout,field_out,True,680757,605182,Steven Kwan,Mike Clevinger,0,0,0,edb72c95-02ef-41a3-8b18-0bdfd4b16613,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,101.0,103.0,100.0,113.0,97.0,104.0,90.0,100.0,100.0,0.479,0.08199999999999999,0.271,0.128,-0.21,-0.07,0.5,1.69,94.3,84.9,79.4,0.283,,0.175,0.256,0.203,80.0,96.0,97.0,91.0,100.0,90.0,0.024,0.016,1.47,0.55,93.1,76.0,0.2,0.167,,,,,,,,,,,,,
4,2023-08-04,717132,Double,double,False,665926,605182,Andrés Giménez,Mike Clevinger,1,1,0,0e82973f-4bd0-45ad-ae6e-345c6c94e064,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,101.0,103.0,100.0,113.0,97.0,104.0,90.0,100.0,100.0,0.479,0.08199999999999999,0.271,0.128,-0.21,-0.07,0.5,1.69,94.3,84.9,79.4,0.283,,0.175,0.256,0.203,80.0,96.0,97.0,91.0,100.0,90.0,0.024,0.016,1.47,0.55,93.1,76.0,0.2,0.167,,,,,,,,,,,,,
5,2023-08-04,717132,Single,single,False,608070,605182,José Ramírez,Mike Clevinger,0,0,1,b9b083a1-23c6-4ee1-a398-89d4ebeb3c38,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,101.0,103.0,100.0,113.0,97.0,104.0,90.0,100.0,100.0,0.479,0.08199999999999999,0.271,0.128,-0.21,-0.07,0.5,1.69,94.3,84.9,79.4,0.283,,0.175,0.256,0.203,80.0,96.0,97.0,91.0,100.0,90.0,0.024,0.016,1.47,0.55,93.1,76.0,0.2,0.167,,,,,,,,,,,,,
6,2023-08-04,717132,Single,single,False,660757,605182,Oscar Gonzalez,Mike Clevinger,0,0,1,d066c370-29de-4255-9d90-6a991d0cf6e4,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,101.0,103.0,100.0,113.0,97.0,104.0,90.0,100.0,100.0,0.479,0.08199999999999999,0.271,0.128,-0.21,-0.07,0.5,1.69,94.3,84.9,79.4,0.283,,0.175,0.256,0.203,80.0,96.0,97.0,91.0,100.0,90.0,0.024,0.016,1.47,0.55,93.1,76.0,0.2,0.167,,,,,,,,,,,,,
7,2023-08-04,717132,Pop Out,field_out,True,686823,605182,Will Brennan,Mike Clevinger,0,0,0,3799bb76-8195-4fb0-a6c7-a9b396a5b49b,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,101.0,103.0,100.0,113.0,97.0,104.0,90.0,100.0,100.0,0.479,0.08199999999999999,0.271,0.128,-0.21,-0.07,0.5,1.69,94.3,84.9,79.4,0.283,,0.175,0.256,0.203,80.0,96.0,97.0,91.0,100.0,90.0,0.024,0.016,1.47,0.55,93.1,76.0,0.2,0.167,,,,,,,,,,,,,
8,2023-08-04,717132,Flyout,field_out,True,681807,605182,David Fry,Mike Clevinger,1,0,0,18f4e52d-a2c5-47aa-b575-39e25690ec79,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,101.0,103.0,100.0,113.0,97.0,104.0,90.0,100.0,100.0,0.479,0.08199999999999999,0.271,0.128,-0.21,-0.07,0.5,1.69,94.3,84.9,79.4,0.283,,0.175,0.256,0.203,80.0,96.0,97.0,91.0,100.0,90.0,0.024,0.016,1.47,0.55,93.1,76.0,0.2,0.167,,,,,,,,,,,,,
9,2023-08-04,717132,Single,single,False,683734,671106,Andrew Vaughn,Logan Allen,0,0,0,6c65b5e8-24bd-44a7-b15e-59ae1a1a21ab,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,0.213,-0.12,-2.1,-0.74,1.49,91.4,86.3,79.3,0.257,0.263,0.191,0.462,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
