,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,CU_ba,CH_ba,SL_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,ST_ba
0,2023-09-19,716516,Strikeout,strikeout,True,678662,605483,Ezequiel Tovar,Blake Snell,0,0,0,fa9b1991-efcb-41ba-ae7c-6094db62a79c,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.198,0.184,0.07,0.68,2.55,2.65,95.5,88.4,81.0,0.255,0.079,0.185,0.123,,,,,,,,,,,,,,
1,2023-09-19,716516,Strikeout,strikeout,True,663898,605483,Brendan Rodgers,Blake Snell,0,0,0,7f17b24c-7b3d-4649-9ede-4a30569f55a0,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.198,0.184,0.07,0.68,2.55,2.65,95.5,88.4,81.0,0.255,0.079,0.185,0.123,,,,,,,,,,,,,,
2,2023-09-19,716516,Strikeout,strikeout,True,592178,605483,Kris Bryant,Blake Snell,0,0,0,552bae73-6cca-455e-9d77-598e1cea7604,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.198,0.184,0.07,0.68,2.55,2.65,95.5,88.4,81.0,0.255,0.079,0.185,0.123,,,,,,,,,,,,,,
3,2023-09-19,716516,Groundout,field_out,True,593428,663372,Xander Bogaerts,Ryan Feltner,1,1,0,32c3ef8d-3f31-423d-b04f-005d88935eab,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,5.82,4.64,43.1,101.0,96.0,100.0,0.81,7.89,5.82,9.35,0.42,1.29,0.24100000000000002,0.331,0.188,0.248,0.44799999999999995,84.1,93.0,90.0,96.0,91.0,110.0,117.0,96.0,100.0,93.0,95.0,106.0,105.0,0.278,0.313,0.08900000000000001,0.147,-0.01,1.27,-2.31,2.91,94.8,88.6,79.7,0.25,0.333,0.08,0.178,103.0,99.0,95.0,0.17300000000000001,-4.88,94.3,0.475,,,,,,,
4,2023-09-19,716516,Strikeout,strikeout,True,665487,663372,Fernando Tatis Jr.,Ryan Feltner,0,0,0,470de599-0097-4b2c-80ff-4079d0ec6a06,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,5.82,4.64,43.1,101.0,96.0,100.0,0.81,7.89,5.82,9.35,0.42,1.29,0.24100000000000002,0.331,0.188,0.248,0.44799999999999995,84.1,93.0,90.0,96.0,91.0,110.0,117.0,96.0,100.0,93.0,95.0,106.0,105.0,0.278,0.313,0.08900000000000001,0.147,-0.01,1.27,-2.31,2.91,94.8,88.6,79.7,0.25,0.333,0.08,0.178,103.0,99.0,95.0,0.17300000000000001,-4.88,94.3,0.475,,,,,,,
5,2023-09-19,716516,Groundout,field_out,True,665742,663372,Juan Soto,Ryan Feltner,1,1,0,387f34c6-3433-4b73-b273-b14e9a4f15d4,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,5.82,4.64,43.1,101.0,96.0,100.0,0.81,7.89,5.82,9.35,0.42,1.29,0.24100000000000002,0.331,0.188,0.248,0.44799999999999995,84.1,93.0,90.0,96.0,91.0,110.0,117.0,96.0,100.0,93.0,95.0,106.0,105.0,0.278,0.313,0.08900000000000001,0.147,-0.01,1.27,-2.31,2.91,94.8,88.6,79.7,0.25,0.333,0.08,0.178,103.0,99.0,95.0,0.17300000000000001,-4.88,94.3,0.475,,,,,,,
6,2023-09-19,716516,Walk,walk,False,666134,605483,Nolan Jones,Blake Snell,1,0,0,316bdcb2-09e7-4257-991e-0e16972a9abd,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.198,0.184,0.07,0.68,2.55,2.65,95.5,88.4,81.0,0.255,0.079,0.185,0.123,,,,,,,,,,,,,,
7,2023-09-19,716516,Walk,walk,False,553869,605483,Elias Díaz,Blake Snell,1,0,1,e94f2147-2c2c-4cc5-83cc-0216714cc949,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.198,0.184,0.07,0.68,2.55,2.65,95.5,88.4,81.0,0.255,0.079,0.185,0.123,,,,,,,,,,,,,,
8,2023-09-19,716516,Strikeout,strikeout,True,660707,605483,Elehuris Montero,Blake Snell,0,0,0,1e7ba46d-2fc0-4c7f-a5b8-05cff56b9941,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.198,0.184,0.07,0.68,2.55,2.65,95.5,88.4,81.0,0.255,0.079,0.185,0.123,,,,,,,,,,,,,,
9,2023-09-19,716516,Strikeout,strikeout,True,696100,605483,Hunter Goodman,Blake Snell,0,0,0,ce234a9a-2585-4c68-a231-8aa7f06bde75,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.198,0.184,0.07,0.68,2.55,2.65,95.5,88.4,81.0,0.255,0.079,0.185,0.123,,,,,,,,,,,,,,
10,2023-09-19,716516,Groundout,field_out,True,676701,605483,Alan Trejo,Blake Snell,1,1,1,ccd300a2-7793-4c0d-a9a0-a8cfe44cb7d9,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.198,0.184,0.07,0.68,2.55,2.65,95.5,88.4,81.0,0.255,0.079,0.185,0.123,,,,,,,,,,,,,,
11,2023-09-19,716516,Single,single,False,669134,663372,Luis Campusano,Ryan Feltner,0,0,0,4fa6b86c-001f-4970-aa49-77270d31c7db,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,5.82,4.64,43.1,101.0,96.0,100.0,0.81,7.89,5.82,9.35,0.42,1.29,0.24100000000000002,0.331,0.188,0.248,0.44799999999999995,84.1,93.0,90.0,96.0,91.0,110.0,117.0,96.0,100.0,93.0,95.0,106.0,105.0,0.278,0.313,0.08900000000000001,0.147,-0.01,1.27,-2.31,2.91,94.8,88.6,79.7,0.25,0.333,0.08,0.178,103.0,99.0,95.0,0.17300000000000001,-4.88,94.3,0.475,,,,,,,
