,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vSL,vKC,FF_ba,CH_ba,SL_ba,FC_ba,CU_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,ST_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,Stf+ KC,Loc+ KC,Pit+ KC
0,2023-09-16,716560,Strikeout,strikeout,True,514888,666142,Jose Altuve,Cole Ragans,0,0,0,aca42c27-cd4f-4592-9f5a-07c4ce6f6410,666142.0,coleragans,Ragans,Left,Cole Ragans,3.47,3.33,96.0,99.0,101.0,101.0,0.713,10.59,3.84,6.56,0.66,1.21,0.284,0.364,0.17800000000000002,0.284,0.409,86.6,90.0,97.0,103.0,108.0,100.0,100.0,126.0,114.0,125.0,89.0,92.0,87.0,0.401,0.134,0.10400000000000001,0.124,0.237,0.24,1.47,2.79,-0.05,2.84,96.5,91.8,86.6,81.8,0.234,0.152,0.18,0.27,0.194,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-09-16,716560,Groundout,field_out,True,608324,666142,Alex Bregman,Cole Ragans,1,0,0,ff765f76-6981-4c68-8db7-91d2e8259bd4,666142.0,coleragans,Ragans,Left,Cole Ragans,3.47,3.33,96.0,99.0,101.0,101.0,0.713,10.59,3.84,6.56,0.66,1.21,0.284,0.364,0.17800000000000002,0.284,0.409,86.6,90.0,97.0,103.0,108.0,100.0,100.0,126.0,114.0,125.0,89.0,92.0,87.0,0.401,0.134,0.10400000000000001,0.124,0.237,0.24,1.47,2.79,-0.05,2.84,96.5,91.8,86.6,81.8,0.234,0.152,0.18,0.27,0.194,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-09-16,716560,Strikeout,strikeout,True,670541,666142,Yordan Alvarez,Cole Ragans,0,0,0,a4243e53-5e05-42e5-829a-9c074b022e24,666142.0,coleragans,Ragans,Left,Cole Ragans,3.47,3.33,96.0,99.0,101.0,101.0,0.713,10.59,3.84,6.56,0.66,1.21,0.284,0.364,0.17800000000000002,0.284,0.409,86.6,90.0,97.0,103.0,108.0,100.0,100.0,126.0,114.0,125.0,89.0,92.0,87.0,0.401,0.134,0.10400000000000001,0.124,0.237,0.24,1.47,2.79,-0.05,2.84,96.5,91.8,86.6,81.8,0.234,0.152,0.18,0.27,0.194,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-09-16,716560,Walk,walk,False,672580,641585,Maikel Garcia,J.P. France,1,0,0,600ddbc8-aa29-4842-b5db-1f1ee64f409a,641585.0,jpfrance,"France, J",Right,J.P. France,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.45399999999999996,81.8,75.0,102.0,112.0,101.0,97.0,98.0,109.0,99.0,105.0,116.0,108.0,103.0,0.431,0.18899999999999997,0.091,,0.152,-0.26,0.33,-2.09,,2.51,93.0,86.8,80.1,,0.308,0.183,,0.317,0.145,116.0,98.0,100.0,0.13699999999999998,0.16,76.0,0.25,,,,,,,,,,,,,,,,,
4,2023-09-16,716560,Single,single,False,677951,641585,Bobby Witt Jr.,J.P. France,1,0,1,732648f4-c5c0-4c13-94c2-8dec8194af2a,641585.0,jpfrance,"France, J",Right,J.P. France,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.45399999999999996,81.8,75.0,102.0,112.0,101.0,97.0,98.0,109.0,99.0,105.0,116.0,108.0,103.0,0.431,0.18899999999999997,0.091,,0.152,-0.26,0.33,-2.09,,2.51,93.0,86.8,80.1,,0.308,0.183,,0.317,0.145,116.0,98.0,100.0,0.13699999999999998,0.16,76.0,0.25,,,,,,,,,,,,,,,,,
5,2023-09-16,716560,Double,double,False,521692,641585,Salvador Perez,J.P. France,0,0,1,975ea6a1-0eac-4661-8730-99f5afb5a6b6,641585.0,jpfrance,"France, J",Right,J.P. France,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.45399999999999996,81.8,75.0,102.0,112.0,101.0,97.0,98.0,109.0,99.0,105.0,116.0,108.0,103.0,0.431,0.18899999999999997,0.091,,0.152,-0.26,0.33,-2.09,,2.51,93.0,86.8,80.1,,0.308,0.183,,0.317,0.145,116.0,98.0,100.0,0.13699999999999998,0.16,76.0,0.25,,,,,,,,,,,,,,,,,
6,2023-09-16,716560,Groundout,field_out,True,669004,641585,MJ Melendez,J.P. France,1,0,1,dd2a4ad5-e169-4869-9a46-7e6ce6eadbd1,641585.0,jpfrance,"France, J",Right,J.P. France,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.45399999999999996,81.8,75.0,102.0,112.0,101.0,97.0,98.0,109.0,99.0,105.0,116.0,108.0,103.0,0.431,0.18899999999999997,0.091,,0.152,-0.26,0.33,-2.09,,2.51,93.0,86.8,80.1,,0.308,0.183,,0.317,0.145,116.0,98.0,100.0,0.13699999999999998,0.16,76.0,0.25,,,,,,,,,,,,,,,,,
7,2023-09-16,716560,Sac Fly,sac_fly,True,676369,641585,Nelson Velázquez,J.P. France,0,0,1,2c7d47e4-7d83-44bb-8b3b-c757f28d5b00,641585.0,jpfrance,"France, J",Right,J.P. France,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.45399999999999996,81.8,75.0,102.0,112.0,101.0,97.0,98.0,109.0,99.0,105.0,116.0,108.0,103.0,0.431,0.18899999999999997,0.091,,0.152,-0.26,0.33,-2.09,,2.51,93.0,86.8,80.1,,0.308,0.183,,0.317,0.145,116.0,98.0,100.0,0.13699999999999998,0.16,76.0,0.25,,,,,,,,,,,,,,,,,
8,2023-09-16,716560,Single,single,False,686681,641585,Michael Massey,J.P. France,1,0,0,f77d56df-34c3-4c47-a593-fc5ae42a5ec1,641585.0,jpfrance,"France, J",Right,J.P. France,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.45399999999999996,81.8,75.0,102.0,112.0,101.0,97.0,98.0,109.0,99.0,105.0,116.0,108.0,103.0,0.431,0.18899999999999997,0.091,,0.152,-0.26,0.33,-2.09,,2.51,93.0,86.8,80.1,,0.308,0.183,,0.317,0.145,116.0,98.0,100.0,0.13699999999999998,0.16,76.0,0.25,,,,,,,,,,,,,,,,,
9,2023-09-16,716560,Pop Out,field_out,True,664728,641585,Kyle Isbel,J.P. France,1,1,0,5f06c328-25e8-4263-9125-59501e554d6e,641585.0,jpfrance,"France, J",Right,J.P. France,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.45399999999999996,81.8,75.0,102.0,112.0,101.0,97.0,98.0,109.0,99.0,105.0,116.0,108.0,103.0,0.431,0.18899999999999997,0.091,,0.152,-0.26,0.33,-2.09,,2.51,93.0,86.8,80.1,,0.308,0.183,,0.317,0.145,116.0,98.0,100.0,0.13699999999999998,0.16,76.0,0.25,,,,,,,,,,,,,,,,,
