,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,ST_ba,FF_ba,FC_ba,FS_ba,SI_ba,CU_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,CH_ba,SL_ba
0,2023-05-09,718237,Strikeout,strikeout,True,643289,660271,Mauricio Dubón,Shohei Ohtani,0,0,0,feab7f85-6e84-4bfe-b281-a27d17993b71,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.35600000000000004,0.036000000000000004,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.146,0.164,0.31,0.179,0.273,0.111,,,,,,,,
1,2023-05-09,718237,Groundout,field_out,True,608324,660271,Alex Bregman,Shohei Ohtani,1,0,0,497666c4-5536-44a8-8de0-a1f87c41f9e8,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.35600000000000004,0.036000000000000004,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.146,0.164,0.31,0.179,0.273,0.111,,,,,,,,
2,2023-05-09,718237,Walk,walk,False,670541,660271,Yordan Alvarez,Shohei Ohtani,1,0,0,38de51d7-473f-42d1-862c-a21cd766c5d5,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.35600000000000004,0.036000000000000004,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.146,0.164,0.31,0.179,0.273,0.111,,,,,,,,
3,2023-05-09,718237,Groundout,field_out,True,547989,660271,José Abreu,Shohei Ohtani,1,0,0,4163a2c5-a3a4-4b2d-aa1b-084313159225,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.35600000000000004,0.036000000000000004,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.146,0.164,0.31,0.179,0.273,0.111,,,,,,,,
4,2023-05-09,718237,Flyout,field_out,True,621493,664285,Taylor Ward,Framber Valdez,0,0,0,571520b3-a8cc-49c0-bfe2-b6d099f80b47,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,99.0,99.0,95.0,,,,0.46799999999999997,0.001,0.034,,0.087,0.253,-16.35,0.45,,0.93,-0.32,1.07,95.7,89.1,,95.3,84.7,80.2,,,0.182,,0.274,0.158,90.1,96.0,98.0,94.0,0.157,0.73,0.231,0.189
5,2023-05-09,718237,Flyout,field_out,True,545361,664285,Mike Trout,Framber Valdez,0,0,0,e49d8134-91a9-49b7-8689-15769ad89f39,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,99.0,99.0,95.0,,,,0.46799999999999997,0.001,0.034,,0.087,0.253,-16.35,0.45,,0.93,-0.32,1.07,95.7,89.1,,95.3,84.7,80.2,,,0.182,,0.274,0.158,90.1,96.0,98.0,94.0,0.157,0.73,0.231,0.189
6,2023-05-09,718237,Groundout,field_out,True,660271,664285,Shohei Ohtani,Framber Valdez,1,1,0,77aac484-9a3f-4c13-93d7-6afdbeed56a9,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,99.0,99.0,95.0,,,,0.46799999999999997,0.001,0.034,,0.087,0.253,-16.35,0.45,,0.93,-0.32,1.07,95.7,89.1,,95.3,84.7,80.2,,,0.182,,0.274,0.158,90.1,96.0,98.0,94.0,0.157,0.73,0.231,0.189
7,2023-05-09,718237,Groundout,field_out,True,663656,660271,Kyle Tucker,Shohei Ohtani,0,0,0,e814f3bf-70ce-482d-b500-ad3e98999f39,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.35600000000000004,0.036000000000000004,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.146,0.164,0.31,0.179,0.273,0.111,,,,,,,,
8,2023-05-09,718237,Strikeout,strikeout,True,665161,660271,Jeremy Peña,Shohei Ohtani,0,0,0,edd50ad5-8dd5-4613-ba88-c0c4fc7114a9,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.35600000000000004,0.036000000000000004,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.146,0.164,0.31,0.179,0.273,0.111,,,,,,,,
9,2023-05-09,718237,Strikeout,strikeout,False,667452,660271,Corey Julks,Shohei Ohtani,0,0,1,6cd76481-7316-4e74-a1d1-8b51d43af33b,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.35600000000000004,0.036000000000000004,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.146,0.164,0.31,0.179,0.273,0.111,,,,,,,,
10,2023-05-09,718237,Strikeout,strikeout,True,676694,660271,Jake Meyers,Shohei Ohtani,0,0,1,d8516c65-bbc1-4339-9ad8-8d67544a686a,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.35600000000000004,0.036000000000000004,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.146,0.164,0.31,0.179,0.273,0.111,,,,,,,,
11,2023-05-09,718237,Flyout,field_out,True,543685,664285,Anthony Rendon,Framber Valdez,0,0,0,a2cb9aec-b66b-426f-9e87-569bdb62c14f,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,99.0,99.0,95.0,,,,0.46799999999999997,0.001,0.034,,0.087,0.253,-16.35,0.45,,0.93,-0.32,1.07,95.7,89.1,,95.3,84.7,80.2,,,0.182,,0.274,0.158,90.1,96.0,98.0,94.0,0.157,0.73,0.231,0.189
12,2023-05-09,718237,Strikeout,strikeout,True,592669,664285,Hunter Renfroe,Framber Valdez,0,0,0,bdf5f170-c871-4962-99a5-54122defa713,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,99.0,99.0,95.0,,,,0.46799999999999997,0.001,0.034,,0.087,0.253,-16.35,0.45,,0.93,-0.32,1.07,95.7,89.1,,95.3,84.7,80.2,,,0.182,,0.274,0.158,90.1,96.0,98.0,94.0,0.157,0.73,0.231,0.189
