,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSL,vCU,FC_ba,FF_ba,CU_ba,SL_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,CH_ba,ST_ba,KC%,wKC/C,vKC
68,2023-04-08,718660,Walk,walk,False,661388,668868,William Contreras,Zack Thompson,1,0,1,dda1a3db-ef45-44e2-a0ee-a9388c82ea9a,668868.0,zackthompson,"Thompson, Z.D.",Left,Zack Thompson,4.48,4.61,66.1,101.0,79.0,94.0,0.779,9.77,3.39,9.36,1.09,1.33,0.309,0.324,0.11699999999999999,0.37799999999999995,0.428,86.1,64.0,93.0,83.0,65.0,102.0,108.0,87.0,102.0,89.0,,,,,,,0.537,,0.17,0.271,0.021,-0.44,,0.82,0.67,-2.61,93.6,,85.7,75.5,,0.327,0.185,0.205,,,,,,,,0.25,,0.002,-21.02,62.4
69,2023-04-08,718660,Strikeout,strikeout,True,572228,668868,Luke Voit,Zack Thompson,0,0,0,b4d39148-717a-4719-88e0-69e6da32131f,668868.0,zackthompson,"Thompson, Z.D.",Left,Zack Thompson,4.48,4.61,66.1,101.0,79.0,94.0,0.779,9.77,3.39,9.36,1.09,1.33,0.309,0.324,0.11699999999999999,0.37799999999999995,0.428,86.1,64.0,93.0,83.0,65.0,102.0,108.0,87.0,102.0,89.0,,,,,,,0.537,,0.17,0.271,0.021,-0.44,,0.82,0.67,-2.61,93.6,,85.7,75.5,,0.327,0.185,0.205,,,,,,,,0.25,,0.002,-21.02,62.4
70,2023-04-08,718660,Groundout,field_out,True,502671,606303,Paul Goldschmidt,Joel Payamps,0,0,0,9cfe23eb-ac65-4df9-8182-803b68017e5d,606303.0,joelpayamps,Payamps,Right,Joel Payamps,2.55,3.23,70.2,100.0,106.0,103.0,0.748,9.81,2.17,7.26,1.02,1.21,0.273,0.364,0.198,0.251,0.409,89.1,95.0,92.0,97.0,,,,101.0,106.0,102.0,114.0,100.0,107.0,,,,0.21899999999999997,,0.43799999999999994,,0.122,3.4,,0.42,,-0.25,95.4,,84.2,,,0.118,,0.192,101.0,99.0,99.0,0.221,0.81,95.3,0.322,0.345,,,,
71,2023-04-08,718660,Single,single,False,571448,606303,Nolan Arenado,Joel Payamps,0,0,0,d28f17c3-69a2-4237-96bb-758ec4fd83cc,606303.0,joelpayamps,Payamps,Right,Joel Payamps,2.55,3.23,70.2,100.0,106.0,103.0,0.748,9.81,2.17,7.26,1.02,1.21,0.273,0.364,0.198,0.251,0.409,89.1,95.0,92.0,97.0,,,,101.0,106.0,102.0,114.0,100.0,107.0,,,,0.21899999999999997,,0.43799999999999994,,0.122,3.4,,0.42,,-0.25,95.4,,84.2,,,0.118,,0.192,101.0,99.0,99.0,0.221,0.81,95.3,0.322,0.345,,,,
72,2023-04-08,718660,Strikeout,strikeout,True,575929,606303,Willson Contreras,Joel Payamps,0,0,0,8f6360b0-db96-4581-9c34-695a61b8a8c3,606303.0,joelpayamps,Payamps,Right,Joel Payamps,2.55,3.23,70.2,100.0,106.0,103.0,0.748,9.81,2.17,7.26,1.02,1.21,0.273,0.364,0.198,0.251,0.409,89.1,95.0,92.0,97.0,,,,101.0,106.0,102.0,114.0,100.0,107.0,,,,0.21899999999999997,,0.43799999999999994,,0.122,3.4,,0.42,,-0.25,95.4,,84.2,,,0.118,,0.192,101.0,99.0,99.0,0.221,0.81,95.3,0.322,0.345,,,,
73,2023-04-08,718660,Single,single,False,641933,606303,Tyler O'Neill,Joel Payamps,0,0,1,6ff717ad-f2f5-4503-9f54-2574f40bacb9,606303.0,joelpayamps,Payamps,Right,Joel Payamps,2.55,3.23,70.2,100.0,106.0,103.0,0.748,9.81,2.17,7.26,1.02,1.21,0.273,0.364,0.198,0.251,0.409,89.1,95.0,92.0,97.0,,,,101.0,106.0,102.0,114.0,100.0,107.0,,,,0.21899999999999997,,0.43799999999999994,,0.122,3.4,,0.42,,-0.25,95.4,,84.2,,,0.118,,0.192,101.0,99.0,99.0,0.221,0.81,95.3,0.322,0.345,,,,
74,2023-04-08,718660,Strikeout,strikeout,True,600301,606303,Taylor Motter,Joel Payamps,0,0,0,690e962e-b0d7-4cb8-b20e-cbde682b72ca,606303.0,joelpayamps,Payamps,Right,Joel Payamps,2.55,3.23,70.2,100.0,106.0,103.0,0.748,9.81,2.17,7.26,1.02,1.21,0.273,0.364,0.198,0.251,0.409,89.1,95.0,92.0,97.0,,,,101.0,106.0,102.0,114.0,100.0,107.0,,,,0.21899999999999997,,0.43799999999999994,,0.122,3.4,,0.42,,-0.25,95.4,,84.2,,,0.118,,0.192,101.0,99.0,99.0,0.221,0.81,95.3,0.322,0.345,,,,
75,2023-04-08,718660,Strikeout,strikeout,True,605119,572403,Brian Anderson,Drew VerHagen,0,0,0,e662d2e9-4416-4e48-be24-dce055c10b20,572403.0,drewverhagen,VerHagen,Right,Drew VerHagen,3.98,4.01,61.0,96.0,92.0,94.0,0.72,8.85,3.84,7.67,1.33,0.96,0.237,0.491,0.15,0.289,0.419,88.5,70.0,88.0,89.0,,,,76.0,99.0,93.0,112.0,100.0,103.0,107.0,100.0,97.0,0.27899999999999997,0.126,0.311,,0.11199999999999999,-0.91,-3.65,2.68,,2.48,93.4,88.2,81.3,,0.478,0.264,,,90.0,90.0,81.0,0.172,-1.61,92.7,0.273,0.125,0.128,,,
76,2023-04-08,718660,Flyout,field_out,True,680911,572403,Owen Miller,Drew VerHagen,0,0,0,8f2ff844-81ef-4c54-af1b-63dfc5d68b01,572403.0,drewverhagen,VerHagen,Right,Drew VerHagen,3.98,4.01,61.0,96.0,92.0,94.0,0.72,8.85,3.84,7.67,1.33,0.96,0.237,0.491,0.15,0.289,0.419,88.5,70.0,88.0,89.0,,,,76.0,99.0,93.0,112.0,100.0,103.0,107.0,100.0,97.0,0.27899999999999997,0.126,0.311,,0.11199999999999999,-0.91,-3.65,2.68,,2.48,93.4,88.2,81.3,,0.478,0.264,,,90.0,90.0,81.0,0.172,-1.61,92.7,0.273,0.125,0.128,,,
77,2023-04-08,718660,Groundout,field_out,True,686894,572403,Joey Wiemer,Drew VerHagen,0,0,0,dceadab7-2291-464f-8d55-cc63f2f16e3c,572403.0,drewverhagen,VerHagen,Right,Drew VerHagen,3.98,4.01,61.0,96.0,92.0,94.0,0.72,8.85,3.84,7.67,1.33,0.96,0.237,0.491,0.15,0.289,0.419,88.5,70.0,88.0,89.0,,,,76.0,99.0,93.0,112.0,100.0,103.0,107.0,100.0,97.0,0.27899999999999997,0.126,0.311,,0.11199999999999999,-0.91,-3.65,2.68,,2.48,93.4,88.2,81.3,,0.478,0.264,,,90.0,90.0,81.0,0.172,-1.61,92.7,0.273,0.125,0.128,,,
