,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,SL_ba,CU_ba,CH_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,FC_ba,ST_ba,FS%,wFS/C,vFS,FS_ba,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,KC%,wKC/C,vKC
0,2023-09-08,716673,Lineout,field_out,True,672580,579328,Maikel Garcia,Yusei Kikuchi,1,1,0,0133c47d-a772-438f-91a8-ae2c33a40146,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,88.7,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.193,0.09699999999999999,0.05,1.11,0.24,-1.83,95.1,88.7,83.1,0.27,0.225,0.284,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-09-08,716673,Strikeout,strikeout,True,677951,579328,Bobby Witt Jr.,Yusei Kikuchi,0,0,0,30c28d44-f5aa-4963-bbee-a5cfaff724a6,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,88.7,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.193,0.09699999999999999,0.05,1.11,0.24,-1.83,95.1,88.7,83.1,0.27,0.225,0.284,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-09-08,716673,Strikeout,strikeout,True,521692,579328,Salvador Perez,Yusei Kikuchi,0,0,0,f8618e92-eb1d-4253-96ce-5f1937c7cce9,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,88.7,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.193,0.09699999999999999,0.05,1.11,0.24,-1.83,95.1,88.7,83.1,0.27,0.225,0.284,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-09-08,716673,Pop Out,field_out,True,543807,676092,George Springer,Collin Snider,0,0,0,c803cf83-0708-48b6-8357-524a4dddc9f4,676092.0,collinsnider,Snider,Right,Collin Snider,4.87,5.41,20.1,95.0,103.0,95.0,0.83,4.87,5.75,10.62,1.33,2.06,0.183,0.563,0.16899999999999998,0.29600000000000004,0.395,90.2,50.0,49.0,53.0,,,,106.0,89.0,88.0,129.0,98.0,110.0,0.106,0.36200000000000004,,0.003,5.8,-0.49,,-3.64,94.8,84.1,,0.111,0.071,,,68.0,96.0,85.0,108.0,99.0,93.0,0.379,0.15,0.09,-4.06,91.6,95.8,0.485,0.214,0.273,,,,,,,,,,,,,
4,2023-09-08,716673,Groundout,field_out,True,666182,676092,Bo Bichette,Collin Snider,0,0,0,2ed48892-ac45-4d90-a59d-715c685fab0c,676092.0,collinsnider,Snider,Right,Collin Snider,4.87,5.41,20.1,95.0,103.0,95.0,0.83,4.87,5.75,10.62,1.33,2.06,0.183,0.563,0.16899999999999998,0.29600000000000004,0.395,90.2,50.0,49.0,53.0,,,,106.0,89.0,88.0,129.0,98.0,110.0,0.106,0.36200000000000004,,0.003,5.8,-0.49,,-3.64,94.8,84.1,,0.111,0.071,,,68.0,96.0,85.0,108.0,99.0,93.0,0.379,0.15,0.09,-4.06,91.6,95.8,0.485,0.214,0.273,,,,,,,,,,,,,
5,2023-09-08,716673,Groundout,field_out,True,665489,676092,Vladimir Guerrero Jr.,Collin Snider,0,0,0,c5da5358-c9b1-42ed-9037-133441e34858,676092.0,collinsnider,Snider,Right,Collin Snider,4.87,5.41,20.1,95.0,103.0,95.0,0.83,4.87,5.75,10.62,1.33,2.06,0.183,0.563,0.16899999999999998,0.29600000000000004,0.395,90.2,50.0,49.0,53.0,,,,106.0,89.0,88.0,129.0,98.0,110.0,0.106,0.36200000000000004,,0.003,5.8,-0.49,,-3.64,94.8,84.1,,0.111,0.071,,,68.0,96.0,85.0,108.0,99.0,93.0,0.379,0.15,0.09,-4.06,91.6,95.8,0.485,0.214,0.273,,,,,,,,,,,,,
6,2023-09-08,716673,Strikeout,strikeout,True,669004,579328,MJ Melendez,Yusei Kikuchi,0,0,0,efce13e6-88d4-4a2e-8f05-4f99098e69f1,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,88.7,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.193,0.09699999999999999,0.05,1.11,0.24,-1.83,95.1,88.7,83.1,0.27,0.225,0.284,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2023-09-08,716673,Walk,walk,False,676369,579328,Nelson Velázquez,Yusei Kikuchi,1,0,0,c125d7ad-493f-4cac-b619-eb594788c941,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,88.7,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.193,0.09699999999999999,0.05,1.11,0.24,-1.83,95.1,88.7,83.1,0.27,0.225,0.284,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2023-09-08,716673,Grounded Into DP,grounded_into_double_play,True,666023,579328,Freddy Fermin,Yusei Kikuchi,1,0,1,35eebc36-b41e-4a59-a8b4-ce3a7d7b4d57,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,88.7,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.193,0.09699999999999999,0.05,1.11,0.24,-1.83,95.1,88.7,83.1,0.27,0.225,0.284,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2023-09-08,716673,Double,double,False,676914,676092,Davis Schneider,Collin Snider,0,0,0,6275445d-a7d5-450b-9c70-beb6ed2060ff,676092.0,collinsnider,Snider,Right,Collin Snider,4.87,5.41,20.1,95.0,103.0,95.0,0.83,4.87,5.75,10.62,1.33,2.06,0.183,0.563,0.16899999999999998,0.29600000000000004,0.395,90.2,50.0,49.0,53.0,,,,106.0,89.0,88.0,129.0,98.0,110.0,0.106,0.36200000000000004,,0.003,5.8,-0.49,,-3.64,94.8,84.1,,0.111,0.071,,,68.0,96.0,85.0,108.0,99.0,93.0,0.379,0.15,0.09,-4.06,91.6,95.8,0.485,0.214,0.273,,,,,,,,,,,,,
