,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vSI,vSL,vKC,SL_ba,SI_ba,FF_ba,CH_ba,CU_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,FS%,wFS/C,vFS,FS_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,ST_ba,FC_ba
10,2023-05-19,718105,Strikeout,strikeout,True,607732,543101,Jacob Stallings,Anthony DeSclafani,0,0,0,07600fc7-04dd-47f5-ac21-29d7e7507ce2,543101.0,anthonydesclafani,DeSclafani,Right,Anthony DeSclafani,4.88,5.16,99.2,99.0,94.0,97.0,0.818,7.13,1.81,9.48,1.35,1.22,0.257,0.387,0.162,0.365,0.41700000000000004,86.4,75.0,92.0,86.0,86.0,88.0,84.0,90.0,106.0,99.0,101.0,97.0,101.0,106.0,109.0,109.0,0.27699999999999997,0.126,0.44799999999999995,0.05,0.098,-1.8,-0.66,0.88,-0.59,-1.71,93.1,93.1,87.4,82.2,0.257,0.283,0.306,0.344,0.16,,,,,,,,,,,,,,,,,,
11,2023-05-19,718105,Pop Out,field_out,True,624424,645261,Michael Conforto,Sandy Alcantara,1,0,0,3b46dc00-cec3-489d-8f6c-8d344b2a697a,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,0.201,,0.273,-0.27,1.72,0.72,,-0.43,98.0,97.6,89.9,,0.227,0.237,0.253,0.282,0.308,134.0,99.0,105.0,0.022000000000000002,-0.52,86.1,,,,,,,,,,,,
12,2023-05-19,718105,Groundout,field_out,True,571745,645261,Mitch Haniger,Sandy Alcantara,1,0,0,605c454c-b2ca-4df1-a93d-f74c03b55baf,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,0.201,,0.273,-0.27,1.72,0.72,,-0.43,98.0,97.6,89.9,,0.227,0.237,0.253,0.282,0.308,134.0,99.0,105.0,0.022000000000000002,-0.52,86.1,,,,,,,,,,,,
13,2023-05-19,718105,Flyout,field_out,True,573262,645261,Mike Yastrzemski,Sandy Alcantara,1,0,0,2f4fa5dd-f273-4c02-ae4f-08c5bd07975f,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,0.201,,0.273,-0.27,1.72,0.72,,-0.43,98.0,97.6,89.9,,0.227,0.237,0.253,0.282,0.308,134.0,99.0,105.0,0.022000000000000002,-0.52,86.1,,,,,,,,,,,,
14,2023-05-19,718105,Lineout,field_out,True,641658,543101,Garrett Hampson,Anthony DeSclafani,0,0,0,c61ef7c2-3e3c-4381-92dd-bd661e88ae16,543101.0,anthonydesclafani,DeSclafani,Right,Anthony DeSclafani,4.88,5.16,99.2,99.0,94.0,97.0,0.818,7.13,1.81,9.48,1.35,1.22,0.257,0.387,0.162,0.365,0.41700000000000004,86.4,75.0,92.0,86.0,86.0,88.0,84.0,90.0,106.0,99.0,101.0,97.0,101.0,106.0,109.0,109.0,0.27699999999999997,0.126,0.44799999999999995,0.05,0.098,-1.8,-0.66,0.88,-0.59,-1.71,93.1,93.1,87.4,82.2,0.257,0.283,0.306,0.344,0.16,,,,,,,,,,,,,,,,,,
15,2023-05-19,718105,Strikeout,strikeout,True,516416,543101,Jean Segura,Anthony DeSclafani,0,0,0,39b0a3d2-e7bd-46b0-9c52-468661a2452a,543101.0,anthonydesclafani,DeSclafani,Right,Anthony DeSclafani,4.88,5.16,99.2,99.0,94.0,97.0,0.818,7.13,1.81,9.48,1.35,1.22,0.257,0.387,0.162,0.365,0.41700000000000004,86.4,75.0,92.0,86.0,86.0,88.0,84.0,90.0,106.0,99.0,101.0,97.0,101.0,106.0,109.0,109.0,0.27699999999999997,0.126,0.44799999999999995,0.05,0.098,-1.8,-0.66,0.88,-0.59,-1.71,93.1,93.1,87.4,82.2,0.257,0.283,0.306,0.344,0.16,,,,,,,,,,,,,,,,,,
16,2023-05-19,718105,Groundout,field_out,True,624585,543101,Jorge Soler,Anthony DeSclafani,1,1,0,05d02704-b184-4278-a757-7f731840a093,543101.0,anthonydesclafani,DeSclafani,Right,Anthony DeSclafani,4.88,5.16,99.2,99.0,94.0,97.0,0.818,7.13,1.81,9.48,1.35,1.22,0.257,0.387,0.162,0.365,0.41700000000000004,86.4,75.0,92.0,86.0,86.0,88.0,84.0,90.0,106.0,99.0,101.0,97.0,101.0,106.0,109.0,109.0,0.27699999999999997,0.126,0.44799999999999995,0.05,0.098,-1.8,-0.66,0.88,-0.59,-1.71,93.1,93.1,87.4,82.2,0.257,0.283,0.306,0.344,0.16,,,,,,,,,,,,,,,,,,
17,2023-05-19,718105,Strikeout,strikeout,True,669477,645261,Casey Schmitt,Sandy Alcantara,0,0,0,c1d173ff-ff36-49e3-8cf1-3f8903cc5afc,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,0.201,,0.273,-0.27,1.72,0.72,,-0.43,98.0,97.6,89.9,,0.227,0.237,0.253,0.282,0.308,134.0,99.0,105.0,0.022000000000000002,-0.52,86.1,,,,,,,,,,,,
18,2023-05-19,718105,Walk,walk,False,666165,645261,Blake Sabol,Sandy Alcantara,1,0,0,7e656f85-4f68-4985-a74e-923c3624dbb7,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,0.201,,0.273,-0.27,1.72,0.72,,-0.43,98.0,97.6,89.9,,0.227,0.237,0.253,0.282,0.308,134.0,99.0,105.0,0.022000000000000002,-0.52,86.1,,,,,,,,,,,,
19,2023-05-19,718105,Strikeout,strikeout,True,543063,645261,Brandon Crawford,Sandy Alcantara,0,0,0,575f9145-0a57-420f-a9a6-482c329e94ee,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,0.201,,0.273,-0.27,1.72,0.72,,-0.43,98.0,97.6,89.9,,0.227,0.237,0.253,0.282,0.308,134.0,99.0,105.0,0.022000000000000002,-0.52,86.1,,,,,,,,,,,,
