,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSL,vCU,FF_ba,FC_ba,CH_ba,ST_ba,CU_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,SI_ba,SL_ba,FS_ba
0,2023-07-31,717184,Lineout,field_out,True,680757,641585,Steven Kwan,J.P. France,0,0,0,1e5ea87a-3605-45ec-ab15-4aef2a06dfd9,641585.0,jpfrance,"France, J",Right,J.P. France,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.45399999999999996,81.8,75.0,102.0,112.0,116.0,98.0,100.0,101.0,97.0,98.0,109.0,99.0,105.0,116.0,108.0,103.0,0.431,0.18899999999999997,0.091,0.13699999999999998,0.152,-0.26,0.33,-2.09,0.16,2.51,93.0,86.8,80.1,76.0,0.308,0.317,0.183,0.25,0.145,,,,,,,,,,,,,,,
1,2023-07-31,717184,Groundout,field_out,True,665926,641585,Andrés Giménez,J.P. France,0,0,0,c53f8ac5-8a76-468a-b57c-c1abf71e61a7,641585.0,jpfrance,"France, J",Right,J.P. France,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.45399999999999996,81.8,75.0,102.0,112.0,116.0,98.0,100.0,101.0,97.0,98.0,109.0,99.0,105.0,116.0,108.0,103.0,0.431,0.18899999999999997,0.091,0.13699999999999998,0.152,-0.26,0.33,-2.09,0.16,2.51,93.0,86.8,80.1,76.0,0.308,0.317,0.183,0.25,0.145,,,,,,,,,,,,,,,
2,2023-07-31,717184,Single,single,False,608070,641585,José Ramírez,J.P. France,0,0,0,d7a9e715-26e6-4237-948b-f00fc9c96b1c,641585.0,jpfrance,"France, J",Right,J.P. France,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.45399999999999996,81.8,75.0,102.0,112.0,116.0,98.0,100.0,101.0,97.0,98.0,109.0,99.0,105.0,116.0,108.0,103.0,0.431,0.18899999999999997,0.091,0.13699999999999998,0.152,-0.26,0.33,-2.09,0.16,2.51,93.0,86.8,80.1,76.0,0.308,0.317,0.183,0.25,0.145,,,,,,,,,,,,,,,
3,2023-07-31,717184,Groundout,field_out,True,647304,641585,Josh Naylor,J.P. France,0,0,0,082311ac-eaae-433e-9e6a-8d49a9b7e7cf,641585.0,jpfrance,"France, J",Right,J.P. France,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.45399999999999996,81.8,75.0,102.0,112.0,116.0,98.0,100.0,101.0,97.0,98.0,109.0,99.0,105.0,116.0,108.0,103.0,0.431,0.18899999999999997,0.091,0.13699999999999998,0.152,-0.26,0.33,-2.09,0.16,2.51,93.0,86.8,80.1,76.0,0.308,0.317,0.183,0.25,0.145,,,,,,,,,,,,,,,
4,2023-07-31,717184,Single,single,False,514888,592789,Jose Altuve,Noah Syndergaard,0,0,0,03971a27-af1a-43de-8439-1f45a359de2e,592789.0,noahsyndergaard,Syndergaard,Right,Noah Syndergaard,6.5,6.48,88.2,104.0,80.0,99.0,0.8340000000000001,5.68,1.93,10.56,2.23,0.94,0.203,0.43799999999999994,0.147,0.363,0.46799999999999997,87.3,72.0,104.0,100.0,95.0,104.0,107.0,65.0,109.0,95.0,88.0,99.0,97.0,85.0,103.0,98.0,0.18100000000000002,0.126,0.067,0.141,0.222,0.68,-0.49,-2.33,-0.93,-2.71,92.2,89.5,85.0,77.9,0.208,0.333,0.286,,0.233,87.0,102.0,96.0,43.0,87.0,84.0,0.261,0.003,1.25,-1.16,87.7,92.3,0.363,0.24,
5,2023-07-31,717184,Flyout,field_out,True,665161,592789,Jeremy Peña,Noah Syndergaard,0,0,0,deaf82db-9830-44d0-9f8c-e699709da65f,592789.0,noahsyndergaard,Syndergaard,Right,Noah Syndergaard,6.5,6.48,88.2,104.0,80.0,99.0,0.8340000000000001,5.68,1.93,10.56,2.23,0.94,0.203,0.43799999999999994,0.147,0.363,0.46799999999999997,87.3,72.0,104.0,100.0,95.0,104.0,107.0,65.0,109.0,95.0,88.0,99.0,97.0,85.0,103.0,98.0,0.18100000000000002,0.126,0.067,0.141,0.222,0.68,-0.49,-2.33,-0.93,-2.71,92.2,89.5,85.0,77.9,0.208,0.333,0.286,,0.233,87.0,102.0,96.0,43.0,87.0,84.0,0.261,0.003,1.25,-1.16,87.7,92.3,0.363,0.24,
6,2023-07-31,717184,Single,single,False,663656,592789,Kyle Tucker,Noah Syndergaard,1,0,1,163f7334-1f31-4e0e-8bb9-6bcbb4017e1c,592789.0,noahsyndergaard,Syndergaard,Right,Noah Syndergaard,6.5,6.48,88.2,104.0,80.0,99.0,0.8340000000000001,5.68,1.93,10.56,2.23,0.94,0.203,0.43799999999999994,0.147,0.363,0.46799999999999997,87.3,72.0,104.0,100.0,95.0,104.0,107.0,65.0,109.0,95.0,88.0,99.0,97.0,85.0,103.0,98.0,0.18100000000000002,0.126,0.067,0.141,0.222,0.68,-0.49,-2.33,-0.93,-2.71,92.2,89.5,85.0,77.9,0.208,0.333,0.286,,0.233,87.0,102.0,96.0,43.0,87.0,84.0,0.261,0.003,1.25,-1.16,87.7,92.3,0.363,0.24,
7,2023-07-31,717184,Groundout,field_out,True,608324,592789,Alex Bregman,Noah Syndergaard,0,0,1,c5626e17-fa63-4c9b-b2ee-be757eb532da,592789.0,noahsyndergaard,Syndergaard,Right,Noah Syndergaard,6.5,6.48,88.2,104.0,80.0,99.0,0.8340000000000001,5.68,1.93,10.56,2.23,0.94,0.203,0.43799999999999994,0.147,0.363,0.46799999999999997,87.3,72.0,104.0,100.0,95.0,104.0,107.0,65.0,109.0,95.0,88.0,99.0,97.0,85.0,103.0,98.0,0.18100000000000002,0.126,0.067,0.141,0.222,0.68,-0.49,-2.33,-0.93,-2.71,92.2,89.5,85.0,77.9,0.208,0.333,0.286,,0.233,87.0,102.0,96.0,43.0,87.0,84.0,0.261,0.003,1.25,-1.16,87.7,92.3,0.363,0.24,
8,2023-07-31,717184,Flyout,field_out,True,670541,592789,Yordan Alvarez,Noah Syndergaard,0,0,0,047d7d4d-c9ef-4ced-b50d-00a6c36ecc56,592789.0,noahsyndergaard,Syndergaard,Right,Noah Syndergaard,6.5,6.48,88.2,104.0,80.0,99.0,0.8340000000000001,5.68,1.93,10.56,2.23,0.94,0.203,0.43799999999999994,0.147,0.363,0.46799999999999997,87.3,72.0,104.0,100.0,95.0,104.0,107.0,65.0,109.0,95.0,88.0,99.0,97.0,85.0,103.0,98.0,0.18100000000000002,0.126,0.067,0.141,0.222,0.68,-0.49,-2.33,-0.93,-2.71,92.2,89.5,85.0,77.9,0.208,0.333,0.286,,0.233,87.0,102.0,96.0,43.0,87.0,84.0,0.261,0.003,1.25,-1.16,87.7,92.3,0.363,0.24,
9,2023-07-31,717184,Single,single,False,605137,641585,Josh Bell,J.P. France,0,0,0,14bac44d-2bbe-4e0a-9fc2-08e1a382c12d,641585.0,jpfrance,"France, J",Right,J.P. France,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.45399999999999996,81.8,75.0,102.0,112.0,116.0,98.0,100.0,101.0,97.0,98.0,109.0,99.0,105.0,116.0,108.0,103.0,0.431,0.18899999999999997,0.091,0.13699999999999998,0.152,-0.26,0.33,-2.09,0.16,2.51,93.0,86.8,80.1,76.0,0.308,0.317,0.183,0.25,0.145,,,,,,,,,,,,,,,
