,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,FF_ba,SI_ba,CH_ba,SL_ba,CU_ba,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,ST_ba,FS%,wFS/C,vFS,FS_ba,Stf+ FS,Loc+ FS,Pit+ FS
0,2023-04-07,718674,Strikeout,strikeout,True,680977,605540,Brendan Donovan,Brandon Woodruff,0,0,0,04dd0bab-1701-41aa-ba9c-47ad1108241e,605540.0,brandonwoodruff,Woodruff,Right,Brandon Woodruff,2.28,2.82,67.0,107.0,114.0,110.0,0.7490000000000001,9.94,2.01,5.37,1.21,0.81,0.23600000000000002,0.41600000000000004,0.168,0.298,0.474,85.8,111.0,104.0,118.0,89.0,103.0,105.0,125.0,112.0,115.0,108.0,100.0,96.0,108.0,107.0,108.0,0.22,0.41,0.095,0.079,0.19699999999999998,0.95,2.76,-0.33,-0.01,3.2,95.8,95.0,86.9,82.9,0.177,0.193,0.098,0.278,0.182,,,,,,,,,,,,,,,,,,,,,
1,2023-04-07,718674,Lineout,field_out,True,676475,605540,Alec Burleson,Brandon Woodruff,1,0,0,3ffbecff-a479-4d18-8f2e-b665f613e45a,605540.0,brandonwoodruff,Woodruff,Right,Brandon Woodruff,2.28,2.82,67.0,107.0,114.0,110.0,0.7490000000000001,9.94,2.01,5.37,1.21,0.81,0.23600000000000002,0.41600000000000004,0.168,0.298,0.474,85.8,111.0,104.0,118.0,89.0,103.0,105.0,125.0,112.0,115.0,108.0,100.0,96.0,108.0,107.0,108.0,0.22,0.41,0.095,0.079,0.19699999999999998,0.95,2.76,-0.33,-0.01,3.2,95.8,95.0,86.9,82.9,0.177,0.193,0.098,0.278,0.182,,,,,,,,,,,,,,,,,,,,,
2,2023-04-07,718674,Pop Out,field_out,True,502671,605540,Paul Goldschmidt,Brandon Woodruff,1,0,0,7e3a9ceb-f13e-4690-8293-5d763757df0d,605540.0,brandonwoodruff,Woodruff,Right,Brandon Woodruff,2.28,2.82,67.0,107.0,114.0,110.0,0.7490000000000001,9.94,2.01,5.37,1.21,0.81,0.23600000000000002,0.41600000000000004,0.168,0.298,0.474,85.8,111.0,104.0,118.0,89.0,103.0,105.0,125.0,112.0,115.0,108.0,100.0,96.0,108.0,107.0,108.0,0.22,0.41,0.095,0.079,0.19699999999999998,0.95,2.76,-0.33,-0.01,3.2,95.8,95.0,86.9,82.9,0.177,0.193,0.098,0.278,0.182,,,,,,,,,,,,,,,,,,,,,
3,2023-04-07,718674,Strikeout,strikeout,True,592885,656427,Christian Yelich,Jack Flaherty,0,0,0,62d80235-59ee-4a2c-a01b-3fdaced32c12,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,85.3,68.0,89.0,84.0,,,,98.0,99.0,98.0,75.0,82.0,71.0,98.0,101.0,102.0,0.02,0.41700000000000004,0.24600000000000002,,0.033,-0.44,-2.28,-1.15,,0.86,93.1,90.1,84.2,,0.29,0.333,0.154,0.339,0.204,93.0,102.0,108.0,92.0,98.0,101.0,0.091,0.19399999999999998,-1.05,0.23,88.7,76.2,0.318,,,,,,,,
4,2023-04-07,718674,Flyout,field_out,True,608385,656427,Jesse Winker,Jack Flaherty,0,0,0,2b893085-9f62-421f-9eda-1850ae78c146,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,85.3,68.0,89.0,84.0,,,,98.0,99.0,98.0,75.0,82.0,71.0,98.0,101.0,102.0,0.02,0.41700000000000004,0.24600000000000002,,0.033,-0.44,-2.28,-1.15,,0.86,93.1,90.1,84.2,,0.29,0.333,0.154,0.339,0.204,93.0,102.0,108.0,92.0,98.0,101.0,0.091,0.19399999999999998,-1.05,0.23,88.7,76.2,0.318,,,,,,,,
5,2023-04-07,718674,Single,single,False,642715,656427,Willy Adames,Jack Flaherty,0,0,0,0f18ca91-579c-435f-8036-22ecb8fca573,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,85.3,68.0,89.0,84.0,,,,98.0,99.0,98.0,75.0,82.0,71.0,98.0,101.0,102.0,0.02,0.41700000000000004,0.24600000000000002,,0.033,-0.44,-2.28,-1.15,,0.86,93.1,90.1,84.2,,0.29,0.333,0.154,0.339,0.204,93.0,102.0,108.0,92.0,98.0,101.0,0.091,0.19399999999999998,-1.05,0.23,88.7,76.2,0.318,,,,,,,,
6,2023-04-07,718674,Flyout,field_out,True,642133,656427,Rowdy Tellez,Jack Flaherty,0,0,0,10e4336c-db67-4682-bb82-07f6ed2cd162,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,85.3,68.0,89.0,84.0,,,,98.0,99.0,98.0,75.0,82.0,71.0,98.0,101.0,102.0,0.02,0.41700000000000004,0.24600000000000002,,0.033,-0.44,-2.28,-1.15,,0.86,93.1,90.1,84.2,,0.29,0.333,0.154,0.339,0.204,93.0,102.0,108.0,92.0,98.0,101.0,0.091,0.19399999999999998,-1.05,0.23,88.7,76.2,0.318,,,,,,,,
7,2023-04-07,718674,Pop Out,field_out,True,571448,605540,Nolan Arenado,Brandon Woodruff,1,0,0,99ac52ea-797b-47a6-82c0-c40f928e24e5,605540.0,brandonwoodruff,Woodruff,Right,Brandon Woodruff,2.28,2.82,67.0,107.0,114.0,110.0,0.7490000000000001,9.94,2.01,5.37,1.21,0.81,0.23600000000000002,0.41600000000000004,0.168,0.298,0.474,85.8,111.0,104.0,118.0,89.0,103.0,105.0,125.0,112.0,115.0,108.0,100.0,96.0,108.0,107.0,108.0,0.22,0.41,0.095,0.079,0.19699999999999998,0.95,2.76,-0.33,-0.01,3.2,95.8,95.0,86.9,82.9,0.177,0.193,0.098,0.278,0.182,,,,,,,,,,,,,,,,,,,,,
8,2023-04-07,718674,Flyout,field_out,True,575929,605540,Willson Contreras,Brandon Woodruff,0,0,0,d45cb9e1-51bb-4cdd-8d7b-6526d0be8afa,605540.0,brandonwoodruff,Woodruff,Right,Brandon Woodruff,2.28,2.82,67.0,107.0,114.0,110.0,0.7490000000000001,9.94,2.01,5.37,1.21,0.81,0.23600000000000002,0.41600000000000004,0.168,0.298,0.474,85.8,111.0,104.0,118.0,89.0,103.0,105.0,125.0,112.0,115.0,108.0,100.0,96.0,108.0,107.0,108.0,0.22,0.41,0.095,0.079,0.19699999999999998,0.95,2.76,-0.33,-0.01,3.2,95.8,95.0,86.9,82.9,0.177,0.193,0.098,0.278,0.182,,,,,,,,,,,,,,,,,,,,,
9,2023-04-07,718674,Strikeout,strikeout,True,641933,605540,Tyler O'Neill,Brandon Woodruff,0,0,0,e973b460-9687-4aa5-9353-6762b6d687f4,605540.0,brandonwoodruff,Woodruff,Right,Brandon Woodruff,2.28,2.82,67.0,107.0,114.0,110.0,0.7490000000000001,9.94,2.01,5.37,1.21,0.81,0.23600000000000002,0.41600000000000004,0.168,0.298,0.474,85.8,111.0,104.0,118.0,89.0,103.0,105.0,125.0,112.0,115.0,108.0,100.0,96.0,108.0,107.0,108.0,0.22,0.41,0.095,0.079,0.19699999999999998,0.95,2.76,-0.33,-0.01,3.2,95.8,95.0,86.9,82.9,0.177,0.193,0.098,0.278,0.182,,,,,,,,,,,,,,,,,,,,,
