,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wCU/C,wCH/C,vFA,vFC,vCU,FF_ba,CU_ba,FC_ba,CH_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,wSI/C,wSL/C,vSI,vSL,SL_ba,SI_ba,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
0,2023-08-24,716870,Double,double,False,663538,642239,Nico Hoerner,Rob Zastryzny,0,0,0,74c4052d-959b-4a9d-bbaf-cc4a35a6110d,642239.0,robzastryzny,Zastryzny,Left,Rob Zastryzny,4.79,4.7,20.2,97.0,102.0,100.0,0.779,6.53,5.66,10.45,0.44,0.96,0.348,0.319,0.275,0.304,0.429,81.5,100.0,88.0,98.0,104.0,111.0,112.0,99.0,96.0,95.0,106.0,91.0,94.0,0.355,0.22899999999999998,0.275,0.141,1.18,-0.46,0.66,-4.56,93.0,88.0,82.2,0.227,0.233,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,
1,2023-08-24,716870,Lineout,field_out,True,621020,642239,Dansby Swanson,Rob Zastryzny,0,0,0,5d5c3328-eb50-425c-b805-20ab630b954a,642239.0,robzastryzny,Zastryzny,Left,Rob Zastryzny,4.79,4.7,20.2,97.0,102.0,100.0,0.779,6.53,5.66,10.45,0.44,0.96,0.348,0.319,0.275,0.304,0.429,81.5,100.0,88.0,98.0,104.0,111.0,112.0,99.0,96.0,95.0,106.0,91.0,94.0,0.355,0.22899999999999998,0.275,0.141,1.18,-0.46,0.66,-4.56,93.0,88.0,82.2,0.227,0.233,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,
2,2023-08-24,716870,Strikeout,strikeout,True,664023,642239,Ian Happ,Rob Zastryzny,0,0,0,a156952f-437c-4bbf-91b1-68caa8b15f8f,642239.0,robzastryzny,Zastryzny,Left,Rob Zastryzny,4.79,4.7,20.2,97.0,102.0,100.0,0.779,6.53,5.66,10.45,0.44,0.96,0.348,0.319,0.275,0.304,0.429,81.5,100.0,88.0,98.0,104.0,111.0,112.0,99.0,96.0,95.0,106.0,91.0,94.0,0.355,0.22899999999999998,0.275,0.141,1.18,-0.46,0.66,-4.56,93.0,88.0,82.2,0.227,0.233,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,
3,2023-08-24,716870,Single,single,False,641355,642239,Cody Bellinger,Rob Zastryzny,1,0,1,c7b875f4-ccab-4930-8657-6866a5c58e32,642239.0,robzastryzny,Zastryzny,Left,Rob Zastryzny,4.79,4.7,20.2,97.0,102.0,100.0,0.779,6.53,5.66,10.45,0.44,0.96,0.348,0.319,0.275,0.304,0.429,81.5,100.0,88.0,98.0,104.0,111.0,112.0,99.0,96.0,95.0,106.0,91.0,94.0,0.355,0.22899999999999998,0.275,0.141,1.18,-0.46,0.66,-4.56,93.0,88.0,82.2,0.227,0.233,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,
4,2023-08-24,716870,Caught Stealing 2B,caught_stealing_2b,True,673548,642239,Seiya Suzuki,Rob Zastryzny,0,0,0,45b5a5e1-d51c-4c57-8023-fccf4640a5c5,642239.0,robzastryzny,Zastryzny,Left,Rob Zastryzny,4.79,4.7,20.2,97.0,102.0,100.0,0.779,6.53,5.66,10.45,0.44,0.96,0.348,0.319,0.275,0.304,0.429,81.5,100.0,88.0,98.0,104.0,111.0,112.0,99.0,96.0,95.0,106.0,91.0,94.0,0.355,0.22899999999999998,0.275,0.141,1.18,-0.46,0.66,-4.56,93.0,88.0,82.2,0.227,0.233,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,
5,2023-08-24,716870,Groundout,field_out,True,663647,657006,Ke'Bryan Hayes,Justin Steele,0,0,0,4775d74c-6a34-47fb-9188-4098a9adbc38,657006.0,justinsteele,Steele,Left,Justin Steele,3.06,3.5,173.1,102.0,99.0,102.0,0.7809999999999999,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,87.5,69.0,85.0,78.0,87.0,98.0,109.0,88.0,102.0,98.0,,,,0.626,,0.006,0.01,0.67,,2.44,-1.94,91.8,,80.7,0.275,0.0,,0.4,45.0,95.0,88.0,123.0,104.0,111.0,0.018000000000000002,0.33899999999999997,0.89,0.54,92.2,83.3,0.217,0.25,,,,,,,,
6,2023-08-24,716870,Groundout,field_out,True,668804,657006,Bryan Reynolds,Justin Steele,1,0,0,7c4ab1f1-f1a9-49db-8c71-0675f064085a,657006.0,justinsteele,Steele,Left,Justin Steele,3.06,3.5,173.1,102.0,99.0,102.0,0.7809999999999999,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,87.5,69.0,85.0,78.0,87.0,98.0,109.0,88.0,102.0,98.0,,,,0.626,,0.006,0.01,0.67,,2.44,-1.94,91.8,,80.7,0.275,0.0,,0.4,45.0,95.0,88.0,123.0,104.0,111.0,0.018000000000000002,0.33899999999999997,0.89,0.54,92.2,83.3,0.217,0.25,,,,,,,,
7,2023-08-24,716870,Walk,walk,False,656582,657006,Connor Joe,Justin Steele,1,0,0,e2ac67bf-b765-4e04-aece-c7690600bbf9,657006.0,justinsteele,Steele,Left,Justin Steele,3.06,3.5,173.1,102.0,99.0,102.0,0.7809999999999999,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,87.5,69.0,85.0,78.0,87.0,98.0,109.0,88.0,102.0,98.0,,,,0.626,,0.006,0.01,0.67,,2.44,-1.94,91.8,,80.7,0.275,0.0,,0.4,45.0,95.0,88.0,123.0,104.0,111.0,0.018000000000000002,0.33899999999999997,0.89,0.54,92.2,83.3,0.217,0.25,,,,,,,,
8,2023-08-24,716870,Strikeout,strikeout,True,641943,657006,Joshua Palacios,Justin Steele,0,0,0,aeaa42f7-e6f2-4cef-93b3-ece1699463ab,657006.0,justinsteele,Steele,Left,Justin Steele,3.06,3.5,173.1,102.0,99.0,102.0,0.7809999999999999,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,87.5,69.0,85.0,78.0,87.0,98.0,109.0,88.0,102.0,98.0,,,,0.626,,0.006,0.01,0.67,,2.44,-1.94,91.8,,80.7,0.275,0.0,,0.4,45.0,95.0,88.0,123.0,104.0,111.0,0.018000000000000002,0.33899999999999997,0.89,0.54,92.2,83.3,0.217,0.25,,,,,,,,
9,2023-08-24,716870,Double,double,False,673548,656578,Seiya Suzuki,Andre Jackson,1,0,0,f679d2f1-c705-467d-8e39-3e90017289e2,656578.0,andrejackson,Jackson,Right,Andre Jackson,4.99,5.37,61.1,101.0,93.0,97.0,0.782,8.36,3.23,7.63,1.61,0.91,0.267,0.449,0.125,0.415,0.429,86.9,85.0,106.0,100.0,96.0,93.0,93.0,99.0,98.0,94.0,,,,0.446,,0.065,0.32,0.74,,1.88,-1.7,94.9,,81.5,0.222,0.067,,0.273,,,,90.0,101.0,103.0,,0.17,,1.4,,87.1,0.148,,,,,,,,,
