,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSI,vSL,vCU,FF_ba,CU_ba,FC_ba,SL_ba,CH_ba,SI_ba,KC%,wKC/C,vKC,ST_ba,FS_ba
0,2023-07-28,717224,Strikeout,strikeout,True,543760,605397,Marcus Semien,Joe Musgrove,0,0,0,2d3b1d8a-91a1-4590-8c9c-b57c8e17dd7e,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.43799999999999994,0.154,0.254,0.414,87.1,101.0,102.0,100.0,134.0,107.0,110.0,80.0,105.0,98.0,109.0,98.0,78.0,117.0,110.0,111.0,102.0,99.0,98.0,0.054000000000000006,0.245,0.204,0.145,0.239,0.114,1.77,1.68,3.35,-2.03,0.77,-0.63,93.1,90.1,92.8,82.2,81.3,0.205,0.207,0.302,0.281,0.267,0.261,,,,,
1,2023-07-28,717224,Groundout,field_out,True,608671,605397,Travis Jankowski,Joe Musgrove,0,0,0,7cf6e3f7-aa13-4aa5-97f6-4c366e77355e,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.43799999999999994,0.154,0.254,0.414,87.1,101.0,102.0,100.0,134.0,107.0,110.0,80.0,105.0,98.0,109.0,98.0,78.0,117.0,110.0,111.0,102.0,99.0,98.0,0.054000000000000006,0.245,0.204,0.145,0.239,0.114,1.77,1.68,3.35,-2.03,0.77,-0.63,93.1,90.1,92.8,82.2,81.3,0.205,0.207,0.302,0.281,0.267,0.261,,,,,
2,2023-07-28,717224,Strikeout,strikeout,True,663993,605397,Nathaniel Lowe,Joe Musgrove,0,0,0,73a3f760-2c41-4ff1-a332-10d418f99883,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.43799999999999994,0.154,0.254,0.414,87.1,101.0,102.0,100.0,134.0,107.0,110.0,80.0,105.0,98.0,109.0,98.0,78.0,117.0,110.0,111.0,102.0,99.0,98.0,0.054000000000000006,0.245,0.204,0.145,0.239,0.114,1.77,1.68,3.35,-2.03,0.77,-0.63,93.1,90.1,92.8,82.2,81.3,0.205,0.207,0.302,0.281,0.267,0.261,,,,,
3,2023-07-28,717224,Single,single,False,673490,641540,Ha-Seong Kim,Dane Dunning,0,0,0,a7c55efa-469e-4bdb-bbc8-8120d9d8cae2,641540.0,danedunning,Dunning,Right,Dane Dunning,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.44299999999999995,0.146,0.315,0.415,85.7,65.0,102.0,92.0,78.0,82.0,84.0,71.0,96.0,85.0,79.0,104.0,94.0,101.0,106.0,106.0,90.0,100.0,95.0,0.331,0.032,0.2,0.23399999999999999,0.016,0.156,-3.75,0.82,1.37,0.14,-3.56,-0.87,90.5,88.9,91.0,82.1,78.1,0.294,0.25,0.258,0.212,0.301,0.246,0.032,-0.43,77.5,,
4,2023-07-28,717224,Strikeout,strikeout,True,665487,641540,Fernando Tatis Jr.,Dane Dunning,0,0,1,0a14b0cf-c7bb-4362-819e-a43130efbf99,641540.0,danedunning,Dunning,Right,Dane Dunning,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.44299999999999995,0.146,0.315,0.415,85.7,65.0,102.0,92.0,78.0,82.0,84.0,71.0,96.0,85.0,79.0,104.0,94.0,101.0,106.0,106.0,90.0,100.0,95.0,0.331,0.032,0.2,0.23399999999999999,0.016,0.156,-3.75,0.82,1.37,0.14,-3.56,-0.87,90.5,88.9,91.0,82.1,78.1,0.294,0.25,0.258,0.212,0.301,0.246,0.032,-0.43,77.5,,
5,2023-07-28,717224,Single,single,False,665742,641540,Juan Soto,Dane Dunning,0,0,1,959593b6-b9c5-4e30-b0b4-af6216968181,641540.0,danedunning,Dunning,Right,Dane Dunning,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.44299999999999995,0.146,0.315,0.415,85.7,65.0,102.0,92.0,78.0,82.0,84.0,71.0,96.0,85.0,79.0,104.0,94.0,101.0,106.0,106.0,90.0,100.0,95.0,0.331,0.032,0.2,0.23399999999999999,0.016,0.156,-3.75,0.82,1.37,0.14,-3.56,-0.87,90.5,88.9,91.0,82.1,78.1,0.294,0.25,0.258,0.212,0.301,0.246,0.032,-0.43,77.5,,
6,2023-07-28,717224,Pop Out,field_out,True,592518,641540,Manny Machado,Dane Dunning,0,0,0,6b28dc5c-d242-4078-bdef-ec4f71f97b11,641540.0,danedunning,Dunning,Right,Dane Dunning,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.44299999999999995,0.146,0.315,0.415,85.7,65.0,102.0,92.0,78.0,82.0,84.0,71.0,96.0,85.0,79.0,104.0,94.0,101.0,106.0,106.0,90.0,100.0,95.0,0.331,0.032,0.2,0.23399999999999999,0.016,0.156,-3.75,0.82,1.37,0.14,-3.56,-0.87,90.5,88.9,91.0,82.1,78.1,0.294,0.25,0.258,0.212,0.301,0.246,0.032,-0.43,77.5,,
7,2023-07-28,717224,Pop Out,field_out,True,593428,641540,Xander Bogaerts,Dane Dunning,1,0,0,86a1b224-54c7-4528-b432-de82d457de3e,641540.0,danedunning,Dunning,Right,Dane Dunning,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.44299999999999995,0.146,0.315,0.415,85.7,65.0,102.0,92.0,78.0,82.0,84.0,71.0,96.0,85.0,79.0,104.0,94.0,101.0,106.0,106.0,90.0,100.0,95.0,0.331,0.032,0.2,0.23399999999999999,0.016,0.156,-3.75,0.82,1.37,0.14,-3.56,-0.87,90.5,88.9,91.0,82.1,78.1,0.294,0.25,0.258,0.212,0.301,0.246,0.032,-0.43,77.5,,
8,2023-07-28,717224,Single,single,False,666969,605397,Adolis García,Joe Musgrove,0,0,0,129fb6c8-2bb2-4190-9dcc-115b03db7bd9,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.43799999999999994,0.154,0.254,0.414,87.1,101.0,102.0,100.0,134.0,107.0,110.0,80.0,105.0,98.0,109.0,98.0,78.0,117.0,110.0,111.0,102.0,99.0,98.0,0.054000000000000006,0.245,0.204,0.145,0.239,0.114,1.77,1.68,3.35,-2.03,0.77,-0.63,93.1,90.1,92.8,82.2,81.3,0.205,0.207,0.302,0.281,0.267,0.261,,,,,
9,2023-07-28,717224,Forceout,force_out,True,673962,605397,Josh Jung,Joe Musgrove,1,0,1,17ead203-c185-4919-a971-da5e04a85f72,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.43799999999999994,0.154,0.254,0.414,87.1,101.0,102.0,100.0,134.0,107.0,110.0,80.0,105.0,98.0,109.0,98.0,78.0,117.0,110.0,111.0,102.0,99.0,98.0,0.054000000000000006,0.245,0.204,0.145,0.239,0.114,1.77,1.68,3.35,-2.03,0.77,-0.63,93.1,90.1,92.8,82.2,81.3,0.205,0.207,0.302,0.281,0.267,0.261,,,,,
