,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,FF_ba,SL_ba,SI_ba,ST_ba,CH_ba,CU_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba
74,2023-05-29,717969,Single,single,False,518934,623167,DJ LeMahieu,Chris Flexen,1,0,0,4ab255ee-ee85-4389-9a00-3e6c6ff4c245,623167.0,chrisflexen,Flexen,Right,Chris Flexen,6.86,6.2,102.1,99.0,83.0,93.0,0.794,6.51,3.34,11.7,2.2,1.05,0.257,0.41700000000000004,0.13699999999999998,0.34600000000000003,0.401,81.0,93.0,97.0,97.0,92.0,95.0,111.0,65.0,98.0,84.0,49.0,106.0,76.0,122.0,107.0,111.0,0.019,0.409,0.09699999999999999,0.022000000000000002,0.16,-2.66,-7.15,-2.44,2.61,0.72,91.9,90.9,80.8,71.6,0.379,0.296,0.6,0.389,0.213,0.125,87.0,100.0,94.0,0.293,-0.47,87.9,0.287
75,2023-05-29,717969,Single,single,False,656185,623167,Greg Allen,Chris Flexen,1,0,1,de329c20-4b31-4fa9-bfd9-a977e5356c84,623167.0,chrisflexen,Flexen,Right,Chris Flexen,6.86,6.2,102.1,99.0,83.0,93.0,0.794,6.51,3.34,11.7,2.2,1.05,0.257,0.41700000000000004,0.13699999999999998,0.34600000000000003,0.401,81.0,93.0,97.0,97.0,92.0,95.0,111.0,65.0,98.0,84.0,49.0,106.0,76.0,122.0,107.0,111.0,0.019,0.409,0.09699999999999999,0.022000000000000002,0.16,-2.66,-7.15,-2.44,2.61,0.72,91.9,90.9,80.8,71.6,0.379,0.296,0.6,0.389,0.213,0.125,87.0,100.0,94.0,0.293,-0.47,87.9,0.287
76,2023-05-29,717969,Walk,walk,False,641343,623167,Jake Bauers,Chris Flexen,0,0,1,3e45a4ae-bf89-49c8-9e9b-7719ef6f77d7,623167.0,chrisflexen,Flexen,Right,Chris Flexen,6.86,6.2,102.1,99.0,83.0,93.0,0.794,6.51,3.34,11.7,2.2,1.05,0.257,0.41700000000000004,0.13699999999999998,0.34600000000000003,0.401,81.0,93.0,97.0,97.0,92.0,95.0,111.0,65.0,98.0,84.0,49.0,106.0,76.0,122.0,107.0,111.0,0.019,0.409,0.09699999999999999,0.022000000000000002,0.16,-2.66,-7.15,-2.44,2.61,0.72,91.9,90.9,80.8,71.6,0.379,0.296,0.6,0.389,0.213,0.125,87.0,100.0,94.0,0.293,-0.47,87.9,0.287
77,2023-05-29,717969,Strikeout,strikeout,True,643396,623167,Isiah Kiner-Falefa,Chris Flexen,0,0,0,a66342fb-0a66-4350-b072-ccc6ccc12723,623167.0,chrisflexen,Flexen,Right,Chris Flexen,6.86,6.2,102.1,99.0,83.0,93.0,0.794,6.51,3.34,11.7,2.2,1.05,0.257,0.41700000000000004,0.13699999999999998,0.34600000000000003,0.401,81.0,93.0,97.0,97.0,92.0,95.0,111.0,65.0,98.0,84.0,49.0,106.0,76.0,122.0,107.0,111.0,0.019,0.409,0.09699999999999999,0.022000000000000002,0.16,-2.66,-7.15,-2.44,2.61,0.72,91.9,90.9,80.8,71.6,0.379,0.296,0.6,0.389,0.213,0.125,87.0,100.0,94.0,0.293,-0.47,87.9,0.287
78,2023-05-29,717969,Single,single,False,543309,623167,Kyle Higashioka,Chris Flexen,0,0,1,0ea38de3-b700-400c-826d-cd7ea0d32343,623167.0,chrisflexen,Flexen,Right,Chris Flexen,6.86,6.2,102.1,99.0,83.0,93.0,0.794,6.51,3.34,11.7,2.2,1.05,0.257,0.41700000000000004,0.13699999999999998,0.34600000000000003,0.401,81.0,93.0,97.0,97.0,92.0,95.0,111.0,65.0,98.0,84.0,49.0,106.0,76.0,122.0,107.0,111.0,0.019,0.409,0.09699999999999999,0.022000000000000002,0.16,-2.66,-7.15,-2.44,2.61,0.72,91.9,90.9,80.8,71.6,0.379,0.296,0.6,0.389,0.213,0.125,87.0,100.0,94.0,0.293,-0.47,87.9,0.287
79,2023-05-29,717969,Pop Out,field_out,True,665828,623167,Oswaldo Cabrera,Chris Flexen,1,0,0,90eafaf7-0acb-4aac-bc9e-8446f03d872a,623167.0,chrisflexen,Flexen,Right,Chris Flexen,6.86,6.2,102.1,99.0,83.0,93.0,0.794,6.51,3.34,11.7,2.2,1.05,0.257,0.41700000000000004,0.13699999999999998,0.34600000000000003,0.401,81.0,93.0,97.0,97.0,92.0,95.0,111.0,65.0,98.0,84.0,49.0,106.0,76.0,122.0,107.0,111.0,0.019,0.409,0.09699999999999999,0.022000000000000002,0.16,-2.66,-7.15,-2.44,2.61,0.72,91.9,90.9,80.8,71.6,0.379,0.296,0.6,0.389,0.213,0.125,87.0,100.0,94.0,0.293,-0.47,87.9,0.287
80,2023-05-29,717969,Lineout,field_out,True,650402,623167,Gleyber Torres,Chris Flexen,0,0,0,69b9daba-5411-4d18-ba04-e707a5563526,623167.0,chrisflexen,Flexen,Right,Chris Flexen,6.86,6.2,102.1,99.0,83.0,93.0,0.794,6.51,3.34,11.7,2.2,1.05,0.257,0.41700000000000004,0.13699999999999998,0.34600000000000003,0.401,81.0,93.0,97.0,97.0,92.0,95.0,111.0,65.0,98.0,84.0,49.0,106.0,76.0,122.0,107.0,111.0,0.019,0.409,0.09699999999999999,0.022000000000000002,0.16,-2.66,-7.15,-2.44,2.61,0.72,91.9,90.9,80.8,71.6,0.379,0.296,0.6,0.389,0.213,0.125,87.0,100.0,94.0,0.293,-0.47,87.9,0.287
81,2023-05-29,717969,Walk,walk,False,666211,656061,Taylor Trammell,Albert Abreu,1,0,0,9724c421-8a39-43c1-9941-9bc29c310273,656061.0,albertabreu,"Abreu, A",Right,Albert Abreu,4.73,4.61,59.0,96.0,104.0,96.0,0.764,9.31,5.34,7.93,1.37,1.25,0.273,0.39399999999999996,0.152,0.327,0.415,88.3,90.0,96.0,95.0,,,,111.0,96.0,93.0,104.0,96.0,92.0,108.0,98.0,105.0,0.5429999999999999,0.033,0.281,,0.14400000000000002,0.25,-1.06,1.28,,-1.31,96.7,97.4,87.7,,0.25,0.109,0.294,,0.25,,,,,,,,
82,2023-05-29,717969,Strikeout,strikeout,True,676609,656061,José Caballero,Albert Abreu,0,0,0,f90fe9b6-263d-4659-80a8-9ac5704ca344,656061.0,albertabreu,"Abreu, A",Right,Albert Abreu,4.73,4.61,59.0,96.0,104.0,96.0,0.764,9.31,5.34,7.93,1.37,1.25,0.273,0.39399999999999996,0.152,0.327,0.415,88.3,90.0,96.0,95.0,,,,111.0,96.0,93.0,104.0,96.0,92.0,108.0,98.0,105.0,0.5429999999999999,0.033,0.281,,0.14400000000000002,0.25,-1.06,1.28,,-1.31,96.7,97.4,87.7,,0.25,0.109,0.294,,0.25,,,,,,,,
83,2023-05-29,717969,Lineout,field_out,True,641487,656061,J.P. Crawford,Albert Abreu,0,0,0,7afe1684-baec-4944-a4e1-1e375fe16bf4,656061.0,albertabreu,"Abreu, A",Right,Albert Abreu,4.73,4.61,59.0,96.0,104.0,96.0,0.764,9.31,5.34,7.93,1.37,1.25,0.273,0.39399999999999996,0.152,0.327,0.415,88.3,90.0,96.0,95.0,,,,111.0,96.0,93.0,104.0,96.0,92.0,108.0,98.0,105.0,0.5429999999999999,0.033,0.281,,0.14400000000000002,0.25,-1.06,1.28,,-1.31,96.7,97.4,87.7,,0.25,0.109,0.294,,0.25,,,,,,,,
84,2023-05-29,717969,Groundout,field_out,True,664034,656061,Ty France,Albert Abreu,1,0,1,f2b0010b-c618-4996-a3d6-9182d7f60904,656061.0,albertabreu,"Abreu, A",Right,Albert Abreu,4.73,4.61,59.0,96.0,104.0,96.0,0.764,9.31,5.34,7.93,1.37,1.25,0.273,0.39399999999999996,0.152,0.327,0.415,88.3,90.0,96.0,95.0,,,,111.0,96.0,93.0,104.0,96.0,92.0,108.0,98.0,105.0,0.5429999999999999,0.033,0.281,,0.14400000000000002,0.25,-1.06,1.28,,-1.31,96.7,97.4,87.7,,0.25,0.109,0.294,,0.25,,,,,,,,
