,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,FF_ba,CH_ba,SL_ba,CU_ba,SI_ba,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2023-05-28,717985,Double,double,False,657041,663738,Lane Thomas,Daniel Lynch IV,0,0,0,2d33276d-2994-457c-9ff1-2b101eb622d9,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,0.293,0.125,0.238,0.417,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-05-28,717985,Lineout,field_out,True,671277,663738,Luis García Jr.,Daniel Lynch IV,1,0,0,aaa5ef15-17e2-4fa5-92df-29d3ea0504d3,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,0.293,0.125,0.238,0.417,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-05-28,717985,Walk,walk,False,608841,663738,Joey Meneses,Daniel Lynch IV,1,0,0,0a5be8d9-e6b2-48e4-9f13-37722e86f7f5,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,0.293,0.125,0.238,0.417,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-05-28,717985,Strikeout,strikeout,True,656448,663738,Stone Garrett,Daniel Lynch IV,0,0,0,5d85c8db-8c3c-42fb-a610-b8f2819bd9b4,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,0.293,0.125,0.238,0.417,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-05-28,717985,Groundout,field_out,True,642086,663738,Dominic Smith,Daniel Lynch IV,0,0,0,3174e5c0-0637-4544-9e13-d09e7b05325a,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,0.293,0.125,0.238,0.417,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023-05-28,717985,Double,double,False,668472,669022,Nick Pratto,MacKenzie Gore,0,0,0,8bc1f029-b06c-46d6-ad8c-315b8dc1e5cc,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,0.279,0.188,0.213,0.257,,4.42,5.2,136.1,97.0,100.0,101.0,0.7490000000000001,9.97,3.76,8.85,1.78,0.97,0.26,0.391,0.158,0.354,0.409,86.5,69.0,88.0,90.0,72.0,99.0,104.0,112.0,98.0,100.0,101.0,97.0,102.0,0.595,0.188,0.188,0.028999999999999998,-0.27,0.77,-0.85,1.1,95.0,88.5,83.2,,,,,,,,,,,,,,,,,,,,
6,2023-05-28,717985,Groundout,field_out,True,521692,669022,Salvador Perez,MacKenzie Gore,0,0,0,76e658d2-ef09-484d-add0-9b83db2aaa95,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,0.279,0.188,0.213,0.257,,4.42,5.2,136.1,97.0,100.0,101.0,0.7490000000000001,9.97,3.76,8.85,1.78,0.97,0.26,0.391,0.158,0.354,0.409,86.5,69.0,88.0,90.0,72.0,99.0,104.0,112.0,98.0,100.0,101.0,97.0,102.0,0.595,0.188,0.188,0.028999999999999998,-0.27,0.77,-0.85,1.1,95.0,88.5,83.2,,,,,,,,,,,,,,,,,,,,
7,2023-05-28,717985,Fielders Choice Out,fielders_choice_out,True,686469,669022,Vinnie Pasquantino,MacKenzie Gore,0,0,1,b497e600-51b4-465e-9316-41e5f8aa43d0,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,0.279,0.188,0.213,0.257,,4.42,5.2,136.1,97.0,100.0,101.0,0.7490000000000001,9.97,3.76,8.85,1.78,0.97,0.26,0.391,0.158,0.354,0.409,86.5,69.0,88.0,90.0,72.0,99.0,104.0,112.0,98.0,100.0,101.0,97.0,102.0,0.595,0.188,0.188,0.028999999999999998,-0.27,0.77,-0.85,1.1,95.0,88.5,83.2,,,,,,,,,,,,,,,,,,,,
8,2023-05-28,717985,Strikeout,strikeout,True,677951,669022,Bobby Witt Jr.,MacKenzie Gore,0,0,0,443f8d29-7388-48f8-8881-0e883fd2bbae,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,0.279,0.188,0.213,0.257,,4.42,5.2,136.1,97.0,100.0,101.0,0.7490000000000001,9.97,3.76,8.85,1.78,0.97,0.26,0.391,0.158,0.354,0.409,86.5,69.0,88.0,90.0,72.0,99.0,104.0,112.0,98.0,100.0,101.0,97.0,102.0,0.595,0.188,0.188,0.028999999999999998,-0.27,0.77,-0.85,1.1,95.0,88.5,83.2,,,,,,,,,,,,,,,,,,,,
9,2023-05-28,717985,Groundout,field_out,True,545121,663738,Ildemaro Vargas,Daniel Lynch IV,0,0,0,a3907e47-57a4-4727-9df2-9248479eddc5,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,0.293,0.125,0.238,0.417,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
