,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,wFA/C,wFC/C,wSL/C,vFA,vFC,vSL,FF_ba,FC_ba,ST_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCU,SL_ba,CU_ba,CH_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SI_ba
0,2023-08-19,716909,Groundout,field_out,True,624585,657571,Jorge Soler,Caleb Ferguson,1,0,0,5d6a670d-2e8a-443f-97b3-7893d5f2e097,657571.0,calebferguson,Ferguson,Left,Caleb Ferguson,3.43,3.85,60.1,101.0,108.0,100.0,0.767,10.44,3.43,9.55,0.6,1.84,0.29600000000000004,0.361,0.166,0.32,0.451,108.0,102.0,101.0,120.0,87.0,98.0,107.0,101.0,99.0,0.665,0.307,0.027999999999999997,0.19,-0.37,0.92,95.8,86.6,80.0,0.277,0.253,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-08-19,716909,Flyout,field_out,True,650333,657571,Luis Arraez,Caleb Ferguson,1,0,0,7e7240ba-bed9-477e-93c9-facb6df43c5b,657571.0,calebferguson,Ferguson,Left,Caleb Ferguson,3.43,3.85,60.1,101.0,108.0,100.0,0.767,10.44,3.43,9.55,0.6,1.84,0.29600000000000004,0.361,0.166,0.32,0.451,108.0,102.0,101.0,120.0,87.0,98.0,107.0,101.0,99.0,0.665,0.307,0.027999999999999997,0.19,-0.37,0.92,95.8,86.6,80.0,0.277,0.253,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-08-19,716909,Single,single,False,605137,657571,Josh Bell,Caleb Ferguson,0,0,0,251ddce2-077a-4f36-96c0-86f7b4be95f9,657571.0,calebferguson,Ferguson,Left,Caleb Ferguson,3.43,3.85,60.1,101.0,108.0,100.0,0.767,10.44,3.43,9.55,0.6,1.84,0.29600000000000004,0.361,0.166,0.32,0.451,108.0,102.0,101.0,120.0,87.0,98.0,107.0,101.0,99.0,0.665,0.307,0.027999999999999997,0.19,-0.37,0.92,95.8,86.6,80.0,0.277,0.253,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-08-19,716909,Single,single,False,665862,657571,Jazz Chisholm Jr.,Caleb Ferguson,1,0,1,79f190ae-8bfd-45fd-919d-2001e0941e57,657571.0,calebferguson,Ferguson,Left,Caleb Ferguson,3.43,3.85,60.1,101.0,108.0,100.0,0.767,10.44,3.43,9.55,0.6,1.84,0.29600000000000004,0.361,0.166,0.32,0.451,108.0,102.0,101.0,120.0,87.0,98.0,107.0,101.0,99.0,0.665,0.307,0.027999999999999997,0.19,-0.37,0.92,95.8,86.6,80.0,0.277,0.253,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-08-19,716909,Flyout,field_out,True,669394,657571,Jake Burger,Caleb Ferguson,1,0,0,678892dd-14db-4f1a-a91e-c689b73e92e6,657571.0,calebferguson,Ferguson,Left,Caleb Ferguson,3.43,3.85,60.1,101.0,108.0,100.0,0.767,10.44,3.43,9.55,0.6,1.84,0.29600000000000004,0.361,0.166,0.32,0.451,108.0,102.0,101.0,120.0,87.0,98.0,107.0,101.0,99.0,0.665,0.307,0.027999999999999997,0.19,-0.37,0.92,95.8,86.6,80.0,0.277,0.253,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023-08-19,716909,Flyout,field_out,True,605141,691587,Mookie Betts,Eury Pérez,1,1,0,41cda7bc-256d-4adb-8eb3-cb392b3b9401,691587.0,euryperez,"Pérez, Eu",Right,Eury Pérez,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.20600000000000002,0.46399999999999997,0.159,0.391,0.40700000000000003,128.0,100.0,109.0,101.0,102.0,107.0,,,,0.45399999999999996,,0.308,-0.47,,0.99,97.5,,86.4,0.289,,,89.7,86.0,85.0,82.0,91.0,95.0,99.0,0.14,0.098,1.89,0.99,81.2,0.183,0.098,0.045,,,,,,,,,,,,,
6,2023-08-19,716909,Pop Out,field_out,True,518692,691587,Freddie Freeman,Eury Pérez,0,0,0,43e43990-1c1b-4b53-a215-f21752b8f47e,691587.0,euryperez,"Pérez, Eu",Right,Eury Pérez,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.20600000000000002,0.46399999999999997,0.159,0.391,0.40700000000000003,128.0,100.0,109.0,101.0,102.0,107.0,,,,0.45399999999999996,,0.308,-0.47,,0.99,97.5,,86.4,0.289,,,89.7,86.0,85.0,82.0,91.0,95.0,99.0,0.14,0.098,1.89,0.99,81.2,0.183,0.098,0.045,,,,,,,,,,,,,
7,2023-08-19,716909,Strikeout,strikeout,True,669257,691587,Will Smith,Eury Pérez,0,0,0,19329f4d-266b-4a9b-80fc-84f65822d410,691587.0,euryperez,"Pérez, Eu",Right,Eury Pérez,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.20600000000000002,0.46399999999999997,0.159,0.391,0.40700000000000003,128.0,100.0,109.0,101.0,102.0,107.0,,,,0.45399999999999996,,0.308,-0.47,,0.99,97.5,,86.4,0.289,,,89.7,86.0,85.0,82.0,91.0,95.0,99.0,0.14,0.098,1.89,0.99,81.2,0.183,0.098,0.045,,,,,,,,,,,,,
8,2023-08-19,716909,Strikeout,strikeout,True,650559,686752,Bryan De La Cruz,Ryan Pepiot,0,0,0,74269024-aacf-4b23-82b1-ab1f6054486e,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,2.14,3.23,42.0,104.0,98.0,103.0,0.757,8.14,1.07,5.79,1.5,0.8,0.27399999999999997,0.41600000000000004,0.177,0.301,0.424,100.0,100.0,97.0,115.0,96.0,101.0,,,,0.506,,0.147,1.83,,0.98,94.0,,88.8,0.156,,,86.3,87.0,115.0,113.0,,,,,0.34700000000000003,,0.55,,0.174,,0.203,,,,,,,,,,,,,
9,2023-08-19,716909,Groundout,field_out,True,660821,686752,Jesús Sánchez,Ryan Pepiot,1,0,0,778c4b08-f6a7-4655-8bef-db29b65f4356,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,2.14,3.23,42.0,104.0,98.0,103.0,0.757,8.14,1.07,5.79,1.5,0.8,0.27399999999999997,0.41600000000000004,0.177,0.301,0.424,100.0,100.0,97.0,115.0,96.0,101.0,,,,0.506,,0.147,1.83,,0.98,94.0,,88.8,0.156,,,86.3,87.0,115.0,113.0,,,,,0.34700000000000003,,0.55,,0.174,,0.203,,,,,,,,,,,,,
10,2023-08-19,716909,Groundout,field_out,True,607732,686752,Jacob Stallings,Ryan Pepiot,1,0,0,f1a0fdec-0c82-4514-a075-1b788791a92e,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,2.14,3.23,42.0,104.0,98.0,103.0,0.757,8.14,1.07,5.79,1.5,0.8,0.27399999999999997,0.41600000000000004,0.177,0.301,0.424,100.0,100.0,97.0,115.0,96.0,101.0,,,,0.506,,0.147,1.83,,0.98,94.0,,88.8,0.156,,,86.3,87.0,115.0,113.0,,,,,0.34700000000000003,,0.55,,0.174,,0.203,,,,,,,,,,,,,
11,2023-08-19,716909,Strikeout,strikeout,True,571970,691587,Max Muncy,Eury Pérez,0,0,0,386c86ff-df34-4390-91a9-48a8c7def06d,691587.0,euryperez,"Pérez, Eu",Right,Eury Pérez,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.20600000000000002,0.46399999999999997,0.159,0.391,0.40700000000000003,128.0,100.0,109.0,101.0,102.0,107.0,,,,0.45399999999999996,,0.308,-0.47,,0.99,97.5,,86.4,0.289,,,89.7,86.0,85.0,82.0,91.0,95.0,99.0,0.14,0.098,1.89,0.99,81.2,0.183,0.098,0.045,,,,,,,,,,,,,
12,2023-08-19,716909,Strikeout,strikeout,True,444482,691587,David Peralta,Eury Pérez,0,0,0,c1c9029d-beaf-480f-a56c-5bdf018099e9,691587.0,euryperez,"Pérez, Eu",Right,Eury Pérez,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.20600000000000002,0.46399999999999997,0.159,0.391,0.40700000000000003,128.0,100.0,109.0,101.0,102.0,107.0,,,,0.45399999999999996,,0.308,-0.47,,0.99,97.5,,86.4,0.289,,,89.7,86.0,85.0,82.0,91.0,95.0,99.0,0.14,0.098,1.89,0.99,81.2,0.183,0.098,0.045,,,,,,,,,,,,,
13,2023-08-19,716909,Double,double,False,621035,691587,Chris Taylor,Eury Pérez,0,0,0,316ecf26-7aa0-4ebb-bf3b-a86c637287f2,691587.0,euryperez,"Pérez, Eu",Right,Eury Pérez,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.20600000000000002,0.46399999999999997,0.159,0.391,0.40700000000000003,128.0,100.0,109.0,101.0,102.0,107.0,,,,0.45399999999999996,,0.308,-0.47,,0.99,97.5,,86.4,0.289,,,89.7,86.0,85.0,82.0,91.0,95.0,99.0,0.14,0.098,1.89,0.99,81.2,0.183,0.098,0.045,,,,,,,,,,,,,
