,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,SL_ba,CU_ba,CH_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SV_ba,ST_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba
27,2023-07-26,717248,Lineout,field_out,True,502054,607074,Tommy Pham,Carlos Rodón,0,0,0,adc31e57-d046-4a86-9c7c-58ce4f8d5620,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
28,2023-07-26,717248,Hit By Pitch,hit_by_pitch,False,643446,607074,Jeff McNeil,Carlos Rodón,0,0,0,8c0f279f-1e2a-4dc5-9f53-283edad8f392,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
29,2023-07-26,717248,Walk,walk,False,592192,607074,Mark Canha,Carlos Rodón,1,0,1,ad1dab6b-baa9-4a18-a855-14c67dca5f75,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
30,2023-07-26,717248,Grounded Into DP,grounded_into_double_play,True,682626,607074,Francisco Alvarez,Carlos Rodón,0,0,1,6b89c436-45a8-4ebb-88e6-651df96e1256,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
31,2023-07-26,717248,Single,single,False,664056,500779,Harrison Bader,Jose Quintana,1,0,1,7144a36f-abea-48c7-b14d-50e847d8ccae,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.18100000000000002,-2.28,,1.45,-1.18,90.2,,77.2,0.391,,0.214,0.276,78.0,99.0,91.0,0.32299999999999995,3.29,90.4,0.196,0.211,,,,,,,,
32,2023-07-26,717248,Single,single,False,683011,500779,Anthony Volpe,Jose Quintana,1,0,1,ac0202eb-2975-4572-98dd-4b76c6b5a113,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.18100000000000002,-2.28,,1.45,-1.18,90.2,,77.2,0.391,,0.214,0.276,78.0,99.0,91.0,0.32299999999999995,3.29,90.4,0.196,0.211,,,,,,,,
33,2023-07-26,717248,Flyout,field_out,True,543309,500779,Kyle Higashioka,Jose Quintana,1,0,0,050793c6-151c-4485-8cf2-5636534c8fe0,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.18100000000000002,-2.28,,1.45,-1.18,90.2,,77.2,0.391,,0.214,0.276,78.0,99.0,91.0,0.32299999999999995,3.29,90.4,0.196,0.211,,,,,,,,
34,2023-07-26,717248,Strikeout,strikeout,True,672724,500779,Oswald Peraza,Jose Quintana,0,0,0,088bb44e-df2a-42fb-91ab-f55070c71923,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.18100000000000002,-2.28,,1.45,-1.18,90.2,,77.2,0.391,,0.214,0.276,78.0,99.0,91.0,0.32299999999999995,3.29,90.4,0.196,0.211,,,,,,,,
35,2023-07-26,717248,Lineout,field_out,True,643396,500779,Isiah Kiner-Falefa,Jose Quintana,0,0,0,83efeffa-30ff-4dcc-96a7-d784c55d08f0,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.18100000000000002,-2.28,,1.45,-1.18,90.2,,77.2,0.391,,0.214,0.276,78.0,99.0,91.0,0.32299999999999995,3.29,90.4,0.196,0.211,,,,,,,,
36,2023-07-26,717248,Strikeout,strikeout,True,664901,607074,Danny Mendick,Carlos Rodón,0,0,0,ebd6af50-7a83-4774-a5bf-17aa3e6b701b,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
