,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CU%,CH%,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFC,vSI,vSL,vCU,FC_ba,CH_ba,CU_ba,SL_ba,SI_ba,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,ST_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2023-04-05,718698,Groundout,field_out,True,607043,669203,Brandon Nimmo,Corbin Burnes,1,0,0,1f0a1e28-8aab-43d4-860a-7cfc2d4fcc1f,669203.0,corbinburnes,Burnes,Right,Corbin Burnes,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.45899999999999996,0.19,0.29,0.38,89.3,82.0,105.0,112.0,160.0,104.0,113.0,103.0,97.0,90.0,144.0,110.0,127.0,127.0,101.0,103.0,0.077,0.5539999999999999,0.085,0.171,0.11199999999999999,1.51,-2.42,1.12,1.35,1.07,94.4,95.3,86.0,79.8,0.209,0.204,0.133,0.159,0.291,,,,,,,,,,,,,,
1,2023-04-05,718698,Hit By Pitch,hit_by_pitch,False,516782,669203,Starling Marte,Corbin Burnes,0,0,0,bc9c8621-39aa-4907-b486-41da7e985fc1,669203.0,corbinburnes,Burnes,Right,Corbin Burnes,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.45899999999999996,0.19,0.29,0.38,89.3,82.0,105.0,112.0,160.0,104.0,113.0,103.0,97.0,90.0,144.0,110.0,127.0,127.0,101.0,103.0,0.077,0.5539999999999999,0.085,0.171,0.11199999999999999,1.51,-2.42,1.12,1.35,1.07,94.4,95.3,86.0,79.8,0.209,0.204,0.133,0.159,0.291,,,,,,,,,,,,,,
2,2023-04-05,718698,Double,double,False,596019,669203,Francisco Lindor,Corbin Burnes,0,0,1,8122b0a1-68d9-4a13-be2d-b635a74a26bb,669203.0,corbinburnes,Burnes,Right,Corbin Burnes,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.45899999999999996,0.19,0.29,0.38,89.3,82.0,105.0,112.0,160.0,104.0,113.0,103.0,97.0,90.0,144.0,110.0,127.0,127.0,101.0,103.0,0.077,0.5539999999999999,0.085,0.171,0.11199999999999999,1.51,-2.42,1.12,1.35,1.07,94.4,95.3,86.0,79.8,0.209,0.204,0.133,0.159,0.291,,,,,,,,,,,,,,
3,2023-04-05,718698,Strikeout,strikeout,True,624413,669203,Pete Alonso,Corbin Burnes,0,0,0,5ac599fb-e6a1-4e3b-9df6-0a826692f3e8,669203.0,corbinburnes,Burnes,Right,Corbin Burnes,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.45899999999999996,0.19,0.29,0.38,89.3,82.0,105.0,112.0,160.0,104.0,113.0,103.0,97.0,90.0,144.0,110.0,127.0,127.0,101.0,103.0,0.077,0.5539999999999999,0.085,0.171,0.11199999999999999,1.51,-2.42,1.12,1.35,1.07,94.4,95.3,86.0,79.8,0.209,0.204,0.133,0.159,0.291,,,,,,,,,,,,,,
4,2023-04-05,718698,Walk,walk,False,596129,669203,Daniel Vogelbach,Corbin Burnes,1,0,0,0c887322-a9bf-4316-994a-d5515ca9ba8a,669203.0,corbinburnes,Burnes,Right,Corbin Burnes,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.45899999999999996,0.19,0.29,0.38,89.3,82.0,105.0,112.0,160.0,104.0,113.0,103.0,97.0,90.0,144.0,110.0,127.0,127.0,101.0,103.0,0.077,0.5539999999999999,0.085,0.171,0.11199999999999999,1.51,-2.42,1.12,1.35,1.07,94.4,95.3,86.0,79.8,0.209,0.204,0.133,0.159,0.291,,,,,,,,,,,,,,
5,2023-04-05,718698,Lineout,field_out,True,643446,669203,Jeff McNeil,Corbin Burnes,0,0,0,b2801889-7595-4c74-b3fa-b97e588e1012,669203.0,corbinburnes,Burnes,Right,Corbin Burnes,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.45899999999999996,0.19,0.29,0.38,89.3,82.0,105.0,112.0,160.0,104.0,113.0,103.0,97.0,90.0,144.0,110.0,127.0,127.0,101.0,103.0,0.077,0.5539999999999999,0.085,0.171,0.11199999999999999,1.51,-2.42,1.12,1.35,1.07,94.4,95.3,86.0,79.8,0.209,0.204,0.133,0.159,0.291,,,,,,,,,,,,,,
6,2023-04-05,718698,Lineout,field_out,True,670712,656849,Mike Brosseau,David Peterson,1,0,0,e0c3b2f5-ba78-475d-801b-5b7b92a2d76f,656849.0,davidpeterson,"Peterson, D",Left,David Peterson,5.03,4.96,111.0,97.0,90.0,94.0,0.727,10.38,4.05,10.05,1.3,2.18,0.256,0.42200000000000004,0.13,0.33799999999999997,0.37799999999999995,85.3,84.0,97.0,93.0,89.0,97.0,99.0,97.0,97.0,95.0,105.0,99.0,102.0,,,,0.253,,0.19699999999999998,0.08800000000000001,0.18899999999999997,,0.66,-2.58,2.63,-1.35,,91.5,85.3,78.6,,0.325,0.2,0.268,0.314,76.0,95.0,87.0,0.273,-0.83,92.7,0.287,,,,,,,
7,2023-04-05,718698,Walk,walk,False,642715,656849,Willy Adames,David Peterson,0,0,0,e32d2a16-b9ea-4f8d-91af-ade96dff733c,656849.0,davidpeterson,"Peterson, D",Left,David Peterson,5.03,4.96,111.0,97.0,90.0,94.0,0.727,10.38,4.05,10.05,1.3,2.18,0.256,0.42200000000000004,0.13,0.33799999999999997,0.37799999999999995,85.3,84.0,97.0,93.0,89.0,97.0,99.0,97.0,97.0,95.0,105.0,99.0,102.0,,,,0.253,,0.19699999999999998,0.08800000000000001,0.18899999999999997,,0.66,-2.58,2.63,-1.35,,91.5,85.3,78.6,,0.325,0.2,0.268,0.314,76.0,95.0,87.0,0.273,-0.83,92.7,0.287,,,,,,,
8,2023-04-05,718698,Strikeout,strikeout,True,592885,656849,Christian Yelich,David Peterson,0,0,0,15d95c7d-bdad-4716-8b26-d91a274bd7f3,656849.0,davidpeterson,"Peterson, D",Left,David Peterson,5.03,4.96,111.0,97.0,90.0,94.0,0.727,10.38,4.05,10.05,1.3,2.18,0.256,0.42200000000000004,0.13,0.33799999999999997,0.37799999999999995,85.3,84.0,97.0,93.0,89.0,97.0,99.0,97.0,97.0,95.0,105.0,99.0,102.0,,,,0.253,,0.19699999999999998,0.08800000000000001,0.18899999999999997,,0.66,-2.58,2.63,-1.35,,91.5,85.3,78.6,,0.325,0.2,0.268,0.314,76.0,95.0,87.0,0.273,-0.83,92.7,0.287,,,,,,,
9,2023-04-05,718698,Groundout,field_out,True,661388,656849,William Contreras,David Peterson,1,0,0,fbb6fd61-c9fc-4ead-a2f8-fa6dcb7541df,656849.0,davidpeterson,"Peterson, D",Left,David Peterson,5.03,4.96,111.0,97.0,90.0,94.0,0.727,10.38,4.05,10.05,1.3,2.18,0.256,0.42200000000000004,0.13,0.33799999999999997,0.37799999999999995,85.3,84.0,97.0,93.0,89.0,97.0,99.0,97.0,97.0,95.0,105.0,99.0,102.0,,,,0.253,,0.19699999999999998,0.08800000000000001,0.18899999999999997,,0.66,-2.58,2.63,-1.35,,91.5,85.3,78.6,,0.325,0.2,0.268,0.314,76.0,95.0,87.0,0.273,-0.83,92.7,0.287,,,,,,,
