,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,FA%,CH%,wFA/C,wCH/C,vFA,CH_ba,FF_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,wSI/C,wSL/C,vSI,vSL,SI_ba,ST_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,SL_ba,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC
0,2023-06-28,717586,Single,single,False,664774,670950,LaMonte Wade Jr.,Trevor Richards,1,0,0,089fe220-8a54-4233-b9c1-cf04a91b9beb,670950.0,trevorrichards,"Richards, T",Right,Trevor Richards,4.95,3.55,72.2,98.0,104.0,106.0,0.647,13.0,4.33,7.8,1.61,0.65,0.289,0.41,0.19699999999999998,0.324,0.331,82.5,103.0,98.0,112.0,105.0,97.0,98.0,0.434,0.5660000000000001,-1.19,0.98,92.8,0.165,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-06-28,717586,Strikeout,strikeout,True,642731,670950,Thairo Estrada,Trevor Richards,0,0,0,52360964-0bce-44e5-b45a-22c003f62d22,670950.0,trevorrichards,"Richards, T",Right,Trevor Richards,4.95,3.55,72.2,98.0,104.0,106.0,0.647,13.0,4.33,7.8,1.61,0.65,0.289,0.41,0.19699999999999998,0.324,0.331,82.5,103.0,98.0,112.0,105.0,97.0,98.0,0.434,0.5660000000000001,-1.19,0.98,92.8,0.165,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-06-28,717586,Strikeout,strikeout,True,605204,670950,J.D. Davis,Trevor Richards,0,0,0,feda5735-0540-4801-99ef-1dfedf80fae9,670950.0,trevorrichards,"Richards, T",Right,Trevor Richards,4.95,3.55,72.2,98.0,104.0,106.0,0.647,13.0,4.33,7.8,1.61,0.65,0.289,0.41,0.19699999999999998,0.324,0.331,82.5,103.0,98.0,112.0,105.0,97.0,98.0,0.434,0.5660000000000001,-1.19,0.98,92.8,0.165,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-06-28,717586,Walk,walk,False,592626,670950,Joc Pederson,Trevor Richards,1,0,1,1436d995-3708-4d74-a4c2-c48ba40b9460,670950.0,trevorrichards,"Richards, T",Right,Trevor Richards,4.95,3.55,72.2,98.0,104.0,106.0,0.647,13.0,4.33,7.8,1.61,0.65,0.289,0.41,0.19699999999999998,0.324,0.331,82.5,103.0,98.0,112.0,105.0,97.0,98.0,0.434,0.5660000000000001,-1.19,0.98,92.8,0.165,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-06-28,717586,Strikeout,strikeout,True,672275,670950,Patrick Bailey,Trevor Richards,0,0,0,6bac5fbd-f881-4c91-ac86-c2e3208eab8b,670950.0,trevorrichards,"Richards, T",Right,Trevor Richards,4.95,3.55,72.2,98.0,104.0,106.0,0.647,13.0,4.33,7.8,1.61,0.65,0.289,0.41,0.19699999999999998,0.324,0.331,82.5,103.0,98.0,112.0,105.0,97.0,98.0,0.434,0.5660000000000001,-1.19,0.98,92.8,0.165,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023-06-28,717586,Double,double,False,543807,657277,George Springer,Logan Webb,1,1,0,ce1703d5-cfb9-4f15-aeab-f4ff1d310b47,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,0.037000000000000005,0.41600000000000004,-1.37,2.18,92.6,0.225,0.226,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.212,0.31,0.11,92.3,84.3,0.313,0.208,,,,,,,,,,,,,,,,,,,,
6,2023-06-28,717586,Single,single,False,666182,657277,Bo Bichette,Logan Webb,0,0,1,14d91da7-4af8-4d20-a8f6-14ea5544b708,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,0.037000000000000005,0.41600000000000004,-1.37,2.18,92.6,0.225,0.226,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.212,0.31,0.11,92.3,84.3,0.313,0.208,,,,,,,,,,,,,,,,,,,,
7,2023-06-28,717586,Double,double,False,474832,657277,Brandon Belt,Logan Webb,0,0,1,80728c86-516c-4591-8ebc-46548a4b5b13,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,0.037000000000000005,0.41600000000000004,-1.37,2.18,92.6,0.225,0.226,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.212,0.31,0.11,92.3,84.3,0.313,0.208,,,,,,,,,,,,,,,,,,,,
8,2023-06-28,717586,Groundout,field_out,True,665489,657277,Vladimir Guerrero Jr.,Logan Webb,0,0,0,c0ed07ac-d8d3-47ab-af5b-4f509c72457a,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,0.037000000000000005,0.41600000000000004,-1.37,2.18,92.6,0.225,0.226,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.212,0.31,0.11,92.3,84.3,0.313,0.208,,,,,,,,,,,,,,,,,,,,
9,2023-06-28,717586,Flyout,field_out,True,656305,657277,Matt Chapman,Logan Webb,0,0,1,7ec642e9-91d7-417a-8e3c-1cbe73234898,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,0.037000000000000005,0.41600000000000004,-1.37,2.18,92.6,0.225,0.226,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.212,0.31,0.11,92.3,84.3,0.313,0.208,,,,,,,,,,,,,,,,,,,,
