,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,FS_ba,SI_ba,FF_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCU,CH_ba,SL_ba,ST_ba,CU_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba
10,2023-09-10,716634,Sac Fly,sac_fly,True,656248,676775,Sean Bouchard,Keaton Winn,0,0,1,18a12ee3-bad9-4927-9bf2-def2da087730,676775.0,keatonwinn,Winn,Right,Keaton Winn,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.21100000000000002,0.455,0.098,0.366,0.451,91.0,105.0,98.0,85.0,92.0,90.0,119.0,107.0,104.0,143.0,99.0,110.0,0.153,0.258,0.5539999999999999,0.035,-1.55,1.11,-0.06,2.19,95.9,88.7,95.5,85.9,0.221,0.25,0.24,,,,,,,,,,,,,,,,,,,,,,,
11,2023-09-10,716634,Strikeout,strikeout,True,676701,676775,Alan Trejo,Keaton Winn,0,0,0,616095c0-ec90-40cb-a4a4-e4b6f0f1ef98,676775.0,keatonwinn,Winn,Right,Keaton Winn,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.21100000000000002,0.455,0.098,0.366,0.451,91.0,105.0,98.0,85.0,92.0,90.0,119.0,107.0,104.0,143.0,99.0,110.0,0.153,0.258,0.5539999999999999,0.035,-1.55,1.11,-0.06,2.19,95.9,88.7,95.5,85.9,0.221,0.25,0.24,,,,,,,,,,,,,,,,,,,,,,,
12,2023-09-10,716634,Groundout,field_out,True,642851,676775,Austin Wynns,Keaton Winn,0,0,0,e921d0c5-db25-4929-bf38-ca622cead7eb,676775.0,keatonwinn,Winn,Right,Keaton Winn,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.21100000000000002,0.455,0.098,0.366,0.451,91.0,105.0,98.0,85.0,92.0,90.0,119.0,107.0,104.0,143.0,99.0,110.0,0.153,0.258,0.5539999999999999,0.035,-1.55,1.11,-0.06,2.19,95.9,88.7,95.5,85.9,0.221,0.25,0.24,,,,,,,,,,,,,,,,,,,,,,,
13,2023-09-10,716634,Single,single,False,664774,663567,LaMonte Wade Jr.,Peter Lambert,0,0,0,d21fb4d8-2f11-42b2-aead-64ebbe05239d,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,5.36,5.44,87.1,99.0,90.0,95.0,0.7959999999999999,7.32,2.89,9.58,1.85,0.99,0.273,0.365,0.122,0.435,0.424,82.0,97.0,89.0,,,,109.0,104.0,109.0,,,,,0.446,,0.32299999999999995,-0.78,,,-1.15,93.2,,,86.2,,,0.271,86.2,86.0,98.0,92.0,74.0,108.0,101.0,0.032,0.2,1.04,-1.74,78.0,0.235,0.304,0.308,0.267,,,,,,,
14,2023-09-10,716634,Double,double,False,571745,663567,Mitch Haniger,Peter Lambert,0,0,1,e101e7b2-2c50-468c-951b-19fa514cc829,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,5.36,5.44,87.1,99.0,90.0,95.0,0.7959999999999999,7.32,2.89,9.58,1.85,0.99,0.273,0.365,0.122,0.435,0.424,82.0,97.0,89.0,,,,109.0,104.0,109.0,,,,,0.446,,0.32299999999999995,-0.78,,,-1.15,93.2,,,86.2,,,0.271,86.2,86.0,98.0,92.0,74.0,108.0,101.0,0.032,0.2,1.04,-1.74,78.0,0.235,0.304,0.308,0.267,,,,,,,
15,2023-09-10,716634,Flyout,field_out,True,666165,663567,Blake Sabol,Peter Lambert,1,1,0,db1373cd-788e-4a31-a9cd-7a9fa1811046,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,5.36,5.44,87.1,99.0,90.0,95.0,0.7959999999999999,7.32,2.89,9.58,1.85,0.99,0.273,0.365,0.122,0.435,0.424,82.0,97.0,89.0,,,,109.0,104.0,109.0,,,,,0.446,,0.32299999999999995,-0.78,,,-1.15,93.2,,,86.2,,,0.271,86.2,86.0,98.0,92.0,74.0,108.0,101.0,0.032,0.2,1.04,-1.74,78.0,0.235,0.304,0.308,0.267,,,,,,,
16,2023-09-10,716634,Groundout,field_out,True,543063,663567,Brandon Crawford,Peter Lambert,0,0,1,1b463ef9-ac93-4b18-b390-5f32b8a39d99,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,5.36,5.44,87.1,99.0,90.0,95.0,0.7959999999999999,7.32,2.89,9.58,1.85,0.99,0.273,0.365,0.122,0.435,0.424,82.0,97.0,89.0,,,,109.0,104.0,109.0,,,,,0.446,,0.32299999999999995,-0.78,,,-1.15,93.2,,,86.2,,,0.271,86.2,86.0,98.0,92.0,74.0,108.0,101.0,0.032,0.2,1.04,-1.74,78.0,0.235,0.304,0.308,0.267,,,,,,,
17,2023-09-10,716634,Single,single,False,682641,663567,Luis Matos,Peter Lambert,1,0,1,6fde4a06-22af-4c05-b01e-a502794f2f3f,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,5.36,5.44,87.1,99.0,90.0,95.0,0.7959999999999999,7.32,2.89,9.58,1.85,0.99,0.273,0.365,0.122,0.435,0.424,82.0,97.0,89.0,,,,109.0,104.0,109.0,,,,,0.446,,0.32299999999999995,-0.78,,,-1.15,93.2,,,86.2,,,0.271,86.2,86.0,98.0,92.0,74.0,108.0,101.0,0.032,0.2,1.04,-1.74,78.0,0.235,0.304,0.308,0.267,,,,,,,
18,2023-09-10,716634,Pop Out,field_out,True,573262,663567,Mike Yastrzemski,Peter Lambert,0,0,0,8bee25c1-c7ff-4c7c-9b19-aa60903885c0,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,5.36,5.44,87.1,99.0,90.0,95.0,0.7959999999999999,7.32,2.89,9.58,1.85,0.99,0.273,0.365,0.122,0.435,0.424,82.0,97.0,89.0,,,,109.0,104.0,109.0,,,,,0.446,,0.32299999999999995,-0.78,,,-1.15,93.2,,,86.2,,,0.271,86.2,86.0,98.0,92.0,74.0,108.0,101.0,0.032,0.2,1.04,-1.74,78.0,0.235,0.304,0.308,0.267,,,,,,,
19,2023-09-10,716634,Groundout,field_out,True,453568,676775,Charlie Blackmon,Keaton Winn,1,0,0,c6efc296-3cd4-4b67-ba1a-a7109f0b622c,676775.0,keatonwinn,Winn,Right,Keaton Winn,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.21100000000000002,0.455,0.098,0.366,0.451,91.0,105.0,98.0,85.0,92.0,90.0,119.0,107.0,104.0,143.0,99.0,110.0,0.153,0.258,0.5539999999999999,0.035,-1.55,1.11,-0.06,2.19,95.9,88.7,95.5,85.9,0.221,0.25,0.24,,,,,,,,,,,,,,,,,,,,,,,
20,2023-09-10,716634,Groundout,field_out,True,678662,676775,Ezequiel Tovar,Keaton Winn,0,0,0,d2ad6f63-490c-43e9-98d6-f67ba26dd1b2,676775.0,keatonwinn,Winn,Right,Keaton Winn,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.21100000000000002,0.455,0.098,0.366,0.451,91.0,105.0,98.0,85.0,92.0,90.0,119.0,107.0,104.0,143.0,99.0,110.0,0.153,0.258,0.5539999999999999,0.035,-1.55,1.11,-0.06,2.19,95.9,88.7,95.5,85.9,0.221,0.25,0.24,,,,,,,,,,,,,,,,,,,,,,,
21,2023-09-10,716634,Double,double,False,641857,676775,Ryan McMahon,Keaton Winn,1,0,0,584ccba0-e2ef-4e24-96fb-38c8e23b957b,676775.0,keatonwinn,Winn,Right,Keaton Winn,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.21100000000000002,0.455,0.098,0.366,0.451,91.0,105.0,98.0,85.0,92.0,90.0,119.0,107.0,104.0,143.0,99.0,110.0,0.153,0.258,0.5539999999999999,0.035,-1.55,1.11,-0.06,2.19,95.9,88.7,95.5,85.9,0.221,0.25,0.24,,,,,,,,,,,,,,,,,,,,,,,
22,2023-09-10,716634,Strikeout,strikeout,True,660707,676775,Elehuris Montero,Keaton Winn,0,0,0,0f24a7e7-d8f8-4b6d-a404-b23bfc149350,676775.0,keatonwinn,Winn,Right,Keaton Winn,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.21100000000000002,0.455,0.098,0.366,0.451,91.0,105.0,98.0,85.0,92.0,90.0,119.0,107.0,104.0,143.0,99.0,110.0,0.153,0.258,0.5539999999999999,0.035,-1.55,1.11,-0.06,2.19,95.9,88.7,95.5,85.9,0.221,0.25,0.24,,,,,,,,,,,,,,,,,,,,,,,
