,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SI_ba,FC_ba,FF_ba,ST_ba,CU_ba,FS_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,KC%,CH%,wKC/C,wCH/C,vKC,CH_ba,SL_ba
0,2023-07-08,717444,Groundout,field_out,True,670770,607067,TJ Friedl,Colin Rea,1,0,0,bb119bbf-33b9-485b-a866-e610faa04be4,607067.0,colinrea,Rea,Right,Colin Rea,4.55,4.42,124.2,104.0,89.0,99.0,0.7859999999999999,7.94,2.74,7.94,1.66,1.16,0.21600000000000003,0.436,0.12300000000000001,0.359,0.419,101.0,105.0,105.0,82.0,111.0,99.0,96.0,105.0,99.0,97.0,109.0,109.0,87.0,99.0,95.0,62.0,96.0,91.0,0.299,0.193,0.265,0.055999999999999994,0.109,0.079,2.43,-0.01,-5.76,0.31,-0.31,-0.94,93.2,86.7,86.0,92.6,83.1,78.8,0.253,0.245,0.135,0.226,0.242,0.44,,,,,,,,,,,
1,2023-07-08,717444,Strikeout,strikeout,True,680574,607067,Matt McLain,Colin Rea,0,0,0,a56df84f-71d9-4c02-8719-26dfcdfde267,607067.0,colinrea,Rea,Right,Colin Rea,4.55,4.42,124.2,104.0,89.0,99.0,0.7859999999999999,7.94,2.74,7.94,1.66,1.16,0.21600000000000003,0.436,0.12300000000000001,0.359,0.419,101.0,105.0,105.0,82.0,111.0,99.0,96.0,105.0,99.0,97.0,109.0,109.0,87.0,99.0,95.0,62.0,96.0,91.0,0.299,0.193,0.265,0.055999999999999994,0.109,0.079,2.43,-0.01,-5.76,0.31,-0.31,-0.94,93.2,86.7,86.0,92.6,83.1,78.8,0.253,0.245,0.135,0.226,0.242,0.44,,,,,,,,,,,
2,2023-07-08,717444,Single,single,False,663697,607067,Jonathan India,Colin Rea,1,0,0,55bc91dc-82c2-44dd-923b-5460305e21f9,607067.0,colinrea,Rea,Right,Colin Rea,4.55,4.42,124.2,104.0,89.0,99.0,0.7859999999999999,7.94,2.74,7.94,1.66,1.16,0.21600000000000003,0.436,0.12300000000000001,0.359,0.419,101.0,105.0,105.0,82.0,111.0,99.0,96.0,105.0,99.0,97.0,109.0,109.0,87.0,99.0,95.0,62.0,96.0,91.0,0.299,0.193,0.265,0.055999999999999994,0.109,0.079,2.43,-0.01,-5.76,0.31,-0.31,-0.94,93.2,86.7,86.0,92.6,83.1,78.8,0.253,0.245,0.135,0.226,0.242,0.44,,,,,,,,,,,
3,2023-07-08,717444,Forceout,force_out,True,682829,607067,Elly De La Cruz,Colin Rea,0,0,1,f80eb05e-91a0-4021-94d0-cd51d3153c07,607067.0,colinrea,Rea,Right,Colin Rea,4.55,4.42,124.2,104.0,89.0,99.0,0.7859999999999999,7.94,2.74,7.94,1.66,1.16,0.21600000000000003,0.436,0.12300000000000001,0.359,0.419,101.0,105.0,105.0,82.0,111.0,99.0,96.0,105.0,99.0,97.0,109.0,109.0,87.0,99.0,95.0,62.0,96.0,91.0,0.299,0.193,0.265,0.055999999999999994,0.109,0.079,2.43,-0.01,-5.76,0.31,-0.31,-0.94,93.2,86.7,86.0,92.6,83.1,78.8,0.253,0.245,0.135,0.226,0.242,0.44,,,,,,,,,,,
4,2023-07-08,717444,Groundout,field_out,True,592885,596133,Christian Yelich,Luke Weaver,0,0,0,8027f896-e00f-4699-b71d-98792db51813,596133.0,lukeweaver,Weaver,Right,Luke Weaver,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,,,,88.0,102.0,96.0,,,,112.0,101.0,104.0,99.0,103.0,102.0,,,,,0.435,0.11,,0.13699999999999998,,-1.47,0.87,,,-2.22,,94.0,90.3,,,85.8,,,0.218,0.311,0.235,0.255,,86.1,83.0,103.0,100.0,0.11800000000000001,0.2,-1.56,-2.01,81.7,0.316,0.385
5,2023-07-08,717444,Groundout,field_out,True,661388,596133,William Contreras,Luke Weaver,0,0,0,d4dbc44c-0dce-47ae-9165-f7c29197e32a,596133.0,lukeweaver,Weaver,Right,Luke Weaver,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,,,,88.0,102.0,96.0,,,,112.0,101.0,104.0,99.0,103.0,102.0,,,,,0.435,0.11,,0.13699999999999998,,-1.47,0.87,,,-2.22,,94.0,90.3,,,85.8,,,0.218,0.311,0.235,0.255,,86.1,83.0,103.0,100.0,0.11800000000000001,0.2,-1.56,-2.01,81.7,0.316,0.385
6,2023-07-08,717444,Home Run,home_run,False,642715,596133,Willy Adames,Luke Weaver,0,0,0,71efc016-20b1-4d67-a97d-70eed6118e42,596133.0,lukeweaver,Weaver,Right,Luke Weaver,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,,,,88.0,102.0,96.0,,,,112.0,101.0,104.0,99.0,103.0,102.0,,,,,0.435,0.11,,0.13699999999999998,,-1.47,0.87,,,-2.22,,94.0,90.3,,,85.8,,,0.218,0.311,0.235,0.255,,86.1,83.0,103.0,100.0,0.11800000000000001,0.2,-1.56,-2.01,81.7,0.316,0.385
7,2023-07-08,717444,Flyout,field_out,True,680911,596133,Owen Miller,Luke Weaver,0,0,0,46efed49-df5b-4246-8ef4-80014ba8224c,596133.0,lukeweaver,Weaver,Right,Luke Weaver,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,,,,88.0,102.0,96.0,,,,112.0,101.0,104.0,99.0,103.0,102.0,,,,,0.435,0.11,,0.13699999999999998,,-1.47,0.87,,,-2.22,,94.0,90.3,,,85.8,,,0.218,0.311,0.235,0.255,,86.1,83.0,103.0,100.0,0.11800000000000001,0.2,-1.56,-2.01,81.7,0.316,0.385
8,2023-07-08,717444,Strikeout,strikeout,True,641584,607067,Jake Fraley,Colin Rea,0,0,0,f01bdf31-58a2-48fd-8723-4f3ebcbd4cf4,607067.0,colinrea,Rea,Right,Colin Rea,4.55,4.42,124.2,104.0,89.0,99.0,0.7859999999999999,7.94,2.74,7.94,1.66,1.16,0.21600000000000003,0.436,0.12300000000000001,0.359,0.419,101.0,105.0,105.0,82.0,111.0,99.0,96.0,105.0,99.0,97.0,109.0,109.0,87.0,99.0,95.0,62.0,96.0,91.0,0.299,0.193,0.265,0.055999999999999994,0.109,0.079,2.43,-0.01,-5.76,0.31,-0.31,-0.94,93.2,86.7,86.0,92.6,83.1,78.8,0.253,0.245,0.135,0.226,0.242,0.44,,,,,,,,,,,
9,2023-07-08,717444,Double,double,False,458015,607067,Joey Votto,Colin Rea,0,0,0,fc945837-8aa6-46cf-94cd-c6af8fcddf86,607067.0,colinrea,Rea,Right,Colin Rea,4.55,4.42,124.2,104.0,89.0,99.0,0.7859999999999999,7.94,2.74,7.94,1.66,1.16,0.21600000000000003,0.436,0.12300000000000001,0.359,0.419,101.0,105.0,105.0,82.0,111.0,99.0,96.0,105.0,99.0,97.0,109.0,109.0,87.0,99.0,95.0,62.0,96.0,91.0,0.299,0.193,0.265,0.055999999999999994,0.109,0.079,2.43,-0.01,-5.76,0.31,-0.31,-0.94,93.2,86.7,86.0,92.6,83.1,78.8,0.253,0.245,0.135,0.226,0.242,0.44,,,,,,,,,,,
