,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,SI_ba,FS_ba,SL_ba,FF_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCU,CH_ba,CU_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,ST_ba,FC_ba
0,2023-06-08,717845,Flyout,field_out,True,650489,630023,Willi Castro,Yonny Chirinos,0,0,0,61978139-1e6e-491d-aaf6-05cd10a975dd,630023.0,yonnychirinos,"Chirinos, Y",Right,Yonny Chirinos,5.4,6.24,85.0,99.0,106.0,92.0,0.8390000000000001,5.61,2.86,9.64,1.59,1.36,0.192,0.45899999999999996,0.11,0.37,0.44799999999999995,61.0,101.0,89.0,105.0,99.0,95.0,97.0,98.0,95.0,119.0,99.0,83.0,0.469,0.018000000000000002,0.256,0.258,1.57,0.57,-0.31,-2.31,92.9,85.0,92.4,88.8,0.299,0.185,0.361,0.0,,,,,,,,,,,,,,,,,,,,,,
1,2023-06-08,717845,Single,single,False,666135,630023,Alex Kirilloff,Yonny Chirinos,0,0,0,429c661d-3fc5-4541-a56f-0553378630b8,630023.0,yonnychirinos,"Chirinos, Y",Right,Yonny Chirinos,5.4,6.24,85.0,99.0,106.0,92.0,0.8390000000000001,5.61,2.86,9.64,1.59,1.36,0.192,0.45899999999999996,0.11,0.37,0.44799999999999995,61.0,101.0,89.0,105.0,99.0,95.0,97.0,98.0,95.0,119.0,99.0,83.0,0.469,0.018000000000000002,0.256,0.258,1.57,0.57,-0.31,-2.31,92.9,85.0,92.4,88.8,0.299,0.185,0.361,0.0,,,,,,,,,,,,,,,,,,,,,,
2,2023-06-08,717845,Forceout,force_out,True,593871,630023,Jorge Polanco,Yonny Chirinos,0,0,1,8649431a-dc9a-45a5-b206-f09d2eb35069,630023.0,yonnychirinos,"Chirinos, Y",Right,Yonny Chirinos,5.4,6.24,85.0,99.0,106.0,92.0,0.8390000000000001,5.61,2.86,9.64,1.59,1.36,0.192,0.45899999999999996,0.11,0.37,0.44799999999999995,61.0,101.0,89.0,105.0,99.0,95.0,97.0,98.0,95.0,119.0,99.0,83.0,0.469,0.018000000000000002,0.256,0.258,1.57,0.57,-0.31,-2.31,92.9,85.0,92.4,88.8,0.299,0.185,0.361,0.0,,,,,,,,,,,,,,,,,,,,,,
3,2023-06-08,717845,Single,single,False,621043,630023,Carlos Correa,Yonny Chirinos,0,0,1,f97a0634-3396-420f-91cc-f0aefdd45448,630023.0,yonnychirinos,"Chirinos, Y",Right,Yonny Chirinos,5.4,6.24,85.0,99.0,106.0,92.0,0.8390000000000001,5.61,2.86,9.64,1.59,1.36,0.192,0.45899999999999996,0.11,0.37,0.44799999999999995,61.0,101.0,89.0,105.0,99.0,95.0,97.0,98.0,95.0,119.0,99.0,83.0,0.469,0.018000000000000002,0.256,0.258,1.57,0.57,-0.31,-2.31,92.9,85.0,92.4,88.8,0.299,0.185,0.361,0.0,,,,,,,,,,,,,,,,,,,,,,
4,2023-06-08,717845,Flyout,field_out,True,663616,630023,Trevor Larnach,Yonny Chirinos,0,0,0,570194a2-bfa4-46d1-ba88-ae60f71f8338,630023.0,yonnychirinos,"Chirinos, Y",Right,Yonny Chirinos,5.4,6.24,85.0,99.0,106.0,92.0,0.8390000000000001,5.61,2.86,9.64,1.59,1.36,0.192,0.45899999999999996,0.11,0.37,0.44799999999999995,61.0,101.0,89.0,105.0,99.0,95.0,97.0,98.0,95.0,119.0,99.0,83.0,0.469,0.018000000000000002,0.256,0.258,1.57,0.57,-0.31,-2.31,92.9,85.0,92.4,88.8,0.299,0.185,0.361,0.0,,,,,,,,,,,,,,,,,,,,,,
5,2023-06-08,717845,Flyout,field_out,True,666139,641927,Josh Lowe,Bailey Ober,1,0,0,e9509f9a-5ace-4a5e-a538-d70fb53a27a5,641927.0,baileyober,Ober,Right,Bailey Ober,3.43,3.63,144.1,105.0,83.0,101.0,0.7390000000000001,9.1,1.81,7.79,1.37,0.69,0.22,0.435,0.152,0.324,0.41100000000000003,73.0,107.0,99.0,,,,83.0,99.0,96.0,,,,,0.457,,0.196,0.75,,,-0.7,91.3,,,81.0,,,0.255,0.232,83.7,94.0,106.0,105.0,100.0,108.0,106.0,0.067,0.28,1.44,1.08,77.5,0.226,0.194,,,,,,,,
6,2023-06-08,717845,Groundout,field_out,True,677551,641927,Wander Franco,Bailey Ober,1,0,0,d4c00943-d3af-457b-a7e3-773c6dd56fb0,641927.0,baileyober,Ober,Right,Bailey Ober,3.43,3.63,144.1,105.0,83.0,101.0,0.7390000000000001,9.1,1.81,7.79,1.37,0.69,0.22,0.435,0.152,0.324,0.41100000000000003,73.0,107.0,99.0,,,,83.0,99.0,96.0,,,,,0.457,,0.196,0.75,,,-0.7,91.3,,,81.0,,,0.255,0.232,83.7,94.0,106.0,105.0,100.0,108.0,106.0,0.067,0.28,1.44,1.08,77.5,0.226,0.194,,,,,,,,
7,2023-06-08,717845,Pop Out,field_out,True,668227,641927,Randy Arozarena,Bailey Ober,1,1,0,98fa45b2-6996-47e5-bbd4-2c7f0eda72a6,641927.0,baileyober,Ober,Right,Bailey Ober,3.43,3.63,144.1,105.0,83.0,101.0,0.7390000000000001,9.1,1.81,7.79,1.37,0.69,0.22,0.435,0.152,0.324,0.41100000000000003,73.0,107.0,99.0,,,,83.0,99.0,96.0,,,,,0.457,,0.196,0.75,,,-0.7,91.3,,,81.0,,,0.255,0.232,83.7,94.0,106.0,105.0,100.0,108.0,106.0,0.067,0.28,1.44,1.08,77.5,0.226,0.194,,,,,,,,
8,2023-06-08,717845,Flyout,field_out,True,668904,630023,Royce Lewis,Yonny Chirinos,0,0,0,20f69bf4-0f11-4fa0-8557-45a3cc32de0b,630023.0,yonnychirinos,"Chirinos, Y",Right,Yonny Chirinos,5.4,6.24,85.0,99.0,106.0,92.0,0.8390000000000001,5.61,2.86,9.64,1.59,1.36,0.192,0.45899999999999996,0.11,0.37,0.44799999999999995,61.0,101.0,89.0,105.0,99.0,95.0,97.0,98.0,95.0,119.0,99.0,83.0,0.469,0.018000000000000002,0.256,0.258,1.57,0.57,-0.31,-2.31,92.9,85.0,92.4,88.8,0.299,0.185,0.361,0.0,,,,,,,,,,,,,,,,,,,,,,
9,2023-06-08,717845,Strikeout,strikeout,True,596146,630023,Max Kepler,Yonny Chirinos,0,0,0,4edba47c-375c-4a8e-9bc5-548d5e8a72ca,630023.0,yonnychirinos,"Chirinos, Y",Right,Yonny Chirinos,5.4,6.24,85.0,99.0,106.0,92.0,0.8390000000000001,5.61,2.86,9.64,1.59,1.36,0.192,0.45899999999999996,0.11,0.37,0.44799999999999995,61.0,101.0,89.0,105.0,99.0,95.0,97.0,98.0,95.0,119.0,99.0,83.0,0.469,0.018000000000000002,0.256,0.258,1.57,0.57,-0.31,-2.31,92.9,85.0,92.4,88.8,0.299,0.185,0.361,0.0,,,,,,,,,,,,,,,,,,,,,,
