,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,SL_ba,CU_ba,CH_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FC_ba,ST_ba
39,2023-05-30,717965,Flyout,field_out,True,656305,605288,Matt Chapman,Adrian Houser,0,0,0,6da55e8c-c002-4efd-8bab-752b857d15a6,605288.0,adrianhouser,Houser,Right,Adrian Houser,4.12,4.21,111.1,103.0,83.0,97.0,0.8390000000000001,7.76,2.75,9.78,1.05,1.32,0.19399999999999998,0.409,0.134,0.36,0.424,84.3,88.0,92.0,93.0,67.0,100.0,95.0,80.0,103.0,92.0,83.0,102.0,99.0,0.23800000000000002,0.166,0.085,0.04,0.29,-0.89,-1.08,-2.07,93.4,82.3,79.4,0.227,0.258,0.269,0.294,86.0,104.0,100.0,0.47100000000000003,0.46,92.1,0.296,,,,,,,,,,,,,,
40,2023-05-30,717965,Groundout,field_out,True,593160,605288,Whit Merrifield,Adrian Houser,1,0,0,0f680161-4fb6-4511-bb30-44d8ace24b42,605288.0,adrianhouser,Houser,Right,Adrian Houser,4.12,4.21,111.1,103.0,83.0,97.0,0.8390000000000001,7.76,2.75,9.78,1.05,1.32,0.19399999999999998,0.409,0.134,0.36,0.424,84.3,88.0,92.0,93.0,67.0,100.0,95.0,80.0,103.0,92.0,83.0,102.0,99.0,0.23800000000000002,0.166,0.085,0.04,0.29,-0.89,-1.08,-2.07,93.4,82.3,79.4,0.227,0.258,0.269,0.294,86.0,104.0,100.0,0.47100000000000003,0.46,92.1,0.296,,,,,,,,,,,,,,
41,2023-05-30,717965,Walk,walk,False,655316,579328,Andruw Monasterio,Yusei Kikuchi,1,0,0,c5eeb73f-7ab6-430c-b72a-ead962c8d9ca,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,88.7,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.193,0.09699999999999999,0.05,1.11,0.24,-1.83,95.1,88.7,83.1,0.27,0.225,0.284,0.254,,,,,,,,,,,,,,,,,,,,,
42,2023-05-30,717965,Strikeout,strikeout,True,573131,579328,Darin Ruf,Yusei Kikuchi,0,0,0,acefdf0d-f6ae-4b2f-a956-19d294644c47,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,88.7,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.193,0.09699999999999999,0.05,1.11,0.24,-1.83,95.1,88.7,83.1,0.27,0.225,0.284,0.254,,,,,,,,,,,,,,,,,,,,,
43,2023-05-30,717965,Flyout,field_out,True,680911,579328,Owen Miller,Yusei Kikuchi,0,0,0,742890d6-70c3-4e17-9cd7-666b91dc96af,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,88.7,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.193,0.09699999999999999,0.05,1.11,0.24,-1.83,95.1,88.7,83.1,0.27,0.225,0.284,0.254,,,,,,,,,,,,,,,,,,,,,
44,2023-05-30,717965,Walk,walk,False,661388,579328,William Contreras,Yusei Kikuchi,1,0,1,a73d7b4e-9f36-4ba8-8872-3263b4e88dc8,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,88.7,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.193,0.09699999999999999,0.05,1.11,0.24,-1.83,95.1,88.7,83.1,0.27,0.225,0.284,0.254,,,,,,,,,,,,,,,,,,,,,
45,2023-05-30,717965,Strikeout,strikeout,True,592885,579328,Christian Yelich,Yusei Kikuchi,0,0,0,8698a6a4-f9db-482b-9036-d5865cbdb010,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,88.7,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.193,0.09699999999999999,0.05,1.11,0.24,-1.83,95.1,88.7,83.1,0.27,0.225,0.284,0.254,,,,,,,,,,,,,,,,,,,,,
46,2023-05-30,717965,Flyout,field_out,True,662139,605288,Daulton Varsho,Adrian Houser,0,0,0,ac72ce27-a032-4024-a974-f178c6a59f8b,605288.0,adrianhouser,Houser,Right,Adrian Houser,4.12,4.21,111.1,103.0,83.0,97.0,0.8390000000000001,7.76,2.75,9.78,1.05,1.32,0.19399999999999998,0.409,0.134,0.36,0.424,84.3,88.0,92.0,93.0,67.0,100.0,95.0,80.0,103.0,92.0,83.0,102.0,99.0,0.23800000000000002,0.166,0.085,0.04,0.29,-0.89,-1.08,-2.07,93.4,82.3,79.4,0.227,0.258,0.269,0.294,86.0,104.0,100.0,0.47100000000000003,0.46,92.1,0.296,,,,,,,,,,,,,,
47,2023-05-30,717965,Single,single,False,672386,605288,Alejandro Kirk,Adrian Houser,0,0,0,da3861cc-8d6f-40e1-855c-12f9efb211e1,605288.0,adrianhouser,Houser,Right,Adrian Houser,4.12,4.21,111.1,103.0,83.0,97.0,0.8390000000000001,7.76,2.75,9.78,1.05,1.32,0.19399999999999998,0.409,0.134,0.36,0.424,84.3,88.0,92.0,93.0,67.0,100.0,95.0,80.0,103.0,92.0,83.0,102.0,99.0,0.23800000000000002,0.166,0.085,0.04,0.29,-0.89,-1.08,-2.07,93.4,82.3,79.4,0.227,0.258,0.269,0.294,86.0,104.0,100.0,0.47100000000000003,0.46,92.1,0.296,,,,,,,,,,,,,,
48,2023-05-30,717965,Walk,walk,False,624415,605288,Cavan Biggio,Adrian Houser,1,0,1,3a1f8bf4-0fef-4013-a2d7-bce0daa95417,605288.0,adrianhouser,Houser,Right,Adrian Houser,4.12,4.21,111.1,103.0,83.0,97.0,0.8390000000000001,7.76,2.75,9.78,1.05,1.32,0.19399999999999998,0.409,0.134,0.36,0.424,84.3,88.0,92.0,93.0,67.0,100.0,95.0,80.0,103.0,92.0,83.0,102.0,99.0,0.23800000000000002,0.166,0.085,0.04,0.29,-0.89,-1.08,-2.07,93.4,82.3,79.4,0.227,0.258,0.269,0.294,86.0,104.0,100.0,0.47100000000000003,0.46,92.1,0.296,,,,,,,,,,,,,,
49,2023-05-30,717965,Forceout,force_out,True,543807,669060,George Springer,Bryse Wilson,0,0,1,4646c856-dd2f-436d-9d1e-4e199c3ac904,669060.0,brysewilson,"Wilson, B",Right,Bryse Wilson,2.58,3.98,76.2,100.0,102.0,96.0,0.8270000000000001,7.16,2.58,7.04,1.06,0.87,0.266,0.349,0.135,0.345,0.43799999999999994,87.5,88.0,74.0,59.0,95.0,109.0,110.0,98.0,105.0,101.0,,,,0.163,,0.134,0.006999999999999999,2.58,,-0.93,-4.49,93.6,,79.6,0.106,,0.205,,99.0,99.0,94.0,0.349,-0.84,93.1,0.31,108.0,97.0,92.0,153.0,-7.0,-5.0,0.34700000000000003,0.001,2.34,-3.87,89.2,86.3,0.165,
50,2023-05-30,717965,Lineout,field_out,True,666182,669060,Bo Bichette,Bryse Wilson,1,0,1,0252161d-2f3b-438d-87da-b7579b3df67d,669060.0,brysewilson,"Wilson, B",Right,Bryse Wilson,2.58,3.98,76.2,100.0,102.0,96.0,0.8270000000000001,7.16,2.58,7.04,1.06,0.87,0.266,0.349,0.135,0.345,0.43799999999999994,87.5,88.0,74.0,59.0,95.0,109.0,110.0,98.0,105.0,101.0,,,,0.163,,0.134,0.006999999999999999,2.58,,-0.93,-4.49,93.6,,79.6,0.106,,0.205,,99.0,99.0,94.0,0.349,-0.84,93.1,0.31,108.0,97.0,92.0,153.0,-7.0,-5.0,0.34700000000000003,0.001,2.34,-3.87,89.2,86.3,0.165,
51,2023-05-30,717965,Flyout,field_out,True,605119,663878,Brian Anderson,Nate Pearson,0,0,0,3a58543f-2085-4fdb-bbad-b03cd9caba7e,663878.0,natepearson,Pearson,Right,Nate Pearson,4.85,3.9,42.2,93.0,127.0,102.0,0.758,9.07,3.8,7.59,1.48,0.6,0.22899999999999998,0.43200000000000005,0.195,0.35600000000000004,0.43799999999999994,,,,,140.0,89.0,103.0,118.0,93.0,100.0,140.0,93.0,104.0,0.619,0.239,0.142,,1.0,-1.33,-1.42,,97.9,87.4,80.4,0.229,0.237,0.188,,,,,,,,,,,,,,,,,,,,,,
