,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vSI,vCU,CH_ba,SI_ba,FF_ba,CU_ba,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,ST_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
0,2023-05-30,717961,Strikeout,strikeout,True,666139,543294,Josh Lowe,Kyle Hendricks,0,0,0,038401df-9dd4-4626-a36c-3cf392063cdf,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,3.74,4.13,137.0,105.0,60.0,93.0,0.8009999999999999,6.11,1.77,9.07,0.85,1.36,0.196,0.43799999999999994,0.233,0.249,0.38299999999999995,80.7,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,0.349,0.205,0.035,0.41100000000000003,-1.61,0.04,0.0,1.43,87.8,87.5,73.3,0.18,0.318,0.38,0.25,,,,,,,,,,,,,,,,,,,,,,
1,2023-05-30,717961,Single,single,False,677551,543294,Wander Franco,Kyle Hendricks,0,0,0,b1c21179-a28c-46c5-bb6e-75b16650fe89,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,3.74,4.13,137.0,105.0,60.0,93.0,0.8009999999999999,6.11,1.77,9.07,0.85,1.36,0.196,0.43799999999999994,0.233,0.249,0.38299999999999995,80.7,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,0.349,0.205,0.035,0.41100000000000003,-1.61,0.04,0.0,1.43,87.8,87.5,73.3,0.18,0.318,0.38,0.25,,,,,,,,,,,,,,,,,,,,,,
2,2023-05-30,717961,Walk,walk,False,668227,543294,Randy Arozarena,Kyle Hendricks,1,0,1,02076d57-541e-45a2-a3b6-440390e8d62d,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,3.74,4.13,137.0,105.0,60.0,93.0,0.8009999999999999,6.11,1.77,9.07,0.85,1.36,0.196,0.43799999999999994,0.233,0.249,0.38299999999999995,80.7,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,0.349,0.205,0.035,0.41100000000000003,-1.61,0.04,0.0,1.43,87.8,87.5,73.3,0.18,0.318,0.38,0.25,,,,,,,,,,,,,,,,,,,,,,
3,2023-05-30,717961,Single,single,True,664040,543294,Brandon Lowe,Kyle Hendricks,0,0,1,f126cda2-7765-4533-8d24-a2176f62042d,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,3.74,4.13,137.0,105.0,60.0,93.0,0.8009999999999999,6.11,1.77,9.07,0.85,1.36,0.196,0.43799999999999994,0.233,0.249,0.38299999999999995,80.7,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,0.349,0.205,0.035,0.41100000000000003,-1.61,0.04,0.0,1.43,87.8,87.5,73.3,0.18,0.318,0.38,0.25,,,,,,,,,,,,,,,,,,,,,,
4,2023-05-30,717961,Lineout,field_out,True,623912,543294,Harold Ramírez,Kyle Hendricks,0,0,0,cdf9ecf4-5ff4-4911-a3f8-c98e433da8b6,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,3.74,4.13,137.0,105.0,60.0,93.0,0.8009999999999999,6.11,1.77,9.07,0.85,1.36,0.196,0.43799999999999994,0.233,0.249,0.38299999999999995,80.7,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,0.349,0.205,0.035,0.41100000000000003,-1.61,0.04,0.0,1.43,87.8,87.5,73.3,0.18,0.318,0.38,0.25,,,,,,,,,,,,,,,,,,,,,,
5,2023-05-30,717961,Home Run,home_run,False,663538,663556,Nico Hoerner,Shane McClanahan,0,0,0,b77388eb-e202-4f02-beff-ca82c006c3c8,663556.0,shanemcclanahan,McClanahan,Left,Shane McClanahan,3.29,4.13,115.0,102.0,112.0,106.0,0.6940000000000001,9.47,3.21,7.43,1.17,1.18,0.28,0.384,0.134,0.355,0.455,86.9,115.0,104.0,109.0,115.0,101.0,107.0,111.0,100.0,104.0,,,,,0.419,0.17,0.258,-0.34,,1.12,2.65,96.8,,83.5,0.153,,0.269,0.197,107.0,102.0,105.0,0.153,-0.27,89.3,0.261,,,,,,,,,,,,,,,
6,2023-05-30,717961,Flyout,field_out,True,621020,663556,Dansby Swanson,Shane McClanahan,0,0,0,9c23b63e-0889-4730-abb3-5b81f885f973,663556.0,shanemcclanahan,McClanahan,Left,Shane McClanahan,3.29,4.13,115.0,102.0,112.0,106.0,0.6940000000000001,9.47,3.21,7.43,1.17,1.18,0.28,0.384,0.134,0.355,0.455,86.9,115.0,104.0,109.0,115.0,101.0,107.0,111.0,100.0,104.0,,,,,0.419,0.17,0.258,-0.34,,1.12,2.65,96.8,,83.5,0.153,,0.269,0.197,107.0,102.0,105.0,0.153,-0.27,89.3,0.261,,,,,,,,,,,,,,,
7,2023-05-30,717961,Walk,walk,False,664023,663556,Ian Happ,Shane McClanahan,1,0,0,517731f8-7f2d-4ff2-a1e8-a228c6e3f309,663556.0,shanemcclanahan,McClanahan,Left,Shane McClanahan,3.29,4.13,115.0,102.0,112.0,106.0,0.6940000000000001,9.47,3.21,7.43,1.17,1.18,0.28,0.384,0.134,0.355,0.455,86.9,115.0,104.0,109.0,115.0,101.0,107.0,111.0,100.0,104.0,,,,,0.419,0.17,0.258,-0.34,,1.12,2.65,96.8,,83.5,0.153,,0.269,0.197,107.0,102.0,105.0,0.153,-0.27,89.3,0.261,,,,,,,,,,,,,,,
8,2023-05-30,717961,Single,single,False,673548,663556,Seiya Suzuki,Shane McClanahan,0,0,1,9c4a175b-b32c-4ab5-851c-4f02dc75c18d,663556.0,shanemcclanahan,McClanahan,Left,Shane McClanahan,3.29,4.13,115.0,102.0,112.0,106.0,0.6940000000000001,9.47,3.21,7.43,1.17,1.18,0.28,0.384,0.134,0.355,0.455,86.9,115.0,104.0,109.0,115.0,101.0,107.0,111.0,100.0,104.0,,,,,0.419,0.17,0.258,-0.34,,1.12,2.65,96.8,,83.5,0.153,,0.269,0.197,107.0,102.0,105.0,0.153,-0.27,89.3,0.261,,,,,,,,,,,,,,,
9,2023-05-30,717961,Strikeout,strikeout,True,641820,663556,Trey Mancini,Shane McClanahan,0,0,1,99ff1707-5cc7-42c2-8a70-6bef5ecc6499,663556.0,shanemcclanahan,McClanahan,Left,Shane McClanahan,3.29,4.13,115.0,102.0,112.0,106.0,0.6940000000000001,9.47,3.21,7.43,1.17,1.18,0.28,0.384,0.134,0.355,0.455,86.9,115.0,104.0,109.0,115.0,101.0,107.0,111.0,100.0,104.0,,,,,0.419,0.17,0.258,-0.34,,1.12,2.65,96.8,,83.5,0.153,,0.269,0.197,107.0,102.0,105.0,0.153,-0.27,89.3,0.261,,,,,,,,,,,,,,,
