,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vSI,vSL,SL_ba,FF_ba,SI_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CH_ba,ST_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,FO%,wFC/C,wFO/C,vFC,vFO,FS_ba,FC_ba,vSC (sc),SC%,wSC/C,SC_ba
0,2023-06-11,717798,Single,single,False,665487,659275,Fernando Tatis Jr.,Dinelson Lamet,0,0,0,1aacc75b-a44e-4058-86dd-0eca844238b3,659275.0,dinelsonlamet,Lamet,Right,Dinelson Lamet,11.71,6.2,27.2,90.0,87.0,89.0,0.778,10.41,7.48,13.66,2.28,1.09,0.18,0.449,0.135,0.461,0.37799999999999995,90.4,64.0,87.0,84.0,65.0,82.0,76.0,82.0,87.0,80.0,104.0,96.0,103.0,0.27699999999999997,0.237,0.45899999999999996,0.027000000000000003,-4.11,-2.01,-2.38,-3.6,94.8,95.0,85.9,0.305,0.355,0.429,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-06-11,717798,Flyout,field_out,True,665742,659275,Juan Soto,Dinelson Lamet,0,0,0,fa95a8ef-3c18-459d-86d4-f1f5bf730b19,659275.0,dinelsonlamet,Lamet,Right,Dinelson Lamet,11.71,6.2,27.2,90.0,87.0,89.0,0.778,10.41,7.48,13.66,2.28,1.09,0.18,0.449,0.135,0.461,0.37799999999999995,90.4,64.0,87.0,84.0,65.0,82.0,76.0,82.0,87.0,80.0,104.0,96.0,103.0,0.27699999999999997,0.237,0.45899999999999996,0.027000000000000003,-4.11,-2.01,-2.38,-3.6,94.8,95.0,85.9,0.305,0.355,0.429,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-06-11,717798,Strikeout,strikeout,True,592518,659275,Manny Machado,Dinelson Lamet,0,0,1,6c2ca694-42f3-4d37-87f7-5ce147932092,659275.0,dinelsonlamet,Lamet,Right,Dinelson Lamet,11.71,6.2,27.2,90.0,87.0,89.0,0.778,10.41,7.48,13.66,2.28,1.09,0.18,0.449,0.135,0.461,0.37799999999999995,90.4,64.0,87.0,84.0,65.0,82.0,76.0,82.0,87.0,80.0,104.0,96.0,103.0,0.27699999999999997,0.237,0.45899999999999996,0.027000000000000003,-4.11,-2.01,-2.38,-3.6,94.8,95.0,85.9,0.305,0.355,0.429,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-06-11,717798,Groundout,field_out,True,596142,659275,Gary Sánchez,Dinelson Lamet,0,0,0,3923661a-3b26-49ac-846a-24b95e236c91,659275.0,dinelsonlamet,Lamet,Right,Dinelson Lamet,11.71,6.2,27.2,90.0,87.0,89.0,0.778,10.41,7.48,13.66,2.28,1.09,0.18,0.449,0.135,0.461,0.37799999999999995,90.4,64.0,87.0,84.0,65.0,82.0,76.0,82.0,87.0,80.0,104.0,96.0,103.0,0.27699999999999997,0.237,0.45899999999999996,0.027000000000000003,-4.11,-2.01,-2.38,-3.6,94.8,95.0,85.9,0.305,0.355,0.429,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-06-11,717798,Strikeout,strikeout,True,595777,605483,Jurickson Profar,Blake Snell,0,0,0,427b91fe-ffba-4c88-ada0-5398257a6d95,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,120.0,91.0,96.0,,,,107.0,91.0,94.0,,0.486,0.131,0.184,0.07,,0.68,2.65,95.5,,88.4,0.123,0.255,,106.0,102.0,110.0,0.198,2.55,81.0,0.079,0.185,,,,,,,,,,,,,,,,
5,2023-06-11,717798,Home Run,home_run,False,678662,605483,Ezequiel Tovar,Blake Snell,0,0,0,6d641c5c-5934-451a-b281-89c3260e43dc,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,120.0,91.0,96.0,,,,107.0,91.0,94.0,,0.486,0.131,0.184,0.07,,0.68,2.65,95.5,,88.4,0.123,0.255,,106.0,102.0,110.0,0.198,2.55,81.0,0.079,0.185,,,,,,,,,,,,,,,,
6,2023-06-11,717798,Strikeout,strikeout,True,641857,605483,Ryan McMahon,Blake Snell,0,0,0,10444916-ec04-452c-b71c-e7744ffd6fb5,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,120.0,91.0,96.0,,,,107.0,91.0,94.0,,0.486,0.131,0.184,0.07,,0.68,2.65,95.5,,88.4,0.123,0.255,,106.0,102.0,110.0,0.198,2.55,81.0,0.079,0.185,,,,,,,,,,,,,,,,
7,2023-06-11,717798,Groundout,field_out,True,545341,605483,Randal Grichuk,Blake Snell,0,0,0,31a7be7e-d2d0-47b4-9ce5-71b7931e5631,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,120.0,91.0,96.0,,,,107.0,91.0,94.0,,0.486,0.131,0.184,0.07,,0.68,2.65,95.5,,88.4,0.123,0.255,,106.0,102.0,110.0,0.198,2.55,81.0,0.079,0.185,,,,,,,,,,,,,,,,
8,2023-06-11,717798,Pop Out,field_out,True,593428,659275,Xander Bogaerts,Dinelson Lamet,0,0,0,00f82066-2d7f-47c2-898a-031dfbf8e600,659275.0,dinelsonlamet,Lamet,Right,Dinelson Lamet,11.71,6.2,27.2,90.0,87.0,89.0,0.778,10.41,7.48,13.66,2.28,1.09,0.18,0.449,0.135,0.461,0.37799999999999995,90.4,64.0,87.0,84.0,65.0,82.0,76.0,82.0,87.0,80.0,104.0,96.0,103.0,0.27699999999999997,0.237,0.45899999999999996,0.027000000000000003,-4.11,-2.01,-2.38,-3.6,94.8,95.0,85.9,0.305,0.355,0.429,,,,,,,,,,,,,,,,,,,,,,,,
9,2023-06-11,717798,Groundout,field_out,True,630105,659275,Jake Cronenworth,Dinelson Lamet,0,0,0,70d10e18-cace-4ba6-b8e5-a01241b94d9f,659275.0,dinelsonlamet,Lamet,Right,Dinelson Lamet,11.71,6.2,27.2,90.0,87.0,89.0,0.778,10.41,7.48,13.66,2.28,1.09,0.18,0.449,0.135,0.461,0.37799999999999995,90.4,64.0,87.0,84.0,65.0,82.0,76.0,82.0,87.0,80.0,104.0,96.0,103.0,0.27699999999999997,0.237,0.45899999999999996,0.027000000000000003,-4.11,-2.01,-2.38,-3.6,94.8,95.0,85.9,0.305,0.355,0.429,,,,,,,,,,,,,,,,,,,,,,,,
