,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,KC%,wFA/C,wFC/C,wFS/C,wSL/C,wKC/C,vFA,vFC,vFS,vSL,vKC,FF_ba,FC_ba,CU_ba,SL_ba,FS_ba,ST_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,SI%,CU%,CH%,wSI/C,wCU/C,wCH/C,vSI,vCU,Stf+ SI,Loc+ SI,Pit+ SI,SI_ba,CH_ba
0,2023-06-03,717885,Groundout,field_out,True,650490,676710,Yandy Díaz,Kutter Crawford,0,0,0,a6c04af7-a14d-49c5-b3cb-192a9f5e30e5,676710.0,kuttercrawford,"Crawford, K",Right,Kutter Crawford,4.04,3.25,129.1,102.0,105.0,104.0,0.7609999999999999,9.39,2.51,7.45,1.18,0.71,0.21899999999999997,0.42700000000000005,0.188,0.319,0.418,111.0,107.0,108.0,113.0,110.0,113.0,92.0,101.0,103.0,108.0,94.0,95.0,88.0,95.0,103.0,0.391,0.281,0.077,0.132,0.11900000000000001,1.44,0.35,-0.82,1.5,-1.47,93.6,88.6,82.4,82.5,79.4,0.163,0.289,0.34,0.167,0.214,0.15,,,,,,,,,,,,,,,,,,,,
1,2023-06-03,717885,Strikeout,strikeout,True,664040,676710,Brandon Lowe,Kutter Crawford,0,0,0,1a350e23-c35b-48c2-aa30-f90e0a74e8b0,676710.0,kuttercrawford,"Crawford, K",Right,Kutter Crawford,4.04,3.25,129.1,102.0,105.0,104.0,0.7609999999999999,9.39,2.51,7.45,1.18,0.71,0.21899999999999997,0.42700000000000005,0.188,0.319,0.418,111.0,107.0,108.0,113.0,110.0,113.0,92.0,101.0,103.0,108.0,94.0,95.0,88.0,95.0,103.0,0.391,0.281,0.077,0.132,0.11900000000000001,1.44,0.35,-0.82,1.5,-1.47,93.6,88.6,82.4,82.5,79.4,0.163,0.289,0.34,0.167,0.214,0.15,,,,,,,,,,,,,,,,,,,,
2,2023-06-03,717885,Pop Out,field_out,True,623912,676710,Harold Ramírez,Kutter Crawford,0,0,0,06e2b936-17c1-47cb-977e-608c913e9faa,676710.0,kuttercrawford,"Crawford, K",Right,Kutter Crawford,4.04,3.25,129.1,102.0,105.0,104.0,0.7609999999999999,9.39,2.51,7.45,1.18,0.71,0.21899999999999997,0.42700000000000005,0.188,0.319,0.418,111.0,107.0,108.0,113.0,110.0,113.0,92.0,101.0,103.0,108.0,94.0,95.0,88.0,95.0,103.0,0.391,0.281,0.077,0.132,0.11900000000000001,1.44,0.35,-0.82,1.5,-1.47,93.6,88.6,82.4,82.5,79.4,0.163,0.289,0.34,0.167,0.214,0.15,,,,,,,,,,,,,,,,,,,,
3,2023-06-03,717885,Groundout,field_out,True,657077,607192,Alex Verdugo,Tyler Glasnow,0,0,0,5d3c4f88-2137-471c-8c3a-c5e22c655a32,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,3.53,3.55,120.0,101.0,121.0,109.0,0.659,12.15,2.78,6.98,0.98,1.62,0.24600000000000002,0.37200000000000005,0.161,0.386,0.45399999999999996,128.0,103.0,110.0,94.0,97.0,104.0,,,,,,,,,,0.43200000000000005,,,0.348,,0.54,,,1.25,,96.4,,,90.1,,0.236,,0.095,0.254,,,92.3,78.0,81.0,84.0,152.0,103.0,114.0,0.004,0.213,0.003,-7.7,1.81,2.91,96.4,83.9,,,,,
4,2023-06-03,717885,Walk,walk,False,646240,607192,Rafael Devers,Tyler Glasnow,0,0,0,a364383e-78de-4aaf-887e-4db8fcc7056d,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,3.53,3.55,120.0,101.0,121.0,109.0,0.659,12.15,2.78,6.98,0.98,1.62,0.24600000000000002,0.37200000000000005,0.161,0.386,0.45399999999999996,128.0,103.0,110.0,94.0,97.0,104.0,,,,,,,,,,0.43200000000000005,,,0.348,,0.54,,,1.25,,96.4,,,90.1,,0.236,,0.095,0.254,,,92.3,78.0,81.0,84.0,152.0,103.0,114.0,0.004,0.213,0.003,-7.7,1.81,2.91,96.4,83.9,,,,,
5,2023-06-03,717885,Lineout,field_out,True,807799,607192,Masataka Yoshida,Tyler Glasnow,1,1,0,1a0b4ca0-d0a2-4d63-8000-3e4514680eb2,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,3.53,3.55,120.0,101.0,121.0,109.0,0.659,12.15,2.78,6.98,0.98,1.62,0.24600000000000002,0.37200000000000005,0.161,0.386,0.45399999999999996,128.0,103.0,110.0,94.0,97.0,104.0,,,,,,,,,,0.43200000000000005,,,0.348,,0.54,,,1.25,,96.4,,,90.1,,0.236,,0.095,0.254,,,92.3,78.0,81.0,84.0,152.0,103.0,114.0,0.004,0.213,0.003,-7.7,1.81,2.91,96.4,83.9,,,,,
6,2023-06-03,717885,Strikeout,strikeout,True,680776,607192,Jarren Duran,Tyler Glasnow,0,0,0,bdca6d41-5f3c-43f7-9347-479e033ba1fc,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,3.53,3.55,120.0,101.0,121.0,109.0,0.659,12.15,2.78,6.98,0.98,1.62,0.24600000000000002,0.37200000000000005,0.161,0.386,0.45399999999999996,128.0,103.0,110.0,94.0,97.0,104.0,,,,,,,,,,0.43200000000000005,,,0.348,,0.54,,,1.25,,96.4,,,90.1,,0.236,,0.095,0.254,,,92.3,78.0,81.0,84.0,152.0,103.0,114.0,0.004,0.213,0.003,-7.7,1.81,2.91,96.4,83.9,,,,,
7,2023-06-03,717885,Single,single,False,668227,676710,Randy Arozarena,Kutter Crawford,1,0,0,01a9daad-786a-4ac7-9dc9-28ee4afa94bb,676710.0,kuttercrawford,"Crawford, K",Right,Kutter Crawford,4.04,3.25,129.1,102.0,105.0,104.0,0.7609999999999999,9.39,2.51,7.45,1.18,0.71,0.21899999999999997,0.42700000000000005,0.188,0.319,0.418,111.0,107.0,108.0,113.0,110.0,113.0,92.0,101.0,103.0,108.0,94.0,95.0,88.0,95.0,103.0,0.391,0.281,0.077,0.132,0.11900000000000001,1.44,0.35,-0.82,1.5,-1.47,93.6,88.6,82.4,82.5,79.4,0.163,0.289,0.34,0.167,0.214,0.15,,,,,,,,,,,,,,,,,,,,
8,2023-06-03,717885,Strikeout,strikeout,True,666139,676710,Josh Lowe,Kutter Crawford,0,0,0,306d73a3-0016-4f15-960a-4b3d8881b12f,676710.0,kuttercrawford,"Crawford, K",Right,Kutter Crawford,4.04,3.25,129.1,102.0,105.0,104.0,0.7609999999999999,9.39,2.51,7.45,1.18,0.71,0.21899999999999997,0.42700000000000005,0.188,0.319,0.418,111.0,107.0,108.0,113.0,110.0,113.0,92.0,101.0,103.0,108.0,94.0,95.0,88.0,95.0,103.0,0.391,0.281,0.077,0.132,0.11900000000000001,1.44,0.35,-0.82,1.5,-1.47,93.6,88.6,82.4,82.5,79.4,0.163,0.289,0.34,0.167,0.214,0.15,,,,,,,,,,,,,,,,,,,,
9,2023-06-03,717885,Lineout,field_out,True,670623,676710,Isaac Paredes,Kutter Crawford,1,1,1,bcfc053f-cf6e-4ced-97bb-d918bc44ce08,676710.0,kuttercrawford,"Crawford, K",Right,Kutter Crawford,4.04,3.25,129.1,102.0,105.0,104.0,0.7609999999999999,9.39,2.51,7.45,1.18,0.71,0.21899999999999997,0.42700000000000005,0.188,0.319,0.418,111.0,107.0,108.0,113.0,110.0,113.0,92.0,101.0,103.0,108.0,94.0,95.0,88.0,95.0,103.0,0.391,0.281,0.077,0.132,0.11900000000000001,1.44,0.35,-0.82,1.5,-1.47,93.6,88.6,82.4,82.5,79.4,0.163,0.289,0.34,0.167,0.214,0.15,,,,,,,,,,,,,,,,,,,,
