,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CU%,wSI/C,wSL/C,wCU/C,vSI,vSL,vCU,SL_ba,SI_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,CH%,wFA/C,wFC/C,wCH/C,vFA,vFC,FF_ba,CH_ba,FC_ba,CU_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,ST_ba
10,2023-06-24,717639,Double,double,False,624424,518876,Michael Conforto,Merrill Kelly,1,0,1,4b1b5709-f10e-4713-af67-f8f870e2daec,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,121.0,105.0,111.0,85.0,105.0,95.0,104.0,112.0,110.0,0.122,0.055,0.11,0.83,-0.64,-0.45,92.4,85.5,82.1,0.217,0.261,88.7,99.0,108.0,114.0,78.0,104.0,97.0,87.0,101.0,99.0,0.301,0.18100000000000002,0.231,0.04,0.88,2.43,92.2,90.8,0.224,0.18,0.22,0.268,,,,,,,,
11,2023-06-24,717639,Strikeout,strikeout,True,666165,518876,Blake Sabol,Merrill Kelly,0,0,0,add79841-2eab-4ed2-b8ec-aa7072a85c64,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,121.0,105.0,111.0,85.0,105.0,95.0,104.0,112.0,110.0,0.122,0.055,0.11,0.83,-0.64,-0.45,92.4,85.5,82.1,0.217,0.261,88.7,99.0,108.0,114.0,78.0,104.0,97.0,87.0,101.0,99.0,0.301,0.18100000000000002,0.231,0.04,0.88,2.43,92.2,90.8,0.224,0.18,0.22,0.268,,,,,,,,
12,2023-06-24,717639,Strikeout,strikeout,True,656896,676775,Emmanuel Rivera,Keaton Winn,0,0,0,3c2c71bb-fe4a-462d-b069-09da6db489b4,676775.0,keatonwinn,Winn,Right,Keaton Winn,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.21100000000000002,0.455,0.098,0.366,0.451,,,,85.0,92.0,90.0,119.0,107.0,104.0,0.153,0.035,,-0.06,2.19,,95.5,85.9,,,0.25,,,,,91.0,105.0,98.0,,,,0.258,,,-1.55,,,95.9,,0.24,,,,143.0,99.0,110.0,0.5539999999999999,1.11,88.7,0.221,
13,2023-06-24,717639,Strikeout,strikeout,True,608348,676775,Carson Kelly,Keaton Winn,0,0,0,7df211db-6317-4df1-95bc-a3eb5fdb631f,676775.0,keatonwinn,Winn,Right,Keaton Winn,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.21100000000000002,0.455,0.098,0.366,0.451,,,,85.0,92.0,90.0,119.0,107.0,104.0,0.153,0.035,,-0.06,2.19,,95.5,85.9,,,0.25,,,,,91.0,105.0,98.0,,,,0.258,,,-1.55,,,95.9,,0.24,,,,143.0,99.0,110.0,0.5539999999999999,1.11,88.7,0.221,
14,2023-06-24,717639,Single,single,False,664983,676775,Jake McCarthy,Keaton Winn,0,0,0,c36e937b-ab59-45b0-ac2b-da8783cd9421,676775.0,keatonwinn,Winn,Right,Keaton Winn,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.21100000000000002,0.455,0.098,0.366,0.451,,,,85.0,92.0,90.0,119.0,107.0,104.0,0.153,0.035,,-0.06,2.19,,95.5,85.9,,,0.25,,,,,91.0,105.0,98.0,,,,0.258,,,-1.55,,,95.9,,0.24,,,,143.0,99.0,110.0,0.5539999999999999,1.11,88.7,0.221,
15,2023-06-24,717639,Groundout,field_out,True,672695,676775,Geraldo Perdomo,Keaton Winn,0,0,0,312168b0-eeae-4d19-8d8a-8e1a01f42522,676775.0,keatonwinn,Winn,Right,Keaton Winn,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.21100000000000002,0.455,0.098,0.366,0.451,,,,85.0,92.0,90.0,119.0,107.0,104.0,0.153,0.035,,-0.06,2.19,,95.5,85.9,,,0.25,,,,,91.0,105.0,98.0,,,,0.258,,,-1.55,,,95.9,,0.24,,,,143.0,99.0,110.0,0.5539999999999999,1.11,88.7,0.221,
16,2023-06-24,717639,Single,single,False,672275,518876,Patrick Bailey,Merrill Kelly,0,0,0,70dfce02-fb2f-4fb9-8446-1e080b1031a5,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,121.0,105.0,111.0,85.0,105.0,95.0,104.0,112.0,110.0,0.122,0.055,0.11,0.83,-0.64,-0.45,92.4,85.5,82.1,0.217,0.261,88.7,99.0,108.0,114.0,78.0,104.0,97.0,87.0,101.0,99.0,0.301,0.18100000000000002,0.231,0.04,0.88,2.43,92.2,90.8,0.224,0.18,0.22,0.268,,,,,,,,
17,2023-06-24,717639,Hit By Pitch,hit_by_pitch,False,543063,518876,Brandon Crawford,Merrill Kelly,0,0,1,8528fb8c-e2a3-415a-b686-7977ebc8c451,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,121.0,105.0,111.0,85.0,105.0,95.0,104.0,112.0,110.0,0.122,0.055,0.11,0.83,-0.64,-0.45,92.4,85.5,82.1,0.217,0.261,88.7,99.0,108.0,114.0,78.0,104.0,97.0,87.0,101.0,99.0,0.301,0.18100000000000002,0.231,0.04,0.88,2.43,92.2,90.8,0.224,0.18,0.22,0.268,,,,,,,,
18,2023-06-24,717639,Grounded Into DP,grounded_into_double_play,True,682641,518876,Luis Matos,Merrill Kelly,1,0,1,8d5d83b0-3bfd-4210-9256-d7b9ed07f483,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,121.0,105.0,111.0,85.0,105.0,95.0,104.0,112.0,110.0,0.122,0.055,0.11,0.83,-0.64,-0.45,92.4,85.5,82.1,0.217,0.261,88.7,99.0,108.0,114.0,78.0,104.0,97.0,87.0,101.0,99.0,0.301,0.18100000000000002,0.231,0.04,0.88,2.43,92.2,90.8,0.224,0.18,0.22,0.268,,,,,,,,
19,2023-06-24,717639,Flyout,field_out,True,664774,518876,LaMonte Wade Jr.,Merrill Kelly,0,0,0,c6e120ca-81e9-4526-abac-2f3effc8fcfa,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,121.0,105.0,111.0,85.0,105.0,95.0,104.0,112.0,110.0,0.122,0.055,0.11,0.83,-0.64,-0.45,92.4,85.5,82.1,0.217,0.261,88.7,99.0,108.0,114.0,78.0,104.0,97.0,87.0,101.0,99.0,0.301,0.18100000000000002,0.231,0.04,0.88,2.43,92.2,90.8,0.224,0.18,0.22,0.268,,,,,,,,
