,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,SL_ba,FF_ba,CU_ba,SI_ba,CH_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,ST_ba,FC_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
12,2023-04-09,718653,Triple,triple,False,675986,656629,Canaan Smith-Njigba,Michael Kopech,0,0,0,8893ee96-4ccc-4c7f-94ac-a2010887266c,656629.0,michaelkopech,Kopech,Right,Michael Kopech,5.43,5.77,129.1,91.0,108.0,94.0,0.755,9.32,6.33,8.0,2.02,0.75,0.243,0.41,0.155,0.34700000000000003,0.384,88.7,73.0,82.0,76.0,96.0,97.0,97.0,116.0,89.0,94.0,,,,102.0,97.0,99.0,,0.614,0.272,0.04,0.07400000000000001,-0.71,,-1.5,-0.94,0.15,95.2,,84.8,80.6,0.258,0.244,0.158,,0.133,,,,,,,,,,,,,,,,,,,,,
13,2023-04-09,718653,Walk,walk,False,666801,656629,Rodolfo Castro,Michael Kopech,1,0,0,24f63edb-19bd-4a19-9574-0719e591491d,656629.0,michaelkopech,Kopech,Right,Michael Kopech,5.43,5.77,129.1,91.0,108.0,94.0,0.755,9.32,6.33,8.0,2.02,0.75,0.243,0.41,0.155,0.34700000000000003,0.384,88.7,73.0,82.0,76.0,96.0,97.0,97.0,116.0,89.0,94.0,,,,102.0,97.0,99.0,,0.614,0.272,0.04,0.07400000000000001,-0.71,,-1.5,-0.94,0.15,95.2,,84.8,80.6,0.258,0.244,0.158,,0.133,,,,,,,,,,,,,,,,,,,,,
14,2023-04-09,718653,Sac Fly,sac_fly,True,669261,656629,Jack Suwinski,Michael Kopech,1,0,1,09f19c0f-179e-43b7-bf1c-407ff000d3b6,656629.0,michaelkopech,Kopech,Right,Michael Kopech,5.43,5.77,129.1,91.0,108.0,94.0,0.755,9.32,6.33,8.0,2.02,0.75,0.243,0.41,0.155,0.34700000000000003,0.384,88.7,73.0,82.0,76.0,96.0,97.0,97.0,116.0,89.0,94.0,,,,102.0,97.0,99.0,,0.614,0.272,0.04,0.07400000000000001,-0.71,,-1.5,-0.94,0.15,95.2,,84.8,80.6,0.258,0.244,0.158,,0.133,,,,,,,,,,,,,,,,,,,,,
15,2023-04-09,718653,Pop Out,field_out,True,623168,656629,Tyler Heineman,Michael Kopech,0,0,0,4d55cd88-1c50-40d2-9ec1-fab31ec2fc36,656629.0,michaelkopech,Kopech,Right,Michael Kopech,5.43,5.77,129.1,91.0,108.0,94.0,0.755,9.32,6.33,8.0,2.02,0.75,0.243,0.41,0.155,0.34700000000000003,0.384,88.7,73.0,82.0,76.0,96.0,97.0,97.0,116.0,89.0,94.0,,,,102.0,97.0,99.0,,0.614,0.272,0.04,0.07400000000000001,-0.71,,-1.5,-0.94,0.15,95.2,,84.8,80.6,0.258,0.244,0.158,,0.133,,,,,,,,,,,,,,,,,,,,,
16,2023-04-09,718653,Groundout,field_out,True,664874,670912,Seby Zavala,Johan Oviedo,0,0,0,cc38b41b-8560-4926-80fc-228192bdae3f,670912.0,johanoviedo,Oviedo,Right,Johan Oviedo,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.23399999999999999,0.408,0.16399999999999998,0.316,0.41100000000000003,88.1,75.0,84.0,82.0,87.0,97.0,101.0,83.0,93.0,87.0,100.0,93.0,92.0,103.0,98.0,104.0,0.05,0.392,0.36700000000000005,0.149,0.040999999999999995,-1.25,0.93,0.8,0.82,-0.07,95.8,95.7,88.2,80.9,0.21,0.277,0.193,0.276,0.25,,,,,,,,,,,,,,,,,,,,,
17,2023-04-09,718653,Lineout,field_out,True,462101,670912,Elvis Andrus,Johan Oviedo,1,0,0,65d70b87-8802-421e-bb6f-5befa5b0f661,670912.0,johanoviedo,Oviedo,Right,Johan Oviedo,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.23399999999999999,0.408,0.16399999999999998,0.316,0.41100000000000003,88.1,75.0,84.0,82.0,87.0,97.0,101.0,83.0,93.0,87.0,100.0,93.0,92.0,103.0,98.0,104.0,0.05,0.392,0.36700000000000005,0.149,0.040999999999999995,-1.25,0.93,0.8,0.82,-0.07,95.8,95.7,88.2,80.9,0.21,0.277,0.193,0.276,0.25,,,,,,,,,,,,,,,,,,,,,
18,2023-04-09,718653,Groundout,field_out,True,641313,670912,Tim Anderson,Johan Oviedo,0,0,0,9f29200a-409a-4bb4-aa1c-26e1e1151a43,670912.0,johanoviedo,Oviedo,Right,Johan Oviedo,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.23399999999999999,0.408,0.16399999999999998,0.316,0.41100000000000003,88.1,75.0,84.0,82.0,87.0,97.0,101.0,83.0,93.0,87.0,100.0,93.0,92.0,103.0,98.0,104.0,0.05,0.392,0.36700000000000005,0.149,0.040999999999999995,-1.25,0.93,0.8,0.82,-0.07,95.8,95.7,88.2,80.9,0.21,0.277,0.193,0.276,0.25,,,,,,,,,,,,,,,,,,,,,
19,2023-04-09,718653,Groundout,field_out,True,665833,656629,Oneil Cruz,Michael Kopech,1,0,0,662170c2-f96f-495b-9543-29255f4a6821,656629.0,michaelkopech,Kopech,Right,Michael Kopech,5.43,5.77,129.1,91.0,108.0,94.0,0.755,9.32,6.33,8.0,2.02,0.75,0.243,0.41,0.155,0.34700000000000003,0.384,88.7,73.0,82.0,76.0,96.0,97.0,97.0,116.0,89.0,94.0,,,,102.0,97.0,99.0,,0.614,0.272,0.04,0.07400000000000001,-0.71,,-1.5,-0.94,0.15,95.2,,84.8,80.6,0.258,0.244,0.158,,0.133,,,,,,,,,,,,,,,,,,,,,
20,2023-04-09,718653,Strikeout,strikeout,True,668804,656629,Bryan Reynolds,Michael Kopech,0,0,0,ece7f040-a23c-4592-99bd-15fb7f5b3267,656629.0,michaelkopech,Kopech,Right,Michael Kopech,5.43,5.77,129.1,91.0,108.0,94.0,0.755,9.32,6.33,8.0,2.02,0.75,0.243,0.41,0.155,0.34700000000000003,0.384,88.7,73.0,82.0,76.0,96.0,97.0,97.0,116.0,89.0,94.0,,,,102.0,97.0,99.0,,0.614,0.272,0.04,0.07400000000000001,-0.71,,-1.5,-0.94,0.15,95.2,,84.8,80.6,0.258,0.244,0.158,,0.133,,,,,,,,,,,,,,,,,,,,,
21,2023-04-09,718653,Flyout,field_out,True,663647,656629,Ke'Bryan Hayes,Michael Kopech,0,0,0,f7824cb0-9bf3-41f5-a734-436f45a00754,656629.0,michaelkopech,Kopech,Right,Michael Kopech,5.43,5.77,129.1,91.0,108.0,94.0,0.755,9.32,6.33,8.0,2.02,0.75,0.243,0.41,0.155,0.34700000000000003,0.384,88.7,73.0,82.0,76.0,96.0,97.0,97.0,116.0,89.0,94.0,,,,102.0,97.0,99.0,,0.614,0.272,0.04,0.07400000000000001,-0.71,,-1.5,-0.94,0.15,95.2,,84.8,80.6,0.258,0.244,0.158,,0.133,,,,,,,,,,,,,,,,,,,,,
