,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,FS%,SL%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vFS,vSI,vSL,vCU,FF_ba,CH_ba,FC_ba,SI_ba,SL_ba,vKN (sc),Stf+ FS,Loc+ FS,Pit+ FS,KC%,KN%,wKC/C,wKN/C,vKC,CU_ba,FS_ba,Stf+ KC,Loc+ KC,Pit+ KC
0,2023-08-05,717109,Walk,walk,False,641487,542881,J.P. Crawford,Tyler Anderson,1,0,0,79734214-947f-413f-858d-8a691e831e55,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.22399999999999998,0.001,0.006999999999999999,0.002,0.33799999999999997,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,0.08,90.1,85.1,90.1,88.5,78.1,72.9,0.301,0.238,0.239,0.36,0.2,,,,,,,,,,,,,,
1,2023-08-05,717109,Forceout,force_out,True,677594,542881,Julio Rodríguez,Tyler Anderson,1,0,1,5e92a275-838b-4941-8437-a4156a70fd99,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.22399999999999998,0.001,0.006999999999999999,0.002,0.33799999999999997,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,0.08,90.1,85.1,90.1,88.5,78.1,72.9,0.301,0.238,0.239,0.36,0.2,,,,,,,,,,,,,,
2,2023-08-05,717109,Strikeout,strikeout,True,553993,542881,Eugenio Suárez,Tyler Anderson,0,0,0,4ffa2ab6-85d3-4eb8-87c0-14616ee10ab2,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.22399999999999998,0.001,0.006999999999999999,0.002,0.33799999999999997,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,0.08,90.1,85.1,90.1,88.5,78.1,72.9,0.301,0.238,0.239,0.36,0.2,,,,,,,,,,,,,,
3,2023-08-05,717109,Caught Stealing 2B,caught_stealing_2b,True,606192,542881,Teoscar Hernández,Tyler Anderson,1,0,0,9930a003-92fe-4914-a2a9-a3914b1f2eb7,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.22399999999999998,0.001,0.006999999999999999,0.002,0.33799999999999997,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,0.08,90.1,85.1,90.1,88.5,78.1,72.9,0.301,0.238,0.239,0.36,0.2,,,,,,,,,,,,,,
4,2023-08-05,717109,Hit By Pitch,hit_by_pitch,False,650859,669923,Luis Rengifo,George Kirby,1,0,0,06832d00-a4ca-4614-b659-a98c9dcbf7c3,669923.0,georgekirby,Kirby,Right,George Kirby,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.40700000000000003,0.177,0.327,0.48200000000000004,86.6,94.0,107.0,111.0,,,,97.0,111.0,105.0,106.0,110.0,109.0,126.0,106.0,112.0,,,,0.21600000000000003,0.39399999999999996,,0.061,0.19699999999999998,,0.018000000000000002,1.34,,1.07,0.43,1.03,,-5.31,96.1,,84.9,95.8,86.3,,0.234,0.5,,0.261,0.264,75.1,95.0,103.0,110.0,0.115,0.001,0.35,0.26,81.8,0.265,0.143,,,
5,2023-08-05,717109,Grounded Into DP,grounded_into_double_play,True,660271,669923,Shohei Ohtani,George Kirby,1,0,1,3fe8e18a-1352-41e8-b800-d649add3f49a,669923.0,georgekirby,Kirby,Right,George Kirby,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.40700000000000003,0.177,0.327,0.48200000000000004,86.6,94.0,107.0,111.0,,,,97.0,111.0,105.0,106.0,110.0,109.0,126.0,106.0,112.0,,,,0.21600000000000003,0.39399999999999996,,0.061,0.19699999999999998,,0.018000000000000002,1.34,,1.07,0.43,1.03,,-5.31,96.1,,84.9,95.8,86.3,,0.234,0.5,,0.261,0.264,75.1,95.0,103.0,110.0,0.115,0.001,0.35,0.26,81.8,0.265,0.143,,,
6,2023-08-05,717109,Flyout,field_out,True,543068,669923,C.J. Cron,George Kirby,0,0,0,5ffd779a-49ef-4785-9e47-b4001a387641,669923.0,georgekirby,Kirby,Right,George Kirby,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.40700000000000003,0.177,0.327,0.48200000000000004,86.6,94.0,107.0,111.0,,,,97.0,111.0,105.0,106.0,110.0,109.0,126.0,106.0,112.0,,,,0.21600000000000003,0.39399999999999996,,0.061,0.19699999999999998,,0.018000000000000002,1.34,,1.07,0.43,1.03,,-5.31,96.1,,84.9,95.8,86.3,,0.234,0.5,,0.261,0.264,75.1,95.0,103.0,110.0,0.115,0.001,0.35,0.26,81.8,0.265,0.143,,,
7,2023-08-05,717109,Flyout,field_out,True,606192,542881,Teoscar Hernández,Tyler Anderson,1,0,0,fb984075-d4d2-4e9a-88b8-36faa846d601,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.22399999999999998,0.001,0.006999999999999999,0.002,0.33799999999999997,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,0.08,90.1,85.1,90.1,88.5,78.1,72.9,0.301,0.238,0.239,0.36,0.2,,,,,,,,,,,,,,
8,2023-08-05,717109,Lineout,field_out,True,664034,542881,Ty France,Tyler Anderson,0,0,0,cb3cedbe-3fad-407c-a81a-3791e28e8f75,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.22399999999999998,0.001,0.006999999999999999,0.002,0.33799999999999997,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,0.08,90.1,85.1,90.1,88.5,78.1,72.9,0.301,0.238,0.239,0.36,0.2,,,,,,,,,,,,,,
9,2023-08-05,717109,Strikeout,strikeout,True,663728,542881,Cal Raleigh,Tyler Anderson,0,0,0,f6f68ff1-1ada-4aa1-aab3-30d28de4b429,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.22399999999999998,0.001,0.006999999999999999,0.002,0.33799999999999997,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,0.08,90.1,85.1,90.1,88.5,78.1,72.9,0.301,0.238,0.239,0.36,0.2,,,,,,,,,,,,,,
