,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,FF_ba,SL_ba,SI_ba,CH_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,ST_ba,FC_ba,CU_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2023-08-18,716944,Lineout,field_out,True,668939,660906,Adley Rutschman,Francisco Pérez,0,0,0,b740ec47-2d42-4810-b368-4074e03a5611,660906.0,franciscoperez,"Pérez, F",Left,Francisco Pérez,5.94,4.39,16.2,94.0,79.0,87.0,0.7809999999999999,7.56,4.32,9.18,0.0,1.0,0.33299999999999996,0.294,0.17600000000000002,0.294,0.38,86.8,78.0,104.0,90.0,96.0,71.0,76.0,66.0,93.0,78.0,68.0,89.0,75.0,100.0,95.0,104.0,0.198,0.27899999999999997,0.312,0.023,0.188,0.96,-2.24,2.19,-2.14,-2.71,92.3,91.4,81.6,76.1,0.238,0.111,0.462,0.333,,,,,,,,,,,,,,,
1,2023-08-18,716944,Single,single,False,683002,660906,Gunnar Henderson,Francisco Pérez,0,0,0,0a4e3d44-1cdc-413c-85b2-b8597e76ba56,660906.0,franciscoperez,"Pérez, F",Left,Francisco Pérez,5.94,4.39,16.2,94.0,79.0,87.0,0.7809999999999999,7.56,4.32,9.18,0.0,1.0,0.33299999999999996,0.294,0.17600000000000002,0.294,0.38,86.8,78.0,104.0,90.0,96.0,71.0,76.0,66.0,93.0,78.0,68.0,89.0,75.0,100.0,95.0,104.0,0.198,0.27899999999999997,0.312,0.023,0.188,0.96,-2.24,2.19,-2.14,-2.71,92.3,91.4,81.6,76.1,0.238,0.111,0.462,0.333,,,,,,,,,,,,,,,
2,2023-08-18,716944,Single,single,False,623993,660906,Anthony Santander,Francisco Pérez,0,0,1,c4c3c10e-61aa-4b33-b2d5-eb0e8da8b5b3,660906.0,franciscoperez,"Pérez, F",Left,Francisco Pérez,5.94,4.39,16.2,94.0,79.0,87.0,0.7809999999999999,7.56,4.32,9.18,0.0,1.0,0.33299999999999996,0.294,0.17600000000000002,0.294,0.38,86.8,78.0,104.0,90.0,96.0,71.0,76.0,66.0,93.0,78.0,68.0,89.0,75.0,100.0,95.0,104.0,0.198,0.27899999999999997,0.312,0.023,0.188,0.96,-2.24,2.19,-2.14,-2.71,92.3,91.4,81.6,76.1,0.238,0.111,0.462,0.333,,,,,,,,,,,,,,,
3,2023-08-18,716944,Single,single,False,663624,660906,Ryan Mountcastle,Francisco Pérez,0,0,1,609a468d-11c3-4175-af2c-fcb51e590b24,660906.0,franciscoperez,"Pérez, F",Left,Francisco Pérez,5.94,4.39,16.2,94.0,79.0,87.0,0.7809999999999999,7.56,4.32,9.18,0.0,1.0,0.33299999999999996,0.294,0.17600000000000002,0.294,0.38,86.8,78.0,104.0,90.0,96.0,71.0,76.0,66.0,93.0,78.0,68.0,89.0,75.0,100.0,95.0,104.0,0.198,0.27899999999999997,0.312,0.023,0.188,0.96,-2.24,2.19,-2.14,-2.71,92.3,91.4,81.6,76.1,0.238,0.111,0.462,0.333,,,,,,,,,,,,,,,
4,2023-08-18,716944,Strikeout,strikeout,True,656811,660906,Ryan O'Hearn,Francisco Pérez,0,0,0,d6c3efcf-a8fd-4d67-a262-67fc8c2d134d,660906.0,franciscoperez,"Pérez, F",Left,Francisco Pérez,5.94,4.39,16.2,94.0,79.0,87.0,0.7809999999999999,7.56,4.32,9.18,0.0,1.0,0.33299999999999996,0.294,0.17600000000000002,0.294,0.38,86.8,78.0,104.0,90.0,96.0,71.0,76.0,66.0,93.0,78.0,68.0,89.0,75.0,100.0,95.0,104.0,0.198,0.27899999999999997,0.312,0.023,0.188,0.96,-2.24,2.19,-2.14,-2.71,92.3,91.4,81.6,76.1,0.238,0.111,0.462,0.333,,,,,,,,,,,,,,,
5,2023-08-18,716944,Double,double,False,656775,660906,Cedric Mullins,Francisco Pérez,0,0,1,9af3a435-8a38-46bb-9bde-e8cdf0684d77,660906.0,franciscoperez,"Pérez, F",Left,Francisco Pérez,5.94,4.39,16.2,94.0,79.0,87.0,0.7809999999999999,7.56,4.32,9.18,0.0,1.0,0.33299999999999996,0.294,0.17600000000000002,0.294,0.38,86.8,78.0,104.0,90.0,96.0,71.0,76.0,66.0,93.0,78.0,68.0,89.0,75.0,100.0,95.0,104.0,0.198,0.27899999999999997,0.312,0.023,0.188,0.96,-2.24,2.19,-2.14,-2.71,92.3,91.4,81.6,76.1,0.238,0.111,0.462,0.333,,,,,,,,,,,,,,,
6,2023-08-18,716944,Groundout,field_out,True,669720,660906,Austin Hays,Francisco Pérez,0,0,0,dfbdae5c-4c57-4e9c-829f-d250a7a063bb,660906.0,franciscoperez,"Pérez, F",Left,Francisco Pérez,5.94,4.39,16.2,94.0,79.0,87.0,0.7809999999999999,7.56,4.32,9.18,0.0,1.0,0.33299999999999996,0.294,0.17600000000000002,0.294,0.38,86.8,78.0,104.0,90.0,96.0,71.0,76.0,66.0,93.0,78.0,68.0,89.0,75.0,100.0,95.0,104.0,0.198,0.27899999999999997,0.312,0.023,0.188,0.96,-2.24,2.19,-2.14,-2.71,92.3,91.4,81.6,76.1,0.238,0.111,0.462,0.333,,,,,,,,,,,,,,,
7,2023-08-18,716944,Strikeout,strikeout,True,671732,502043,Lawrence Butler,Kyle Gibson,0,0,0,e078cdbd-f4e1-4490-b5ca-cd4a9da0610a,502043.0,kylegibson,Gibson,Right,Kyle Gibson,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.39399999999999996,85.5,88.0,99.0,96.0,90.0,102.0,99.0,78.0,96.0,89.0,93.0,101.0,97.0,110.0,105.0,107.0,0.261,0.134,0.184,0.084,0.17,-0.69,-0.08,2.01,0.01,-0.29,92.1,91.9,81.6,79.5,0.287,,0.289,0.288,90.0,95.0,92.0,0.166,-1.02,89.8,0.147,0.345,0.279,,,,,,
8,2023-08-18,716944,Flyout,field_out,True,680869,502043,Zack Gelof,Kyle Gibson,1,0,0,7da84b63-d222-453f-a248-a354db9db45f,502043.0,kylegibson,Gibson,Right,Kyle Gibson,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.39399999999999996,85.5,88.0,99.0,96.0,90.0,102.0,99.0,78.0,96.0,89.0,93.0,101.0,97.0,110.0,105.0,107.0,0.261,0.134,0.184,0.084,0.17,-0.69,-0.08,2.01,0.01,-0.29,92.1,91.9,81.6,79.5,0.287,,0.289,0.288,90.0,95.0,92.0,0.166,-1.02,89.8,0.147,0.345,0.279,,,,,,
9,2023-08-18,716944,Single,single,False,667670,502043,Brent Rooker,Kyle Gibson,0,0,0,1afb8534-06d4-4c62-9cbc-128fe66e3d21,502043.0,kylegibson,Gibson,Right,Kyle Gibson,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.39399999999999996,85.5,88.0,99.0,96.0,90.0,102.0,99.0,78.0,96.0,89.0,93.0,101.0,97.0,110.0,105.0,107.0,0.261,0.134,0.184,0.084,0.17,-0.69,-0.08,2.01,0.01,-0.29,92.1,91.9,81.6,79.5,0.287,,0.289,0.288,90.0,95.0,92.0,0.166,-1.02,89.8,0.147,0.345,0.279,,,,,,
