,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,FF_ba,SL_ba,SI_ba,CU_ba,CH_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,KC%,wKC/C,vKC,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
59,2023-08-06,717098,Groundout,field_out,True,621566,621016,Matt Olson,Jose Cuas,1,0,0,9a53cc96-e966-44b8-8f69-488677cba4bf,621016.0,josecuas,Cuas,Right,Jose Cuas,3.99,5.44,65.1,93.0,106.0,93.0,0.7190000000000001,9.78,4.82,8.68,1.1,1.41,0.24,0.33,0.128,0.397,0.384,87.7,86.0,91.0,96.0,,,,146.0,102.0,101.0,89.0,96.0,91.0,112.0,82.0,91.0,0.49700000000000005,0.196,0.266,,0.040999999999999995,-0.11,0.89,-1.13,,-6.68,92.3,92.7,82.5,,0.132,0.254,0.298,,0.333,,,,,,,,,,,0.0,,,,,,,
60,2023-08-06,717098,Strikeout,strikeout,True,518595,621016,Travis d'Arnaud,Jose Cuas,0,0,0,3774bb97-f4c8-490c-bdee-7a4d33a72d63,621016.0,josecuas,Cuas,Right,Jose Cuas,3.99,5.44,65.1,93.0,106.0,93.0,0.7190000000000001,9.78,4.82,8.68,1.1,1.41,0.24,0.33,0.128,0.397,0.384,87.7,86.0,91.0,96.0,,,,146.0,102.0,101.0,89.0,96.0,91.0,112.0,82.0,91.0,0.49700000000000005,0.196,0.266,,0.040999999999999995,-0.11,0.89,-1.13,,-6.68,92.3,92.7,82.5,,0.132,0.254,0.298,,0.333,,,,,,,,,,,0.0,,,,,,,
61,2023-08-06,717098,Single,single,False,542303,621016,Marcell Ozuna,Jose Cuas,0,0,0,e5b8227d-0951-4f53-b3b7-c1bf53b7ecd2,621016.0,josecuas,Cuas,Right,Jose Cuas,3.99,5.44,65.1,93.0,106.0,93.0,0.7190000000000001,9.78,4.82,8.68,1.1,1.41,0.24,0.33,0.128,0.397,0.384,87.7,86.0,91.0,96.0,,,,146.0,102.0,101.0,89.0,96.0,91.0,112.0,82.0,91.0,0.49700000000000005,0.196,0.266,,0.040999999999999995,-0.11,0.89,-1.13,,-6.68,92.3,92.7,82.5,,0.132,0.254,0.298,,0.333,,,,,,,,,,,0.0,,,,,,,
62,2023-08-06,717098,Strikeout,strikeout,True,606115,621016,Orlando Arcia,Jose Cuas,0,0,0,1efb77e0-4aa1-42ec-98eb-4b5924b9ca5f,621016.0,josecuas,Cuas,Right,Jose Cuas,3.99,5.44,65.1,93.0,106.0,93.0,0.7190000000000001,9.78,4.82,8.68,1.1,1.41,0.24,0.33,0.128,0.397,0.384,87.7,86.0,91.0,96.0,,,,146.0,102.0,101.0,89.0,96.0,91.0,112.0,82.0,91.0,0.49700000000000005,0.196,0.266,,0.040999999999999995,-0.11,0.89,-1.13,,-6.68,92.3,92.7,82.5,,0.132,0.254,0.298,,0.333,,,,,,,,,,,0.0,,,,,,,
63,2023-08-06,717098,Flyout,field_out,True,664023,641729,Ian Happ,Joe Jiménez,0,0,0,59884f90-d422-4160-9960-49350ba2cee7,641729.0,joejimenez,"Jiménez, J",Right,Joe Jiménez,3.04,3.79,56.1,106.0,110.0,109.0,0.706,11.66,2.24,8.15,1.44,0.58,0.215,0.436,0.107,0.369,0.462,89.8,90.0,104.0,97.0,,,,122.0,106.0,111.0,,,,91.0,107.0,107.0,,0.623,0.307,,0.071,0.83,,-0.69,,0.93,95.3,,84.3,,0.237,0.244,,,0.1,,,,,,,,,,,,,,,,,,
64,2023-08-06,717098,Single,single,False,641355,641729,Cody Bellinger,Joe Jiménez,0,0,0,abb7c387-e1fa-4487-9ec7-74ba848d93c0,641729.0,joejimenez,"Jiménez, J",Right,Joe Jiménez,3.04,3.79,56.1,106.0,110.0,109.0,0.706,11.66,2.24,8.15,1.44,0.58,0.215,0.436,0.107,0.369,0.462,89.8,90.0,104.0,97.0,,,,122.0,106.0,111.0,,,,91.0,107.0,107.0,,0.623,0.307,,0.071,0.83,,-0.69,,0.93,95.3,,84.3,,0.237,0.244,,,0.1,,,,,,,,,,,,,,,,,,
65,2023-08-06,717098,Double,double,False,621020,641729,Dansby Swanson,Joe Jiménez,1,0,1,ab707f5d-df32-4742-b403-8002fcbd2182,641729.0,joejimenez,"Jiménez, J",Right,Joe Jiménez,3.04,3.79,56.1,106.0,110.0,109.0,0.706,11.66,2.24,8.15,1.44,0.58,0.215,0.436,0.107,0.369,0.462,89.8,90.0,104.0,97.0,,,,122.0,106.0,111.0,,,,91.0,107.0,107.0,,0.623,0.307,,0.071,0.83,,-0.69,,0.93,95.3,,84.3,,0.237,0.244,,,0.1,,,,,,,,,,,,,,,,,,
66,2023-08-06,717098,Walk,walk,False,600869,641729,Jeimer Candelario,Joe Jiménez,1,0,0,8779bc30-b553-46d1-9018-7f2353ccf6a0,641729.0,joejimenez,"Jiménez, J",Right,Joe Jiménez,3.04,3.79,56.1,106.0,110.0,109.0,0.706,11.66,2.24,8.15,1.44,0.58,0.215,0.436,0.107,0.369,0.462,89.8,90.0,104.0,97.0,,,,122.0,106.0,111.0,,,,91.0,107.0,107.0,,0.623,0.307,,0.071,0.83,,-0.69,,0.93,95.3,,84.3,,0.237,0.244,,,0.1,,,,,,,,,,,,,,,,,,
67,2023-08-06,717098,Flyout,field_out,True,666624,641729,Christopher Morel,Joe Jiménez,1,0,0,bd3bedfe-7944-4e39-ab7c-8adacf2e0f1c,641729.0,joejimenez,"Jiménez, J",Right,Joe Jiménez,3.04,3.79,56.1,106.0,110.0,109.0,0.706,11.66,2.24,8.15,1.44,0.58,0.215,0.436,0.107,0.369,0.462,89.8,90.0,104.0,97.0,,,,122.0,106.0,111.0,,,,91.0,107.0,107.0,,0.623,0.307,,0.071,0.83,,-0.69,,0.93,95.3,,84.3,,0.237,0.244,,,0.1,,,,,,,,,,,,,,,,,,
68,2023-08-06,717098,Groundout,field_out,True,663611,641729,Nick Madrigal,Joe Jiménez,0,0,0,5620fcf2-b543-4b51-a389-730fde056d51,641729.0,joejimenez,"Jiménez, J",Right,Joe Jiménez,3.04,3.79,56.1,106.0,110.0,109.0,0.706,11.66,2.24,8.15,1.44,0.58,0.215,0.436,0.107,0.369,0.462,89.8,90.0,104.0,97.0,,,,122.0,106.0,111.0,,,,91.0,107.0,107.0,,0.623,0.307,,0.071,0.83,,-0.69,,0.93,95.3,,84.3,,0.237,0.244,,,0.1,,,,,,,,,,,,,,,,,,
