,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,FF_ba,SL_ba,SI_ba,CU_ba,CH_ba,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FS_ba,FC_ba
33,2023-05-11,718217,Strikeout,strikeout,True,607054,543135,Jace Peterson,Nathan Eovaldi,0,0,0,0956ae98-66da-4331-b0f2-b93389a616e0,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.36700000000000005,0.397,,,,,99.0,104.0,102.0,92.0,97.0,93.0,,,,101.0,113.0,109.0,,0.37200000000000005,0.04,0.135,,0.41,,-3.23,0.86,,95.1,,83.9,76.0,0.234,0.303,,0.2,,86.0,98.0,92.0,125.0,101.0,106.0,0.17600000000000002,0.276,1.33,1.26,90.6,87.9,0.196,0.238
34,2023-05-11,718217,Home Run,home_run,False,543760,665622,Marcus Semien,Luis Medina,0,0,0,0ca3644c-34d3-4158-95d1-512baf0d97c0,665622.0,luismedina,Medina,Right,Luis Medina,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.35200000000000004,0.41600000000000004,87.3,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,117.0,96.0,96.0,106.0,97.0,100.0,0.142,0.415,0.23800000000000002,0.11699999999999999,0.087,-0.35,-0.8,-0.8,-0.73,1.25,96.1,95.5,85.3,79.6,0.272,0.233,0.313,0.146,0.256,,,,,,,,,,,,,,
35,2023-05-11,718217,Double,double,False,543257,665622,Robbie Grossman,Luis Medina,0,0,0,9f25194e-04dc-4371-8b7c-3c2a8262091e,665622.0,luismedina,Medina,Right,Luis Medina,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.35200000000000004,0.41600000000000004,87.3,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,117.0,96.0,96.0,106.0,97.0,100.0,0.142,0.415,0.23800000000000002,0.11699999999999999,0.087,-0.35,-0.8,-0.8,-0.73,1.25,96.1,95.5,85.3,79.6,0.272,0.233,0.313,0.146,0.256,,,,,,,,,,,,,,
36,2023-05-11,718217,Lineout,field_out,True,663993,665622,Nathaniel Lowe,Luis Medina,1,0,1,c57aa28f-e09c-4716-8f79-4b2a1db436c6,665622.0,luismedina,Medina,Right,Luis Medina,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.35200000000000004,0.41600000000000004,87.3,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,117.0,96.0,96.0,106.0,97.0,100.0,0.142,0.415,0.23800000000000002,0.11699999999999999,0.087,-0.35,-0.8,-0.8,-0.73,1.25,96.1,95.5,85.3,79.6,0.272,0.233,0.313,0.146,0.256,,,,,,,,,,,,,,
37,2023-05-11,718217,Groundout,field_out,True,666969,665622,Adolis García,Luis Medina,1,1,1,bd5eb643-e226-4e1d-9eab-0703f4dcb614,665622.0,luismedina,Medina,Right,Luis Medina,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.35200000000000004,0.41600000000000004,87.3,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,117.0,96.0,96.0,106.0,97.0,100.0,0.142,0.415,0.23800000000000002,0.11699999999999999,0.087,-0.35,-0.8,-0.8,-0.73,1.25,96.1,95.5,85.3,79.6,0.272,0.233,0.313,0.146,0.256,,,,,,,,,,,,,,
38,2023-05-11,718217,Flyout,field_out,True,673962,665622,Josh Jung,Luis Medina,0,0,0,fe11375c-48a4-4060-a825-a1a46d33c7d5,665622.0,luismedina,Medina,Right,Luis Medina,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.35200000000000004,0.41600000000000004,87.3,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,117.0,96.0,96.0,106.0,97.0,100.0,0.142,0.415,0.23800000000000002,0.11699999999999999,0.087,-0.35,-0.8,-0.8,-0.73,1.25,96.1,95.5,85.3,79.6,0.272,0.233,0.313,0.146,0.256,,,,,,,,,,,,,,
39,2023-05-11,718217,Strikeout,strikeout,True,672478,543135,Jordan Diaz,Nathan Eovaldi,0,0,0,40efc085-5c80-4b67-ba4b-14987f3ede22,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.36700000000000005,0.397,,,,,99.0,104.0,102.0,92.0,97.0,93.0,,,,101.0,113.0,109.0,,0.37200000000000005,0.04,0.135,,0.41,,-3.23,0.86,,95.1,,83.9,76.0,0.234,0.303,,0.2,,86.0,98.0,92.0,125.0,101.0,106.0,0.17600000000000002,0.276,1.33,1.26,90.6,87.9,0.196,0.238
40,2023-05-11,718217,Groundout,field_out,True,643393,543135,Tony Kemp,Nathan Eovaldi,0,0,0,aaaea959-3b8d-4e43-8dbe-0b7420736955,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.36700000000000005,0.397,,,,,99.0,104.0,102.0,92.0,97.0,93.0,,,,101.0,113.0,109.0,,0.37200000000000005,0.04,0.135,,0.41,,-3.23,0.86,,95.1,,83.9,76.0,0.234,0.303,,0.2,,86.0,98.0,92.0,125.0,101.0,106.0,0.17600000000000002,0.276,1.33,1.26,90.6,87.9,0.196,0.238
41,2023-05-11,718217,Groundout,field_out,True,669397,543135,Nick Allen,Nathan Eovaldi,0,0,0,977fcf74-9feb-44e5-a8e2-d557cebb8383,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.36700000000000005,0.397,,,,,99.0,104.0,102.0,92.0,97.0,93.0,,,,101.0,113.0,109.0,,0.37200000000000005,0.04,0.135,,0.41,,-3.23,0.86,,95.1,,83.9,76.0,0.234,0.303,,0.2,,86.0,98.0,92.0,125.0,101.0,106.0,0.17600000000000002,0.276,1.33,1.26,90.6,87.9,0.196,0.238
42,2023-05-11,718217,Double,double,False,641680,669674,Jonah Heim,Sam Long,0,0,0,2082d064-0cf0-4095-82aa-a87e66832684,669674.0,samlong,Long,Left,Sam Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348,0.267,,0.154,0.0,,,,,,,,,,,,,0.375,
