,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vSL,vKC,FF_ba,SL_ba,CU_ba,FC_ba,CH_ba,vKN (sc),Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,KN%,wFS/C,wSI/C,wKN/C,vFS,vSI,SI_ba,FS_ba,ST_ba
0,2023-06-20,717684,Flyout,field_out,True,641487,543037,J.P. Crawford,Gerrit Cole,0,0,0,33a42e89-c806-4ae2-8183-530c334f78db,543037.0,gerritcole,Cole,Right,Gerrit Cole,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,89.1,72.0,100.0,96.0,125.0,104.0,108.0,136.0,105.0,114.0,114.0,103.0,113.0,107.0,103.0,102.0,0.53,0.07,0.20800000000000002,0.121,0.071,1.66,0.61,1.69,0.94,-0.54,96.7,92.7,89.1,82.9,0.201,0.185,0.215,0.271,0.235,,,,,,,,,,,,,,,,,,
1,2023-06-20,717684,Groundout,field_out,True,677594,543037,Julio Rodríguez,Gerrit Cole,0,0,0,575b293f-a076-4bc9-a52c-62c4ed2b7cec,543037.0,gerritcole,Cole,Right,Gerrit Cole,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,89.1,72.0,100.0,96.0,125.0,104.0,108.0,136.0,105.0,114.0,114.0,103.0,113.0,107.0,103.0,102.0,0.53,0.07,0.20800000000000002,0.121,0.071,1.66,0.61,1.69,0.94,-0.54,96.7,92.7,89.1,82.9,0.201,0.185,0.215,0.271,0.235,,,,,,,,,,,,,,,,,,
2,2023-06-20,717684,Groundout,field_out,True,664034,543037,Ty France,Gerrit Cole,0,0,0,5f922484-cc8c-4ab3-8138-026ee2d26cdb,543037.0,gerritcole,Cole,Right,Gerrit Cole,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,89.1,72.0,100.0,96.0,125.0,104.0,108.0,136.0,105.0,114.0,114.0,103.0,113.0,107.0,103.0,102.0,0.53,0.07,0.20800000000000002,0.121,0.071,1.66,0.61,1.69,0.94,-0.54,96.7,92.7,89.1,82.9,0.201,0.185,0.215,0.271,0.235,,,,,,,,,,,,,,,,,,
3,2023-06-20,717684,Groundout,field_out,True,641343,669923,Jake Bauers,George Kirby,0,0,0,80f2a12b-c534-4ca9-a71a-80e9ee916f2f,669923.0,georgekirby,Kirby,Right,George Kirby,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.40700000000000003,0.177,0.327,0.48200000000000004,86.6,94.0,107.0,111.0,97.0,111.0,105.0,126.0,106.0,112.0,,,,,,,0.39399999999999996,,0.19699999999999998,0.115,0.018000000000000002,1.34,,1.03,0.35,-5.31,96.1,,86.3,81.8,0.234,0.264,0.265,,0.5,75.1,106.0,110.0,109.0,95.0,103.0,110.0,0.21600000000000003,0.061,0.001,1.07,0.43,0.26,84.9,95.8,0.261,0.143,
4,2023-06-20,717684,Single,single,False,650402,669923,Gleyber Torres,George Kirby,0,0,0,a8a838f7-7385-4930-8291-9d82184daac4,669923.0,georgekirby,Kirby,Right,George Kirby,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.40700000000000003,0.177,0.327,0.48200000000000004,86.6,94.0,107.0,111.0,97.0,111.0,105.0,126.0,106.0,112.0,,,,,,,0.39399999999999996,,0.19699999999999998,0.115,0.018000000000000002,1.34,,1.03,0.35,-5.31,96.1,,86.3,81.8,0.234,0.264,0.265,,0.5,75.1,106.0,110.0,109.0,95.0,103.0,110.0,0.21600000000000003,0.061,0.001,1.07,0.43,0.26,84.9,95.8,0.261,0.143,
5,2023-06-20,717684,Strikeout,strikeout,True,519317,669923,Giancarlo Stanton,George Kirby,0,0,0,738c0ff1-8034-4499-b94a-810dc9f6df27,669923.0,georgekirby,Kirby,Right,George Kirby,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.40700000000000003,0.177,0.327,0.48200000000000004,86.6,94.0,107.0,111.0,97.0,111.0,105.0,126.0,106.0,112.0,,,,,,,0.39399999999999996,,0.19699999999999998,0.115,0.018000000000000002,1.34,,1.03,0.35,-5.31,96.1,,86.3,81.8,0.234,0.264,0.265,,0.5,75.1,106.0,110.0,109.0,95.0,103.0,110.0,0.21600000000000003,0.061,0.001,1.07,0.43,0.26,84.9,95.8,0.261,0.143,
6,2023-06-20,717684,Double,double,False,519203,669923,Anthony Rizzo,George Kirby,0,0,1,14d9243d-2244-4739-8804-30f6be6d643a,669923.0,georgekirby,Kirby,Right,George Kirby,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.40700000000000003,0.177,0.327,0.48200000000000004,86.6,94.0,107.0,111.0,97.0,111.0,105.0,126.0,106.0,112.0,,,,,,,0.39399999999999996,,0.19699999999999998,0.115,0.018000000000000002,1.34,,1.03,0.35,-5.31,96.1,,86.3,81.8,0.234,0.264,0.265,,0.5,75.1,106.0,110.0,109.0,95.0,103.0,110.0,0.21600000000000003,0.061,0.001,1.07,0.43,0.26,84.9,95.8,0.261,0.143,
7,2023-06-20,717684,Strikeout,strikeout,True,518626,669923,Josh Donaldson,George Kirby,0,0,0,f3d87a81-c187-496b-a7d9-33b78750eb88,669923.0,georgekirby,Kirby,Right,George Kirby,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.40700000000000003,0.177,0.327,0.48200000000000004,86.6,94.0,107.0,111.0,97.0,111.0,105.0,126.0,106.0,112.0,,,,,,,0.39399999999999996,,0.19699999999999998,0.115,0.018000000000000002,1.34,,1.03,0.35,-5.31,96.1,,86.3,81.8,0.234,0.264,0.265,,0.5,75.1,106.0,110.0,109.0,95.0,103.0,110.0,0.21600000000000003,0.061,0.001,1.07,0.43,0.26,84.9,95.8,0.261,0.143,
8,2023-06-20,717684,Groundout,field_out,True,606192,543037,Teoscar Hernández,Gerrit Cole,1,0,0,0500f3e8-4d17-40dd-bf88-38a2839e444f,543037.0,gerritcole,Cole,Right,Gerrit Cole,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,89.1,72.0,100.0,96.0,125.0,104.0,108.0,136.0,105.0,114.0,114.0,103.0,113.0,107.0,103.0,102.0,0.53,0.07,0.20800000000000002,0.121,0.071,1.66,0.61,1.69,0.94,-0.54,96.7,92.7,89.1,82.9,0.201,0.185,0.215,0.271,0.235,,,,,,,,,,,,,,,,,,
9,2023-06-20,717684,Walk,walk,False,672284,543037,Jarred Kelenic,Gerrit Cole,1,0,0,8ce6823f-c397-40a1-8420-c0add7131e97,543037.0,gerritcole,Cole,Right,Gerrit Cole,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,89.1,72.0,100.0,96.0,125.0,104.0,108.0,136.0,105.0,114.0,114.0,103.0,113.0,107.0,103.0,102.0,0.53,0.07,0.20800000000000002,0.121,0.071,1.66,0.61,1.69,0.94,-0.54,96.7,92.7,89.1,82.9,0.201,0.185,0.215,0.271,0.235,,,,,,,,,,,,,,,,,,
