,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vSI,vSL,vKC,CH_ba,SI_ba,FF_ba,ST_ba,CU_ba,SL_ba,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2023-06-21,717666,Single,single,False,676609,666745,José Caballero,Jhony Brito,0,0,0,b3ec3005-f020-4fd5-8968-f4e4a891f7c3,666745.0,jhonybrito,Brito,Right,Jhony Brito,4.28,4.55,90.1,103.0,93.0,102.0,0.809,7.17,2.79,8.17,1.39,1.1,0.261,0.39899999999999997,0.134,0.34700000000000003,0.424,88.8,87.0,104.0,106.0,77.0,99.0,88.0,106.0,105.0,104.0,115.0,84.0,89.0,0.327,0.166,0.113,0.10400000000000001,0.29,-0.97,1.05,0.17,-1.87,0.5,95.8,96.0,83.0,80.4,0.232,0.282,0.167,0.172,0.348,,,,,,,,,,,,,,,,,
1,2023-06-21,717666,Forceout,force_out,True,677594,666745,Julio Rodríguez,Jhony Brito,0,0,1,01d71439-805a-4eeb-9924-b17e075afbe7,666745.0,jhonybrito,Brito,Right,Jhony Brito,4.28,4.55,90.1,103.0,93.0,102.0,0.809,7.17,2.79,8.17,1.39,1.1,0.261,0.39899999999999997,0.134,0.34700000000000003,0.424,88.8,87.0,104.0,106.0,77.0,99.0,88.0,106.0,105.0,104.0,115.0,84.0,89.0,0.327,0.166,0.113,0.10400000000000001,0.29,-0.97,1.05,0.17,-1.87,0.5,95.8,96.0,83.0,80.4,0.232,0.282,0.167,0.172,0.348,,,,,,,,,,,,,,,,,
2,2023-06-21,717666,Strikeout,strikeout,True,664034,666745,Ty France,Jhony Brito,0,0,1,d3e36c4a-561a-4e02-9120-2f42551057b6,666745.0,jhonybrito,Brito,Right,Jhony Brito,4.28,4.55,90.1,103.0,93.0,102.0,0.809,7.17,2.79,8.17,1.39,1.1,0.261,0.39899999999999997,0.134,0.34700000000000003,0.424,88.8,87.0,104.0,106.0,77.0,99.0,88.0,106.0,105.0,104.0,115.0,84.0,89.0,0.327,0.166,0.113,0.10400000000000001,0.29,-0.97,1.05,0.17,-1.87,0.5,95.8,96.0,83.0,80.4,0.232,0.282,0.167,0.172,0.348,,,,,,,,,,,,,,,,,
3,2023-06-21,717666,Flyout,field_out,True,606192,666745,Teoscar Hernández,Jhony Brito,1,0,0,693b8553-479c-4b2f-be56-ad431d27d424,666745.0,jhonybrito,Brito,Right,Jhony Brito,4.28,4.55,90.1,103.0,93.0,102.0,0.809,7.17,2.79,8.17,1.39,1.1,0.261,0.39899999999999997,0.134,0.34700000000000003,0.424,88.8,87.0,104.0,106.0,77.0,99.0,88.0,106.0,105.0,104.0,115.0,84.0,89.0,0.327,0.166,0.113,0.10400000000000001,0.29,-0.97,1.05,0.17,-1.87,0.5,95.8,96.0,83.0,80.4,0.232,0.282,0.167,0.172,0.348,,,,,,,,,,,,,,,,,
4,2023-06-21,717666,Groundout,field_out,True,641343,622491,Jake Bauers,Luis Castillo,1,0,0,5be70ede-3015-4299-854f-7b265214b1a2,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,3.34,3.82,197.0,103.0,96.0,102.0,0.7170000000000001,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.33299999999999996,0.42200000000000004,88.3,83.0,108.0,105.0,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,0.179,0.444,0.221,,0.156,1.31,0.6,-0.12,,-1.6,96.3,95.9,85.7,,0.28,0.239,0.165,,,0.234,,,,,,,,,,,,,,,,
5,2023-06-21,717666,Flyout,field_out,True,650402,622491,Gleyber Torres,Luis Castillo,1,0,0,708c49dd-4575-4b9e-9fd8-c1b62ad93bc2,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,3.34,3.82,197.0,103.0,96.0,102.0,0.7170000000000001,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.33299999999999996,0.42200000000000004,88.3,83.0,108.0,105.0,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,0.179,0.444,0.221,,0.156,1.31,0.6,-0.12,,-1.6,96.3,95.9,85.7,,0.28,0.239,0.165,,,0.234,,,,,,,,,,,,,,,,
6,2023-06-21,717666,Walk,walk,False,641432,622491,Willie Calhoun,Luis Castillo,1,0,0,d045a0bd-df48-4f05-bb78-e2f73438486d,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,3.34,3.82,197.0,103.0,96.0,102.0,0.7170000000000001,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.33299999999999996,0.42200000000000004,88.3,83.0,108.0,105.0,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,0.179,0.444,0.221,,0.156,1.31,0.6,-0.12,,-1.6,96.3,95.9,85.7,,0.28,0.239,0.165,,,0.234,,,,,,,,,,,,,,,,
7,2023-06-21,717666,Flyout,field_out,True,519203,622491,Anthony Rizzo,Luis Castillo,0,0,0,f079a53b-c646-4e39-9fc4-738317b71c6e,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,3.34,3.82,197.0,103.0,96.0,102.0,0.7170000000000001,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.33299999999999996,0.42200000000000004,88.3,83.0,108.0,105.0,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,0.179,0.444,0.221,,0.156,1.31,0.6,-0.12,,-1.6,96.3,95.9,85.7,,0.28,0.239,0.165,,,0.234,,,,,,,,,,,,,,,,
8,2023-06-21,717666,Lineout,field_out,True,672284,666745,Jarred Kelenic,Jhony Brito,1,0,0,7d86241e-c260-4aeb-976a-9fcbc36ec897,666745.0,jhonybrito,Brito,Right,Jhony Brito,4.28,4.55,90.1,103.0,93.0,102.0,0.809,7.17,2.79,8.17,1.39,1.1,0.261,0.39899999999999997,0.134,0.34700000000000003,0.424,88.8,87.0,104.0,106.0,77.0,99.0,88.0,106.0,105.0,104.0,115.0,84.0,89.0,0.327,0.166,0.113,0.10400000000000001,0.29,-0.97,1.05,0.17,-1.87,0.5,95.8,96.0,83.0,80.4,0.232,0.282,0.167,0.172,0.348,,,,,,,,,,,,,,,,,
9,2023-06-21,717666,Strikeout,strikeout,True,553993,666745,Eugenio Suárez,Jhony Brito,0,0,0,de5ef6fb-9ac6-4d3d-b6e1-7e8eccd281c1,666745.0,jhonybrito,Brito,Right,Jhony Brito,4.28,4.55,90.1,103.0,93.0,102.0,0.809,7.17,2.79,8.17,1.39,1.1,0.261,0.39899999999999997,0.134,0.34700000000000003,0.424,88.8,87.0,104.0,106.0,77.0,99.0,88.0,106.0,105.0,104.0,115.0,84.0,89.0,0.327,0.166,0.113,0.10400000000000001,0.29,-0.97,1.05,0.17,-1.87,0.5,95.8,96.0,83.0,80.4,0.232,0.282,0.167,0.172,0.348,,,,,,,,,,,,,,,,,
