,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,SL_ba,FF_ba,FS_ba,SI_ba,ST_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCU,CU_ba,CH_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba
10,2023-08-27,716828,Strikeout,strikeout,True,542194,607074,Christian Bethancourt,Carlos Rodón,0,0,0,28c400ed-9be6-43d4-8354-59e9e5a3d85b,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,106.0,101.0,100.0,,,,126.0,95.0,104.0,,,,,0.603,,0.29,-1.05,,,-0.06,95.3,,,85.4,0.2,0.294,,,,85.5,84.0,67.0,81.0,102.0,92.0,96.0,0.065,0.043,-3.96,0.96,79.7,0.375,0.0,,,,,,,
11,2023-08-27,716828,Groundout,field_out,True,677592,641793,Everson Pereira,Zack Littell,0,0,0,4d561859-f66e-40ec-87c5-aa80a2d75683,641793.0,zacklittell,Littell,Right,Zack Littell,4.1,4.24,90.0,105.0,92.0,105.0,0.8009999999999999,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,73.0,109.0,100.0,74.0,108.0,98.0,103.0,100.0,105.0,115.0,107.0,118.0,0.099,0.312,0.192,0.397,0.57,-1.3,0.28,0.34,94.1,84.3,92.9,87.1,0.27,0.26,0.268,0.237,0.25,,,,,,,,,,,,,,,,,,,,,
12,2023-08-27,716828,Walk,walk,False,683011,641793,Anthony Volpe,Zack Littell,0,0,0,3d2b0e8f-9d35-4607-832b-2471a36d1f74,641793.0,zacklittell,Littell,Right,Zack Littell,4.1,4.24,90.0,105.0,92.0,105.0,0.8009999999999999,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,73.0,109.0,100.0,74.0,108.0,98.0,103.0,100.0,105.0,115.0,107.0,118.0,0.099,0.312,0.192,0.397,0.57,-1.3,0.28,0.34,94.1,84.3,92.9,87.1,0.27,0.26,0.268,0.237,0.25,,,,,,,,,,,,,,,,,,,,,
13,2023-08-27,716828,Pop Out,field_out,True,664056,641793,Harrison Bader,Zack Littell,1,0,0,35598be9-dd64-49a2-b2cf-9739c39f6028,641793.0,zacklittell,Littell,Right,Zack Littell,4.1,4.24,90.0,105.0,92.0,105.0,0.8009999999999999,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,73.0,109.0,100.0,74.0,108.0,98.0,103.0,100.0,105.0,115.0,107.0,118.0,0.099,0.312,0.192,0.397,0.57,-1.3,0.28,0.34,94.1,84.3,92.9,87.1,0.27,0.26,0.268,0.237,0.25,,,,,,,,,,,,,,,,,,,,,
14,2023-08-27,716828,Flyout,field_out,True,665828,641793,Oswaldo Cabrera,Zack Littell,0,0,0,c8fa3a67-e5b5-4122-914e-86c2ad652de7,641793.0,zacklittell,Littell,Right,Zack Littell,4.1,4.24,90.0,105.0,92.0,105.0,0.8009999999999999,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,73.0,109.0,100.0,74.0,108.0,98.0,103.0,100.0,105.0,115.0,107.0,118.0,0.099,0.312,0.192,0.397,0.57,-1.3,0.28,0.34,94.1,84.3,92.9,87.1,0.27,0.26,0.268,0.237,0.25,,,,,,,,,,,,,,,,,,,,,
15,2023-08-27,716828,Strikeout,strikeout,True,666018,607074,Jonathan Aranda,Carlos Rodón,0,0,0,77a0abcc-22f8-43b9-ab30-d075860567cb,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,106.0,101.0,100.0,,,,126.0,95.0,104.0,,,,,0.603,,0.29,-1.05,,,-0.06,95.3,,,85.4,0.2,0.294,,,,85.5,84.0,67.0,81.0,102.0,92.0,96.0,0.065,0.043,-3.96,0.96,79.7,0.375,0.0,,,,,,,
16,2023-08-27,716828,Groundout,field_out,True,668227,607074,Randy Arozarena,Carlos Rodón,0,0,0,79185cd7-2f49-4e3f-b489-baa3e4d6425a,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,106.0,101.0,100.0,,,,126.0,95.0,104.0,,,,,0.603,,0.29,-1.05,,,-0.06,95.3,,,85.4,0.2,0.294,,,,85.5,84.0,67.0,81.0,102.0,92.0,96.0,0.065,0.043,-3.96,0.96,79.7,0.375,0.0,,,,,,,
17,2023-08-27,716828,Flyout,field_out,True,623912,607074,Harold Ramírez,Carlos Rodón,1,0,0,656b0fbf-a968-44e5-a7a2-ad68881bffde,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,106.0,101.0,100.0,,,,126.0,95.0,104.0,,,,,0.603,,0.29,-1.05,,,-0.06,95.3,,,85.4,0.2,0.294,,,,85.5,84.0,67.0,81.0,102.0,92.0,96.0,0.065,0.043,-3.96,0.96,79.7,0.375,0.0,,,,,,,
18,2023-08-27,716828,Pop Out,field_out,True,672724,641793,Oswald Peraza,Zack Littell,0,0,0,1cac99ad-d7eb-456a-9a8b-4df7c7a3367d,641793.0,zacklittell,Littell,Right,Zack Littell,4.1,4.24,90.0,105.0,92.0,105.0,0.8009999999999999,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,73.0,109.0,100.0,74.0,108.0,98.0,103.0,100.0,105.0,115.0,107.0,118.0,0.099,0.312,0.192,0.397,0.57,-1.3,0.28,0.34,94.1,84.3,92.9,87.1,0.27,0.26,0.268,0.237,0.25,,,,,,,,,,,,,,,,,,,,,
19,2023-08-27,716828,Home Run,home_run,False,543309,641793,Kyle Higashioka,Zack Littell,0,0,0,82fbdaee-b69e-4ae5-a22e-0a57408adbc8,641793.0,zacklittell,Littell,Right,Zack Littell,4.1,4.24,90.0,105.0,92.0,105.0,0.8009999999999999,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,73.0,109.0,100.0,74.0,108.0,98.0,103.0,100.0,105.0,115.0,107.0,118.0,0.099,0.312,0.192,0.397,0.57,-1.3,0.28,0.34,94.1,84.3,92.9,87.1,0.27,0.26,0.268,0.237,0.25,,,,,,,,,,,,,,,,,,,,,
20,2023-08-27,716828,Home Run,home_run,False,518934,641793,DJ LeMahieu,Zack Littell,0,0,0,d5ba27a5-7153-4104-a0cd-c62e351db901,641793.0,zacklittell,Littell,Right,Zack Littell,4.1,4.24,90.0,105.0,92.0,105.0,0.8009999999999999,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,73.0,109.0,100.0,74.0,108.0,98.0,103.0,100.0,105.0,115.0,107.0,118.0,0.099,0.312,0.192,0.397,0.57,-1.3,0.28,0.34,94.1,84.3,92.9,87.1,0.27,0.26,0.268,0.237,0.25,,,,,,,,,,,,,,,,,,,,,
21,2023-08-27,716828,Flyout,field_out,True,592450,641793,Aaron Judge,Zack Littell,0,0,0,d539dcdd-aa1e-4fdc-8930-cef9d798dda4,641793.0,zacklittell,Littell,Right,Zack Littell,4.1,4.24,90.0,105.0,92.0,105.0,0.8009999999999999,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,73.0,109.0,100.0,74.0,108.0,98.0,103.0,100.0,105.0,115.0,107.0,118.0,0.099,0.312,0.192,0.397,0.57,-1.3,0.28,0.34,94.1,84.3,92.9,87.1,0.27,0.26,0.268,0.237,0.25,,,,,,,,,,,,,,,,,,,,,
22,2023-08-27,716828,Flyout,field_out,True,650402,641793,Gleyber Torres,Zack Littell,0,0,0,ce3ea6e7-1947-4961-b1fd-7bbcf18f623d,641793.0,zacklittell,Littell,Right,Zack Littell,4.1,4.24,90.0,105.0,92.0,105.0,0.8009999999999999,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,73.0,109.0,100.0,74.0,108.0,98.0,103.0,100.0,105.0,115.0,107.0,118.0,0.099,0.312,0.192,0.397,0.57,-1.3,0.28,0.34,94.1,84.3,92.9,87.1,0.27,0.26,0.268,0.237,0.25,,,,,,,,,,,,,,,,,,,,,
23,2023-08-27,716828,Pop Out,field_out,True,664040,607074,Brandon Lowe,Carlos Rodón,0,0,0,5d7e1bab-158b-48f6-909a-304a664f1f36,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,106.0,101.0,100.0,,,,126.0,95.0,104.0,,,,,0.603,,0.29,-1.05,,,-0.06,95.3,,,85.4,0.2,0.294,,,,85.5,84.0,67.0,81.0,102.0,92.0,96.0,0.065,0.043,-3.96,0.96,79.7,0.375,0.0,,,,,,,
24,2023-08-27,716828,Pop Out,field_out,True,670623,607074,Isaac Paredes,Carlos Rodón,1,0,0,eb7bed5c-7c8b-467b-b27c-0d56155f6991,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,106.0,101.0,100.0,,,,126.0,95.0,104.0,,,,,0.603,,0.29,-1.05,,,-0.06,95.3,,,85.4,0.2,0.294,,,,85.5,84.0,67.0,81.0,102.0,92.0,96.0,0.065,0.043,-3.96,0.96,79.7,0.375,0.0,,,,,,,
