,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vSL,vKC,FF_ba,SL_ba,CU_ba,FC_ba,CH_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,ST_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba
0,2023-05-02,718339,Walk,walk,False,680757,543037,Steven Kwan,Gerrit Cole,1,0,0,be8e2aaf-8f98-46a1-b572-eda04d7f7893,543037.0,gerritcole,Cole,Right,Gerrit Cole,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,89.1,72.0,100.0,96.0,125.0,104.0,108.0,136.0,105.0,114.0,114.0,103.0,113.0,107.0,103.0,102.0,0.53,0.07,0.20800000000000002,0.121,0.071,1.66,0.61,1.69,0.94,-0.54,96.7,92.7,89.1,82.9,0.201,0.185,0.215,0.271,0.235,,,,,,,,,,,,,,
1,2023-05-02,718339,Pop Out,field_out,True,642708,543037,Amed Rosario,Gerrit Cole,1,0,0,5e2ff776-512f-4504-a1db-5df9fd4e474b,543037.0,gerritcole,Cole,Right,Gerrit Cole,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,89.1,72.0,100.0,96.0,125.0,104.0,108.0,136.0,105.0,114.0,114.0,103.0,113.0,107.0,103.0,102.0,0.53,0.07,0.20800000000000002,0.121,0.071,1.66,0.61,1.69,0.94,-0.54,96.7,92.7,89.1,82.9,0.201,0.185,0.215,0.271,0.235,,,,,,,,,,,,,,
2,2023-05-02,718339,Flyout,field_out,True,608070,543037,José Ramírez,Gerrit Cole,0,0,1,2b057ddf-9d1f-4f2f-a4c6-c61978d54050,543037.0,gerritcole,Cole,Right,Gerrit Cole,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,89.1,72.0,100.0,96.0,125.0,104.0,108.0,136.0,105.0,114.0,114.0,103.0,113.0,107.0,103.0,102.0,0.53,0.07,0.20800000000000002,0.121,0.071,1.66,0.61,1.69,0.94,-0.54,96.7,92.7,89.1,82.9,0.201,0.185,0.215,0.271,0.235,,,,,,,,,,,,,,
3,2023-05-02,718339,Strikeout,strikeout,True,647304,543037,Josh Naylor,Gerrit Cole,0,0,0,94555b89-3ec3-4610-914d-16fa721d8a91,543037.0,gerritcole,Cole,Right,Gerrit Cole,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,89.1,72.0,100.0,96.0,125.0,104.0,108.0,136.0,105.0,114.0,114.0,103.0,113.0,107.0,103.0,102.0,0.53,0.07,0.20800000000000002,0.121,0.071,1.66,0.61,1.69,0.94,-0.54,96.7,92.7,89.1,82.9,0.201,0.185,0.215,0.271,0.235,,,,,,,,,,,,,,
4,2023-05-02,718339,Lineout,field_out,True,683011,676440,Anthony Volpe,Tanner Bibee,0,0,0,ac442c40-d608-456f-b90e-b562c56aa73f,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,91.0,97.0,91.0,110.0,106.0,115.0,,,,,,,0.47100000000000003,,0.27,,0.166,0.6,,1.35,,1.07,94.9,,84.7,,0.243,0.206,0.271,,0.213,88.0,98.0,102.0,0.09300000000000001,-1.11,78.3,,,,,,,,
5,2023-05-02,718339,Groundout,field_out,True,650402,676440,Gleyber Torres,Tanner Bibee,1,1,0,05ece317-022b-428d-be76-cbbabc936405,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,91.0,97.0,91.0,110.0,106.0,115.0,,,,,,,0.47100000000000003,,0.27,,0.166,0.6,,1.35,,1.07,94.9,,84.7,,0.243,0.206,0.271,,0.213,88.0,98.0,102.0,0.09300000000000001,-1.11,78.3,,,,,,,,
6,2023-05-02,718339,Single,single,False,519203,676440,Anthony Rizzo,Tanner Bibee,0,0,0,9d7525fd-3673-4215-a52c-a09ec4f4f645,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,91.0,97.0,91.0,110.0,106.0,115.0,,,,,,,0.47100000000000003,,0.27,,0.166,0.6,,1.35,,1.07,94.9,,84.7,,0.243,0.206,0.271,,0.213,88.0,98.0,102.0,0.09300000000000001,-1.11,78.3,,,,,,,,
7,2023-05-02,718339,Strikeout,strikeout,True,518934,676440,DJ LeMahieu,Tanner Bibee,0,0,0,540c3fae-11ae-4a67-8ba7-2da72cb4c5a0,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,91.0,97.0,91.0,110.0,106.0,115.0,,,,,,,0.47100000000000003,,0.27,,0.166,0.6,,1.35,,1.07,94.9,,84.7,,0.243,0.206,0.271,,0.213,88.0,98.0,102.0,0.09300000000000001,-1.11,78.3,,,,,,,,
8,2023-05-02,718339,Walk,walk,False,605137,543037,Josh Bell,Gerrit Cole,0,0,0,9b96e7e2-a193-428e-b396-97ea884ecd36,543037.0,gerritcole,Cole,Right,Gerrit Cole,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,89.1,72.0,100.0,96.0,125.0,104.0,108.0,136.0,105.0,114.0,114.0,103.0,113.0,107.0,103.0,102.0,0.53,0.07,0.20800000000000002,0.121,0.071,1.66,0.61,1.69,0.94,-0.54,96.7,92.7,89.1,82.9,0.201,0.185,0.215,0.271,0.235,,,,,,,,,,,,,,
9,2023-05-02,718339,Hit By Pitch,hit_by_pitch,False,665926,543037,Andrés Giménez,Gerrit Cole,0,0,1,6cbe7e8e-75ff-4c83-9637-a433972a9447,543037.0,gerritcole,Cole,Right,Gerrit Cole,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,89.1,72.0,100.0,96.0,125.0,104.0,108.0,136.0,105.0,114.0,114.0,103.0,113.0,107.0,103.0,102.0,0.53,0.07,0.20800000000000002,0.121,0.071,1.66,0.61,1.69,0.94,-0.54,96.7,92.7,89.1,82.9,0.201,0.185,0.215,0.271,0.235,,,,,,,,,,,,,,
