,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,FF_ba,SI_ba,CH_ba,SL_ba,CU_ba,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba
0,2023-09-17,716543,Strikeout,strikeout,True,682928,605540,CJ Abrams,Brandon Woodruff,0,0,0,03f7975a-0aa7-4b28-af03-7691a3301692,605540.0,brandonwoodruff,Woodruff,Right,Brandon Woodruff,2.28,2.82,67.0,107.0,114.0,110.0,0.7490000000000001,9.94,2.01,5.37,1.21,0.81,0.23600000000000002,0.41600000000000004,0.168,0.298,0.474,85.8,111.0,104.0,118.0,89.0,103.0,105.0,125.0,112.0,115.0,108.0,100.0,96.0,108.0,107.0,108.0,0.22,0.41,0.095,0.079,0.19699999999999998,0.95,2.76,-0.33,-0.01,3.2,95.8,95.0,86.9,82.9,0.177,0.193,0.098,0.278,0.182,,,,,,,,,,,,,,,
1,2023-09-17,716543,Groundout,field_out,True,657041,605540,Lane Thomas,Brandon Woodruff,0,0,0,1dba4029-f926-4271-b851-631f16cac762,605540.0,brandonwoodruff,Woodruff,Right,Brandon Woodruff,2.28,2.82,67.0,107.0,114.0,110.0,0.7490000000000001,9.94,2.01,5.37,1.21,0.81,0.23600000000000002,0.41600000000000004,0.168,0.298,0.474,85.8,111.0,104.0,118.0,89.0,103.0,105.0,125.0,112.0,115.0,108.0,100.0,96.0,108.0,107.0,108.0,0.22,0.41,0.095,0.079,0.19699999999999998,0.95,2.76,-0.33,-0.01,3.2,95.8,95.0,86.9,82.9,0.177,0.193,0.098,0.278,0.182,,,,,,,,,,,,,,,
2,2023-09-17,716543,Groundout,field_out,True,608841,605540,Joey Meneses,Brandon Woodruff,1,0,0,631dad71-c5c8-4219-9482-1e22b851d1de,605540.0,brandonwoodruff,Woodruff,Right,Brandon Woodruff,2.28,2.82,67.0,107.0,114.0,110.0,0.7490000000000001,9.94,2.01,5.37,1.21,0.81,0.23600000000000002,0.41600000000000004,0.168,0.298,0.474,85.8,111.0,104.0,118.0,89.0,103.0,105.0,125.0,112.0,115.0,108.0,100.0,96.0,108.0,107.0,108.0,0.22,0.41,0.095,0.079,0.19699999999999998,0.95,2.76,-0.33,-0.01,3.2,95.8,95.0,86.9,82.9,0.177,0.193,0.098,0.278,0.182,,,,,,,,,,,,,,,
3,2023-09-17,716543,Walk,walk,False,592192,571578,Mark Canha,Patrick Corbin,1,0,0,3fa6d09f-99db-4323-9f08-72f52bfcbb83,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,5.2,6.16,180.0,101.0,81.0,95.0,0.797,6.2,2.85,10.5,1.65,1.3,0.24,0.392,0.127,0.344,0.41100000000000003,81.2,66.0,101.0,96.0,,,,65.0,103.0,88.0,86.0,102.0,93.0,84.0,99.0,100.0,0.41700000000000004,0.16899999999999998,0.35,,0.064,-0.69,-0.89,-0.51,,-2.07,91.8,92.1,80.5,,0.327,0.32,0.29,0.233,,,,,,,,,,,,,,,,
4,2023-09-17,716543,Single,single,False,661388,571578,William Contreras,Patrick Corbin,0,0,1,d23167dd-7940-4aea-a78a-15c19b245a29,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,5.2,6.16,180.0,101.0,81.0,95.0,0.797,6.2,2.85,10.5,1.65,1.3,0.24,0.392,0.127,0.344,0.41100000000000003,81.2,66.0,101.0,96.0,,,,65.0,103.0,88.0,86.0,102.0,93.0,84.0,99.0,100.0,0.41700000000000004,0.16899999999999998,0.35,,0.064,-0.69,-0.89,-0.51,,-2.07,91.8,92.1,80.5,,0.327,0.32,0.29,0.233,,,,,,,,,,,,,,,,
5,2023-09-17,716543,Forceout,force_out,True,467793,571578,Carlos Santana,Patrick Corbin,0,0,1,4a49e6e1-5db0-4229-bb73-0dde8f8c50e3,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,5.2,6.16,180.0,101.0,81.0,95.0,0.797,6.2,2.85,10.5,1.65,1.3,0.24,0.392,0.127,0.344,0.41100000000000003,81.2,66.0,101.0,96.0,,,,65.0,103.0,88.0,86.0,102.0,93.0,84.0,99.0,100.0,0.41700000000000004,0.16899999999999998,0.35,,0.064,-0.69,-0.89,-0.51,,-2.07,91.8,92.1,80.5,,0.327,0.32,0.29,0.233,,,,,,,,,,,,,,,,
6,2023-09-17,716543,Flyout,field_out,True,642715,571578,Willy Adames,Patrick Corbin,0,0,0,bea6a6df-0165-488c-b4a2-1dbe7fc171f4,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,5.2,6.16,180.0,101.0,81.0,95.0,0.797,6.2,2.85,10.5,1.65,1.3,0.24,0.392,0.127,0.344,0.41100000000000003,81.2,66.0,101.0,96.0,,,,65.0,103.0,88.0,86.0,102.0,93.0,84.0,99.0,100.0,0.41700000000000004,0.16899999999999998,0.35,,0.064,-0.69,-0.89,-0.51,,-2.07,91.8,92.1,80.5,,0.327,0.32,0.29,0.233,,,,,,,,,,,,,,,,
7,2023-09-17,716543,Flyout,field_out,True,518626,571578,Josh Donaldson,Patrick Corbin,0,0,0,9ec08cf7-5ed0-4442-bea0-aaa660f58783,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,5.2,6.16,180.0,101.0,81.0,95.0,0.797,6.2,2.85,10.5,1.65,1.3,0.24,0.392,0.127,0.344,0.41100000000000003,81.2,66.0,101.0,96.0,,,,65.0,103.0,88.0,86.0,102.0,93.0,84.0,99.0,100.0,0.41700000000000004,0.16899999999999998,0.35,,0.064,-0.69,-0.89,-0.51,,-2.07,91.8,92.1,80.5,,0.327,0.32,0.29,0.233,,,,,,,,,,,,,,,,
8,2023-09-17,716543,Flyout,field_out,True,642086,605540,Dominic Smith,Brandon Woodruff,0,0,0,4479e17a-b758-4a07-b3a9-c46ce2c2a19e,605540.0,brandonwoodruff,Woodruff,Right,Brandon Woodruff,2.28,2.82,67.0,107.0,114.0,110.0,0.7490000000000001,9.94,2.01,5.37,1.21,0.81,0.23600000000000002,0.41600000000000004,0.168,0.298,0.474,85.8,111.0,104.0,118.0,89.0,103.0,105.0,125.0,112.0,115.0,108.0,100.0,96.0,108.0,107.0,108.0,0.22,0.41,0.095,0.079,0.19699999999999998,0.95,2.76,-0.33,-0.01,3.2,95.8,95.0,86.9,82.9,0.177,0.193,0.098,0.278,0.182,,,,,,,,,,,,,,,
9,2023-09-17,716543,Flyout,field_out,True,545121,605540,Ildemaro Vargas,Brandon Woodruff,1,0,0,d9d681e7-b682-4493-8fee-f0905ca14a5e,605540.0,brandonwoodruff,Woodruff,Right,Brandon Woodruff,2.28,2.82,67.0,107.0,114.0,110.0,0.7490000000000001,9.94,2.01,5.37,1.21,0.81,0.23600000000000002,0.41600000000000004,0.168,0.298,0.474,85.8,111.0,104.0,118.0,89.0,103.0,105.0,125.0,112.0,115.0,108.0,100.0,96.0,108.0,107.0,108.0,0.22,0.41,0.095,0.079,0.19699999999999998,0.95,2.76,-0.33,-0.01,3.2,95.8,95.0,86.9,82.9,0.177,0.193,0.098,0.278,0.182,,,,,,,,,,,,,,,
