,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CH%,wFA/C,wSL/C,wCH/C,vFA,vSL,FF_ba,CH_ba,SL_ba,ST_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba
0,2023-09-02,716741,Flyout,field_out,True,660670,686218,Ronald Acuña Jr.,Emmet Sheehan,0,0,0,238d29e6-62d9-498e-aa57-8cb04365bedb,686218.0,emmetsheehan,Sheehan,Right,Emmet Sheehan,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,82.9,74.0,99.0,100.0,104.0,96.0,95.0,112.0,98.0,103.0,0.6,0.228,0.172,0.04,1.57,0.51,95.4,85.8,0.24,0.178,0.19,0.091,,,,,,,,,,,,,,,,,,,,,
1,2023-09-02,716741,Single,single,False,645277,686218,Ozzie Albies,Emmet Sheehan,1,0,0,84ce9315-c6fd-40d2-8203-3d00bfeb3ed9,686218.0,emmetsheehan,Sheehan,Right,Emmet Sheehan,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,82.9,74.0,99.0,100.0,104.0,96.0,95.0,112.0,98.0,103.0,0.6,0.228,0.172,0.04,1.57,0.51,95.4,85.8,0.24,0.178,0.19,0.091,,,,,,,,,,,,,,,,,,,,,
2,2023-09-02,716741,Strikeout,strikeout,True,663586,686218,Austin Riley,Emmet Sheehan,0,0,0,4ff9caa7-7eb4-47df-b7f6-8feb60284a53,686218.0,emmetsheehan,Sheehan,Right,Emmet Sheehan,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,82.9,74.0,99.0,100.0,104.0,96.0,95.0,112.0,98.0,103.0,0.6,0.228,0.172,0.04,1.57,0.51,95.4,85.8,0.24,0.178,0.19,0.091,,,,,,,,,,,,,,,,,,,,,
3,2023-09-02,716741,Walk,walk,False,621566,686218,Matt Olson,Emmet Sheehan,1,0,1,84244ea0-b696-43cb-967e-06ea13795018,686218.0,emmetsheehan,Sheehan,Right,Emmet Sheehan,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,82.9,74.0,99.0,100.0,104.0,96.0,95.0,112.0,98.0,103.0,0.6,0.228,0.172,0.04,1.57,0.51,95.4,85.8,0.24,0.178,0.19,0.091,,,,,,,,,,,,,,,,,,,,,
4,2023-09-02,716741,Strikeout,strikeout,True,542303,686218,Marcell Ozuna,Emmet Sheehan,0,0,0,d118d2d4-c489-4748-9785-a8cbe14651b4,686218.0,emmetsheehan,Sheehan,Right,Emmet Sheehan,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,82.9,74.0,99.0,100.0,104.0,96.0,95.0,112.0,98.0,103.0,0.6,0.228,0.172,0.04,1.57,0.51,95.4,85.8,0.24,0.178,0.19,0.091,,,,,,,,,,,,,,,,,,,,,
5,2023-09-02,716741,Strikeout,strikeout,True,605141,693821,Mookie Betts,Bryce Elder,0,0,0,2c687c72-470d-472b-848e-7c16cfb3e732,693821.0,bryceelder,Elder,Right,Bryce Elder,3.81,4.61,174.2,99.0,80.0,95.0,0.785,6.6,3.25,8.24,0.98,1.68,0.218,0.462,0.113,0.35700000000000004,0.382,85.0,64.0,95.0,91.0,62.0,100.0,86.0,92.0,103.0,107.0,0.134,0.353,0.13699999999999998,-1.13,0.97,1.3,90.7,82.7,0.286,0.188,0.21,,82.0,96.0,90.0,0.376,0.01,89.5,0.28,,,,,,,,,,,,,,
6,2023-09-02,716741,Single,single,False,518692,693821,Freddie Freeman,Bryce Elder,0,0,0,ff3b7cd7-806a-43a4-ac65-db4949ca8b17,693821.0,bryceelder,Elder,Right,Bryce Elder,3.81,4.61,174.2,99.0,80.0,95.0,0.785,6.6,3.25,8.24,0.98,1.68,0.218,0.462,0.113,0.35700000000000004,0.382,85.0,64.0,95.0,91.0,62.0,100.0,86.0,92.0,103.0,107.0,0.134,0.353,0.13699999999999998,-1.13,0.97,1.3,90.7,82.7,0.286,0.188,0.21,,82.0,96.0,90.0,0.376,0.01,89.5,0.28,,,,,,,,,,,,,,
7,2023-09-02,716741,Lineout,field_out,True,669257,693821,Will Smith,Bryce Elder,0,0,0,970a9511-bcfd-400f-b33b-a2e7516d0c43,693821.0,bryceelder,Elder,Right,Bryce Elder,3.81,4.61,174.2,99.0,80.0,95.0,0.785,6.6,3.25,8.24,0.98,1.68,0.218,0.462,0.113,0.35700000000000004,0.382,85.0,64.0,95.0,91.0,62.0,100.0,86.0,92.0,103.0,107.0,0.134,0.353,0.13699999999999998,-1.13,0.97,1.3,90.7,82.7,0.286,0.188,0.21,,82.0,96.0,90.0,0.376,0.01,89.5,0.28,,,,,,,,,,,,,,
8,2023-09-02,716741,Groundout,field_out,True,571970,693821,Max Muncy,Bryce Elder,0,0,0,01385c6a-4701-4211-9a3c-533fd5196abe,693821.0,bryceelder,Elder,Right,Bryce Elder,3.81,4.61,174.2,99.0,80.0,95.0,0.785,6.6,3.25,8.24,0.98,1.68,0.218,0.462,0.113,0.35700000000000004,0.382,85.0,64.0,95.0,91.0,62.0,100.0,86.0,92.0,103.0,107.0,0.134,0.353,0.13699999999999998,-1.13,0.97,1.3,90.7,82.7,0.286,0.188,0.21,,82.0,96.0,90.0,0.376,0.01,89.5,0.28,,,,,,,,,,,,,,
9,2023-09-02,716741,Walk,walk,False,592696,686218,Eddie Rosario,Emmet Sheehan,1,0,0,afac2399-677d-437d-a834-4df82363209f,686218.0,emmetsheehan,Sheehan,Right,Emmet Sheehan,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,82.9,74.0,99.0,100.0,104.0,96.0,95.0,112.0,98.0,103.0,0.6,0.228,0.172,0.04,1.57,0.51,95.4,85.8,0.24,0.178,0.19,0.091,,,,,,,,,,,,,,,,,,,,,
