,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,SL_ba,CH_ba,CU_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,SI_ba,FS_ba,ST_ba
0,2023-05-08,718261,Walk,walk,False,656716,676440,Zach McKinstry,Tanner Bibee,0,0,0,435f3fc1-adbc-48e3-8d8a-36ba8e0ee2c3,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,110.0,106.0,115.0,0.47100000000000003,0.27,0.09300000000000001,0.166,0.6,1.35,-1.11,1.07,94.9,84.7,78.3,0.243,0.206,0.213,0.271,,,,,,,,,,,,,,,,,,,,,,
1,2023-05-08,718261,Forceout,force_out,True,682985,676440,Riley Greene,Tanner Bibee,0,0,1,eaec31c2-7923-402e-a93f-28e7128f97d0,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,110.0,106.0,115.0,0.47100000000000003,0.27,0.09300000000000001,0.166,0.6,1.35,-1.11,1.07,94.9,84.7,78.3,0.243,0.206,0.213,0.271,,,,,,,,,,,,,,,,,,,,,,
2,2023-05-08,718261,Lineout,field_out,True,595879,676440,Javier Báez,Tanner Bibee,0,0,0,dcd29fc3-be53-4a4f-a9a2-ff6726a01e34,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,110.0,106.0,115.0,0.47100000000000003,0.27,0.09300000000000001,0.166,0.6,1.35,-1.11,1.07,94.9,84.7,78.3,0.243,0.206,0.213,0.271,,,,,,,,,,,,,,,,,,,,,,
3,2023-05-08,718261,Strikeout,strikeout,True,665155,676440,Nick Maton,Tanner Bibee,0,0,1,656048fb-e8cc-4189-b529-1104c37344e7,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,110.0,106.0,115.0,0.47100000000000003,0.27,0.09300000000000001,0.166,0.6,1.35,-1.11,1.07,94.9,84.7,78.3,0.243,0.206,0.213,0.271,,,,,,,,,,,,,,,,,,,,,,
4,2023-05-08,718261,Double,double,False,680757,666214,Steven Kwan,Joey Wentz,0,0,0,d98e9c58-8663-4bae-8b46-01034f21d7a1,666214.0,joeywentz,Wentz,Left,Joey Wentz,6.9,5.77,105.2,100.0,89.0,95.0,0.7659999999999999,8.35,4.0,11.16,2.13,0.84,0.228,0.418,0.147,0.35700000000000004,0.424,85.0,95.0,101.0,98.0,102.0,106.0,105.0,80.0,100.0,92.0,,,,0.41600000000000004,,0.158,0.175,-2.53,,-0.86,-0.22,93.4,,77.5,0.374,,0.189,0.247,91.0,97.0,93.0,0.251,-0.57,86.0,0.271,,,,,,,,,,,,,,,
5,2023-05-08,718261,Single,single,False,642708,666214,Amed Rosario,Joey Wentz,0,0,1,75d3315c-f8b6-4604-8216-30a8e41fef30,666214.0,joeywentz,Wentz,Left,Joey Wentz,6.9,5.77,105.2,100.0,89.0,95.0,0.7659999999999999,8.35,4.0,11.16,2.13,0.84,0.228,0.418,0.147,0.35700000000000004,0.424,85.0,95.0,101.0,98.0,102.0,106.0,105.0,80.0,100.0,92.0,,,,0.41600000000000004,,0.158,0.175,-2.53,,-0.86,-0.22,93.4,,77.5,0.374,,0.189,0.247,91.0,97.0,93.0,0.251,-0.57,86.0,0.271,,,,,,,,,,,,,,,
6,2023-05-08,718261,Grounded Into DP,grounded_into_double_play,True,608070,666214,José Ramírez,Joey Wentz,0,0,1,cd5c60cf-d170-4a45-9a84-c10bc9afb31d,666214.0,joeywentz,Wentz,Left,Joey Wentz,6.9,5.77,105.2,100.0,89.0,95.0,0.7659999999999999,8.35,4.0,11.16,2.13,0.84,0.228,0.418,0.147,0.35700000000000004,0.424,85.0,95.0,101.0,98.0,102.0,106.0,105.0,80.0,100.0,92.0,,,,0.41600000000000004,,0.158,0.175,-2.53,,-0.86,-0.22,93.4,,77.5,0.374,,0.189,0.247,91.0,97.0,93.0,0.251,-0.57,86.0,0.271,,,,,,,,,,,,,,,
7,2023-05-08,718261,Walk,walk,False,605137,666214,Josh Bell,Joey Wentz,1,0,0,6f00af8d-ecb9-40d8-8b49-6394fcd3afab,666214.0,joeywentz,Wentz,Left,Joey Wentz,6.9,5.77,105.2,100.0,89.0,95.0,0.7659999999999999,8.35,4.0,11.16,2.13,0.84,0.228,0.418,0.147,0.35700000000000004,0.424,85.0,95.0,101.0,98.0,102.0,106.0,105.0,80.0,100.0,92.0,,,,0.41600000000000004,,0.158,0.175,-2.53,,-0.86,-0.22,93.4,,77.5,0.374,,0.189,0.247,91.0,97.0,93.0,0.251,-0.57,86.0,0.271,,,,,,,,,,,,,,,
8,2023-05-08,718261,Groundout,field_out,True,681807,666214,David Fry,Joey Wentz,0,0,0,6c2c3879-5203-4816-9cb2-10c7917ea857,666214.0,joeywentz,Wentz,Left,Joey Wentz,6.9,5.77,105.2,100.0,89.0,95.0,0.7659999999999999,8.35,4.0,11.16,2.13,0.84,0.228,0.418,0.147,0.35700000000000004,0.424,85.0,95.0,101.0,98.0,102.0,106.0,105.0,80.0,100.0,92.0,,,,0.41600000000000004,,0.158,0.175,-2.53,,-0.86,-0.22,93.4,,77.5,0.374,,0.189,0.247,91.0,97.0,93.0,0.251,-0.57,86.0,0.271,,,,,,,,,,,,,,,
9,2023-05-08,718261,Flyout,field_out,True,679529,676440,Spencer Torkelson,Tanner Bibee,0,0,0,26bcedeb-0fd5-4643-a3b5-57396333cd86,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,110.0,106.0,115.0,0.47100000000000003,0.27,0.09300000000000001,0.166,0.6,1.35,-1.11,1.07,94.9,84.7,78.3,0.243,0.206,0.213,0.271,,,,,,,,,,,,,,,,,,,,,,
