,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,SL_ba,CH_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,ST_ba,CU_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,SI%,KC%,wSI/C,wKC/C,vSI,vKC,SI_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,EP%,wEP/C,vEP
0,2023-09-04,716724,Groundout,field_out,True,514888,571760,Jose Altuve,Andrew Heaney,1,0,0,721ee30e-ea4c-4d39-98a6-7016ef4eba30,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.34299999999999997,0.39899999999999997,84.0,101.0,97.0,92.0,80.0,143.0,68.0,107.0,99.0,99.0,94.0,104.0,108.0,0.579,0.252,0.0,0.16899999999999998,0.1,-1.35,-3.87,-0.11,92.5,82.0,74.4,0.236,0.259,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-09-04,716724,Lineout,field_out,True,665161,571760,Jeremy Peña,Andrew Heaney,1,0,0,82ae5b30-31f7-471c-9800-a0af59b406c4,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.34299999999999997,0.39899999999999997,84.0,101.0,97.0,92.0,80.0,143.0,68.0,107.0,99.0,99.0,94.0,104.0,108.0,0.579,0.252,0.0,0.16899999999999998,0.1,-1.35,-3.87,-0.11,92.5,82.0,74.4,0.236,0.259,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-09-04,716724,Walk,walk,False,670541,571760,Yordan Alvarez,Andrew Heaney,0,0,0,6cfebff5-2e67-4314-be87-4f60d82b505c,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.34299999999999997,0.39899999999999997,84.0,101.0,97.0,92.0,80.0,143.0,68.0,107.0,99.0,99.0,94.0,104.0,108.0,0.579,0.252,0.0,0.16899999999999998,0.1,-1.35,-3.87,-0.11,92.5,82.0,74.4,0.236,0.259,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-09-04,716724,Single,single,False,608324,571760,Alex Bregman,Andrew Heaney,0,0,1,7853f054-1175-4d8b-9877-3f5eae7946e0,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.34299999999999997,0.39899999999999997,84.0,101.0,97.0,92.0,80.0,143.0,68.0,107.0,99.0,99.0,94.0,104.0,108.0,0.579,0.252,0.0,0.16899999999999998,0.1,-1.35,-3.87,-0.11,92.5,82.0,74.4,0.236,0.259,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-09-04,716724,Flyout,field_out,True,663656,571760,Kyle Tucker,Andrew Heaney,1,0,1,e81ab8cb-637d-4c27-9694-bd71ca42ffad,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.34299999999999997,0.39899999999999997,84.0,101.0,97.0,92.0,80.0,143.0,68.0,107.0,99.0,99.0,94.0,104.0,108.0,0.579,0.252,0.0,0.16899999999999998,0.1,-1.35,-3.87,-0.11,92.5,82.0,74.4,0.236,0.259,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023-09-04,716724,Walk,walk,False,543760,641585,Marcus Semien,J.P. France,1,0,0,36f8a3e6-eb92-4572-84ac-80aac395ba4b,641585.0,jpfrance,"France, J",Right,J.P. France,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.45399999999999996,81.8,75.0,102.0,112.0,116.0,98.0,100.0,101.0,97.0,98.0,109.0,99.0,105.0,0.431,0.091,0.13699999999999998,0.152,-0.26,-2.09,0.16,2.51,93.0,80.1,76.0,0.308,,0.183,116.0,108.0,103.0,0.18899999999999997,0.33,86.8,0.317,0.25,0.145,,,,,,,,,,,,,,,,,,,,,,,
6,2023-09-04,716724,Home Run,home_run,False,608369,641585,Corey Seager,J.P. France,0,0,1,d73ba7e9-ebb4-4fb6-bbd2-0160aa07db61,641585.0,jpfrance,"France, J",Right,J.P. France,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.45399999999999996,81.8,75.0,102.0,112.0,116.0,98.0,100.0,101.0,97.0,98.0,109.0,99.0,105.0,0.431,0.091,0.13699999999999998,0.152,-0.26,-2.09,0.16,2.51,93.0,80.1,76.0,0.308,,0.183,116.0,108.0,103.0,0.18899999999999997,0.33,86.8,0.317,0.25,0.145,,,,,,,,,,,,,,,,,,,,,,,
7,2023-09-04,716724,Groundout,field_out,True,663993,641585,Nathaniel Lowe,J.P. France,0,0,0,e017f361-8442-4ad4-b3d2-42edeed153ce,641585.0,jpfrance,"France, J",Right,J.P. France,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.45399999999999996,81.8,75.0,102.0,112.0,116.0,98.0,100.0,101.0,97.0,98.0,109.0,99.0,105.0,0.431,0.091,0.13699999999999998,0.152,-0.26,-2.09,0.16,2.51,93.0,80.1,76.0,0.308,,0.183,116.0,108.0,103.0,0.18899999999999997,0.33,86.8,0.317,0.25,0.145,,,,,,,,,,,,,,,,,,,,,,,
8,2023-09-04,716724,Strikeout,strikeout,True,666969,641585,Adolis García,J.P. France,0,0,0,40b8d14a-41bb-4ccc-9d4e-3ad6a569247e,641585.0,jpfrance,"France, J",Right,J.P. France,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.45399999999999996,81.8,75.0,102.0,112.0,116.0,98.0,100.0,101.0,97.0,98.0,109.0,99.0,105.0,0.431,0.091,0.13699999999999998,0.152,-0.26,-2.09,0.16,2.51,93.0,80.1,76.0,0.308,,0.183,116.0,108.0,103.0,0.18899999999999997,0.33,86.8,0.317,0.25,0.145,,,,,,,,,,,,,,,,,,,,,,,
9,2023-09-04,716724,Pop Out,field_out,True,641598,641585,Mitch Garver,J.P. France,1,0,0,bd194e3c-18a5-4caf-8f35-c7710788c2fd,641585.0,jpfrance,"France, J",Right,J.P. France,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.45399999999999996,81.8,75.0,102.0,112.0,116.0,98.0,100.0,101.0,97.0,98.0,109.0,99.0,105.0,0.431,0.091,0.13699999999999998,0.152,-0.26,-2.09,0.16,2.51,93.0,80.1,76.0,0.308,,0.183,116.0,108.0,103.0,0.18899999999999997,0.33,86.8,0.317,0.25,0.145,,,,,,,,,,,,,,,,,,,,,,,
