,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSI,vSL,vCU,SI_ba,CU_ba,CH_ba,SL_ba,FC_ba,Stf+ SL,Loc+ SL,Pit+ SL,FF_ba
0,2023-08-01,717172,Strikeout,strikeout,True,680757,664285,Steven Kwan,Framber Valdez,0,0,0,509717e6-07c6-411c-b3c6-205d3d78d8b2,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,99.0,99.0,95.0,0.46799999999999997,0.001,0.034,0.087,0.253,0.157,-16.35,0.45,0.93,-0.32,1.07,0.73,95.7,89.1,95.3,84.7,80.2,0.274,0.158,0.231,0.189,0.182,,,,
1,2023-08-01,717172,Strikeout,strikeout,True,671289,664285,Tyler Freeman,Framber Valdez,0,0,0,1b15b5b2-a784-401e-b570-d650197e42c2,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,99.0,99.0,95.0,0.46799999999999997,0.001,0.034,0.087,0.253,0.157,-16.35,0.45,0.93,-0.32,1.07,0.73,95.7,89.1,95.3,84.7,80.2,0.274,0.158,0.231,0.189,0.182,,,,
2,2023-08-01,717172,Flyout,field_out,True,608070,664285,José Ramírez,Framber Valdez,0,0,0,ee30df90-7eb5-4503-9a05-609a1d69cdd8,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,99.0,99.0,95.0,0.46799999999999997,0.001,0.034,0.087,0.253,0.157,-16.35,0.45,0.93,-0.32,1.07,0.73,95.7,89.1,95.3,84.7,80.2,0.274,0.158,0.231,0.189,0.182,,,,
3,2023-08-01,717172,Pop Out,field_out,True,514888,668909,Jose Altuve,Gavin Williams,0,0,0,4dbb4089-78c1-4327-a8d7-0e0c0b71c632,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,3.29,4.21,82.0,100.0,102.0,101.0,0.745,8.89,4.06,7.24,0.88,0.98,0.265,0.354,0.126,0.278,0.426,88.2,136.0,95.0,93.0,84.0,90.0,95.0,112.0,101.0,103.0,,,,,,,,0.5529999999999999,,0.221,0.17,0.055999999999999994,0.35,,,2.27,-1.23,-3.24,95.7,,,84.9,76.2,,0.174,0.353,0.157,,83.0,107.0,102.0,0.25
4,2023-08-01,717172,Double,double,False,665161,668909,Jeremy Peña,Gavin Williams,0,0,0,9e243a3c-6750-4192-9319-027f3c8e9701,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,3.29,4.21,82.0,100.0,102.0,101.0,0.745,8.89,4.06,7.24,0.88,0.98,0.265,0.354,0.126,0.278,0.426,88.2,136.0,95.0,93.0,84.0,90.0,95.0,112.0,101.0,103.0,,,,,,,,0.5529999999999999,,0.221,0.17,0.055999999999999994,0.35,,,2.27,-1.23,-3.24,95.7,,,84.9,76.2,,0.174,0.353,0.157,,83.0,107.0,102.0,0.25
5,2023-08-01,717172,Groundout,field_out,True,663656,668909,Kyle Tucker,Gavin Williams,0,0,1,065ca5f1-7398-4389-bc9e-b0f876cbf41d,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,3.29,4.21,82.0,100.0,102.0,101.0,0.745,8.89,4.06,7.24,0.88,0.98,0.265,0.354,0.126,0.278,0.426,88.2,136.0,95.0,93.0,84.0,90.0,95.0,112.0,101.0,103.0,,,,,,,,0.5529999999999999,,0.221,0.17,0.055999999999999994,0.35,,,2.27,-1.23,-3.24,95.7,,,84.9,76.2,,0.174,0.353,0.157,,83.0,107.0,102.0,0.25
6,2023-08-01,717172,Groundout,field_out,True,608324,668909,Alex Bregman,Gavin Williams,1,0,0,aa01029f-b1d3-4a73-920c-346bd456f522,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,3.29,4.21,82.0,100.0,102.0,101.0,0.745,8.89,4.06,7.24,0.88,0.98,0.265,0.354,0.126,0.278,0.426,88.2,136.0,95.0,93.0,84.0,90.0,95.0,112.0,101.0,103.0,,,,,,,,0.5529999999999999,,0.221,0.17,0.055999999999999994,0.35,,,2.27,-1.23,-3.24,95.7,,,84.9,76.2,,0.174,0.353,0.157,,83.0,107.0,102.0,0.25
7,2023-08-01,717172,Strikeout,strikeout,True,660757,664285,Oscar Gonzalez,Framber Valdez,0,0,0,fbdb598c-fb9a-4e18-9558-dff693b207cd,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,99.0,99.0,95.0,0.46799999999999997,0.001,0.034,0.087,0.253,0.157,-16.35,0.45,0.93,-0.32,1.07,0.73,95.7,89.1,95.3,84.7,80.2,0.274,0.158,0.231,0.189,0.182,,,,
8,2023-08-01,717172,Strikeout,strikeout,True,681807,664285,David Fry,Framber Valdez,0,0,0,7ae6eae3-7537-4487-baa0-f0dedf102d74,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,99.0,99.0,95.0,0.46799999999999997,0.001,0.034,0.087,0.253,0.157,-16.35,0.45,0.93,-0.32,1.07,0.73,95.7,89.1,95.3,84.7,80.2,0.274,0.158,0.231,0.189,0.182,,,,
9,2023-08-01,717172,Groundout,field_out,True,686823,664285,Will Brennan,Framber Valdez,0,0,0,291ed76c-3b64-4164-8291-4f91e2c53d93,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,99.0,99.0,95.0,0.46799999999999997,0.001,0.034,0.087,0.253,0.157,-16.35,0.45,0.93,-0.32,1.07,0.73,95.7,89.1,95.3,84.7,80.2,0.274,0.158,0.231,0.189,0.182,,,,
