,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,KC%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vSI,vSL,vCU,vKC,SI_ba,FF_ba,SL_ba,CU_ba,CH_ba,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,ST_ba,FC_ba,FS_ba
0,2023-05-03,718320,Flyout,field_out,True,687263,571945,Zach Neto,Miles Mikolas,0,0,0,67fa18c0-ac40-4885-abfe-e7c733b51392,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,4.78,5.44,201.1,108.0,88.0,101.0,0.852,6.12,1.74,10.1,1.16,0.99,0.251,0.375,0.128,0.349,0.475,84.4,58.0,96.0,93.0,95.0,105.0,102.0,74.0,112.0,99.0,86.0,108.0,99.0,108.0,107.0,108.0,0.243,0.26,0.243,0.198,0.002,0.054000000000000006,-0.19,-1.61,0.62,-0.92,-0.89,2.68,93.3,92.7,86.4,75.9,68.1,0.34,0.29,0.245,0.261,0.182,,,,,,,,,,,,,,,
1,2023-05-03,718320,Strikeout,strikeout,True,545361,571945,Mike Trout,Miles Mikolas,0,0,0,f2b52c6b-8bb8-4311-8819-4b15af76ecaa,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,4.78,5.44,201.1,108.0,88.0,101.0,0.852,6.12,1.74,10.1,1.16,0.99,0.251,0.375,0.128,0.349,0.475,84.4,58.0,96.0,93.0,95.0,105.0,102.0,74.0,112.0,99.0,86.0,108.0,99.0,108.0,107.0,108.0,0.243,0.26,0.243,0.198,0.002,0.054000000000000006,-0.19,-1.61,0.62,-0.92,-0.89,2.68,93.3,92.7,86.4,75.9,68.1,0.34,0.29,0.245,0.261,0.182,,,,,,,,,,,,,,,
2,2023-05-03,718320,Single,single,False,660271,571945,Shohei Ohtani,Miles Mikolas,0,0,0,40c5ac25-af67-446d-a122-06fcefac66b3,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,4.78,5.44,201.1,108.0,88.0,101.0,0.852,6.12,1.74,10.1,1.16,0.99,0.251,0.375,0.128,0.349,0.475,84.4,58.0,96.0,93.0,95.0,105.0,102.0,74.0,112.0,99.0,86.0,108.0,99.0,108.0,107.0,108.0,0.243,0.26,0.243,0.198,0.002,0.054000000000000006,-0.19,-1.61,0.62,-0.92,-0.89,2.68,93.3,92.7,86.4,75.9,68.1,0.34,0.29,0.245,0.261,0.182,,,,,,,,,,,,,,,
3,2023-05-03,718320,Flyout,field_out,True,543685,571945,Anthony Rendon,Miles Mikolas,1,1,0,eee8b18e-e109-44bf-9cd7-752660afcd16,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,4.78,5.44,201.1,108.0,88.0,101.0,0.852,6.12,1.74,10.1,1.16,0.99,0.251,0.375,0.128,0.349,0.475,84.4,58.0,96.0,93.0,95.0,105.0,102.0,74.0,112.0,99.0,86.0,108.0,99.0,108.0,107.0,108.0,0.243,0.26,0.243,0.198,0.002,0.054000000000000006,-0.19,-1.61,0.62,-0.92,-0.89,2.68,93.3,92.7,86.4,75.9,68.1,0.34,0.29,0.245,0.261,0.182,,,,,,,,,,,,,,,
4,2023-05-03,718320,Strikeout,strikeout,True,663457,660271,Lars Nootbaar,Shohei Ohtani,0,0,0,7f74316a-8c4a-4c58-a199-f4cd946cec76,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,,,,,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,0.06,0.33,0.35600000000000004,0.036000000000000004,,,1.64,-0.53,1.81,1.15,,,96.8,94.5,83.7,75.7,,0.273,0.164,,0.111,,96.0,89.0,88.0,129.0,93.0,108.0,0.156,0.062,-0.82,-0.25,88.6,88.6,0.146,0.31,0.179
5,2023-05-03,718320,Strikeout,strikeout,True,502671,660271,Paul Goldschmidt,Shohei Ohtani,0,0,0,ebe31bde-09ba-4ef1-81f1-896a877619c2,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,,,,,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,0.06,0.33,0.35600000000000004,0.036000000000000004,,,1.64,-0.53,1.81,1.15,,,96.8,94.5,83.7,75.7,,0.273,0.164,,0.111,,96.0,89.0,88.0,129.0,93.0,108.0,0.156,0.062,-0.82,-0.25,88.6,88.6,0.146,0.31,0.179
6,2023-05-03,718320,Home Run,home_run,False,669357,660271,Nolan Gorman,Shohei Ohtani,0,0,0,f25498ba-8401-42e6-8417-8e9c334ed6e5,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,,,,,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,0.06,0.33,0.35600000000000004,0.036000000000000004,,,1.64,-0.53,1.81,1.15,,,96.8,94.5,83.7,75.7,,0.273,0.164,,0.111,,96.0,89.0,88.0,129.0,93.0,108.0,0.156,0.062,-0.82,-0.25,88.6,88.6,0.146,0.31,0.179
7,2023-05-03,718320,Walk,walk,False,571448,660271,Nolan Arenado,Shohei Ohtani,0,0,0,d527eafd-06c5-4448-8f18-9fcaab5b936b,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,,,,,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,0.06,0.33,0.35600000000000004,0.036000000000000004,,,1.64,-0.53,1.81,1.15,,,96.8,94.5,83.7,75.7,,0.273,0.164,,0.111,,96.0,89.0,88.0,129.0,93.0,108.0,0.156,0.062,-0.82,-0.25,88.6,88.6,0.146,0.31,0.179
8,2023-05-03,718320,Strikeout,strikeout,True,575929,660271,Willson Contreras,Shohei Ohtani,0,0,0,b63ae2c0-2f99-478e-be79-54ef65955124,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,,,,,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,0.06,0.33,0.35600000000000004,0.036000000000000004,,,1.64,-0.53,1.81,1.15,,,96.8,94.5,83.7,75.7,,0.273,0.164,,0.111,,96.0,89.0,88.0,129.0,93.0,108.0,0.156,0.062,-0.82,-0.25,88.6,88.6,0.146,0.31,0.179
9,2023-05-03,718320,Strikeout,strikeout,True,592669,571945,Hunter Renfroe,Miles Mikolas,0,0,0,08bfca8a-4c26-4962-bdbd-3291c8483301,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,4.78,5.44,201.1,108.0,88.0,101.0,0.852,6.12,1.74,10.1,1.16,0.99,0.251,0.375,0.128,0.349,0.475,84.4,58.0,96.0,93.0,95.0,105.0,102.0,74.0,112.0,99.0,86.0,108.0,99.0,108.0,107.0,108.0,0.243,0.26,0.243,0.198,0.002,0.054000000000000006,-0.19,-1.61,0.62,-0.92,-0.89,2.68,93.3,92.7,86.4,75.9,68.1,0.34,0.29,0.245,0.261,0.182,,,,,,,,,,,,,,,
