,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,ST_ba,CU_ba,CH_ba,SL_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,SI_ba,vSC (sc),SC%,wSC/C,SC_ba,FS_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,EP%,wEP/C,vEP
0,2023-07-22,717299,Walk,walk,False,673490,666159,Ha-Seong Kim,Matt Manning,0,0,0,7fe73ad7-93c1-40a5-a206-2ea752b15dcd,666159.0,mattmanning,Manning,Right,Matt Manning,3.58,5.48,78.0,102.0,104.0,102.0,0.831,5.77,2.42,6.92,1.27,0.83,0.272,0.423,0.142,0.389,0.49200000000000005,87.7,62.0,96.0,84.0,102.0,99.0,101.0,103.0,104.0,100.0,112.0,102.0,107.0,0.478,0.315,0.172,0.036000000000000004,0.58,1.21,-0.9,0.93,93.4,81.9,79.5,0.214,0.185,0.258,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-07-22,717299,Walk,walk,False,665487,666159,Fernando Tatis Jr.,Matt Manning,0,0,1,b0f08034-37ed-4938-8eb4-52cc8e2ff669,666159.0,mattmanning,Manning,Right,Matt Manning,3.58,5.48,78.0,102.0,104.0,102.0,0.831,5.77,2.42,6.92,1.27,0.83,0.272,0.423,0.142,0.389,0.49200000000000005,87.7,62.0,96.0,84.0,102.0,99.0,101.0,103.0,104.0,100.0,112.0,102.0,107.0,0.478,0.315,0.172,0.036000000000000004,0.58,1.21,-0.9,0.93,93.4,81.9,79.5,0.214,0.185,0.258,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-07-22,717299,Grounded Into DP,grounded_into_double_play,True,665742,666159,Juan Soto,Matt Manning,1,0,1,c2a3672b-5349-41eb-8633-3bbe3d6d27a4,666159.0,mattmanning,Manning,Right,Matt Manning,3.58,5.48,78.0,102.0,104.0,102.0,0.831,5.77,2.42,6.92,1.27,0.83,0.272,0.423,0.142,0.389,0.49200000000000005,87.7,62.0,96.0,84.0,102.0,99.0,101.0,103.0,104.0,100.0,112.0,102.0,107.0,0.478,0.315,0.172,0.036000000000000004,0.58,1.21,-0.9,0.93,93.4,81.9,79.5,0.214,0.185,0.258,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-07-22,717299,Strikeout,strikeout,True,592518,666159,Manny Machado,Matt Manning,0,0,0,30252429-aa77-4696-a143-067a8a437616,666159.0,mattmanning,Manning,Right,Matt Manning,3.58,5.48,78.0,102.0,104.0,102.0,0.831,5.77,2.42,6.92,1.27,0.83,0.272,0.423,0.142,0.389,0.49200000000000005,87.7,62.0,96.0,84.0,102.0,99.0,101.0,103.0,104.0,100.0,112.0,102.0,107.0,0.478,0.315,0.172,0.036000000000000004,0.58,1.21,-0.9,0.93,93.4,81.9,79.5,0.214,0.185,0.258,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-07-22,717299,Flyout,field_out,True,663837,680232,Matt Vierling,Jackson Wolf,0,0,0,7ab2e642-1703-4355-9816-4afefa98e1dc,680232.0,jacksonwolf,Wolf,Left,Jackson Wolf,5.4,6.9,5.0,98.0,117.0,98.0,0.943,1.8,1.8,10.8,0.0,2.4,0.15,0.45,0.15,0.35,0.467,82.4,132.0,80.0,99.0,,,,107.0,108.0,103.0,120.0,95.0,92.0,0.45299999999999996,0.33299999999999996,,0.213,-1.16,-0.49,,5.08,88.9,75.6,,0.364,,,0.143,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023-07-22,717299,Groundout,field_out,True,679529,680232,Spencer Torkelson,Jackson Wolf,0,0,0,8686d125-031a-4db1-9e78-796e241f16da,680232.0,jacksonwolf,Wolf,Left,Jackson Wolf,5.4,6.9,5.0,98.0,117.0,98.0,0.943,1.8,1.8,10.8,0.0,2.4,0.15,0.45,0.15,0.35,0.467,82.4,132.0,80.0,99.0,,,,107.0,108.0,103.0,120.0,95.0,92.0,0.45299999999999996,0.33299999999999996,,0.213,-1.16,-0.49,,5.08,88.9,75.6,,0.364,,,0.143,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2023-07-22,717299,Groundout,field_out,True,682985,680232,Riley Greene,Jackson Wolf,0,0,0,d7b3bcc2-f5c1-4389-8fc8-994689cfe4bf,680232.0,jacksonwolf,Wolf,Left,Jackson Wolf,5.4,6.9,5.0,98.0,117.0,98.0,0.943,1.8,1.8,10.8,0.0,2.4,0.15,0.45,0.15,0.35,0.467,82.4,132.0,80.0,99.0,,,,107.0,108.0,103.0,120.0,95.0,92.0,0.45299999999999996,0.33299999999999996,,0.213,-1.16,-0.49,,5.08,88.9,75.6,,0.364,,,0.143,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2023-07-22,717299,Pop Out,field_out,True,593428,666159,Xander Bogaerts,Matt Manning,0,0,0,65e6789b-aa3e-45f3-b7a7-fe071173a8b3,666159.0,mattmanning,Manning,Right,Matt Manning,3.58,5.48,78.0,102.0,104.0,102.0,0.831,5.77,2.42,6.92,1.27,0.83,0.272,0.423,0.142,0.389,0.49200000000000005,87.7,62.0,96.0,84.0,102.0,99.0,101.0,103.0,104.0,100.0,112.0,102.0,107.0,0.478,0.315,0.172,0.036000000000000004,0.58,1.21,-0.9,0.93,93.4,81.9,79.5,0.214,0.185,0.258,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2023-07-22,717299,Groundout,field_out,True,630105,666159,Jake Cronenworth,Matt Manning,1,0,0,c31517ee-f090-4227-986b-72e078079e49,666159.0,mattmanning,Manning,Right,Matt Manning,3.58,5.48,78.0,102.0,104.0,102.0,0.831,5.77,2.42,6.92,1.27,0.83,0.272,0.423,0.142,0.389,0.49200000000000005,87.7,62.0,96.0,84.0,102.0,99.0,101.0,103.0,104.0,100.0,112.0,102.0,107.0,0.478,0.315,0.172,0.036000000000000004,0.58,1.21,-0.9,0.93,93.4,81.9,79.5,0.214,0.185,0.258,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2023-07-22,717299,Single,single,False,669134,666159,Luis Campusano,Matt Manning,1,0,0,83501a5a-d6c2-413e-b83d-021b149c2279,666159.0,mattmanning,Manning,Right,Matt Manning,3.58,5.48,78.0,102.0,104.0,102.0,0.831,5.77,2.42,6.92,1.27,0.83,0.272,0.423,0.142,0.389,0.49200000000000005,87.7,62.0,96.0,84.0,102.0,99.0,101.0,103.0,104.0,100.0,112.0,102.0,107.0,0.478,0.315,0.172,0.036000000000000004,0.58,1.21,-0.9,0.93,93.4,81.9,79.5,0.214,0.185,0.258,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
