,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vSI,vSL,vKC,FF_ba,SL_ba,CU_ba,FC_ba,CH_ba,SI_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2023-04-17,718538,Double,double,False,668942,656427,Josh Rojas,Jack Flaherty,0,0,0,7aca2dcf-427d-4ac1-bc27-ddb1128df1e3,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,85.3,68.0,89.0,84.0,98.0,99.0,98.0,75.0,82.0,71.0,98.0,101.0,102.0,93.0,102.0,108.0,92.0,98.0,101.0,0.02,0.41700000000000004,0.091,0.24600000000000002,0.19399999999999998,0.033,-0.44,-1.05,-2.28,-1.15,0.23,0.86,93.1,88.7,90.1,84.2,76.2,0.29,0.339,0.204,0.318,0.154,0.333,,,,,,
1,2023-04-17,718538,Single,single,False,606466,656427,Ketel Marte,Jack Flaherty,0,0,1,3547a0fd-bb3f-4376-af4c-1866df56abe5,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,85.3,68.0,89.0,84.0,98.0,99.0,98.0,75.0,82.0,71.0,98.0,101.0,102.0,93.0,102.0,108.0,92.0,98.0,101.0,0.02,0.41700000000000004,0.091,0.24600000000000002,0.19399999999999998,0.033,-0.44,-1.05,-2.28,-1.15,0.23,0.86,93.1,88.7,90.1,84.2,76.2,0.29,0.339,0.204,0.318,0.154,0.333,,,,,,
2,2023-04-17,718538,Grounded Into DP,grounded_into_double_play,True,666971,656427,Lourdes Gurriel Jr.,Jack Flaherty,1,1,1,6d9a4732-9660-4169-90ce-ede9d13491ac,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,85.3,68.0,89.0,84.0,98.0,99.0,98.0,75.0,82.0,71.0,98.0,101.0,102.0,93.0,102.0,108.0,92.0,98.0,101.0,0.02,0.41700000000000004,0.091,0.24600000000000002,0.19399999999999998,0.033,-0.44,-1.05,-2.28,-1.15,0.23,0.86,93.1,88.7,90.1,84.2,76.2,0.29,0.339,0.204,0.318,0.154,0.333,,,,,,
3,2023-04-17,718538,Groundout,field_out,True,572233,656427,Christian Walker,Jack Flaherty,0,0,0,a598856f-59b6-472b-8ca4-7c5b6ff0709d,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,85.3,68.0,89.0,84.0,98.0,99.0,98.0,75.0,82.0,71.0,98.0,101.0,102.0,93.0,102.0,108.0,92.0,98.0,101.0,0.02,0.41700000000000004,0.091,0.24600000000000002,0.19399999999999998,0.033,-0.44,-1.05,-2.28,-1.15,0.23,0.86,93.1,88.7,90.1,84.2,76.2,0.29,0.339,0.204,0.318,0.154,0.333,,,,,,
4,2023-04-17,718538,Hit By Pitch,hit_by_pitch,False,680977,518876,Brendan Donovan,Merrill Kelly,1,0,0,d18ab5fc-7adc-4258-96a0-d9af21b051ff,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,88.7,99.0,108.0,114.0,78.0,104.0,97.0,85.0,105.0,95.0,104.0,112.0,110.0,,,,87.0,101.0,99.0,0.122,0.301,0.18100000000000002,0.055,,0.231,0.04,0.88,0.83,-0.64,,2.43,92.2,90.8,92.4,85.5,,0.224,0.217,0.268,0.22,0.18,0.261,121.0,105.0,111.0,0.11,-0.45,82.1
5,2023-04-17,718538,Grounded Into DP,grounded_into_double_play,True,676475,518876,Alec Burleson,Merrill Kelly,0,0,1,4c6afb87-de18-4e67-9415-49fada0ba025,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,88.7,99.0,108.0,114.0,78.0,104.0,97.0,85.0,105.0,95.0,104.0,112.0,110.0,,,,87.0,101.0,99.0,0.122,0.301,0.18100000000000002,0.055,,0.231,0.04,0.88,0.83,-0.64,,2.43,92.2,90.8,92.4,85.5,,0.224,0.217,0.268,0.22,0.18,0.261,121.0,105.0,111.0,0.11,-0.45,82.1
6,2023-04-17,718538,Strikeout,strikeout,True,575929,518876,Willson Contreras,Merrill Kelly,0,0,0,b115694d-79af-408f-8ae4-483f3d11b12f,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,88.7,99.0,108.0,114.0,78.0,104.0,97.0,85.0,105.0,95.0,104.0,112.0,110.0,,,,87.0,101.0,99.0,0.122,0.301,0.18100000000000002,0.055,,0.231,0.04,0.88,0.83,-0.64,,2.43,92.2,90.8,92.4,85.5,,0.224,0.217,0.268,0.22,0.18,0.261,121.0,105.0,111.0,0.11,-0.45,82.1
7,2023-04-17,718538,Lineout,field_out,True,682998,656427,Corbin Carroll,Jack Flaherty,0,0,0,13d9ca1d-32eb-4339-af15-ca7a02977094,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,85.3,68.0,89.0,84.0,98.0,99.0,98.0,75.0,82.0,71.0,98.0,101.0,102.0,93.0,102.0,108.0,92.0,98.0,101.0,0.02,0.41700000000000004,0.091,0.24600000000000002,0.19399999999999998,0.033,-0.44,-1.05,-2.28,-1.15,0.23,0.86,93.1,88.7,90.1,84.2,76.2,0.29,0.339,0.204,0.318,0.154,0.333,,,,,,
8,2023-04-17,718538,Walk,walk,False,656976,656427,Pavin Smith,Jack Flaherty,1,0,0,a2538e05-1263-4e0a-9987-503fbe55b4b7,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,85.3,68.0,89.0,84.0,98.0,99.0,98.0,75.0,82.0,71.0,98.0,101.0,102.0,93.0,102.0,108.0,92.0,98.0,101.0,0.02,0.41700000000000004,0.091,0.24600000000000002,0.19399999999999998,0.033,-0.44,-1.05,-2.28,-1.15,0.23,0.86,93.1,88.7,90.1,84.2,76.2,0.29,0.339,0.204,0.318,0.154,0.333,,,,,,
9,2023-04-17,718538,Grounded Into DP,grounded_into_double_play,True,672515,656427,Gabriel Moreno,Jack Flaherty,1,0,1,32ba2547-30f8-4351-a43d-2db0066b8ed9,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,85.3,68.0,89.0,84.0,98.0,99.0,98.0,75.0,82.0,71.0,98.0,101.0,102.0,93.0,102.0,108.0,92.0,98.0,101.0,0.02,0.41700000000000004,0.091,0.24600000000000002,0.19399999999999998,0.033,-0.44,-1.05,-2.28,-1.15,0.23,0.86,93.1,88.7,90.1,84.2,76.2,0.29,0.339,0.204,0.318,0.154,0.333,,,,,,
