,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,KC%,CH%,wSI/C,wSL/C,wKC/C,wCH/C,vSI,vSL,vKC,SI_ba,SL_ba,CH_ba,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,CU%,wFA/C,wCU/C,vFA,vCU,FF_ba,CU_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,ST_ba,FS_ba
0,2023-06-22,717661,Walk,walk,False,673490,622072,Ha-Seong Kim,Alex Wood,1,0,0,6da97d04-b1c7-47bf-b341-09818afba702,622072.0,alexwood,Wood,Left,Alex Wood,4.33,4.67,97.2,97.0,87.0,93.0,0.802,6.82,3.87,9.03,0.83,1.23,0.249,0.39299999999999996,0.138,0.285,0.413,85.2,78.0,103.0,99.0,80.0,95.0,88.0,110.0,93.0,95.0,0.446,0.261,0.001,0.292,0.12,-0.8,-5.8,-0.33,91.5,82.4,83.6,0.234,0.288,0.273,,,,,,,,,,,,,,,,,,,,,,
1,2023-06-22,717661,Flyout,field_out,True,665487,622072,Fernando Tatis Jr.,Alex Wood,1,0,0,8598dbc7-4f4d-41f0-96f6-7d4d4389a90b,622072.0,alexwood,Wood,Left,Alex Wood,4.33,4.67,97.2,97.0,87.0,93.0,0.802,6.82,3.87,9.03,0.83,1.23,0.249,0.39299999999999996,0.138,0.285,0.413,85.2,78.0,103.0,99.0,80.0,95.0,88.0,110.0,93.0,95.0,0.446,0.261,0.001,0.292,0.12,-0.8,-5.8,-0.33,91.5,82.4,83.6,0.234,0.288,0.273,,,,,,,,,,,,,,,,,,,,,,
2,2023-06-22,717661,Walk,walk,False,665742,622072,Juan Soto,Alex Wood,1,0,1,35e67c19-7d99-4c83-8d25-ebd7114cdb4e,622072.0,alexwood,Wood,Left,Alex Wood,4.33,4.67,97.2,97.0,87.0,93.0,0.802,6.82,3.87,9.03,0.83,1.23,0.249,0.39299999999999996,0.138,0.285,0.413,85.2,78.0,103.0,99.0,80.0,95.0,88.0,110.0,93.0,95.0,0.446,0.261,0.001,0.292,0.12,-0.8,-5.8,-0.33,91.5,82.4,83.6,0.234,0.288,0.273,,,,,,,,,,,,,,,,,,,,,,
3,2023-06-22,717661,Lineout,field_out,True,592518,622072,Manny Machado,Alex Wood,0,0,0,c3b92779-fe0b-43fd-9ade-a38fd8b38937,622072.0,alexwood,Wood,Left,Alex Wood,4.33,4.67,97.2,97.0,87.0,93.0,0.802,6.82,3.87,9.03,0.83,1.23,0.249,0.39299999999999996,0.138,0.285,0.413,85.2,78.0,103.0,99.0,80.0,95.0,88.0,110.0,93.0,95.0,0.446,0.261,0.001,0.292,0.12,-0.8,-5.8,-0.33,91.5,82.4,83.6,0.234,0.288,0.273,,,,,,,,,,,,,,,,,,,,,,
4,2023-06-22,717661,Home Run,home_run,False,596142,622072,Gary Sánchez,Alex Wood,0,0,1,c5ebb5e6-9118-4490-94e2-988b7a498ac4,622072.0,alexwood,Wood,Left,Alex Wood,4.33,4.67,97.2,97.0,87.0,93.0,0.802,6.82,3.87,9.03,0.83,1.23,0.249,0.39299999999999996,0.138,0.285,0.413,85.2,78.0,103.0,99.0,80.0,95.0,88.0,110.0,93.0,95.0,0.446,0.261,0.001,0.292,0.12,-0.8,-5.8,-0.33,91.5,82.4,83.6,0.234,0.288,0.273,,,,,,,,,,,,,,,,,,,,,,
5,2023-06-22,717661,Flyout,field_out,True,630105,622072,Jake Cronenworth,Alex Wood,0,0,0,e1ce3917-fafb-4875-8544-3209488f80c6,622072.0,alexwood,Wood,Left,Alex Wood,4.33,4.67,97.2,97.0,87.0,93.0,0.802,6.82,3.87,9.03,0.83,1.23,0.249,0.39299999999999996,0.138,0.285,0.413,85.2,78.0,103.0,99.0,80.0,95.0,88.0,110.0,93.0,95.0,0.446,0.261,0.001,0.292,0.12,-0.8,-5.8,-0.33,91.5,82.4,83.6,0.234,0.288,0.273,,,,,,,,,,,,,,,,,,,,,,
6,2023-06-22,717661,Groundout,field_out,True,596103,605483,Austin Slater,Blake Snell,1,1,0,f4090a6a-219d-4fb5-99cd-0ef6b4877f0e,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,,,,107.0,91.0,94.0,,0.131,,0.184,,0.68,,2.65,,88.4,,,0.123,0.185,106.0,102.0,110.0,120.0,91.0,96.0,0.486,0.198,0.07,2.55,95.5,81.0,0.255,0.079,,,,,,,,
7,2023-06-22,717661,Groundout,field_out,True,682641,605483,Luis Matos,Blake Snell,0,0,0,d75f5bbe-a411-4773-808f-ece9fb165012,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,,,,107.0,91.0,94.0,,0.131,,0.184,,0.68,,2.65,,88.4,,,0.123,0.185,106.0,102.0,110.0,120.0,91.0,96.0,0.486,0.198,0.07,2.55,95.5,81.0,0.255,0.079,,,,,,,,
8,2023-06-22,717661,Strikeout,strikeout,True,642731,605483,Thairo Estrada,Blake Snell,0,0,0,26afd8bf-6dfd-40f7-b160-413641aaa70c,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,,,,107.0,91.0,94.0,,0.131,,0.184,,0.68,,2.65,,88.4,,,0.123,0.185,106.0,102.0,110.0,120.0,91.0,96.0,0.486,0.198,0.07,2.55,95.5,81.0,0.255,0.079,,,,,,,,
9,2023-06-22,717661,Flyout,field_out,True,443558,622072,Nelson Cruz,Alex Wood,0,0,0,639e2acd-850a-492d-988e-c3eaac3efad5,622072.0,alexwood,Wood,Left,Alex Wood,4.33,4.67,97.2,97.0,87.0,93.0,0.802,6.82,3.87,9.03,0.83,1.23,0.249,0.39299999999999996,0.138,0.285,0.413,85.2,78.0,103.0,99.0,80.0,95.0,88.0,110.0,93.0,95.0,0.446,0.261,0.001,0.292,0.12,-0.8,-5.8,-0.33,91.5,82.4,83.6,0.234,0.288,0.273,,,,,,,,,,,,,,,,,,,,,,
