,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSL,vCU,FF_ba,FC_ba,CU_ba,CH_ba,SL_ba,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba
66,2023-06-28,717577,Walk,walk,False,669392,669212,Samad Taylor,Eli Morgan,1,0,0,7eacdcf6-7d6a-439e-9c9a-4d5408605d20,669212.0,elimorgan,Morgan,Right,Eli Morgan,4.01,3.96,67.1,103.0,83.0,104.0,0.735,10.02,3.21,9.76,1.2,1.17,0.24100000000000002,0.397,0.191,0.256,0.40299999999999997,78.6,38.0,103.0,107.0,116.0,104.0,109.0,80.0,102.0,95.0,135.0,104.0,114.0,,,,0.40399999999999997,,0.254,0.025,0.317,-0.62,,-0.19,-3.92,0.4,92.5,,85.5,84.7,0.317,,0.5,0.236,0.243,,,,,,,,,,,,,,,
67,2023-06-28,717577,Strikeout,strikeout,True,680118,669212,Dairon Blanco,Eli Morgan,0,0,0,2e91abb1-23d0-4a66-9a4a-52d7f1a35d72,669212.0,elimorgan,Morgan,Right,Eli Morgan,4.01,3.96,67.1,103.0,83.0,104.0,0.735,10.02,3.21,9.76,1.2,1.17,0.24100000000000002,0.397,0.191,0.256,0.40299999999999997,78.6,38.0,103.0,107.0,116.0,104.0,109.0,80.0,102.0,95.0,135.0,104.0,114.0,,,,0.40399999999999997,,0.254,0.025,0.317,-0.62,,-0.19,-3.92,0.4,92.5,,85.5,84.7,0.317,,0.5,0.236,0.243,,,,,,,,,,,,,,,
68,2023-06-28,717577,Flyout,field_out,True,677951,669212,Bobby Witt Jr.,Eli Morgan,1,0,1,9ae2fe51-fe53-46fc-a139-f5fce73589ab,669212.0,elimorgan,Morgan,Right,Eli Morgan,4.01,3.96,67.1,103.0,83.0,104.0,0.735,10.02,3.21,9.76,1.2,1.17,0.24100000000000002,0.397,0.191,0.256,0.40299999999999997,78.6,38.0,103.0,107.0,116.0,104.0,109.0,80.0,102.0,95.0,135.0,104.0,114.0,,,,0.40399999999999997,,0.254,0.025,0.317,-0.62,,-0.19,-3.92,0.4,92.5,,85.5,84.7,0.317,,0.5,0.236,0.243,,,,,,,,,,,,,,,
69,2023-06-28,717577,Single,single,False,666023,669212,Freddy Fermin,Eli Morgan,0,0,1,1fb19047-853e-4cdb-98f1-ded3595e0687,669212.0,elimorgan,Morgan,Right,Eli Morgan,4.01,3.96,67.1,103.0,83.0,104.0,0.735,10.02,3.21,9.76,1.2,1.17,0.24100000000000002,0.397,0.191,0.256,0.40299999999999997,78.6,38.0,103.0,107.0,116.0,104.0,109.0,80.0,102.0,95.0,135.0,104.0,114.0,,,,0.40399999999999997,,0.254,0.025,0.317,-0.62,,-0.19,-3.92,0.4,92.5,,85.5,84.7,0.317,,0.5,0.236,0.243,,,,,,,,,,,,,,,
70,2023-06-28,717577,Groundout,field_out,True,622110,669212,Matt Duffy,Eli Morgan,0,0,0,48b0c7d4-9de3-49b6-af1a-a9d8eff1990b,669212.0,elimorgan,Morgan,Right,Eli Morgan,4.01,3.96,67.1,103.0,83.0,104.0,0.735,10.02,3.21,9.76,1.2,1.17,0.24100000000000002,0.397,0.191,0.256,0.40299999999999997,78.6,38.0,103.0,107.0,116.0,104.0,109.0,80.0,102.0,95.0,135.0,104.0,114.0,,,,0.40399999999999997,,0.254,0.025,0.317,-0.62,,-0.19,-3.92,0.4,92.5,,85.5,84.7,0.317,,0.5,0.236,0.243,,,,,,,,,,,,,,,
71,2023-06-28,717577,Strikeout,strikeout,True,665926,621016,Andrés Giménez,Jose Cuas,0,0,0,95d2153b-d66e-4526-9da0-ae6b4bbdeeeb,621016.0,josecuas,Cuas,Right,Jose Cuas,3.99,5.44,65.1,93.0,106.0,93.0,0.7190000000000001,9.78,4.82,8.68,1.1,1.41,0.24,0.33,0.128,0.397,0.384,87.7,86.0,91.0,96.0,,,,146.0,102.0,101.0,112.0,82.0,91.0,,,,0.196,,0.266,,0.040999999999999995,-0.11,,-1.13,,-6.68,92.3,,82.5,,0.132,,,0.333,0.254,0.0,,,,,,,,89.0,96.0,91.0,0.49700000000000005,0.89,92.7,0.298
72,2023-06-28,717577,Groundout,field_out,True,686823,621016,Will Brennan,Jose Cuas,0,0,0,7b257cb3-ac2c-4482-926d-0414815f3331,621016.0,josecuas,Cuas,Right,Jose Cuas,3.99,5.44,65.1,93.0,106.0,93.0,0.7190000000000001,9.78,4.82,8.68,1.1,1.41,0.24,0.33,0.128,0.397,0.384,87.7,86.0,91.0,96.0,,,,146.0,102.0,101.0,112.0,82.0,91.0,,,,0.196,,0.266,,0.040999999999999995,-0.11,,-1.13,,-6.68,92.3,,82.5,,0.132,,,0.333,0.254,0.0,,,,,,,,89.0,96.0,91.0,0.49700000000000005,0.89,92.7,0.298
73,2023-06-28,717577,Single,single,False,664702,621016,Myles Straw,Jose Cuas,0,0,0,d2153eb3-f230-4c59-8fc3-1d32b5395c7f,621016.0,josecuas,Cuas,Right,Jose Cuas,3.99,5.44,65.1,93.0,106.0,93.0,0.7190000000000001,9.78,4.82,8.68,1.1,1.41,0.24,0.33,0.128,0.397,0.384,87.7,86.0,91.0,96.0,,,,146.0,102.0,101.0,112.0,82.0,91.0,,,,0.196,,0.266,,0.040999999999999995,-0.11,,-1.13,,-6.68,92.3,,82.5,,0.132,,,0.333,0.254,0.0,,,,,,,,89.0,96.0,91.0,0.49700000000000005,0.89,92.7,0.298
74,2023-06-28,717577,Strikeout,strikeout,True,666310,621016,Bo Naylor,Jose Cuas,0,0,0,b68fe912-d964-4e3f-9731-98c9151876c2,621016.0,josecuas,Cuas,Right,Jose Cuas,3.99,5.44,65.1,93.0,106.0,93.0,0.7190000000000001,9.78,4.82,8.68,1.1,1.41,0.24,0.33,0.128,0.397,0.384,87.7,86.0,91.0,96.0,,,,146.0,102.0,101.0,112.0,82.0,91.0,,,,0.196,,0.266,,0.040999999999999995,-0.11,,-1.13,,-6.68,92.3,,82.5,,0.132,,,0.333,0.254,0.0,,,,,,,,89.0,96.0,91.0,0.49700000000000005,0.89,92.7,0.298
75,2023-06-28,717577,Groundout,field_out,True,672580,682120,Maikel Garcia,Tim Herrin,1,0,0,517871a7-7e10-49ab-bebd-e0a562d6c628,682120.0,timherrin,Herrin,Left,Tim Herrin,5.53,4.64,27.2,95.0,104.0,98.0,0.75,10.41,3.9,9.43,0.98,1.23,0.28,0.413,0.16,0.253,0.41700000000000004,,,,,111.0,112.0,118.0,97.0,95.0,94.0,110.0,89.0,97.0,,,,0.418,,0.409,0.12,,0.46,,0.0,-1.96,,96.6,,88.1,83.5,0.283,,0.333,,0.219,,,,,,,,,101.0,96.0,88.0,0.053,-1.68,96.1,0.4
76,2023-06-28,717577,Strikeout,strikeout,True,669004,682120,MJ Melendez,Tim Herrin,0,0,0,dcf0a7de-6e31-4cc4-9329-8f2fdc756cd0,682120.0,timherrin,Herrin,Left,Tim Herrin,5.53,4.64,27.2,95.0,104.0,98.0,0.75,10.41,3.9,9.43,0.98,1.23,0.28,0.413,0.16,0.253,0.41700000000000004,,,,,111.0,112.0,118.0,97.0,95.0,94.0,110.0,89.0,97.0,,,,0.418,,0.409,0.12,,0.46,,0.0,-1.96,,96.6,,88.1,83.5,0.283,,0.333,,0.219,,,,,,,,,101.0,96.0,88.0,0.053,-1.68,96.1,0.4
77,2023-06-28,717577,Strikeout,strikeout,True,658668,682120,Edward Olivares,Tim Herrin,0,0,0,f08bbc84-ce90-4965-b68f-1881158b24e7,682120.0,timherrin,Herrin,Left,Tim Herrin,5.53,4.64,27.2,95.0,104.0,98.0,0.75,10.41,3.9,9.43,0.98,1.23,0.28,0.413,0.16,0.253,0.41700000000000004,,,,,111.0,112.0,118.0,97.0,95.0,94.0,110.0,89.0,97.0,,,,0.418,,0.409,0.12,,0.46,,0.0,-1.96,,96.6,,88.1,83.5,0.283,,0.333,,0.219,,,,,,,,,101.0,96.0,88.0,0.053,-1.68,96.1,0.4
78,2023-06-28,717577,Single,single,False,680757,622110,Steven Kwan,Matt Duffy,0,0,0,76eb4cb8-8a46-4dd0-9752-a281e99d1ba2,622110.0,mattduffy,"Duffy, M",Right,Matt Duffy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2023-06-28,717577,Flyout,field_out,True,681807,622110,David Fry,Matt Duffy,1,0,0,4d77b229-71bc-4c5b-b852-bec1a79d9be6,622110.0,mattduffy,"Duffy, M",Right,Matt Duffy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2023-06-28,717577,Flyout,field_out,True,671289,622110,Tyler Freeman,Matt Duffy,0,0,0,9035ff86-9f96-469c-9270-886cafcfb557,622110.0,mattduffy,"Duffy, M",Right,Matt Duffy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2023-06-28,717577,Pop Out,field_out,True,672356,622110,Gabriel Arias,Matt Duffy,0,0,0,a387837d-9b04-4b51-922a-1746589cf724,622110.0,mattduffy,"Duffy, M",Right,Matt Duffy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2023-06-28,717577,Flyout,field_out,True,671221,682120,Drew Waters,Tim Herrin,0,0,0,64c3e769-a5c1-4cd0-88e7-e57d4977b2bd,682120.0,timherrin,Herrin,Left,Tim Herrin,5.53,4.64,27.2,95.0,104.0,98.0,0.75,10.41,3.9,9.43,0.98,1.23,0.28,0.413,0.16,0.253,0.41700000000000004,,,,,111.0,112.0,118.0,97.0,95.0,94.0,110.0,89.0,97.0,,,,0.418,,0.409,0.12,,0.46,,0.0,-1.96,,96.6,,88.1,83.5,0.283,,0.333,,0.219,,,,,,,,,101.0,96.0,88.0,0.053,-1.68,96.1,0.4
83,2023-06-28,717577,Flyout,field_out,True,669392,682120,Samad Taylor,Tim Herrin,1,1,0,06ca7f08-d095-4d76-bda7-1edf006e8488,682120.0,timherrin,Herrin,Left,Tim Herrin,5.53,4.64,27.2,95.0,104.0,98.0,0.75,10.41,3.9,9.43,0.98,1.23,0.28,0.413,0.16,0.253,0.41700000000000004,,,,,111.0,112.0,118.0,97.0,95.0,94.0,110.0,89.0,97.0,,,,0.418,,0.409,0.12,,0.46,,0.0,-1.96,,96.6,,88.1,83.5,0.283,,0.333,,0.219,,,,,,,,,101.0,96.0,88.0,0.053,-1.68,96.1,0.4
84,2023-06-28,717577,Strikeout,strikeout,True,680118,682120,Dairon Blanco,Tim Herrin,0,0,0,dd163da1-4e71-48d7-bca4-b1ffe97e06e3,682120.0,timherrin,Herrin,Left,Tim Herrin,5.53,4.64,27.2,95.0,104.0,98.0,0.75,10.41,3.9,9.43,0.98,1.23,0.28,0.413,0.16,0.253,0.41700000000000004,,,,,111.0,112.0,118.0,97.0,95.0,94.0,110.0,89.0,97.0,,,,0.418,,0.409,0.12,,0.46,,0.0,-1.96,,96.6,,88.1,83.5,0.283,,0.333,,0.219,,,,,,,,,101.0,96.0,88.0,0.053,-1.68,96.1,0.4
