,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,wFA/C,wFS/C,wSL/C,vFA,vFS,vSL,FF_ba,FS_ba,ST_ba,SL_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vSI,CH_ba,SI_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba
0,2023-06-16,717738,Strikeout,strikeout,True,656716,657746,Zach McKinstry,Joe Ryan,0,0,0,a7761db0-726e-4592-a946-ee08e232c12b,657746.0,joeryan,Ryan,Right,Joe Ryan,4.51,3.53,161.2,107.0,99.0,105.0,0.7490000000000001,10.97,1.89,8.63,1.78,0.63,0.23199999999999998,0.423,0.147,0.326,0.455,102.0,112.0,108.0,102.0,88.0,94.0,91.0,104.0,102.0,0.569,0.272,0.159,0.89,-0.3,-2.12,92.3,83.9,80.3,0.24,0.242,0.286,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-06-16,717738,Strikeout,strikeout,True,679529,657746,Spencer Torkelson,Joe Ryan,0,0,0,7710b400-c3a3-412b-b237-395264662f98,657746.0,joeryan,Ryan,Right,Joe Ryan,4.51,3.53,161.2,107.0,99.0,105.0,0.7490000000000001,10.97,1.89,8.63,1.78,0.63,0.23199999999999998,0.423,0.147,0.326,0.455,102.0,112.0,108.0,102.0,88.0,94.0,91.0,104.0,102.0,0.569,0.272,0.159,0.89,-0.3,-2.12,92.3,83.9,80.3,0.24,0.242,0.286,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-06-16,717738,Groundout,field_out,True,681481,657746,Kerry Carpenter,Joe Ryan,0,0,0,5a23f832-993f-4e08-91d6-5be3571724b2,657746.0,joeryan,Ryan,Right,Joe Ryan,4.51,3.53,161.2,107.0,99.0,105.0,0.7490000000000001,10.97,1.89,8.63,1.78,0.63,0.23199999999999998,0.423,0.147,0.326,0.455,102.0,112.0,108.0,102.0,88.0,94.0,91.0,104.0,102.0,0.569,0.272,0.159,0.89,-0.3,-2.12,92.3,83.9,80.3,0.24,0.242,0.286,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-06-16,717738,Strikeout,strikeout,True,666397,676684,Edouard Julien,Will Vest,0,0,0,684b5099-a4f5-4f1b-b9ca-00f52b291729,676684.0,willvest,Vest,Right,Will Vest,2.98,3.11,48.1,105.0,98.0,104.0,0.777,10.43,2.42,7.45,0.56,1.23,0.37200000000000005,0.248,0.14,0.341,0.445,98.0,110.0,105.0,104.0,97.0,104.0,,,,0.513,,0.332,2.09,,0.82,95.2,,86.1,0.209,,,0.213,87.2,81.0,104.0,97.0,93.0,110.0,100.0,0.031,0.124,2.49,-2.74,95.0,0.259,0.167,,,,,,,,,,,,,,
4,2023-06-16,717738,Groundout,field_out,True,621043,676684,Carlos Correa,Will Vest,1,0,0,ce4466db-1a65-4a3a-9763-e0564c56ae57,676684.0,willvest,Vest,Right,Will Vest,2.98,3.11,48.1,105.0,98.0,104.0,0.777,10.43,2.42,7.45,0.56,1.23,0.37200000000000005,0.248,0.14,0.341,0.445,98.0,110.0,105.0,104.0,97.0,104.0,,,,0.513,,0.332,2.09,,0.82,95.2,,86.1,0.209,,,0.213,87.2,81.0,104.0,97.0,93.0,110.0,100.0,0.031,0.124,2.49,-2.74,95.0,0.259,0.167,,,,,,,,,,,,,,
5,2023-06-16,717738,Strikeout,strikeout,True,621439,676684,Byron Buxton,Will Vest,0,0,0,1c909c60-93df-4353-8dd7-0d0d9d08d622,676684.0,willvest,Vest,Right,Will Vest,2.98,3.11,48.1,105.0,98.0,104.0,0.777,10.43,2.42,7.45,0.56,1.23,0.37200000000000005,0.248,0.14,0.341,0.445,98.0,110.0,105.0,104.0,97.0,104.0,,,,0.513,,0.332,2.09,,0.82,95.2,,86.1,0.209,,,0.213,87.2,81.0,104.0,97.0,93.0,110.0,100.0,0.031,0.124,2.49,-2.74,95.0,0.259,0.167,,,,,,,,,,,,,,
6,2023-06-16,717738,Flyout,field_out,True,595879,657746,Javier Báez,Joe Ryan,0,0,0,c44c3987-9256-4bfa-8123-2259860f9809,657746.0,joeryan,Ryan,Right,Joe Ryan,4.51,3.53,161.2,107.0,99.0,105.0,0.7490000000000001,10.97,1.89,8.63,1.78,0.63,0.23199999999999998,0.423,0.147,0.326,0.455,102.0,112.0,108.0,102.0,88.0,94.0,91.0,104.0,102.0,0.569,0.272,0.159,0.89,-0.3,-2.12,92.3,83.9,80.3,0.24,0.242,0.286,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2023-06-16,717738,Flyout,field_out,True,665155,657746,Nick Maton,Joe Ryan,0,0,0,3e9aa186-7d67-4aac-a573-b860bdba7655,657746.0,joeryan,Ryan,Right,Joe Ryan,4.51,3.53,161.2,107.0,99.0,105.0,0.7490000000000001,10.97,1.89,8.63,1.78,0.63,0.23199999999999998,0.423,0.147,0.326,0.455,102.0,112.0,108.0,102.0,88.0,94.0,91.0,104.0,102.0,0.569,0.272,0.159,0.89,-0.3,-2.12,92.3,83.9,80.3,0.24,0.242,0.286,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2023-06-16,717738,Lineout,field_out,True,628451,657746,Andy Ibáñez,Joe Ryan,1,0,0,b632ace2-1e5f-42af-86ad-31ef7804f376,657746.0,joeryan,Ryan,Right,Joe Ryan,4.51,3.53,161.2,107.0,99.0,105.0,0.7490000000000001,10.97,1.89,8.63,1.78,0.63,0.23199999999999998,0.423,0.147,0.326,0.455,102.0,112.0,108.0,102.0,88.0,94.0,91.0,104.0,102.0,0.569,0.272,0.159,0.89,-0.3,-2.12,92.3,83.9,80.3,0.24,0.242,0.286,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2023-06-16,717738,Home Run,home_run,False,666135,669438,Alex Kirilloff,Mason Englert,1,0,0,c442959b-959d-490f-98d7-d53f45c8ca1a,669438.0,masonenglert,Englert,Right,Mason Englert,5.46,6.56,56.0,103.0,89.0,102.0,0.789,6.59,2.73,10.77,1.93,0.95,0.17600000000000002,0.44,0.114,0.39899999999999997,0.43200000000000005,81.0,103.0,95.0,88.0,100.0,99.0,,,,0.303,,0.364,-2.03,,0.31,91.1,,84.3,0.284,,,0.284,83.6,101.0,108.0,117.0,,,,,0.267,,-2.22,,0.3,,91.0,101.0,97.0,0.067,-1.63,80.5,0.316,,,,,,,
