,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSL,vCU,FF_ba,SL_ba,CH_ba,CU_ba,FC_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,KC%,wFS/C,wSI/C,wKC/C,vFS,vSI,vKC,SI_ba,ST_ba,FS_ba
0,2023-04-10,718634,Walk,walk,False,663757,453286,Trent Grisham,Max Scherzer,1,0,0,3c75fbaf-4d64-4fcb-b34c-4deacd24c4ed,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,106.0,108.0,108.0,98.0,108.0,99.0,0.46299999999999997,0.10400000000000001,0.168,0.124,0.141,0.72,2.12,-0.21,0.51,0.03,93.7,88.4,84.0,75.4,0.255,0.25,0.207,0.187,0.135,,,,,,,,,,,,,,,,,,,,,
1,2023-04-10,718634,Strikeout,strikeout,True,592518,453286,Manny Machado,Max Scherzer,0,0,0,456a4235-ed16-4143-bebf-7b173158f14f,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,106.0,108.0,108.0,98.0,108.0,99.0,0.46299999999999997,0.10400000000000001,0.168,0.124,0.141,0.72,2.12,-0.21,0.51,0.03,93.7,88.4,84.0,75.4,0.255,0.25,0.207,0.187,0.135,,,,,,,,,,,,,,,,,,,,,
2,2023-04-10,718634,Walk,walk,False,665742,453286,Juan Soto,Max Scherzer,1,0,1,9b0a8dba-49b3-41eb-911f-76aba62f9686,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,106.0,108.0,108.0,98.0,108.0,99.0,0.46299999999999997,0.10400000000000001,0.168,0.124,0.141,0.72,2.12,-0.21,0.51,0.03,93.7,88.4,84.0,75.4,0.255,0.25,0.207,0.187,0.135,,,,,,,,,,,,,,,,,,,,,
3,2023-04-10,718634,Grounded Into DP,grounded_into_double_play,True,593428,453286,Xander Bogaerts,Max Scherzer,0,0,1,4c222951-b3ae-4d04-872e-bb1a38c2de1b,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,106.0,108.0,108.0,98.0,108.0,99.0,0.46299999999999997,0.10400000000000001,0.168,0.124,0.141,0.72,2.12,-0.21,0.51,0.03,93.7,88.4,84.0,75.4,0.255,0.25,0.207,0.187,0.135,,,,,,,,,,,,,,,,,,,,,
4,2023-04-10,718634,Pop Out,field_out,True,607043,506433,Brandon Nimmo,Yu Darvish,1,0,0,df048caf-2833-4723-8579-347c14b867d6,506433.0,yudarvish,Darvish,Right,Yu Darvish,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.23600000000000002,0.39,0.18100000000000002,0.306,0.45299999999999996,82.3,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,125.0,98.0,108.0,93.0,95.0,99.0,0.16699999999999998,0.08900000000000001,0.363,0.051,0.001,-1.74,2.4,-0.68,1.37,-1.35,94.7,90.9,84.0,72.3,0.253,0.432,,0.13,0.2,101.0,106.0,102.0,105.0,111.0,112.0,95.0,104.0,100.0,0.18600000000000003,0.077,0.066,1.21,0.46,3.06,89.2,94.3,79.3,0.319,0.256,0.167
5,2023-04-10,718634,Strikeout,strikeout,True,596019,506433,Francisco Lindor,Yu Darvish,0,0,0,14626fbc-6f0c-4377-9a72-16cd8ab81c80,506433.0,yudarvish,Darvish,Right,Yu Darvish,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.23600000000000002,0.39,0.18100000000000002,0.306,0.45299999999999996,82.3,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,125.0,98.0,108.0,93.0,95.0,99.0,0.16699999999999998,0.08900000000000001,0.363,0.051,0.001,-1.74,2.4,-0.68,1.37,-1.35,94.7,90.9,84.0,72.3,0.253,0.432,,0.13,0.2,101.0,106.0,102.0,105.0,111.0,112.0,95.0,104.0,100.0,0.18600000000000003,0.077,0.066,1.21,0.46,3.06,89.2,94.3,79.3,0.319,0.256,0.167
6,2023-04-10,718634,Groundout,field_out,True,643446,506433,Jeff McNeil,Yu Darvish,0,0,0,c90920a6-6940-4b51-81b0-eacc62376867,506433.0,yudarvish,Darvish,Right,Yu Darvish,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.23600000000000002,0.39,0.18100000000000002,0.306,0.45299999999999996,82.3,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,125.0,98.0,108.0,93.0,95.0,99.0,0.16699999999999998,0.08900000000000001,0.363,0.051,0.001,-1.74,2.4,-0.68,1.37,-1.35,94.7,90.9,84.0,72.3,0.253,0.432,,0.13,0.2,101.0,106.0,102.0,105.0,111.0,112.0,95.0,104.0,100.0,0.18600000000000003,0.077,0.066,1.21,0.46,3.06,89.2,94.3,79.3,0.319,0.256,0.167
7,2023-04-10,718634,Strikeout,strikeout,True,572761,453286,Matt Carpenter,Max Scherzer,0,0,0,4b12c67d-aa89-46fd-9c55-ccb2d28a048e,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,106.0,108.0,108.0,98.0,108.0,99.0,0.46299999999999997,0.10400000000000001,0.168,0.124,0.141,0.72,2.12,-0.21,0.51,0.03,93.7,88.4,84.0,75.4,0.255,0.25,0.207,0.187,0.135,,,,,,,,,,,,,,,,,,,,,
8,2023-04-10,718634,Lineout,field_out,True,630105,453286,Jake Cronenworth,Max Scherzer,1,1,0,2b4390fb-a185-47d7-92bf-4edd9918dcbd,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,106.0,108.0,108.0,98.0,108.0,99.0,0.46299999999999997,0.10400000000000001,0.168,0.124,0.141,0.72,2.12,-0.21,0.51,0.03,93.7,88.4,84.0,75.4,0.255,0.25,0.207,0.187,0.135,,,,,,,,,,,,,,,,,,,,,
9,2023-04-10,718634,Strikeout,strikeout,True,673490,453286,Ha-Seong Kim,Max Scherzer,0,0,0,46de8a21-ddde-4185-aaff-904696b2eca3,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,106.0,108.0,108.0,98.0,108.0,99.0,0.46299999999999997,0.10400000000000001,0.168,0.124,0.141,0.72,2.12,-0.21,0.51,0.03,93.7,88.4,84.0,75.4,0.255,0.25,0.207,0.187,0.135,,,,,,,,,,,,,,,,,,,,,
10,2023-04-10,718634,Strikeout,strikeout,True,624413,506433,Pete Alonso,Yu Darvish,0,0,0,754f7d0f-f7e6-41ff-9d4e-0acbd0f577c5,506433.0,yudarvish,Darvish,Right,Yu Darvish,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.23600000000000002,0.39,0.18100000000000002,0.306,0.45299999999999996,82.3,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,125.0,98.0,108.0,93.0,95.0,99.0,0.16699999999999998,0.08900000000000001,0.363,0.051,0.001,-1.74,2.4,-0.68,1.37,-1.35,94.7,90.9,84.0,72.3,0.253,0.432,,0.13,0.2,101.0,106.0,102.0,105.0,111.0,112.0,95.0,104.0,100.0,0.18600000000000003,0.077,0.066,1.21,0.46,3.06,89.2,94.3,79.3,0.319,0.256,0.167
11,2023-04-10,718634,Single,single,False,596129,506433,Daniel Vogelbach,Yu Darvish,0,0,0,7c99e45a-f89f-4d3c-b605-e6f3b7ac0b66,506433.0,yudarvish,Darvish,Right,Yu Darvish,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.23600000000000002,0.39,0.18100000000000002,0.306,0.45299999999999996,82.3,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,125.0,98.0,108.0,93.0,95.0,99.0,0.16699999999999998,0.08900000000000001,0.363,0.051,0.001,-1.74,2.4,-0.68,1.37,-1.35,94.7,90.9,84.0,72.3,0.253,0.432,,0.13,0.2,101.0,106.0,102.0,105.0,111.0,112.0,95.0,104.0,100.0,0.18600000000000003,0.077,0.066,1.21,0.46,3.06,89.2,94.3,79.3,0.319,0.256,0.167
12,2023-04-10,718634,Forceout,force_out,True,592192,506433,Mark Canha,Yu Darvish,1,0,1,3d73bb98-f91c-455e-812b-e67c20b8af26,506433.0,yudarvish,Darvish,Right,Yu Darvish,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.23600000000000002,0.39,0.18100000000000002,0.306,0.45299999999999996,82.3,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,125.0,98.0,108.0,93.0,95.0,99.0,0.16699999999999998,0.08900000000000001,0.363,0.051,0.001,-1.74,2.4,-0.68,1.37,-1.35,94.7,90.9,84.0,72.3,0.253,0.432,,0.13,0.2,101.0,106.0,102.0,105.0,111.0,112.0,95.0,104.0,100.0,0.18600000000000003,0.077,0.066,1.21,0.46,3.06,89.2,94.3,79.3,0.319,0.256,0.167
13,2023-04-10,718634,Groundout,field_out,True,641645,506433,Luis Guillorme,Yu Darvish,0,0,0,d9c016c3-fb4a-45f1-8bd8-294c5d47a0e0,506433.0,yudarvish,Darvish,Right,Yu Darvish,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.23600000000000002,0.39,0.18100000000000002,0.306,0.45299999999999996,82.3,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,125.0,98.0,108.0,93.0,95.0,99.0,0.16699999999999998,0.08900000000000001,0.363,0.051,0.001,-1.74,2.4,-0.68,1.37,-1.35,94.7,90.9,84.0,72.3,0.253,0.432,,0.13,0.2,101.0,106.0,102.0,105.0,111.0,112.0,95.0,104.0,100.0,0.18600000000000003,0.077,0.066,1.21,0.46,3.06,89.2,94.3,79.3,0.319,0.256,0.167
