,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,FF_ba,SL_ba,CH_ba,SI_ba,CU_ba,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS
63,2023-06-21,717668,Single,single,False,665155,663804,Nick Maton,Jackson Kowar,1,0,1,e44e49d3-7175-433e-932f-db2032d38d98,663804.0,jacksonkowar,Kowar,Right,Jackson Kowar,6.43,4.61,28.0,94.0,96.0,96.0,0.7559999999999999,9.32,6.43,10.93,1.29,1.23,0.24100000000000002,0.43700000000000006,0.126,0.253,0.391,86.6,94.0,96.0,105.0,,,,90.0,89.0,82.0,,,,107.0,98.0,104.0,,0.382,0.262,,0.35600000000000004,-0.98,,-1.49,,-1.75,96.9,,86.0,,0.25,0.25,0.364,,,,,,,,,
64,2023-06-21,717668,Hit By Pitch,hit_by_pitch,False,545350,663804,Jake Marisnick,Jackson Kowar,1,0,1,d37df32d-a25d-4cb4-bc7a-0e40de6045c0,663804.0,jacksonkowar,Kowar,Right,Jackson Kowar,6.43,4.61,28.0,94.0,96.0,96.0,0.7559999999999999,9.32,6.43,10.93,1.29,1.23,0.24100000000000002,0.43700000000000006,0.126,0.253,0.391,86.6,94.0,96.0,105.0,,,,90.0,89.0,82.0,,,,107.0,98.0,104.0,,0.382,0.262,,0.35600000000000004,-0.98,,-1.49,,-1.75,96.9,,86.0,,0.25,0.25,0.364,,,,,,,,,
65,2023-06-21,717668,Forceout,force_out,True,663837,663804,Matt Vierling,Jackson Kowar,0,0,1,a9675748-aaca-4c40-bf01-a6ba78bf0312,663804.0,jacksonkowar,Kowar,Right,Jackson Kowar,6.43,4.61,28.0,94.0,96.0,96.0,0.7559999999999999,9.32,6.43,10.93,1.29,1.23,0.24100000000000002,0.43700000000000006,0.126,0.253,0.391,86.6,94.0,96.0,105.0,,,,90.0,89.0,82.0,,,,107.0,98.0,104.0,,0.382,0.262,,0.35600000000000004,-0.98,,-1.49,,-1.75,96.9,,86.0,,0.25,0.25,0.364,,,,,,,,,
66,2023-06-21,717668,Single,single,False,606992,663804,Eric Haase,Jackson Kowar,1,0,1,982b8911-d6a7-4381-8601-4153d20027a0,663804.0,jacksonkowar,Kowar,Right,Jackson Kowar,6.43,4.61,28.0,94.0,96.0,96.0,0.7559999999999999,9.32,6.43,10.93,1.29,1.23,0.24100000000000002,0.43700000000000006,0.126,0.253,0.391,86.6,94.0,96.0,105.0,,,,90.0,89.0,82.0,,,,107.0,98.0,104.0,,0.382,0.262,,0.35600000000000004,-0.98,,-1.49,,-1.75,96.9,,86.0,,0.25,0.25,0.364,,,,,,,,,
67,2023-06-21,717668,Single,single,False,670097,663804,Zack Short,Jackson Kowar,0,0,1,391e883f-d0c2-429a-b403-bd0de6ec5756,663804.0,jacksonkowar,Kowar,Right,Jackson Kowar,6.43,4.61,28.0,94.0,96.0,96.0,0.7559999999999999,9.32,6.43,10.93,1.29,1.23,0.24100000000000002,0.43700000000000006,0.126,0.253,0.391,86.6,94.0,96.0,105.0,,,,90.0,89.0,82.0,,,,107.0,98.0,104.0,,0.382,0.262,,0.35600000000000004,-0.98,,-1.49,,-1.75,96.9,,86.0,,0.25,0.25,0.364,,,,,,,,,
68,2023-06-21,717668,Groundout,field_out,True,656716,663804,Zach McKinstry,Jackson Kowar,0,0,0,38710ccb-bcbf-4695-9570-5eb492e94572,663804.0,jacksonkowar,Kowar,Right,Jackson Kowar,6.43,4.61,28.0,94.0,96.0,96.0,0.7559999999999999,9.32,6.43,10.93,1.29,1.23,0.24100000000000002,0.43700000000000006,0.126,0.253,0.391,86.6,94.0,96.0,105.0,,,,90.0,89.0,82.0,,,,107.0,98.0,104.0,,0.382,0.262,,0.35600000000000004,-0.98,,-1.49,,-1.75,96.9,,86.0,,0.25,0.25,0.364,,,,,,,,,
69,2023-06-21,717668,Strikeout,strikeout,True,658668,686839,Edward Olivares,Brendan White,0,0,0,7838f16a-2925-4df7-940a-7f1c619f4a19,686839.0,brendanwhite,White,Right,Brendan White,5.09,4.51,40.2,101.0,99.0,104.0,0.7340000000000001,9.74,3.32,8.85,0.89,1.81,0.301,0.504,0.115,0.381,0.42100000000000004,,,,,,,,91.0,98.0,92.0,116.0,95.0,84.0,102.0,103.0,113.0,0.069,0.327,0.594,0.002,,2.07,1.67,-1.83,4.16,,94.4,93.0,85.0,78.8,0.162,0.24,,0.4,,0.346,52.0,69.0,71.0,0.009000000000000001,-2.97,87.2
70,2023-06-21,717668,Strikeout,strikeout,True,669392,686839,Samad Taylor,Brendan White,0,0,0,ef39fb42-bb74-4af3-8c0f-35cbc421914f,686839.0,brendanwhite,White,Right,Brendan White,5.09,4.51,40.2,101.0,99.0,104.0,0.7340000000000001,9.74,3.32,8.85,0.89,1.81,0.301,0.504,0.115,0.381,0.42100000000000004,,,,,,,,91.0,98.0,92.0,116.0,95.0,84.0,102.0,103.0,113.0,0.069,0.327,0.594,0.002,,2.07,1.67,-1.83,4.16,,94.4,93.0,85.0,78.8,0.162,0.24,,0.4,,0.346,52.0,69.0,71.0,0.009000000000000001,-2.97,87.2
71,2023-06-21,717668,Double,double,False,666023,686839,Freddy Fermin,Brendan White,1,0,0,ce78292a-74bb-4a10-ae98-afa43c3ce103,686839.0,brendanwhite,White,Right,Brendan White,5.09,4.51,40.2,101.0,99.0,104.0,0.7340000000000001,9.74,3.32,8.85,0.89,1.81,0.301,0.504,0.115,0.381,0.42100000000000004,,,,,,,,91.0,98.0,92.0,116.0,95.0,84.0,102.0,103.0,113.0,0.069,0.327,0.594,0.002,,2.07,1.67,-1.83,4.16,,94.4,93.0,85.0,78.8,0.162,0.24,,0.4,,0.346,52.0,69.0,71.0,0.009000000000000001,-2.97,87.2
72,2023-06-21,717668,Double,double,False,680118,686839,Dairon Blanco,Brendan White,0,0,1,732f6597-7c6d-4c2c-abb6-26916732d8bb,686839.0,brendanwhite,White,Right,Brendan White,5.09,4.51,40.2,101.0,99.0,104.0,0.7340000000000001,9.74,3.32,8.85,0.89,1.81,0.301,0.504,0.115,0.381,0.42100000000000004,,,,,,,,91.0,98.0,92.0,116.0,95.0,84.0,102.0,103.0,113.0,0.069,0.327,0.594,0.002,,2.07,1.67,-1.83,4.16,,94.4,93.0,85.0,78.8,0.162,0.24,,0.4,,0.346,52.0,69.0,71.0,0.009000000000000001,-2.97,87.2
73,2023-06-21,717668,Strikeout,strikeout,True,668472,686839,Nick Pratto,Brendan White,0,0,0,cdb72504-da0c-4652-a3cf-66a942d3e90d,686839.0,brendanwhite,White,Right,Brendan White,5.09,4.51,40.2,101.0,99.0,104.0,0.7340000000000001,9.74,3.32,8.85,0.89,1.81,0.301,0.504,0.115,0.381,0.42100000000000004,,,,,,,,91.0,98.0,92.0,116.0,95.0,84.0,102.0,103.0,113.0,0.069,0.327,0.594,0.002,,2.07,1.67,-1.83,4.16,,94.4,93.0,85.0,78.8,0.162,0.24,,0.4,,0.346,52.0,69.0,71.0,0.009000000000000001,-2.97,87.2
