,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,KC%,wFA/C,wFC/C,wFS/C,wSL/C,wKC/C,vFA,vFC,vFS,vSL,vKC,FF_ba,FC_ba,CU_ba,SL_ba,FS_ba,ST_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCU,CH_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba
0,2023-09-12,716612,Walk,walk,False,664314,676710,Estevan Florial,Kutter Crawford,0,0,0,d4ac2513-6df1-4dfa-83b7-cd60fa5e72db,676710.0,kuttercrawford,"Crawford, K",Right,Kutter Crawford,4.04,3.25,129.1,102.0,105.0,104.0,0.7609999999999999,9.39,2.51,7.45,1.18,0.71,0.21899999999999997,0.42700000000000005,0.188,0.319,0.418,111.0,107.0,108.0,113.0,110.0,113.0,92.0,101.0,103.0,108.0,94.0,95.0,88.0,95.0,103.0,0.391,0.281,0.077,0.132,0.11900000000000001,1.44,0.35,-0.82,1.5,-1.47,93.6,88.6,82.4,82.5,79.4,0.163,0.289,0.34,0.167,0.214,0.15,,,,,,,,,,,,,,,,,,,,
1,2023-09-12,716612,Walk,walk,False,592450,676710,Aaron Judge,Kutter Crawford,0,0,1,f37f33db-32ef-4e35-9605-a2f50244affb,676710.0,kuttercrawford,"Crawford, K",Right,Kutter Crawford,4.04,3.25,129.1,102.0,105.0,104.0,0.7609999999999999,9.39,2.51,7.45,1.18,0.71,0.21899999999999997,0.42700000000000005,0.188,0.319,0.418,111.0,107.0,108.0,113.0,110.0,113.0,92.0,101.0,103.0,108.0,94.0,95.0,88.0,95.0,103.0,0.391,0.281,0.077,0.132,0.11900000000000001,1.44,0.35,-0.82,1.5,-1.47,93.6,88.6,82.4,82.5,79.4,0.163,0.289,0.34,0.167,0.214,0.15,,,,,,,,,,,,,,,,,,,,
2,2023-09-12,716612,Single,single,False,650402,676710,Gleyber Torres,Kutter Crawford,0,0,1,f1f53706-918a-4485-9c9f-bcf8a3009f8e,676710.0,kuttercrawford,"Crawford, K",Right,Kutter Crawford,4.04,3.25,129.1,102.0,105.0,104.0,0.7609999999999999,9.39,2.51,7.45,1.18,0.71,0.21899999999999997,0.42700000000000005,0.188,0.319,0.418,111.0,107.0,108.0,113.0,110.0,113.0,92.0,101.0,103.0,108.0,94.0,95.0,88.0,95.0,103.0,0.391,0.281,0.077,0.132,0.11900000000000001,1.44,0.35,-0.82,1.5,-1.47,93.6,88.6,82.4,82.5,79.4,0.163,0.289,0.34,0.167,0.214,0.15,,,,,,,,,,,,,,,,,,,,
3,2023-09-12,716612,Strikeout,strikeout,True,669224,676710,Austin Wells,Kutter Crawford,0,0,0,3c04e750-d38a-4f7c-9e54-94df6d283e1e,676710.0,kuttercrawford,"Crawford, K",Right,Kutter Crawford,4.04,3.25,129.1,102.0,105.0,104.0,0.7609999999999999,9.39,2.51,7.45,1.18,0.71,0.21899999999999997,0.42700000000000005,0.188,0.319,0.418,111.0,107.0,108.0,113.0,110.0,113.0,92.0,101.0,103.0,108.0,94.0,95.0,88.0,95.0,103.0,0.391,0.281,0.077,0.132,0.11900000000000001,1.44,0.35,-0.82,1.5,-1.47,93.6,88.6,82.4,82.5,79.4,0.163,0.289,0.34,0.167,0.214,0.15,,,,,,,,,,,,,,,,,,,,
4,2023-09-12,716612,Grounded Into DP,grounded_into_double_play,True,643396,676710,Isiah Kiner-Falefa,Kutter Crawford,1,0,1,0b0136c7-b37a-4855-80c4-2829d70c33c0,676710.0,kuttercrawford,"Crawford, K",Right,Kutter Crawford,4.04,3.25,129.1,102.0,105.0,104.0,0.7609999999999999,9.39,2.51,7.45,1.18,0.71,0.21899999999999997,0.42700000000000005,0.188,0.319,0.418,111.0,107.0,108.0,113.0,110.0,113.0,92.0,101.0,103.0,108.0,94.0,95.0,88.0,95.0,103.0,0.391,0.281,0.077,0.132,0.11900000000000001,1.44,0.35,-0.82,1.5,-1.47,93.6,88.6,82.4,82.5,79.4,0.163,0.289,0.34,0.167,0.214,0.15,,,,,,,,,,,,,,,,,,,,
5,2023-09-12,716612,Home Run,home_run,False,678882,607074,Ceddanne Rafaela,Carlos Rodón,0,0,0,91ae11c9-55be-4d2f-aced-06a11e7ce96b,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,106.0,101.0,100.0,126.0,95.0,104.0,,,,,,,,,,0.603,,,0.29,,-1.05,,,-0.06,,95.3,,,85.4,,0.294,,0.375,0.2,,,85.5,84.0,67.0,81.0,102.0,92.0,96.0,0.065,0.043,-3.96,0.96,79.7,0.0,,,,,,,
6,2023-09-12,716612,Double,double,False,608701,607074,Rob Refsnyder,Carlos Rodón,0,0,0,ea76bd2a-b4b3-4e44-980b-43fd6f559347,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,106.0,101.0,100.0,126.0,95.0,104.0,,,,,,,,,,0.603,,,0.29,,-1.05,,,-0.06,,95.3,,,85.4,,0.294,,0.375,0.2,,,85.5,84.0,67.0,81.0,102.0,92.0,96.0,0.065,0.043,-3.96,0.96,79.7,0.0,,,,,,,
7,2023-09-12,716612,Walk,walk,False,457759,607074,Justin Turner,Carlos Rodón,1,0,0,2db526b3-8bf6-4684-84d5-5d380dfb08aa,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,106.0,101.0,100.0,126.0,95.0,104.0,,,,,,,,,,0.603,,,0.29,,-1.05,,,-0.06,,95.3,,,85.4,,0.294,,0.375,0.2,,,85.5,84.0,67.0,81.0,102.0,92.0,96.0,0.065,0.043,-3.96,0.96,79.7,0.0,,,,,,,
8,2023-09-12,716612,Strikeout,strikeout,True,671213,607074,Triston Casas,Carlos Rodón,0,0,0,fb0e0760-9b41-486b-a9d6-02107f45bf29,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,106.0,101.0,100.0,126.0,95.0,104.0,,,,,,,,,,0.603,,,0.29,,-1.05,,,-0.06,,95.3,,,85.4,,0.294,,0.375,0.2,,,85.5,84.0,67.0,81.0,102.0,92.0,96.0,0.065,0.043,-3.96,0.96,79.7,0.0,,,,,,,
9,2023-09-12,716612,Strikeout,strikeout,True,594807,607074,Adam Duvall,Carlos Rodón,0,0,0,140c5916-3c89-42be-939c-e57694f7eac0,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,106.0,101.0,100.0,126.0,95.0,104.0,,,,,,,,,,0.603,,,0.29,,-1.05,,,-0.06,,95.3,,,85.4,,0.294,,0.375,0.2,,,85.5,84.0,67.0,81.0,102.0,92.0,96.0,0.065,0.043,-3.96,0.96,79.7,0.0,,,,,,,
