,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSL,vCU,FF_ba,SL_ba,CH_ba,FC_ba,CU_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
0,2023-05-22,718072,Lineout,field_out,True,641313,683769,Tim Anderson,Hunter Gaddis,1,1,0,54cb90b5-87e6-48ec-967d-75eec81a8e12,683769.0,huntergaddis,Gaddis,Right,Hunter Gaddis,4.5,3.9,42.0,101.0,88.0,96.0,0.848,5.14,3.0,8.79,1.29,0.48,0.3,0.39299999999999996,0.214,0.32899999999999996,0.452,81.2,57.0,98.0,93.0,93.0,75.0,88.0,87.0,101.0,93.0,102.0,104.0,104.0,90.0,98.0,86.0,0.39899999999999997,0.036000000000000004,0.317,0.066,0.182,-0.22,-1.86,0.44,-0.85,-1.29,93.4,89.0,85.3,75.5,0.302,0.268,0.156,0.333,0.0,,,,,,,,,,,,,,,,,,,,
1,2023-05-22,718072,Flyout,field_out,True,643217,683769,Andrew Benintendi,Hunter Gaddis,0,0,0,2a5fc0dc-cdfb-4b35-8ec4-74fbe21477a4,683769.0,huntergaddis,Gaddis,Right,Hunter Gaddis,4.5,3.9,42.0,101.0,88.0,96.0,0.848,5.14,3.0,8.79,1.29,0.48,0.3,0.39299999999999996,0.214,0.32899999999999996,0.452,81.2,57.0,98.0,93.0,93.0,75.0,88.0,87.0,101.0,93.0,102.0,104.0,104.0,90.0,98.0,86.0,0.39899999999999997,0.036000000000000004,0.317,0.066,0.182,-0.22,-1.86,0.44,-0.85,-1.29,93.4,89.0,85.3,75.5,0.302,0.268,0.156,0.333,0.0,,,,,,,,,,,,,,,,,,,,
2,2023-05-22,718072,Single,single,False,673357,683769,Luis Robert Jr.,Hunter Gaddis,0,0,0,03b3c5db-6be1-458f-80e2-2e967ce7d8b9,683769.0,huntergaddis,Gaddis,Right,Hunter Gaddis,4.5,3.9,42.0,101.0,88.0,96.0,0.848,5.14,3.0,8.79,1.29,0.48,0.3,0.39299999999999996,0.214,0.32899999999999996,0.452,81.2,57.0,98.0,93.0,93.0,75.0,88.0,87.0,101.0,93.0,102.0,104.0,104.0,90.0,98.0,86.0,0.39899999999999997,0.036000000000000004,0.317,0.066,0.182,-0.22,-1.86,0.44,-0.85,-1.29,93.4,89.0,85.3,75.5,0.302,0.268,0.156,0.333,0.0,,,,,,,,,,,,,,,,,,,,
3,2023-05-22,718072,Caught Stealing 2B,caught_stealing_2b,True,660162,683769,Yoán Moncada,Hunter Gaddis,0,0,0,2cf64499-f06d-45ac-914d-1a1bf0cbe24b,683769.0,huntergaddis,Gaddis,Right,Hunter Gaddis,4.5,3.9,42.0,101.0,88.0,96.0,0.848,5.14,3.0,8.79,1.29,0.48,0.3,0.39299999999999996,0.214,0.32899999999999996,0.452,81.2,57.0,98.0,93.0,93.0,75.0,88.0,87.0,101.0,93.0,102.0,104.0,104.0,90.0,98.0,86.0,0.39899999999999997,0.036000000000000004,0.317,0.066,0.182,-0.22,-1.86,0.44,-0.85,-1.29,93.4,89.0,85.3,75.5,0.302,0.268,0.156,0.333,0.0,,,,,,,,,,,,,,,,,,,,
4,2023-05-22,718072,Groundout,field_out,True,680757,669424,Steven Kwan,Jimmy Lambert,1,0,0,a8920c24-8590-49ed-9518-c3c9fae93389,669424.0,jimmylambert,"Lambert, J",Right,Jimmy Lambert,5.26,5.74,37.2,97.0,97.0,97.0,0.752,9.8,4.78,9.8,2.39,0.76,0.182,0.48200000000000004,0.145,0.373,0.424,85.5,82.0,101.0,98.0,,,,97.0,93.0,87.0,115.0,104.0,109.0,,,,0.436,,0.304,,0.102,-1.52,,-2.41,,0.07,94.0,,85.6,,0.288,0.326,0.188,,0.182,72.0,92.0,101.0,0.157,1.01,76.2,,,,,,,,,,,,,,
5,2023-05-22,718072,Single,single,False,642708,669424,Amed Rosario,Jimmy Lambert,1,1,0,2be6243d-29c9-4bb5-bc6e-16a16b95bd41,669424.0,jimmylambert,"Lambert, J",Right,Jimmy Lambert,5.26,5.74,37.2,97.0,97.0,97.0,0.752,9.8,4.78,9.8,2.39,0.76,0.182,0.48200000000000004,0.145,0.373,0.424,85.5,82.0,101.0,98.0,,,,97.0,93.0,87.0,115.0,104.0,109.0,,,,0.436,,0.304,,0.102,-1.52,,-2.41,,0.07,94.0,,85.6,,0.288,0.326,0.188,,0.182,72.0,92.0,101.0,0.157,1.01,76.2,,,,,,,,,,,,,,
6,2023-05-22,718072,Pop Out,field_out,True,608070,669424,José Ramírez,Jimmy Lambert,0,0,0,069f2bb3-699b-41f4-b35d-9ae70aa599ea,669424.0,jimmylambert,"Lambert, J",Right,Jimmy Lambert,5.26,5.74,37.2,97.0,97.0,97.0,0.752,9.8,4.78,9.8,2.39,0.76,0.182,0.48200000000000004,0.145,0.373,0.424,85.5,82.0,101.0,98.0,,,,97.0,93.0,87.0,115.0,104.0,109.0,,,,0.436,,0.304,,0.102,-1.52,,-2.41,,0.07,94.0,,85.6,,0.288,0.326,0.188,,0.182,72.0,92.0,101.0,0.157,1.01,76.2,,,,,,,,,,,,,,
7,2023-05-22,718072,Walk,walk,False,605137,669424,Josh Bell,Jimmy Lambert,1,0,1,cf4e8aeb-6b59-4654-8c80-877a47808e79,669424.0,jimmylambert,"Lambert, J",Right,Jimmy Lambert,5.26,5.74,37.2,97.0,97.0,97.0,0.752,9.8,4.78,9.8,2.39,0.76,0.182,0.48200000000000004,0.145,0.373,0.424,85.5,82.0,101.0,98.0,,,,97.0,93.0,87.0,115.0,104.0,109.0,,,,0.436,,0.304,,0.102,-1.52,,-2.41,,0.07,94.0,,85.6,,0.288,0.326,0.188,,0.182,72.0,92.0,101.0,0.157,1.01,76.2,,,,,,,,,,,,,,
8,2023-05-22,718072,Lineout,field_out,True,665926,669424,Andrés Giménez,Jimmy Lambert,0,0,0,fa33f969-bb8f-4db5-b4b4-59b49f6ff8f9,669424.0,jimmylambert,"Lambert, J",Right,Jimmy Lambert,5.26,5.74,37.2,97.0,97.0,97.0,0.752,9.8,4.78,9.8,2.39,0.76,0.182,0.48200000000000004,0.145,0.373,0.424,85.5,82.0,101.0,98.0,,,,97.0,93.0,87.0,115.0,104.0,109.0,,,,0.436,,0.304,,0.102,-1.52,,-2.41,,0.07,94.0,,85.6,,0.288,0.326,0.188,,0.182,72.0,92.0,101.0,0.157,1.01,76.2,,,,,,,,,,,,,,
9,2023-05-22,718072,Groundout,field_out,True,660162,683769,Yoán Moncada,Hunter Gaddis,0,0,0,3b873d9a-6595-4371-9be9-6b26b02a5eee,683769.0,huntergaddis,Gaddis,Right,Hunter Gaddis,4.5,3.9,42.0,101.0,88.0,96.0,0.848,5.14,3.0,8.79,1.29,0.48,0.3,0.39299999999999996,0.214,0.32899999999999996,0.452,81.2,57.0,98.0,93.0,93.0,75.0,88.0,87.0,101.0,93.0,102.0,104.0,104.0,90.0,98.0,86.0,0.39899999999999997,0.036000000000000004,0.317,0.066,0.182,-0.22,-1.86,0.44,-0.85,-1.29,93.4,89.0,85.3,75.5,0.302,0.268,0.156,0.333,0.0,,,,,,,,,,,,,,,,,,,,
