,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CH%,wSI/C,wSL/C,wCH/C,vSI,vSL,SI_ba,CH_ba,SL_ba,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,CU%,wFA/C,wFC/C,wCU/C,vFA,vFC,vCU,FF_ba,CU_ba,FC_ba,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2023-06-24,717635,Groundout,field_out,True,607043,650911,Brandon Nimmo,Cristopher Sánchez,1,0,0,a06010b5-cfcd-48c3-aff1-ced927551c57,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,81.8,75.0,98.0,104.0,71.0,104.0,97.0,123.0,100.0,100.0,0.462,0.21100000000000002,0.327,0.65,0.2,1.1,92.1,82.7,0.297,0.148,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-06-24,717635,Home Run,home_run,False,516782,650911,Starling Marte,Cristopher Sánchez,0,0,0,3c111863-d00a-4f79-a055-0f584dd50d97,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,81.8,75.0,98.0,104.0,71.0,104.0,97.0,123.0,100.0,100.0,0.462,0.21100000000000002,0.327,0.65,0.2,1.1,92.1,82.7,0.297,0.148,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-06-24,717635,Single,single,False,596019,650911,Francisco Lindor,Cristopher Sánchez,0,0,0,3f1d37d2-0203-43d4-b3a0-ce412450688b,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,81.8,75.0,98.0,104.0,71.0,104.0,97.0,123.0,100.0,100.0,0.462,0.21100000000000002,0.327,0.65,0.2,1.1,92.1,82.7,0.297,0.148,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-06-24,717635,Grounded Into DP,grounded_into_double_play,True,624413,650911,Pete Alonso,Cristopher Sánchez,0,0,1,d9762e8e-a381-4140-8fd7-3cdedc8615b4,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,81.8,75.0,98.0,104.0,71.0,104.0,97.0,123.0,100.0,100.0,0.462,0.21100000000000002,0.327,0.65,0.2,1.1,92.1,82.7,0.297,0.148,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-06-24,717635,Strikeout,strikeout,True,656941,453286,Kyle Schwarber,Max Scherzer,0,0,0,748203e8-3b4a-4e80-ae24-2ea7f51a1e5c,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,,,,106.0,108.0,108.0,,0.168,0.141,,-0.21,0.03,,84.0,,0.207,0.25,96.0,101.0,104.0,104.0,101.0,101.0,98.0,108.0,99.0,0.46299999999999997,0.10400000000000001,0.124,0.72,2.12,0.51,93.7,88.4,75.4,0.255,0.187,0.135,,,,,,,,,,,,,,
5,2023-06-24,717635,Flyout,field_out,True,607208,453286,Trea Turner,Max Scherzer,0,0,0,7d2736c9-1739-49d0-8a80-1893b79b1490,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,,,,106.0,108.0,108.0,,0.168,0.141,,-0.21,0.03,,84.0,,0.207,0.25,96.0,101.0,104.0,104.0,101.0,101.0,98.0,108.0,99.0,0.46299999999999997,0.10400000000000001,0.124,0.72,2.12,0.51,93.7,88.4,75.4,0.255,0.187,0.135,,,,,,,,,,,,,,
6,2023-06-24,717635,Single,single,False,592206,453286,Nick Castellanos,Max Scherzer,1,0,0,07cbd21f-b1c4-49db-ba9a-73bc4c71eee3,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,,,,106.0,108.0,108.0,,0.168,0.141,,-0.21,0.03,,84.0,,0.207,0.25,96.0,101.0,104.0,104.0,101.0,101.0,98.0,108.0,99.0,0.46299999999999997,0.10400000000000001,0.124,0.72,2.12,0.51,93.7,88.4,75.4,0.255,0.187,0.135,,,,,,,,,,,,,,
7,2023-06-24,717635,Walk,walk,False,547180,453286,Bryce Harper,Max Scherzer,1,0,1,59b640d1-8e99-47e4-9ad4-eecb44919298,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,,,,106.0,108.0,108.0,,0.168,0.141,,-0.21,0.03,,84.0,,0.207,0.25,96.0,101.0,104.0,104.0,101.0,101.0,98.0,108.0,99.0,0.46299999999999997,0.10400000000000001,0.124,0.72,2.12,0.51,93.7,88.4,75.4,0.255,0.187,0.135,,,,,,,,,,,,,,
8,2023-06-24,717635,Strikeout,strikeout,True,592663,453286,J.T. Realmuto,Max Scherzer,0,0,0,d4c1ab90-5cbb-435b-aca3-5d196f474898,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,,,,106.0,108.0,108.0,,0.168,0.141,,-0.21,0.03,,84.0,,0.207,0.25,96.0,101.0,104.0,104.0,101.0,101.0,98.0,108.0,99.0,0.46299999999999997,0.10400000000000001,0.124,0.72,2.12,0.51,93.7,88.4,75.4,0.255,0.187,0.135,,,,,,,,,,,,,,
9,2023-06-24,717635,Strikeout,strikeout,True,502054,650911,Tommy Pham,Cristopher Sánchez,0,0,0,232f9317-a109-4d7d-ac3c-d8ac010cb3fb,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,81.8,75.0,98.0,104.0,71.0,104.0,97.0,123.0,100.0,100.0,0.462,0.21100000000000002,0.327,0.65,0.2,1.1,92.1,82.7,0.297,0.148,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
